podstatné jmeno;typ;anotovano;left;kwic;right;kwic pos;kwic pos2;kwic pos2 full;kwic length
ambice;N-V;1;Větší ;ambice nechoval ;. ;N-V;N-V;NN-Vp;2
ambice;N-V;1;;Ambice spasitelů vlasti chovali ;texaský miliardář Ross Perot , bohatý strýček z Ameriky Stanislaw Tyminski , Milan Pani % ... ;N-N-N-V;N-NN-NN-V;NN-NN-NN-Vp;4
ambice;N-V;1;Jako každoročně nabídne divákům desítku filmů , z nichž některé se kultovními již staly , jiné tuto ;ambici teprve chovají ;. ;N-D-V;N-Db-V;NN-Db-VB;3
ambice;N-V;1;Čím větší literární ;ambice autoři chovají ;, tím snáze propadají pokušení sehrát významnější politickou roli a tím hůře se jim daří takové roli dostát . ;N-N-V;N-NN-V;NN-NN-VB;3
ambice;N-V;1;;Ambici stát se filmařem choval ;celý život a teď ji bude moci konečně naplnit . ;N-V-P-N-V;N-Vf-P7-NN-V;NN-Vf-P7-NN-Vp;5
ambice;N-V;1;Bodové ;ambice chová ;především krnovské mužstvo . ;N-V;N-V;NN-VB;2
ambice;N-V;1;Vítězné ;ambice Orca chovala ;především v případě prvního zápasu s Havířovem . ;N-N-V;N-NN-V;NN-NN-Vp;3
ambice;N-V;1;Vítězné ;ambice Orca chovala ;především v případě prvního zápasu s Havířovem . ;N-N-V;N-NN-V;NN-NN-Vp;3
ambice;N-V;1;Ještě v době , kdy jsem zdaleka netušil , že by mohlo dojít k druhému vydání , a aniž bych takovou ;ambici choval ;, jsem se dozvěděl o existenci dalších dvou Špillarových obrazů v Ostravě a v době , kdy se podařilo zreprodukovat zapůjčený Špillarův obraz z radnice v Rokycanech , jsem již jednal o poskytnutí práv k užití jeho dalších pěti děl z depozit Západočeské galerie v Plzni . ;N-V;N-V;NN-Vp;2
ambice;V-N;1;Rusko se rozhodlo ukázat , že stále ;chová ambici ;být jednou ze dvou hlavních mocností světa . ;V-N;V-N;VB-NN;2
ambice;V-N;1;A navíc prý ;"chová i "" mocenské ambice ";""" ( ! ) . ";V-J-Z-A-N;V-J^-Z:-AA-N;VB-J^-Z:-AA-NN;5
ambice;V-N;1;Nechyběl jí punkový náboj , ale zároveň v sobě ;chovala ambice ;překonat klasické schéma rock‘n‘rollových písní . ;V-N;V-N;Vp-NN;2
ambice;V-N;1;I já jsem ;choval literární ambice ;"a nebudu to před sebou skrývat ; že jsem je nakonec zavrhl , dokládá vzletná nonšalance tohoto deníku , chacha . ";V-A-N;V-AA-N;Vp-AA-NN;3
ambice;V-N;1;Zjistil také , že ;chová politické ambice ;a že potřebuje vojenské vítězství , aby je opřel o pevnější základ . ;V-A-N;V-AA-N;VB-AA-NN;3
ambice;V-N;1;Dá se přitom předpokládat , že stejně jako Černomyrdin ;chová i Primakov prezidentské ambice ;. ;V-J-N-A-N;V-J^-NN-AA-N;VB-J^-NN-AA-NN;5
ambice;V-N;1;Já už dávno ;nechoval ani ty sebenepatrnější politické ambice ;, a jakožto student , přijatý na studia z výrobního závodu , jsem pobíral pevný plat třicet pět jüanů měsíčně a byl tudíž finančně nezávislý . ;V-J-P-A-A-N;V-J^-PD-AA-AA-N;Vp-J^-PD-AA-AA-NN;6
ambice;V-N;1;Slaughter asi ;chová skryté ambice ;. ;V-A-N;V-AA-N;VB-AA-NN;3
ambice;V-N;1;Všichni ( P . Placák , J . Mlejnek senior , V . Just , B . Doležal a P . Bělina ) patří k jedné názorově vyhraněné skupině občas velmi rozhněvaných mužů , kteří vyznávají ideologii jakéhosi komunismu naruby a ;chovají i určité mocenské ambice ;. ;V-J-A-A-N;V-J^-AA-AA-N;VB-J^-AA-AA-NN;5
ambice;V-N;1;Slovinci dokonce ;chovají ambici ;co nejdříve se kvalifikovat pro Evropskou měnovou unii . ;V-N;V-N;VB-NN;2
ambice;V-N;1;Tam jsme ;chovaly ambice ;. ;V-N;V-N;Vp-NN;2
ambice;V-N;1;Těžko říci , zda dánský filmový režisér Lars von Trier někdy ;choval podobnou ambici ;, ať už o to ale stál nebo ne , kýženého stavu dosáhl . ;V-A-N;V-AA-N;Vp-AA-NN;3
ambice;V-N;1;Jednou z nich je , že v takovém věku jen blázen ;chová politické ambice ;. ;V-A-N;V-AA-N;VB-AA-NN;3
ambice;V-N;1;Nemá a asi ani ;nechová ambice ;stanout na samém gurmetském Olympu . ;V-N;V-N;VB-NN;2
ambice;V-N;1;Málokdo však věděl , že Lysáčková vedle svého uměleckého řemesla ;chová ambici ;k volné tvorbě . ;V-N;V-N;VB-NN;2
ambice;V-N;1;Jedni vedoucí ;chovají značné ambice ;a jsou přesvědčeni , že čím větší tlak budou na podřízené vytvářet , tím dokonalejší budou plody jejich úsilí a tím rychleji mohou pomýšlet na odměnění a povýšení . ;V-A-N;V-AA-N;VB-AA-NN;3
ambice;V-N;1;Ne ve chlívku s tímto označením ;chovat stranické tužby či osobní ambice ;. ;V-A-N-J-A-N;V-AA-NN-J^-AA-N;Vf-AA-NN-J^-AA-NN;6
ambice;V-N;1;Při společném nasazení tato řešení vytvářejí nový systém zúčtování plateb v reálném čase ( RTGS z real-time gross settlement ) pojmenovaný Ripple Network , pro který společnost ;chová ambice ;na nahrazení celosvětového mezibankovního systému finanční telekomunikace známého pod zkratkou SWIFT a integraci s centrálními bankami dnes používaných RTGS , jako českého systému CERTIS nebo ekvivalentu v eurozóně TARGET2 . ;V-N;V-N;VB-NN;2
ambice;V-N;1;Okereke ovšem ;choval daleko vyšší ambice ;, které vtělil do následující koncepční desky A Weekend in the City z roku 2007 . ;V-D-A-N;V-Dg-AA-N;Vp-Dg-AA-NN;4
ambice;V-N;1;""" ";Nechovám žádné velikášské ambice ;, abych drahým a radikálním způsobem měnil zařízení a vzhled kanceláří . ;V-P-A-N;V-PW-AA-N;VB-PW-AA-NN;4
ambice;V-N;1;Navíc ;chová velkou ambici ;být skutečným filmovým myslitelem , nemohu dokonce vyloučit , že je přesvědčen , že se jím už stal . ;V-A-N;V-AA-N;VB-AA-NN;3
ambice;V-N;1;;Nechoval jste někdy větší literární ambice ;? ;V-V-D-A-A-N;V-VB-Db-AA-AA-N;Vp-VB-Db-AA-AA-NN;6
ambice;V-N;1;Jarmila , která sama ;chovala tvůrčí ambice ;, byla odsouzena do role hospodyně , která často nemá ani nárok účastnit se se svým manželem společenských akcí . ;V-A-N;V-AA-N;Vp-AA-NN;3
ambice;V-N;1;Trvá na tom , že nikdy ;nechoval politické ambice ;. ;V-A-N;V-AA-N;Vp-AA-NN;3
ambice;V-N;1;Dá se přitom předpokládat , že stejně jako Černomyrdin ;chová i Primakov prezidentské ambice ;. ;V-J-N-A-N;V-J^-NN-AA-N;VB-J^-NN-AA-NN;5
ambice;V-N;1;"Pro protimasarykovské oportunisty má pan Bednář připraven souborný kádrový posudek : tito lidé "" vyznávají ideologii jakéhosi komunismu naruby a ";chovají i určité mocenské ambice ;. ;V-J-A-A-N;V-J^-AA-AA-N;VB-J^-AA-AA-NN;5
ambice;V-N;1;Ačkoli si nedělá velké iluze o svém hrdinství , ;chová v duši jistou ambici ;, že by nemusel jít rovnou udávat , byť by mu nějaká ideologie byla sebemilejší a ohrožoval ji třeba Lord Voldemort . ;V-R-N-A-N;V-RR-NN-AA-N;VB-RR-NN-AA-NN;5
ambice;V-N;1;V této zábavě přitom ;chová podezřele silné ambice ;- jeho dvojník Remody sice okázale odmítne stoupat po žebříčku korporátní sféry , zároveň však úpěnlivě touží po úspěchu a chvále a navíc se to nebojí nutkavě a otravně tematizovat . ;V-D-A-N;V-Dg-AA-N;VB-Dg-AA-NN;4
ambice;V-N;1;Její vůdce ajatolláh Chomejní ;choval stejné ambice ;, jaké dnes otevřeně proklamuje organizace Al Kajda Usámy bin Ládina - dosáhnout utopického cíle : dokonale spravedlivé společnosti , založené na koránu a tradičním islámském právu . ;V-A-N;V-AA-N;Vp-AA-NN;3
ambice;V-N;1;Začalo mi být jasné , že úspěch na politickém kolbišti je nezbytným předpokladem úspěchu v jakékoli jiné oblasti , a pokud ;chovám sebemenší ambice ;v jakémkoli oboru lidské činnosti , musím bezpodmínečně dosáhnout těchto základních známek společenského uznání . ;V-A-N;V-AA-N;VB-AA-NN;3
ambice;V-N;1;Ale Kublaj ;choval ještě větší ambice ;: chtěl dobýt celý svět . ;V-D-A-N;V-Db-AA-N;Vp-Db-AA-NN;4
ambice;V-N;1;Lionel Messi a Cristiano Ronaldo by vám řekli , že minimálně pár let určitě ne , a Gareth Bale , Neymar nebo Mario Götze , největší esa z mladší generace , by namítli , že ;chovají tytéž ambice ;. ;V-P-N;V-PD-N;VB-PD-NN;3
ambice;V-N;1;"Pan herec , sir Laurence Olivier jednou řekl krásnou větu : "" Každý , kdo ";chová umělecké ambice ;", musí odvrhnout všechny předsudky , které by omezovaly nejširší pochopení lidské povahy . "" ";V-A-N;V-AA-N;VB-AA-NN;3
ambice;V-N;1;Patrick Rush , novinář z deníku National Star , ;chová od dětství ambice ;stát se spisovatelem . ;V-R-N-N;V-RR-NN-N;VB-RR-NN-NN;4
ambice;V-N;1;Poněvadž ;choval velké ambice ;a chtěl být někým , kdo není slavný až po smrti , jak prozradila maminka v deníčku , bibli sice číst nezačal , ale zato se jako desetiletý pustil do tisícistránkového F . L . Věka , epopeje z českých dějin . ;V-A-N;V-AA-N;Vp-AA-NN;3
antipatie;N-V;3;Přes všechny ;antipatie , které k panu Rostislavu Gargulákovi chovám ;, neubráním se po přečtení jeho článku ( RP 22 . 3 . ) jistému souznění . ;N-Z-P-R-N-N-N-V;N-Z:-P4-RR-NN-NN-NN-V;NN-Z:-P4-RR-NN-NN-NN-VB;8
antipatie;N-V;1;K Bohuslavu Sobotkovi ( 45 , ČSSD ) jisté ;antipatie chová ;a toto je pro něj ideální situace . ;N-V;N-V;NN-VB;2
antipatie;N-V;1;Majitelka salonu vůči své svěřence žádné ;antipatie nechovala ;, dokonce jí svatbu sama vystrojila . ;N-V;N-V;NN-Vp;2
antipatie;N-V;1;Nejsilnější ;antipatie chovají ;voliči OH ke KSČM - té by svůj hlas nikdy nedalo 82 % z nich . ;N-V;N-V;NN-VB;2
antipatie;N-V;1;Roman Houska a Jana Vaňhová ( foto ) Jiřího Paroubka nesnášejí , stejné ;antipatie k nim chová ;i exšéf ČSSD . ;N-R-P-V;N-RR-P5-V;NN-RR-P5-VB;4
antipatie;N-V;1;Já opravdu nevím , jaké sympatie či ;antipatie prezident chová ;k té či oné straně - takže nechci spekulovat , zda má raději ČSSD než třeba Unii svobody nebo křesťanské demokraty . ;N-N-V;N-NN-V;NN-NN-VB;3
antipatie;N-V;1;Houska s Vaňhovou Paroubka nesnáší , stejné ;antipatie k nim chová ;i bývalý šéf ČSSD . ;N-R-P-V;N-RR-P5-V;NN-RR-P5-VB;4
antipatie;V-N;1;Avšak nahlédneme - li do dopisů , v nichž filozof střídá velikášská vyznání lásky s úzkoprsými výzvami k diskrétnosti , nejspíš pochopíme , proč Ettingerová ;chová k Heideggerovi tak hluboké antipatie ;. ;V-R-N-D-A-N;V-RR-NN-Db-AA-N;VB-RR-NN-Db-AA-NN;6
antipatie;V-N;1;Nacionální socialismus k obojímu ;choval antipatie ;, ale tím , že si Německo přivlastní velké evropské malíře , mělo utvrdit své postavení velmoci v rámci západní civilizace . ;V-N;V-N;Vp-NN;2
antipatie;V-N;1;Jeho názory se vyostřily pod vlivem japonských socialistů během druhého exilu po roce 1913 a snad je vytříbila i znalost amerického dělnického hnutí , které si vypracovalo promyšlenou organizaci , ať už ;chovalo jakékoli antipatie ;k právům čínských dělníků ve Spojených státech . ;V-P-N;V-PZ-N;Vp-PZ-NN;3
antipatie;V-N;1;Hrabě z Grandsailles ;choval nepřekonatelnou antipatii ;k rádiu - - a také žádné nevlastnil - - a trávil celé dny , aniž by nahlédl do novin . ;V-A-N;V-AA-N;Vp-AA-NN;3
antipatie;V-N;1;Obyvatelé pobaltské republiky nemohou zapomenout na padesátiletou okupaci Sovětským svazem a k rusky mluvícím usedlíkům ;chovají značné antipatie ;. ;V-A-N;V-AA-N;VB-AA-NN;3
antipatie;V-N;1;Pokud vybereme člověka , k němuž nemá koučovaný důvěru nebo dokonce vůči němu ;chová jisté antipatie ;, již předem snižujeme šance koučování na úspěch . ;V-A-N;V-AA-N;VB-AA-NN;3
antipatie;V-N;1;Těmto názorům navzdory nicméně ;chovám vůči vegetariánským podnikům opravdovou antipatii ;. ;V-R-A-N-A-N;V-RR-AA-NN-AA-N;VB-RR-AA-NN-AA-NN;6
antipatie;V-N;1;A je otázka , jak se s ní budou v Německu sžívat třeba syrští a iráčtí Kurdové , kteří dobře vědí , že Turci ;chovají ke Kurdům mnohem silnější antipatie ;než třeba k Islámskému státu ... ;V-R-N-D-A-N;V-RV-NN-Db-AA-N;VB-RV-NN-Db-AA-NN;6
antipatie;V-N;1;Ale to je můj osobní názor , byl bych nerad , aby to vyznělo jako útok s tím , že proti panu Klánovi ;chovám nějaké antipatie ;. ;V-P-N;V-PZ-N;VB-PZ-NN;3
antipatie;V-N;1;Abagnaleovy potíže po propuštění ještě ztěžovala skutečnost , že úředník , který na něj měl dohlížet , k němu ;choval značné antipatie ;, což také dával otevřeně najevo . ;V-A-N;V-AA-N;Vp-AA-NN;3
antipatie;V-N;1;Soudě z jeho výkřiku po zatčení , ;choval vypjatou antipatii ;k vítězné Quebecké straně , která v minulosti , když byla u vlády , uspořádala dvě referenda o odtržení provincie od Kanady . ;V-A-N;V-AA-N;Vp-AA-NN;3
antipatie;V-N;1;Klaus a předseda ČSSD Miloš Zeman sice ;chovají vzájemné antipatie ;a v zásadě velkou koalici vylučují , avšak podle politických pozorovatelů by v zájmu získání moci dokázali překročit svůj stín . ;V-A-N;V-AA-N;VB-AA-NN;3
antipatie;V-N;1;Klaus a Zeman sice ;chovají vzájemné antipatie ;a v zásadě velkou koalici vylučují , avšak v zájmu získání moci by mohli překročit svůj stín . ;V-A-N;V-AA-N;VB-AA-NN;3
antipatie;V-N;1;Přestože Alena k mužům ;chovala nyní určité antipatie ;, musela se pousmát . ;V-D-A-N;V-Db-AA-N;Vp-Db-AA-NN;4
antipatie;V-N;1;"Totéž prohlašuje sám Clinton : "" Američané vidí , že jsou tu dva lidé , kteří k sobě ";chovají intenzívní antipatie ;. ;V-A-N;V-AA-N;VB-AA-NN;3
antipatie;V-N;1;"Jak je možné , že se ryze americkému produktu , cartoons a comics , daří v zemích , které k "" hamburgerovému kontinentu "" ";chovají značné antipatie ;? ;V-A-N;V-AA-N;VB-AA-NN;3
antipatie;V-N;1;Oba k sobě zřejmě ;chovali antipatie ;a nemohli se ani cítit , i když Perchta alespoň občas , i z hmotných důvodů , manžela vyhledávala . ;V-N;V-N;Vp-NN;2
antipatie;V-N;1;Chci ale zdůraznit , že ;nechovám proti profesoru Wolfovi žádné osobní antipatie ;, jak mi někdy předhazují jeho příznivci . ;V-R-N-N-P-A-N;V-RR-NN-NN-PW-AA-N;VB-RR-NN-NN-PW-AA-NN;7
antipatie;V-N;1;Jenže Rudolf ;chová k Závišovi tak velkou antipatii ;, že ten raději zůstává před branami města . ;V-R-N-D-A-N;V-RR-NN-Db-AA-N;VB-RR-NN-Db-AA-NN;6
antipatie;V-N;1;Jedním z favoritů klání je populistická Strana pro svobodu ( PVV ) Geerta Wilderse , která ;chová k Bruselu značné antipatie ;. ;V-R-N-A-N;V-RR-NN-AA-N;VB-RR-NN-AA-NN;5
antipatie;V-N;1;Miroslav Donutil , jenž dost pravděpodobně ke knězi ;chová stejné antipatie ;jako on k němu , toto téma nijak rozvádět nechtěl . ;V-A-N;V-AA-N;VB-AA-NN;3
antipatie;V-N;1;Nepostrádám pochopení - a zahanbuje mne říkat to - pro ty , kdo ;chovají antipatie ;, jejichž kořeny rostly ještě před jejich narozením . ;V-N;V-N;VB-NN;2
antipatie;V-N;1;Ke Špidlovi , který jej v posledních parlamentních volbách pokořil , totiž prý ;chová silné osobní antipatie ;. ;V-A-A-N;V-AA-AA-N;VB-AA-AA-NN;4
antipatie;V-N;1;Lze s tím souhlasit , ovšem za předpokladu , že ve sporu se ocitnou dva lidé , kteří k sobě ;chovají neskrývané antipatie ;. ;V-A-N;V-AA-N;VB-AA-NN;3
antipatie;V-N;1;Prvopočátky je možné vidět v mé rodině , která měla , a také se podle toho ;chovala , velké antipatie ;k režimu tehdejší doby . ;V-Z-A-N;V-Z:-AA-N;Vp-Z:-AA-NN;4
antipatie;V-N;1;A při jeho poslechu mi došlo , jak moc věcí , které člověk zná a ;chová k nim kolikrát i jistou antipatii ;, je součástí hudebního almanachu , jenž ovlivňuje náš vkus skrz asi všechny životní etapy . ;V-R-P-C-J-A-N;V-RR-P5-Co-J^-AA-N;VB-RR-P5-Co-J^-AA-NN;7
antipatie;V-N;1;Radost měl především z toho , že na žebříčku poprvé pokořil svého úhlavního soka Peta Samprase , k němuž ;chová hluboké antipatie ;": "" Občas říká nesprávné věci v nesprávný čas . ";V-A-N;V-AA-N;VB-AA-NN;3
antipatie;V-N;1;Rath : ;Chová vůči mně vážnou antipatii ;;V-R-P-A-N;V-RR-PP-AA-N;VB-RR-PP-AA-NN;5
antipatie;V-N;1;Někdy se zas stane , že hráči k sobě ;chovají značné antipatie ;, na rozhodčím pak je udržet je na uzdě . ;V-A-N;V-AA-N;VB-AA-NN;3
antipatie;V-N;1;"V Českém rozhlase pak na dotaz , zda se funkce vzdá , odpověděl : "" Jsem takto připraven , ale znáte pana prezidenta Klause , já si dovedu živě představit , že nevyzpytatelný Václav Klaus , který ";chová bytostnou antipatii ;vůči Rathovi , si ho vychutná poté , co ten snaživě abdikuje z pozice prezidenta ( komory ) a vymyslí si nějakou jinou záminku . ;V-A-N;V-AA-N;VB-AA-NN;3
antipatie;V-N;1;Přestože lidé ;chovají k havranům spíše antipatie ;a mnohým připomínají hrůzostrašné scény z Hitchcockových filmů , málokdo si uvědomuje , že jsou vlastně jakýmisi vysavači odpadků . ;V-R-N-T-N;V-RR-NN-TT-N;VB-RR-NN-TT-NN;5
antipatie;V-N;1;""" To není můj styl , "" řekl a nevybíravě zpochybnil Lenerovy trenérské schopnosti . "" K trenéru Murrayovi ";chovám jisté antipatie ;", vadí mi , že mužstvu ordinuje zákeřnost a chová se nadřazeně , "" vysvětlil Lener a dodal : "" Hráči si ruce po utkání podali , my ne , ostatně nebylo proč . ";V-A-N;V-AA-N;VB-AA-NN;3
antipatie;V-N;1;Ať už ;chováme libovolné osobní sympatie či antipatie ;ke kterémukoliv z nich , na tomto bychom se všichni ( nebo aspoň výrazná většina ) měli umět shodnout . ;V-A-A-N-J-N;V-AA-AA-NN-J^-N;VB-AA-AA-NN-J^-NN;6
antipatie;V-N;1;Princ Alexandr však ;chová silné antipatie ;k prezidentu Miloševičovi , kterého obviňuje z toho , že zavedl zemi na pokraj hospodářského zhroucení a brání demokratizaci Srbska . ;V-A-N;V-AA-N;VB-AA-NN;3
antipatie;V-N;1;A dále , čtenář Jihlavských listů mi snad uvěří , ale vůči osobě Radky Bauerové ;nechovám žádné antipatie ;, byť zastupuje ideologii , která mi vždy byla a je bytostně cizí . ;V-P-N;V-PW-N;VB-PW-NN;3
antipatie;V-N;1;Klaus a předseda ČSSD Miloš Zeman sice ;chovají vzájemné antipatie ;a v zásadě velkou koalici vylučují , avšak podle politických pozorovatelů by v zájmu získání moci dokázali překročit svůj stín . ;V-A-N;V-AA-N;VB-AA-NN;3
antipatie;V-N;1;Zvláště pak , když Gotta , který nazpíval dva tisíce písní , každý zná a ;chová k němu buď tak nekritickou sympatii , anebo tak silnou antipatii ;, jakou v lidech vyvolává ten , po němž se Gott jmenuje . ;V-R-P-J-D-A-N-Z-J-D-A-N;V-RR-P5-J^-Db-AA-NN-Z:-J^-Db-AA-N;VB-RR-P5-J^-Db-AA-NN-Z:-J^-Db-AA-NN;12
antipatie;V-N;1;Ve státě , kde hodně váží vliv židovských voličů , pak musela vysvětlovat , jak to bylo s jejím setkáním s Jásirem Arafatem a polibkem s jeho manželkou Suhou - a že ;nechová vůči Izraeli antipatie ;. ;V-R-N-N;V-RR-NN-N;VB-RR-NN-NN;4
antipatie;V-N;1;Dokonce ve čtvrtek dopoledne , krátce poté , co bylo oznámeno , že bych měl být ministrem , jsem o tom mluvil s premiérem a řekl mu o své domněnce , že prezident vůči mně ;chová vážnou antipatii ;a bude se snažit komplikovat situaci . ;V-A-N;V-AA-N;VB-AA-NN;3
antipatie;V-N;1;Také druhá oponentka ;chová k záměru značnou antipatii ;. ;V-R-N-A-N;V-RR-NN-AA-N;VB-RR-NN-AA-NN;5
antipatie;V-N;1;Prezident Václav Klaus ;chová ke mně osobní antipatie ;. ;V-R-P-A-N;V-RV-PP-AA-N;VB-RV-PP-AA-NN;5
antipatie;V-N;1;Přestože lidé ;chovají k havranům spíše antipatie ;a mnohým připomínají hrůzostrašné scény z Hitchcockových filmů , málokdo si uvědomuje , že jsou vlastně jakýmisi vysavači odpadků . ;V-R-N-T-N;V-RR-NN-TT-N;VB-RR-NN-TT-NN;5
antipatie;V-N;1;Abychom si rozuměli , to neznamená , že bych měl něco proti březnu a už vůbec ;nechovám antipatie ;vůči čtenářům , ostatně , sám jsem také již několikrát četl . ;V-N;V-N;VB-NN;2
antipatie;V-N;1;Deník Sport ;nechová žádné antipatie ;k osobě Petra Gabriela či jinému hráči . ;V-P-N;V-PW-N;VB-PW-NN;3
antipatie;V-N;1;Taky ;nechovám antipatie ;k žádnému hráči naší ligy , naopak obdivuji úsilí , které své práci věnují , jejich umění a kondici . ;V-N;V-N;VB-NN;2
antipatie;V-N;1;;Chová vůči mně vážnou antipatii ;;V-R-P-A-N;V-RR-PP-AA-N;VB-RR-PP-AA-NN;5
antipatie;V-N;1;Přestože lidé ;chovají k havranům spíše antipatie ;a mnohým připomínají hrůzostrašné scény z hororů , málokdo si uvědomuje , že jsou vlastně velmi užiteční . ;V-R-N-T-N;V-RR-NN-TT-N;VB-RR-NN-TT-NN;5
cit;N-V;3;Je krásné mít pevné rodinné vztahy , je krásné mít tak blízko u sebe spřízněnou duši a stát při sobě v dobrém i zlém , “ vyznala Monika ;city , které chová ;k mladší sestřičce . ;N-Z-P-V;N-Z:-P4-V;NN-Z:-P4-VB;4
cit;N-V;3;Je také pravda , že nedokáže vyjádřit ;city , jež ke mně chová ;, jako ten nešťastný duch , který ruší můj klid , ale kdo ví , jestli se v tom neblahém daru zvlášť neprojevuje moc ďábla , a není - li to právě on , kdo mě pokouší v raráškových úskočných promluvách ! ;N-Z-P-R-P-V;N-Z:-PJ-RV-PP-V;NN-Z:-PJ-RV-PP-VB;6
