id;lemma;Freq;MI;T-score;logDice;POS;VNP?
1;slušně;11 499;10,801;107,173;9,524;D;
2;agresivně;5 116;11,454;71,501;8,55;D;
3;zodpovědně;3 837;10,209;61,891;8,073;D;
4;jinak;11 411;6,853;105,898;7,699;D;
5;zvíře;7 132;7,086;83,83;7,661;N;
6;zoo;4 107;7,699;63,777;7,592;N;
7;přátelsky;2 333;10,492;48,268;7,427;D;
8;ohleduplně;2 224;12,374;47,15;7,413;D;
9;normálně;2 824;8,31;52,974;7,405;D;
10;jako;67 431;6,116;255,931;7,303;J;
11;arogantně;1 985;12,252;44,544;7,25;D;
12;hezky;2 395;8,426;48,796;7,241;D;
13;vůči;3 905;6,82;61,937;7,145;R;
14;jak;42 012;5,956;201,666;7,124;D;
15;ovce;2 094;8,543;45,638;7,1;N;
16;korektně;1 804;11,131;42,455;7,093;D;
17;úcta;2 124;8,285;45,939;7,073;N;VALLEX
18;odpovědně;1 663;10,938;40,759;6,974;D;
19;prase;2 006;7,964;44,609;6,944;N;
20;podobně;4 197;6,3;63,962;6,883;D;
21;kráva;1 908;7,922;43,501;6,878;N;
22;takhle;3 032;6,643;54,513;6,877;D;
23;divně;1 556;10,295;39,415;6,86;D;
24;takto;2 924;6,53;53,489;6,794;D;
25;vstřícně;1 460;11,025;38,192;6,793;D;
26;vhodně;1 564;8,852;39,462;6,772;D;
27;přirozeně;1 715;7,842;41,232;6,739;D;
28;ekologicky;1 479;9,269;38,395;6,734;D;
29;správně;2 251;6,802;47,02;6,713;D;
30;slepice;1 493;8,768;38,551;6,703;N;
31;stejně;8 092;5,72;88,249;6,692;D;
32;k;70 455;5,483;259,497;6,686;R;
33;racionálně;1 371;10,317;36,998;6,685;D;
34;rozumně;1 336;9,54;36,502;6,615;D;
35;macešsky;1 248;12,835;35,322;6,591;D;
36;pes;3 625;5,929;59,22;6,568;N;
37;skot;1 322;8,465;36,256;6,514;N;
38;podivně;1 228;9,76;35,002;6,51;D;
39;kůň;2 672;6,112;50,944;6,509;N;
40;umět;3 847;5,781;60,897;6,494;V;
41;tržně;1 169;11,858;34,181;6,49;D;
42;dobytek;1 256;8,671;35,353;6,468;N;
43;profesionálně;1 223;8,935;34,9;6,456;D;
44;hrubě;1 178;9,021;34,256;6,412;D;
45;šetrně;1 108;10,05;33,255;6,379;D;
46;koza;1 203;8,122;34,56;6,354;N;
47;králík;1 199;8,118;34,502;6,349;N;
48;vzorně;1 065;9,853;32,599;6,317;D;
49;plemeno;1 194;7,899;34,409;6,315;N;
50;respekt;1 415;6,917;37,305;6,308;N;VALLEX
51;naprosto;2 079;5,926;44,846;6,243;D;
52;se;286 384;5,013;518,579;6,239;P;
53;farma;1 282;6,711;35,463;6,148;N;
54;špatně;2 334;5,573;47,297;6,111;D;
55;hospodář;977;8,283;31,157;6,104;N;
56;včela;1 027;7,592;31,881;6,084;N;
57;začít;10 501;4,94;99,137;6,049;V;
58;klidně;1 415;6,147;37,086;6,049;D;
59;mile;943;8,085;30,595;6,038;D;
60;ukázněně;823;11,642;28,679;5,987;D;
61;příroda;2 172;5,381;45,486;5,952;N;
62;ekonomicky;916;7,223;30,063;5,887;D;
63;bezpečně;998;6,64;31,274;5,864;D;
64;velmi;6 480;4,798;77,605;5,853;D;
65;drůbež;820;7,84;28,511;5,832;N;
66;úplně;2 785;5,027;51,154;5,821;D;
67;zdvořile;745;9,883;27,266;5,818;D;
68;doma;3 317;4,927;55,7;5,805;D;
69;standardně;783;8,119;27,881;5,798;D;
70;kočka;1 016;6,299;31,47;5,79;N;
71;zoologický;882;6,932;29,455;5,789;A;
72;zahrada;2 024;5,135;43,709;5,758;N;
73;tak;23 945;4,562;148,191;5,751;D;
74;velice;1 822;5,117;41,455;5,692;D;
75;obezřetně;665;9,871;25,76;5,658;D;
76;podezřele;669;9,469;25,829;5,656;D;
77;způsob;2 928;4,781;52,143;5,652;N;
78;vždy;4 037;4,665;61,032;5,645;D;
79;uctivě;650;10,578;25,478;5,638;D;
80;ryba;1 159;5,553;33,319;5,631;N;
81;tiše;735;7,186;26,925;5,613;D;
82;druh;1 891;4,945;42,074;5,598;N;
83;bezohledně;610;10,218;24,677;5,542;D;
84;dojnice;626;8,804;24,964;5,539;N;
85;člověk;15 745;4,362;119,375;5,537;N;
86;zdrženlivě;602;10,407;24,518;5,527;D;
87;někdy;2 031;4,716;43,352;5,471;D;
88;holub;636;7,439;25,074;5,462;N;
89;řádný;700;6,575;26,18;5,451;A;
90;pěstovat;729;6,348;26,669;5,45;V;
91;hlučně;569;10,541;23,838;5,448;D;
92;přestat;1 157;5,175;33,073;5,447;V;
93;kdyby|být;2 806;4,537;50,691;5,446;J;
94;férově;568;10,168;23,812;5,44;D;
95;stádo;628;7,248;24,895;5,424;N;
96;dobře;5 111;4,357;68,002;5,423;D;
97;sympatie;612;7,514;24,603;5,42;N;VALLEX
98;kus;1 246;4,966;34,17;5,383;N;
99;povýšeně;539;11,813;23,21;5,381;D;
100;opatrně;674;6,41;25,656;5,375;D;
101;občas;1 292;4,905;34,745;5,37;D;
102;hospodárně;533;10,708;23,073;5,357;D;
103;náručí;565;8,025;23,678;5,356;N;
104;pěkně;751;5,788;26,908;5,331;D;
105;snažit;2 965;4,377;51,83;5,331;V;
106;ostatní;2 287;4,459;45,648;5,322;A;
107;cit;653;6,314;25,233;5,318;N;VALLEX
108;politik;1 465;4,706;36,809;5,315;N;
109;podle;11 395;4,117;100,597;5,283;R;
110;nápadně;569;6,993;23,666;5,267;D;
111;profesionál;642;6,154;24,982;5,264;N;
112;zvláštně;502;9,15;22,366;5,244;D;
113;blázen;554;6,822;23,329;5,211;N;
114;důstojně;506;8,013;22,407;5,206;D;
115;zajetí;510;7,542;22,462;5,183;N;
116;eticky;469;10,628;21,643;5,173;D;
117;neurvale;466;11,842;21,581;5,172;D;
118;často;2 850;4,185;50,45;5,161;D;
119;hrozně;669;5,594;25,33;5,155;D;
120;vlídně;466;9,669;21,561;5,151;D;
121;odlišně;471;8,969;21,659;5,149;D;
