POS;VNP;predikativní;vztažné;délka
N-V-R-N-P-J-V-N-N-Z-J-V-D-V-R-P-Z-D-P-V-J-N-D-V;0;1;0;24
N-V;453;91;0;2
N-D-N-Z-P-A-N-V-R-N-N-N-Z-J-V-P-R-P-P-A-N-Z-D-V-P-N-V-V;0;2;0;28
N-Z-V-R-A-A-N-P-Z-D-P-V-N-V;0;1;0;14
N-V-D-J-V-P-R-N-J-V-D-V-Z-V;0;1;0;14
N-D-R-N-J-V-P-R-P-V;0;1;0;10
N-V-A-N-N-J-V-Z-D-P-N-V-J-V-V;0;1;0;15
N-V-N-N-N-Z-J-T-D-V-Z-D-P-V-J-V-V;0;1;0;17
N-V-N-P-N-Z-P-V;0;1;0;8
N-J-V-P-V;0;16;0;5
N-N-N-V;1;1;0;4
N-V-N-J-V-R-N-R-P-N-Z-Z-V-N-Z-D-P-V-B-Z-P-V-R-N-C-Z-V;0;1;0;27
N-V-P-N-A-N-Z-V-P-V-V;0;1;0;11
N-R-N-V-D-J-C-N-J-A-N-V;0;1;0;12
N-Z-J-T-N-Z-T-N-Z-R-P-P-D-V;0;1;0;14
N-V-R-N-X-N-Z-P-T-V;0;1;0;10
N-D-V;21;2;0;3
N-Z-P-P-R-P-V;0;3;0;7
N-Z-P-V;2;8;109;4
N-Z-J-N-V-Z-J-P-R-P-V-V;0;1;0;12
N-J-A-N-Z-V-D-A-Z-J-J-P-P-D-V-V;0;1;0;16
N-N-V;23;4;0;3
N-Z-V-V-D-V-Z-D-P-A-J-A-N-V;0;1;0;14
N-P-V-A-N-J-V-P-Z-D-P-V;0;1;0;12
N-V-P-N-V;1;0;0;5
N-J-V;19;104;0;3
N-R-N-A-N-Z-N-D-V-Z-D-D-P-A-A-N-V;0;1;0;17
N-V-A-N-Z-J-V-V-N-R-P-N-D-Z-J-P-V;0;1;0;17
N-Z-J-R-N-P-V;0;1;0;7
N-Z-D-V-P-V-V-R-N-N-Z-P-V-Z-J-J-J-P-D-V;0;1;0;20
N-Z-N-J-N-J-V;0;1;0;7
N-P-B-B-V;0;1;0;5
N-V-N-P-N-Z-P-V-D-Z-D-V-P-P-N-V;0;1;0;16
N-Z-V;3;122;0;3
N-V-R-N-D-A-J-D-Z-J-P-R-P-V-V;0;1;0;15
N-V-A-J-V-P-V-A-N-Z-J-J-V-P-R-P-N-V;0;1;0;18
N-Z-J-R-A-N-P-R-P-V;0;1;0;10
N-J-R-P-P-V;0;8;0;6
N-J-D-P-D-R-P-V;0;1;0;8
V-N;2132;0;0;2
V-J-Z-A-N;1;0;0;5
V-J-N-Z-V-R-P-P-V-Z-V-P-D-J-D-Z-V-R-A-N;0;1;0;20
V-Z-V-N;0;25;0;4
V-A-N;1985;0;0;3
V-P-A-N-Z-V-V-P-V-Z-J-V-Z-J-D-V-N;0;1;0;17
V-P-P-R-N-Z-J-N-N-V-V-P-A-N;0;1;0;14
V-J-N-A-N;3;2;0;5
V-D-A-N-J-A-N;1;1;0;7
V-D-J-V-V-V-A-A-N;0;1;0;9
V-D-Z-T-R-P-Z-P-V-A-N-J-N;0;1;0;13
V-R-N-R-N-Z-J-V-P-A-N-V-Z-D-V-Z-J-P-N;0;1;0;19
V-J-P-A-A-N;1;0;0;6
V-Z-D-Z-Z-V-R-N-A-N;0;1;0;10
V-J-A-N-B-Z-N-Z-J-A-N-D-V-A-N;0;1;0;15
V-J-A-A-N;2;0;0;5
V-P-J-N-Z-J-V-N;0;2;0;8
V-P-D-Z-J-T-V-N-N-Z-J-V-N;0;1;0;13
V-D-J-V-P-R-N-N-P-A-N;0;1;0;11
V-J-R-A-N-Z-V-A-N-R-C-A-N-J-V-P-A-N;0;1;0;18
V-N-J-V-N;0;3;0;5
V-J-A-N-J-V-P-Z-J-D-R-C-N-V-P-N;0;1;0;16
V-J-N-Z-J-V-P-R-A-N-Z-Z-V-N;0;1;0;14
V-D-Z-J-N-R-N-P-V-J-V-P-V-Z-J-P-V-N;0;1;0;18
V-Z-J-J-J-P-D-R-N-J-N-V-Z-V-P-N-N-Z-V-A-N-R-N;0;1;0;23
V-A-N-J-A-N;3;0;0;6
V-D-A-N;212;0;0;4
V-R-N-N-A-N-J-J-D-V-R-P-A-N;0;1;0;14
V-P-A-N;93;0;0;4
V-R-N-N-J-V-R-P-P-N;0;1;0;10
V-P-J-N-Z-P-P-R-P-V-Z-Z-V-N-R-P-Z-J-P-N-V-V-R-N;0;1;0;24
V-J-N-Z-P-D-D-V-N-J-A-N;0;1;0;12
V-D-J-P-N;0;6;0;5
V-V-D-A-A-N;1;0;0;6
V-R-N-J-P-V-J-R-A-N;0;1;0;10
V-Z-J-N;5;1;0;4
V-D-J-V-P-A-V-Z-D-P-A-N;0;1;0;12
V-J-A-A-N-Z-P-V-A-N;0;1;0;10
V-D-Z-V-D-A-Z-J-J-V-V-A-N;0;1;0;13
V-P-J-N-J-V-J-N-Z-V-P-N-J-V-P-A-N;0;1;0;17
V-J-P-A-A-N-B-Z-V-D-A-N-N-Z-J-J-V-A-N;0;1;0;19
V-R-N-A-N;173;0;0;5
V-J-R-N-Z-P-V-P-A-N;0;1;0;10
V-P-N;273;0;0;3
V-P-Z-N-A-N-Z-R-N-Z-P-P-V-V-P-A-N;0;1;0;17
V-R-A-N-Z-J-V-D-Z-T-V-P-N-Z-N-R-P-A-N-V-Z-V-Z-D-J-V-N;0;1;0;27
V-D-D-D-J-N-V-P-A-N;0;1;0;10
V-J-V-P-Z-J-R-P-A-N-V-T-R-D-A-N-N-P-A-N;0;1;0;20
V-R-N-N;132;0;0;4
V-J-D-T-T-Z-V-Z-J-P-N;0;1;0;11
V-J-A-N-J-D-V-V-A-N;0;1;0;10
N-R-N-D-J-V;0;1;0;6
N-Z-J-P-Z-D-P-N-V;0;1;0;9
N-Z-P-R-N-N-N-V;0;0;2;8
N-Z-V-P-Z-J-N-V-N-J-V;0;1;0;11
N-R-P-V;115;0;0;4
N-Z-J-V-V-P-V;0;1;0;7
V-R-N-D-A-N;25;0;0;6
V-J-N-J-V-R-A-N-J-N;0;1;0;10
V-R-P-N-D-Z-R-N-R-P-N-J-N;0;2;0;13
V-P-Z-D-Z-Z-V-P-Z-J-V-P-C-N-Z-C-N-Z-R-P-J-V-N-Z-N;0;1;0;25
V-R-A-N-A-N;51;0;0;6
V-R-N-N-P-A-N;1;0;0;7
V-A-A-N;39;0;0;4
V-Z-A-N;16;3;0;4
