id;left;kwic;right;VNP?;doc.txtype_group
1;Máme/mít/VB-P---1P-AAI--;ambici/ambice/NNFS4-----A---- pozvat/pozvat/Vf--------A-P-- do/do/RR--2---------- asociace/asociace/NNFS2-----A---- kohokoli/kdokoli/PZM-4---------- a/a/J^------------- ctít/ctít/Vf--------A-I-- presumpci/presumpce/NNFS4-----A---- neviny/nevina/NNFS2-----A---- ,/,/Z:------------- ale/ale/J^------------- bude/být/VB-S---3F-AAI-- velmi/velmi/Db------------- záležet/záležet/Vf--------A-I-- na/na/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- bude/být/VB-S---3F-AAI-- jako/jako/J,------------- člen/člen/NNMS1-----A---- posléze/posléze/Db------------- chovat/chovat/Vf--------A-I--;././Z:-------------;0;NMG: publicistika
2;Možná/možná/TT------------- je/být/VB-S---3P-AAI-- na/na/RR--4---------- škodu/škoda/NNFS4-----A---- to/ten/PDNS1---------- ,/,/Z:------------- že/že/J,------------- EU/EU/BN------------- je/být/VB-S---3P-AAI-- nadnárodním/nadnárodní/AANS7----1A---- sdružením/sdružení/NNNS7-----A---- národních/národní/AAIP2----1A---- států/stát/NNIP2-----A---- ,/,/Z:------------- které/který/P4NS1---------- má/mít/VB-S---3P-AAI--;ambice/ambice/NNFP4-----A---- chovat/chovat/Vf--------A-I--;se/se/P7--4---------- jako/jako/J,------------- jediný/jediný/AAIS1----1A---- stát/stát/NNIS1-----A---- ././Z:-------------;0;NMG: publicistika
3;Nemáme/mít/VB-P---1P-NAI-- sice/sice/J^------------- tak/tak/Db------------- velké/velký/AAFP4----1A----;ambice/ambice/NNFP4-----A---- jak/jak/Db------------- Baťa/Baťa/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- významnou/významný/AAFS7----1A---- měrou/míra/NNFS7-----A---- působil/působit/VpMS----R-AAI-- na/na/RR--6---------- formování/formování/NNNS6-----A---- města/město/NNNS2-----A---- Zlína/Zlín/NNIS2-----A---- ,/,/Z:------------- ale/ale/J^------------- je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- podle/podle/RR--2---------- nás/my/PP-P2--1------- ten/ten/PDIS1---------- správný/správný/AAIS1----1A---- směr/směr/NNIS1-----A---- ,/,/Z:------------- jak/jak/Db------------- by/být/Vc----------I-- se/se/P7--4---------- firma/firma/NNFS1-----A---- měla/mít/VpFS----R-AAI-- chovat/chovat/Vf--------A-I--;././Z:-------------;0;NMG: publicistika
4;Je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- kluk/kluk/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- má/mít/VB-S---3P-AAI-- pořád/pořád/Db-------------;ambice/ambice/NNFP4-----A---- ,/,/Z:------------- je/být/VB-S---3P-AAI-- pro/pro/RR--4---------- ostatní/ostatní/AAIS4----1A---- nádherný/nádherný/AAIS4----1A---- příklad/příklad/NNIS4-----A---- toho/ten/PDNS2---------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- má/mít/VB-S---3P-AAI-- profesionál/profesionál/NNMS1-----A---- chovat/chovat/Vf--------A-I--;././Z:-------------;0;NMG: publicistika
5;Když/když/J,------------- lidi/člověk/NNMP1-----A---1 kolem/kolem/RR--2---------- vás/vy/PP-P2--2------- zjistí/zjistit/VB-P---3P-AAP-- ,/,/Z:------------- že/že/J,------------- nemáte/mít/VB-P---2P-NAI--;ambici/ambice/NNFS4-----A---- jít/jít/Vf--------A-I-- výš/vysoko/Dg-------2A---- a/a/J^------------- lézt/lézt/Vf--------A-I-- někomu/někdo/PZM-3---------- po/po/RR--6---------- zádech/záda/NNNP6-----A---- a/a/J^------------- chcete/chtít/VB-P---2P-AAI-- upřímně/upřímně/Dg-------1A---- pomoct/pomoci/Vf--------A-P-- ,/,/Z:------------- chovají/chovat/VB-P---3P-AAI--;se/se/P7--4---------- k/k/RR--3---------- vám/vy/PP-P3--2------- úplně/úplně/Dg-------1A---- jinak/jinak/Db------------- ././Z:-------------;0;NFC: oborová literatura
6;Mazzucatová/Mazzucatová/NNFS1-----A---- ale/ale/J^------------- poněkud/poněkud/Db------------- pomíjí/pomíjet/VB-S---3P-AAI-- to/ten/PDNS4---------- ,/,/Z:------------- jak/jak/Db------------- často/často/Dg-------1A---- státy/stát/NNIP1-----A---- mající/mající/AGIP1-----A----;ambice/ambice/NNFP4-----A---- chovat/chovat/Vf--------A-I--;se/se/P7--4---------- podnikatelsky/podnikatelsky/Dg-------1A---- nakonec/nakonec/TT------------- sypou/sypat/VB-P---3P-AAI-1 peníze/peníze/NNIP1-----A---- do/do/RR--2---------- stoupy/stoupa/NNFS2-----A---- ././Z:-------------;0;NFC: oborová literatura
7;Větší/velký/AAFP4----2A----;ambice/ambice/NNFP4-----A---- nechoval/chovat/VpMS----R-NAI--;././Z:-------------;1;FIC: beletrie
8;Klub/klub/NNIS1-----A---- má/mít/VB-S---3P-AAI--;ambice/ambice/NNFP4-----A---- minimálně/minimálně/Dg-------1A---- na/na/RR--4---------- semifinále/semifinále/NNNS4-----A---- a/a/J^------------- hodlá/hodlat/VB-S---3P-AAI-- se/se/P7--4---------- podle/podle/RR--2---------- toho/ten/PDNS2---------- chovat/chovat/Vf--------A-I--;././Z:-------------;0;NMG: publicistika
9;My/my/PP-P1--1------- nemáme/mít/VB-P---1P-NAI--;ambici/ambice/NNFS4-----A---- vytvořit/vytvořit/Vf--------A-P-- konečný/konečný/AAIS4----1A---- výčet/výčet/NNIS4-----A---- situací/situace/NNFP2-----A---- a/a/J^------------- říkat/říkat/Vf--------A-I-- –/-/Z:------------- takto/takto/Db------------- se/se/P7--4---------- soudce/soudce/NNMS1-----A---- musí/muset/VB-S---3P-AAI-- či/či/J^------------- nesmí/smět/VB-S---3P-NAI-- chovat/chovat/Vf--------A-I--;././Z:-------------;0;NFC: oborová literatura
10;Pozoruhodný/pozoruhodný/AAIS1----1A---- případ/případ/NNIS1-----A---- ,/,/Z:------------- který/který/P4IS1---------- má/mít/VB-S---3P-AAI--;ambice/ambice/NNFP4-----A---- stanovit/stanovit/Vf--------A-P-- meze/mez/NNFP4-----A---- majitelům/majitel/NNMP3-----A---- domů/dům/NNIP2-----A---- (/(/Z:------------- a/a/J^------------- možná/možná/TT------------- také/také/Db------------- napovědět/napovědět/Vf--------A-P-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- má/mít/VB-S---3P-AAI-- či/či/J^------------- nemá/mít/VB-S---3P-NAI-- chovat/chovat/Vf--------A-I--;advokát/advokát/NNMS1-----A---- )/)/Z:------------- ,/,/Z:------------- spěje/spět/VB-S---3P-AAI-- u/u/RR--2---------- Obvodního/obvodní/AAIS2----1A---- soudu/soud/NNIS2-----A---- pro/pro/RR--4---------- Prahu/Praha/NNFS4-----A---- 4/4/C=------------- zvolna/zvolna/Db------------- do/do/RR--2---------- finále/finále/NNNS2-----A---- ././Z:-------------;0;NFC: oborová literatura
