id;left;kwic;right;VNP?;doc.txtype_group
1;Rusko/Rusko/NNNS1-----A---- se/se/P7--4---------- rozhodlo/rozhodnout/VpNS----R-AAP-1 ukázat/ukázat/Vf--------A-P-- ,/,/Z:------------- že/že/J,------------- stále/stále/Dg-------1A----;chová/chovat/VB-S---3P-AAI-- ambici/ambice/NNFS4-----A----;být/být/Vf--------A-I-- jednou/jeden/ClFS7---------- ze/z/RV--2---------- dvou/dva/ClFP2---------- hlavních/hlavní/AAFP2----1A---- mocností/mocnost/NNFP2-----A---- světa/svět/NNIS2-----A---- ././Z:-------------;1;NMG: publicistika
2;A/a/J^------------- navíc/navíc/Db------------- prý/prý/TT-------------;"chová/chovat/VB-S---3P-AAI-- i/i/J^------------- ""/""/Z:------------- mocenské/mocenský/AAFP4----1A---- ambice/ambice/NNFP4-----A----";"""/""/Z:------------- (/(/Z:------------- !/!/Z:------------- )/)/Z:------------- ././Z:-------------";1;NMG: publicistika
3;Tak/tak/Db------------- jako/jako/J,------------- se/se/P7--4---------- Grace/Grace/NNFS1-----A---- musí/muset/VB-S---3P-AAI-- naučit/naučit/Vf--------A-P--;chovat/chovat/Vf--------A-I-- jako/jako/J,------------- kněžna/kněžna/NNFS1-----A---- ,/,/Z:------------- nedávat/dávat/Vf--------N-I-- na/na/RR--6---------- sobě/se/P6--6---------- nic/nic/PW--4---------- znát/znát/Vf--------A-I-- ,/,/Z:------------- pohybovat/pohybovat/Vf--------A-I-- se/se/P7--4---------- elegantně/elegantně/Dg-------1A---- a/a/J^------------- minimalisticky/minimalisticky/Dg-------1A---- ,/,/Z:------------- zapomenout/zapomenout/Vf--------A-P-- na/na/RR--4---------- herecké/herecký/AAFP4----1A---- ambice/ambice/NNFP4-----A----;ve/v/RV--6---------- filmech/film/NNIP6-----A---- Alfreda/Alfred/NNMS2-----A---- Hitchcocka/Hitchcock/NNMS2-----A---- a/a/J^------------- obětovat/obětovat/Vf--------A-B-- se/se/P7--4---------- pro/pro/RR--4---------- rodinu/rodina/NNFS4-----A---- a/a/J^------------- zemi/země/NNFS4-----A---- ,/,/Z:------------- tak/tak/J^------------- se/se/P7--4---------- pro/pro/RR--4---------- nás/my/PP-P4--1------- jako/jako/J,------------- diváky/divák/NNMP4-----A---- na/na/RR--6---------- plátně/plátno/NNNS6-----A---- odehrává/odehrávat/VB-S---3P-AAI-- ještě/ještě/Db------------- další/další/AANS1----1A---- ,/,/Z:------------- podobné/podobný/AANS1----1A---- drama/drama/NNNS1-----A---- ././Z:-------------;0;NMG: publicistika
4;Nechyběl/chybět/VpIS----R-NAI-- jí/on/PPFS3--3------- punkový/punkový/AAIS1----1A---- náboj/náboj/NNIS1-----A---- ,/,/Z:------------- ale/ale/J^------------- zároveň/zároveň/Db------------- v/v/RR--6---------- sobě/se/P6--6----------;chovala/chovat/VpFS----R-AAI-- ambice/ambice/NNFP4-----A----;překonat/překonat/Vf--------A-P-- klasické/klasický/AANS4----1A---- schéma/schéma/NNNS4-----A---- rock‘n‘rollových/rock'n'rollový/AAFP2----1A---- písní/píseň/NNFP2-----A---- ././Z:-------------;1;NMG: publicistika
5;Jak/jak/Db------------- tam/tam/Db------------- stála/stát/VpFS----R-AAI-- uprostřed/uprostřed/RR--2---------- parkoviště/parkoviště/NNNS2-----A---- a/a/J^------------- Adamovy/Adamův/AUFP1M--------- neobratné/obratný/AAFP1----1N---- výmluvy/výmluva/NNFP1-----A---- ji/on/PPFS4--3------- míjely/míjet/VpFP----R-AAI-- ,/,/Z:------------- začala/začít/VpFS----R-AAP-- si/se/P7--3---------- uvědomovat/uvědomovat/Vf--------A-I-- ,/,/Z:------------- že/že/J,------------- hněv/hněv/NNIS1-----A---- a/a/J^------------- zklamání/zklamání/NNNS1-----A---- ,/,/Z:------------- které/který/P4IP4---------- roky/rok/NNIP4-----A---- potlačovala/potlačovat/VpFS----R-AAI-- ,/,/Z:------------- v/v/RR--6---------- jejím/její/PSNS6FS3------- nitru/nitro/NNNS6-----A---- stále/stále/Dg-------1A---- jsou/být/VB-P---3P-AAI-- spolu/spolu/Db------------- s/s/RR--7---------- bezednou/bezedný/AAFS7----1A---- studnicí/studnice/NNFS7-----A---- čehosi/cosi/PZ--2---------- ,/,/Z:------------- v/v/RR--6---------- čem/co/PQ--6---------- –/-/Z:------------- jakmile/jakmile/J,------------- spálila/spálit/VpFS----R-AAP-- poslední/poslední/AAIP4----1A---- city/cit/NNIP4-----A---- ,/,/Z:------------- které/který/P4IP4---------- k/k/RR--3---------- Adamovi/Adam/NNMS3-----A---- ještě/ještě/Db-------------;chovala/chovat/VpFS----R-AAI-- –/-/Z:------------- rozpoznala/rozpoznat/VpFS----R-AAP-- ambici/ambice/NNFS4-----A----;,/,/Z:------------- volání/volání/NNNS4-----A---- osudu/osud/NNIS2-----A---- ././Z:-------------;0;FIC: beletrie
6;I/i/J^------------- já/já/PP-S1--1------- jsem/být/VB-S---1P-AAI--;choval/chovat/VpMS----R-AAI-- literární/literární/AAFP4----1A---- ambice/ambice/NNFP4-----A----;"a/a/J^------------- nebudu/být/VB-S---1F-NAI-- to/ten/PDNS4---------- před/před/RR--7---------- sebou/se/P6--7---------- skrývat/skrývat/Vf--------A-I-- ;/;/Z:------------- že/že/J,------------- jsem/být/VB-S---1P-AAI-- je/oni/PPFP4--3------- nakonec/nakonec/TT------------- zavrhl/zavrhnout/VpMS----R-AAP-1 ,/,/Z:------------- dokládá/dokládat/VB-S---3P-AAI-- vzletná/vzletný/AAFS1----1A---- nonšalance/nonšalance/NNFS1-----A---- tohoto/tento/PDIS2---------- deníku/deník/NNIS2-----A---- ,/,/Z:------------- chacha/chacha/II------------- ././Z:-------------";1;FIC: beletrie
7;Kdyby/kdyby|být/J,-------------|Vc----------I-- se/se/P7--4---------- takhle/takhle/Db-------------;choval/chovat/VpMS----R-AAI-- nějaký/nějaký/PZMS1---------- jiný/jiný/AAMS1----1A---- režisér/režisér/NNMS1-----A---- ,/,/Z:------------- byl/být/VpMS----R-AAI-- bych/být/Vc-S---1----I-- si/se/P7--3---------- pomyslel/pomyslet/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- zpohodlněl/zpohodlnět/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- už/už/Db------------- nemá/mít/VB-S---3P-NAI-- ambice/ambice/NNFP4-----A----;,/,/Z:------------- že/že/J,------------- fetuje/fetovat/VB-S---3P-AAI-- ,/,/Z:------------- nebo/nebo/J^------------- že/že/J,------------- mu/on/PHMS3--3------- stoupla/stoupnout/VpFS----R-AAP-1 do/do/RR--2---------- hlavy/hlava/NNFS2-----A---- sláva/sláva/NNFS1-----A---- ././Z:-------------;0;FIC: beletrie
8;Mohu/moci/VB-S---1P-AAI-1 zaručit/zaručit/Vf--------A-P-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- budu/být/VB-S---1F-AAI--;chovat/chovat/Vf--------A-I-- já/já/PP-S1--1------- sama/sám/PLFS1---------- v/v/RR--6---------- případě/případ/NNIS6-----A---- ,/,/Z:------------- že/že/J,------------- Pavel/Pavel/NNMS1-----A---- Bém/Bém/NNMS1-----A---- by/být/Vc----------I-- měl/mít/VpMS----R-AAI-- nějaké/nějaký/PZFP4---------- politické/politický/AAFP4----1A---- ambice/ambice/NNFP4-----A----;././Z:-------------;0;NMG: publicistika
9;Zjistil/zjistit/VpMS----R-AAP-- také/také/Db------------- ,/,/Z:------------- že/že/J,-------------;chová/chovat/VB-S---3P-AAI-- politické/politický/AAFP4----1A---- ambice/ambice/NNFP4-----A----;a/a/J^------------- že/že/J,------------- potřebuje/potřebovat/VB-S---3P-AAI-- vojenské/vojenský/AANS4----1A---- vítězství/vítězství/NNNS4-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- je/on/PPNS4--3------- opřel/opřít/VpMS----R-AAP-- o/o/RR--4---------- pevnější/pevný/AAIS4----2A---- základ/základ/NNIS4-----A---- ././Z:-------------;1;NFC: oborová literatura
10;Dá/dát/VB-S---3P-AAI-- se/se/P7--4---------- přitom/přitom/Db------------- předpokládat/předpokládat/Vf--------A-I-- ,/,/Z:------------- že/že/J,------------- stejně/stejně/Dg-------1A---- jako/jako/J,------------- Černomyrdin/Černomyrdin/NNMS1-----A----;chová/chovat/VB-S---3P-AAI-- i/i/J^------------- Primakov/Primakov/NNMS1-----A---- prezidentské/prezidentský/AAFP4----1A---- ambice/ambice/NNFP4-----A----;././Z:-------------;1;NMG: publicistika
