;lemma;freq;freq [%];VNP?;kdo;příklad;poznámka
1;zvíře;2449;0.42;0;KV;;
2;kůň;1547;0.26;0;KV;;
3;pes;1304;0.22;0;KV;;
4;úcta;1091;0.19;1;VALLEX;;
5;respekt;1069;0.18;1;VALLEX;;
6;ovce;1057;0.18;0;KV;;
7;králík;867;0.15;0;KV;;
8;slepice;854;0.15;0;KV;;
9;prase;841;0.14;0;KV;;
10;dobytek;767;0.13;0;KV;;
11;kráva;736;0.13;0;KV;;
12;koza;709;0.12;0;KV;;
13;včela;637;0.11;0;KV;;
14;skot;633;0.11;0;KV;;
15;naděje;574;0.1;1;VALLEX;;
16;druh;557;0.09;0;KV;;
17;maso;557;0.09;0;KV;;
18;kočka;523;0.09;0;KV;;
19;ryba;510;0.09;0;KV;;
20;sympatie;508;0.09;1;VALLEX;;
21;cit;470;0.08;1;VALLEX;;
22;drůbež;463;0.08;0;KV;;
23;plemeno;439;0.07;0;KV;;
24;holub;409;0.07;0;KV;;
25;rok;380;0.06;0;KV;;
26;obdiv;307;0.05;1;VALLEX;;
27;stádo;297;0.05;0;KV;;
28;dítě;281;0.05;0;KV;;
29;zášť;266;0.05;1;VALLEX;;
30;had;260;0.04;0;KV;;
31;mazlíček;255;0.04;0;KV;;
32;důvěra;239;0.04;1;VALLEX - working;Copak může člověk chovat důvěru, jakou on projevil mně, k někomu, koho si vůbec neváží?;"zvlášní, VALLEX ""nedůvěru"" má, ale ""důvěru"" nikoliv"
33;doba;231;0.04;0;KV;;
34;vztah;231;0.04;1;KV;Já k novinářům, pravda, nechovám zrovna přátelský vztah.;
35;mléko;227;0.04;0;KV;;
36;nenávist;222;0.04;1;VALLEX;;
37;papoušek;202;0.03;0;KV;;
38;tygr;201;0.03;0;KV;;
39;pták;198;0.03;0;KV;;
40;nedůvěra;195;0.03;1;VALLEX;;
41;kapr;194;0.03;0;KV;;
42;láska;192;0.03;1;Radimský;Zřejmě k Jillian stále ještě chová velkou lásku.;
43;náklonnost;181;0.03;1;VALLEX;;
44;podezření;181;0.03;1;VALLEX;;
45;lev;180;0.03;0;KV;;
46;stovka;172;0.03;0;KV;;
47;desítka;165;0.03;0;KV;;
48;husa;159;0.03;0;KV;;
49;samec;152;0.03;0;KV;;
50;zvířectvo;144;0.02;0;KV;;
51;rybička;142;0.02;0;KV;;
52;řada;141;0.02;0;KV;;
53;samice;138;0.02;0;KV;;
54;medvěd;135;0.02;0;KV;;
55;želva;133;0.02;0;KV;;
56;den;131;0.02;0;KV;;
57;kachna;128;0.02;0;KV;;
58;radost;127;0.02;0;KV;;
59;slon;125;0.02;0;KV;;
60;život;123;0.02;0;KV;;
61;spousta;122;0.02;0;KV;;
62;zvěř;120;0.02;0;KV;;
63;syn;115;0.02;0;KV;;
64;pštros;114;0.02;0;KV;;
65;býk;114;0.02;0;KV;;
66;pocit;112;0.02;1;KV;A teď tvrdíte, že k ní nechováte žádné pocity, ani kladné, ani záporné.;
67;odpor;110;0.02;1;KV;Siegfried ho vylíčil jako naprosto nectižádostivého člověka, který choval odpor ke studiu a nechtěl se ani mýt, ani holit;
68;jelen;110;0.02;0;KV;;
69;kuře;107;0.02;0;KV;;
70;šelma;106;0.02;0;KV;;
71;množství;106;0.02;0;KV;;
