id;left;kwic;right;VNP?;doc.txtype_group
1;Nechte/nechat/Vi-P---2--A-P-1 své/svůj/P8FP4---------1;antipatie/antipatie/NNFP4-----A---- vůči/vůči/RR--3---------- Lucii/Lucie/NNFS3-----A---- stranou/stranou/Db------------- a/a/J^------------- chovejte/chovat/Vi-P---2--A-I--;"se/se/P7--4---------- jako/jako/J,------------- chlap/chlap/NNMS1-----A---- ,/,/Z:------------- “/""/Z:------------- zněl/znít/VpMS----R-AAI-- další/další/AAMS1----1A---- ././Z:-------------";0;NMG: publicistika
2;Řešilo/řešit/VpNS----R-AAI-- se/se/P7--4---------- ,/,/Z:------------- zda/zda/J,------------- se/se/P7--4---------- jedná/jednat/VB-S---3P-AAI-- o/o/RR--4---------- politické/politický/AAFP4----1A---- či/či/J^------------- osobní/osobní/AAFP4----1A----;antipatie/antipatie/NNFP4-----A---- ,/,/Z:------------- i/i/J^------------- to/ten/PDNS4---------- ,/,/Z:------------- nakolik/nakolik/Db------------- se/se/P7--4---------- komunisté/komunista/NNMP1-----A---- chovají/chovat/VB-P---3P-AAI--;jako/jako/J,------------- opozice/opozice/NNFS1-----A---- ././Z:-------------;0;NMG: publicistika
3;Přes/přes/RR--4---------- všechny/všechen/PLFP4----------;antipatie/antipatie/NNFP4-----A---- ,/,/Z:------------- které/který/P4FP4---------- k/k/RR--3---------- panu/pán/NNMS3-----A---1 Rostislavu/Rostislav/NNMS3-----A---1 Gargulákovi/Gargulák/NNMS3-----A---- chovám/chovat/VB-S---1P-AAI--;,/,/Z:------------- neubráním/ubránit/VB-S---1P-NAP-- se/se/P7--4---------- po/po/RR--6---------- přečtení/přečtení/NNNS6-----A---- jeho/jeho/PSIS2-S3------- článku/článek/NNIS2-----A---- (/(/Z:------------- RP/RP/BN------------- 22/22/C=------------- ././Z0------------- 3/3/C=------------- ././Z0------------- )/)/Z:------------- jistému/jistý/AANS3----1A---- souznění/souznění/NNNS3-----A---- ././Z:-------------;3;NMG: publicistika
4;K/k/RR--3---------- Bohuslavu/Bohuslav/NNMS3-----A---1 Sobotkovi/Sobotka/NNMS3-----A---- (/(/Z:------------- 45/45/C=------------- ,/,/Z:------------- ČSSD/ČSSD/BN------------- )/)/Z:------------- jisté/jistý/AAFP4----1A----;antipatie/antipatie/NNFP4-----A---- chová/chovat/VB-S---3P-AAI--;a/a/J^------------- toto/tento/PDNS1---------- je/být/VB-S---3P-AAI-- pro/pro/RR--4---------- něj/on/P5MS4--3------- ideální/ideální/AAFS1----1A---- situace/situace/NNFS1-----A---- ././Z:-------------;1;NMG: publicistika
5;Majitelka/majitelka/NNFS1-----A---- salonu/salon/NNIS2-----A---- vůči/vůči/RR--3---------- své/svůj/P8FS3---------1 svěřence/svěřenka/NNFS3-----A---- žádné/žádný/PWFP4----------;antipatie/antipatie/NNFP4-----A---- nechovala/chovat/VpFS----R-NAI--;,/,/Z:------------- dokonce/dokonce/TT------------- jí/on/PPFS3--3------- svatbu/svatba/NNFS4-----A---- sama/sám/PLFS1---------- vystrojila/vystrojit/VpFS----R-AAP-- ././Z:-------------;1;NMG: publicistika
6;"""/""/Z:------------- To/ten/PDNS1---------- není/být/VB-S---3P-NAI-- můj/můj/PSIS1-S1------- styl/styl/NNIS1-----A---- ,/,/Z:------------- ""/""/Z:------------- řekl/říci/VpMS----R-AAP-- a/a/J^------------- nevybíravě/nevybíravě/Dg-------1A---- zpochybnil/zpochybnit/VpMS----R-AAP-- Lenerovy/Lenerův/AUFP4M--------- trenérské/trenérský/AAFP4----1A---- schopnosti/schopnost/NNFP4-----A---- ././Z:------------- ""/""/Z:------------- K/k/RR--3---------- trenéru/trenér/NNMS3-----A---1 Murrayovi/Murrayovi/NNMP1-----A---- chovám/chovat/VB-S---1P-AAI-- jisté/jistý/AAFP4----1A----";antipatie/antipatie/NNFP4-----A---- ,/,/Z:------------- vadí/vadit/VB-S---3P-AAI-- mi/já/PH-S3--1------- ,/,/Z:------------- že/že/J,------------- mužstvu/mužstvo/NNNS3-----A---- ordinuje/ordinovat/VB-S---3P-AAI-- zákeřnost/zákeřnost/NNFS4-----A---- a/a/J^------------- chová/chovat/VB-S---3P-AAI--;"se/se/P7--4---------- nadřazeně/nadřazeně/Dg-------1A---- ,/,/Z:------------- ""/""/Z:------------- vysvětlil/vysvětlit/VpMS----R-AAP-- Lener/Lener/NNMS1-----A---- a/a/J^------------- dodal/dodat/VpMS----R-AAP-- :/:/Z:------------- ""/""/Z:------------- Hráči/hráč/NNMP1-----A---- si/se/P7--3---------- ruce/ruka/NNFP4-----A---- po/po/RR--6---------- utkání/utkání/NNNS6-----A---- podali/podat/VpMP----R-AAP-- ,/,/Z:------------- my/my/PP-P1--1------- ne/ne/TT------------- ,/,/Z:------------- ostatně/ostatně/TT------------- nebylo/být/VpNS----R-NAI-- proč/proč/Db------------- ././Z:-------------";0;NMG: publicistika
7;Nejsilnější/silný/AAFP4----3A----;antipatie/antipatie/NNFP4-----A---- chovají/chovat/VB-P---3P-AAI--;voliči/volič/NNMP1-----A---- OH/OH/BN------------- ke/k/RV--3---------- KSČM/KSČM/BN------------- -/-/Z:------------- té/ten/PDFS3---------- by/být/Vc----------I-- svůj/svůj/P8IS4---------- hlas/hlas/NNIS4-----A---- nikdy/nikdy/Db------------- nedalo/dát/VpNS----R-NAP-- 82/82/C=------------- %/%/Z:------------- z/z/RR--2---------- nich/oni/P5FP2--3------- ././Z:-------------;1;NMG: publicistika
8;Roman/Roman/NNMS1-----A---- Houska/Houska/NNMS1-----A---- a/a/J^------------- Jana/Jana/NNFS1-----A---- Vaňhová/Vaňhová/NNFS1-----A---- (/(/Z:------------- foto/foto/NNNS1-----A---- )/)/Z:------------- Jiřího/Jiří/NNMS4-----A---- Paroubka/Paroubek/NNMS4-----A---- nesnášejí/snášet/VB-P---3P-NAI-- ,/,/Z:------------- stejné/stejný/AAFP4----1A----;antipatie/antipatie/NNFP4-----A---- k/k/RR--3---------- nim/oni/P5FP3--3------- chová/chovat/VB-S---3P-AAI--;i/i/J^------------- exšéf/exšéf/NNMS1-----A---- ČSSD/ČSSD/BN------------- ././Z:-------------;1;NMG: publicistika
9;Proti/proti/RR--3---------- Romům/Rom/NNMP3-----A---- nemám/mít/VB-S---1P-NAI-- žádnou/žádný/PWFS4---------- osobní/osobní/AAFS4----1A----;antipatii/antipatie/NNFS4-----A---- ,/,/Z:------------- ale/ale/J^------------- museli/muset/VpMP----R-AAI-- by/být/Vc----------I-- se/se/P7--4---------- chovat/chovat/Vf--------A-I--;slušně/slušně/Dg-------1A---- ././Z:-------------;0;NMG: publicistika
10;Já/já/PP-S1--1------- opravdu/opravdu/TT------------- nevím/vědět/VB-S---1P-NAI-- ,/,/Z:------------- jaké/jaký/P4FP4---------- sympatie/sympatie/NNFP4-----A---- či/či/J^-------------;antipatie/antipatie/NNFP4-----A---- prezident/prezident/NNMS1-----A---- chová/chovat/VB-S---3P-AAI--;k/k/RR--3---------- té/ten/PDFS3---------- či/či/J^------------- oné/onen/PDFS3---------- straně/strana/NNFS3-----A---- -/-/Z:------------- takže/takže/J,------------- nechci/chtít/VB-S---1P-NAI-- spekulovat/spekulovat/Vf--------A-I-- ,/,/Z:------------- zda/zda/J,------------- má/mít/VB-S---3P-AAI-- raději/rád/Dg-------2A---- ČSSD/ČSSD/BN------------- než/než/J,------------- třeba/třeba/TT------------- Unii/unie/NNFS4-----A---- svobody/svoboda/NNFS2-----A---- nebo/nebo/J^------------- křesťanské/křesťanský/AAMP4----1A---- demokraty/demokrat/NNMP4-----A---- ././Z:-------------;1;NMG: publicistika
