id;left;kwic;right;VNP?
"1";"Avšak/avšak/J^------------- nahlédneme/nahlédnout/VB-P---1P-AAP-- -/-/Z0------------- li/li/J,------------- do/do/RR--2---------- dopisů/dopis/NNIP2-----A---- ,/,/Z:------------- v/v/RR--6---------- nichž/jenž/P9IP6---------- filozof/filozof/NNMS1-----A---- střídá/střídat/VB-S---3P-AAI-- velikášská/velikášský/AANP4----1A---- vyznání/vyznání/NNNP4-----A---- lásky/láska/NNFS2-----A---- s/s/RR--7---------- úzkoprsými/úzkoprsý/AAFP7----1A---- výzvami/výzva/NNFP7-----A---- k/k/RR--3---------- diskrétnosti/diskrétnost/NNFS3-----A---- ,/,/Z:------------- nejspíš/nejspíš/TT------------- pochopíme/pochopit/VB-P---1P-AAP-- ,/,/Z:------------- proč/proč/Db------------- Ettingerová/Ettingerová/X@-------------";"chová/chovat/VB-S---3P-AAI-- k/k/RR--3---------- Heideggerovi/Heidegger/NNMS3-----A---- tak/tak/Db------------- hluboké/hluboký/AAFP4----1A---- antipatie/antipatie/NNFP4-----A----";"././Z:-------------"
"2";"Že/že/J,------------- se/se/P7--4---------- budeme/být/VB-P---1F-AAI--";"chovat/chovat/Vf--------A-I-- jako/jako/J,------------- politici/politik/NNMP1-----A---- a/a/J^------------- zapomeneme/zapomenout/VB-P---1P-AAP-- na/na/RR--4---------- osobní/osobní/AAFP4----1A---- sympatie/sympatie/NNFP4-----A---- a/a/J^------------- antipatie/antipatie/NNFP4-----A----";"././Z:-------------"
"3";"Ale/ale/J^------------- ve/v/RV--6---------- své/svůj/P8FS6---------1 praxi/praxe/NNFS6-----A---- ,/,/Z:------------- ať/ať/J,------------- se/se/P7--4----------";"chová/chovat/VB-S---3P-AAI-- ke/k/RV--3---------- všem/všechen/PLNP3---------- zvířatům/zvíře/NNNP3-----A---- rovnocenně/rovnocenně/Dg-------1A---- ,/,/Z:------------- bez/bez/RR--2---------- ohledu/ohled/NNIS2-----A---- na/na/RR--4---------- nějaké/nějaký/PZFP4---------- sympatie/sympatie/NNFP4-----A---- či/či/J^------------- antipatie/antipatie/NNFP4-----A----";"././Z:-------------"
"4";"Mluví/mluvit/VB-S---3P-AAI-- ze/z/RV--2---------- mě/já/PH-S2--1------- relativně/relativně/Dg-------1A---- čerstvá/čerstvý/AAFS1----1A---- zkušenost/zkušenost/NNFS1-----A---- z/z/RR--2---------- předloňských/předloňský/AAIP2----1A---- společných/společný/AAIP2----1A---- koncertů/koncert/NNIP2-----A---- s/s/RR--7---------- Hanou/Hana/NNFS7-----A---- Hegerovou/Hegerová/NNFS7-----A---- a/a/J^------------- Lucií/Lucie/NNFS7-----A---- Bílou/Bílá/NNFS7-----A---- :/:/Z:------------- zatímco/zatímco/J,------------- ve/v/RV--6---------- studiu/studium/NNNS6-----A---- znám/znát/VB-S---1P-AAI-- svého/svůj/P8MS4---------- zvukaře/zvukař/NNMS4-----A---- ,/,/Z:------------- hudebníky/hudebník/NNMP4-----A---- ,/,/Z:------------- nástroje/nástroj/NNIP4-----A---- i/i/J^------------- svou/svůj/P8FS4---------1 náladu/nálada/NNFS4-----A---- ,/,/Z:------------- v/v/RR--6---------- publiku/publikum/NNNS6-----A---- jsou/být/VB-P---3P-AAI-- lidé/člověk/NNMP1-----A---- pokaždé/pokaždé/Db------------- jiní/jiný/AAMP1----1A---- ,/,/Z:-------------";"chovají/chovat/VB-P---3P-AAI-- se/se/P7--4---------- ""/""/Z:------------- teď/teď/Db------------- ""/""/Z:------------- -/-/Z:------------- nechápu/chápat/VB-S---1P-NAI-- to/ten/PDNS4---------- ,/,/Z:------------- ale/ale/J^------------- stávají/stávat/VB-P---3P-AAI-- se/se/P7--4---------- jedním/jeden/ClMS7---------- člověkem/člověk/NNMS7-----A---- ,/,/Z:------------- jednou/jeden/ClFS7---------- duší/duše/NNFS7-----A---- ,/,/Z:------------- ve/v/RV--6---------- které/který/P4FS6---------- buď/buď/J^------------- vyvolám/vyvolat/VB-S---1P-AAP-- sympatii/sympatie/NNFS4-----A---- ,/,/Z:------------- antipatii/antipatie/NNFS4-----A----";",/,/Z:------------- anebo/anebo/J^------------- lhostejnost/lhostejnost/NNFS4-----A---- ././Z:-------------"
"5";"Nacionální/nacionální/AAIS1----1A---- socialismus/socialismus/NNIS1-----A---- k/k/RR--3---------- obojímu/obojí/CdNS3----------";"choval/chovat/VpIS----R-AAI-- antipatie/antipatie/NNFP4-----A----";",/,/Z:------------- ale/ale/J^------------- tím/ten/PDNS7---------- ,/,/Z:------------- že/že/J,------------- si/se/P7--3---------- Německo/Německo/NNNS1-----A---- přivlastní/přivlastnit/VB-S---3P-AAP-- velké/velký/AAMP4----1A---- evropské/evropský/AAMP4----1A---- malíře/malíř/NNMP4-----A---- ,/,/Z:------------- mělo/mít/VpNS----R-AAI-- utvrdit/utvrdit/Vf--------A-P-- své/svůj/P8NS4---------1 postavení/postavení/NNNS4-----A---- velmoci/velmoc/NNFS2-----A---- v/v/RR--6---------- rámci/rámec/NNIS6-----A---- západní/západní/AAFS2----1A---- civilizace/civilizace/NNFS2-----A---- ././Z:-------------"
"6";"Jeho/jeho/PSIP1-S3------- názory/názor/NNIP1-----A---- se/se/P7--4---------- vyostřily/vyostřit/VpIP----R-AAP-- pod/pod/RR--7---------- vlivem/vliv/NNIS7-----A---- japonských/japonský/AAMP2----1A---- socialistů/socialista/NNMP2-----A---- během/během/RR--2---------- druhého/druhý/CrIS2---------- exilu/exil/NNIS2-----A---- po/po/RR--6---------- roce/rok/NNIS6-----A---1 1913/1913/C=------------- a/a/J^------------- snad/snad/TT------------- je/oni/PPIP4--3------- vytříbila/vytříbit/VpFS----R-AAP-- i/i/J^------------- znalost/znalost/NNFS1-----A---- amerického/americký/AANS2----1A---- dělnického/dělnický/AANS2----1A---- hnutí/hnutí/NNNS2-----A---- ,/,/Z:------------- které/který/P4NS1---------- si/se/P7--3---------- vypracovalo/vypracovat/VpNS----R-AAP-- promyšlenou/promyšlený/AAFS4----1A---- organizaci/organizace/NNFS4-----A---- ,/,/Z:------------- ať/ať/J,------------- už/už/Db-------------";"chovalo/chovat/VpNS----R-AAI-- jakékoli/jakýkoli/PZFP4---------- antipatie/antipatie/NNFP4-----A----";"k/k/RR--3---------- právům/právo/NNNP3-----A---- čínských/čínský/AAMP2----1A---- dělníků/dělník/NNMP2-----A---- ve/v/RV--6---------- Spojených/spojený/AAIP6----1A---- státech/stát/NNIP6-----A---- ././Z:-------------"
"7";"Hrabě/hrabě/NNMS1-----A---- z/z/RR--2---------- Grandsailles/Grandsailles/X@-------------";"choval/chovat/VpMS----R-AAI-- nepřekonatelnou/překonatelný/AAFS4----1N---- antipatii/antipatie/NNFS4-----A----";"k/k/RR--3---------- rádiu/rádio/NNNS3-----A---- -/-/Z0------------- -/-/Z0------------- a/a/J^------------- také/také/Db------------- žádné/žádný/PWNS4---------- nevlastnil/vlastnit/VpMS----R-NAI-- -/-/Z0------------- -/-/Z0------------- a/a/J^------------- trávil/trávit/VpMS----R-AAI-- celé/celý/AAIP4----1A---- dny/den/NNIP4-----A---- ,/,/Z:------------- aniž/aniž/J,------------- by/být/Vc----------I-- nahlédl/nahlédnout/VpMS----R-AAP-1 do/do/RR--2---------- novin/noviny/NNFP2-----A---- ././Z:-------------"
"8";"Obyvatelé/obyvatel/NNMP1-----A---- pobaltské/pobaltský/AAFS2----1A---- republiky/republika/NNFS2-----A---- nemohou/moci/VB-P---3P-NAI-1 zapomenout/zapomenout/Vf--------A-P-- na/na/RR--4---------- padesátiletou/padesátiletý/AAFS4----1A---- okupaci/okupace/NNFS4-----A---- Sovětským/sovětský/AAIS7----1A---- svazem/svaz/NNIS7-----A---- a/a/J^------------- k/k/RR--3---------- rusky/rusky/Dg-------1A---- mluvícím/mluvící/AGMP3-----A---- usedlíkům/usedlík/NNMP3-----A----";"chovají/chovat/VB-P---3P-AAI-- značné/značný/AAFP4----1A---- antipatie/antipatie/NNFP4-----A----";"././Z:-------------"
"9";"Pokud/pokud/J,------------- vybereme/vybrat/VB-P---1P-AAP-- člověka/člověk/NNMS4-----A---- ,/,/Z:------------- k/k/RR--3---------- němuž/jenž/P9MS3---------- nemá/mít/VB-S---3P-NAI-- koučovaný/koučovaný/AAMS1----1A---- důvěru/důvěra/NNFS4-----A---- nebo/nebo/J^------------- dokonce/dokonce/TT------------- vůči/vůči/RR--3---------- němu/on/P5MS3--3-------";"chová/chovat/VB-S---3P-AAI-- jisté/jistý/AAFP4----1A---- antipatie/antipatie/NNFP4-----A----";",/,/Z:------------- již/jenž/PJFS4---------- předem/předem/Db------------- snižujeme/snižovat/VB-P---1P-AAI-- šance/šance/NNFP4-----A---- koučování/koučování/NNNS2-----A---- na/na/RR--4---------- úspěch/úspěch/NNIS4-----A---- ././Z:-------------"
"10";"Těmto/tento/PDIP3---------- názorům/názor/NNIP3-----A---- navzdory/navzdory/Db------------- nicméně/nicméně/J^-------------";"chovám/chovat/VB-S---1P-AAI-- vůči/vůči/RR--3---------- vegetariánským/vegetariánský/AAIP3----1A---- podnikům/podnik/NNIP3-----A---- opravdovou/opravdový/AAFS4----1A---- antipatii/antipatie/NNFS4-----A----";"././Z:-------------"
