id;left;kwic;right;VNP?;doc.txtype_group
1;"Je/být/VB-S---3P-AAI-- krásné/krásný/AANS1----1A---- mít/mít/Vf--------A-I-- pevné/pevný/AAIP4----1A---- rodinné/rodinný/AAIP4----1A---- vztahy/vztah/NNIP4-----A---- ,/,/Z:------------- je/být/VB-S---3P-AAI-- krásné/krásný/AANS1----1A---- mít/mít/Vf--------A-I-- tak/tak/Db------------- blízko/blízko/Dg-------1A---- u/u/RR--2---------- sebe/se/P6--2---------- spřízněnou/spřízněný/AAFS4----1A---- duši/duše/NNFS4-----A---- a/a/J^------------- stát/stát/Vf--------A-I-- při/při/RR--6---------- sobě/se/P6--6---------- v/v/RR--6---------- dobrém/dobrý/AANS6----1A---- i/i/J^------------- zlém/zlý/AANS6----1A---- ,/,/Z:------------- “/""/Z:------------- vyznala/vyznat/VpFS----R-AAP-- Monika/Monika/NNFS1-----A----";city/cit/NNIP4-----A---- ,/,/Z:------------- které/který/P4IP4---------- chová/chovat/VB-S---3P-AAI--;k/k/RR--3---------- mladší/mladý/AAFS3----2A---- sestřičce/sestřička/NNFS3-----A---- ././Z:-------------;3;NMG: publicistika
2;Je/být/VB-S---3P-AAI-- také/také/Db------------- pravda/pravda/NNFS1-----A---- ,/,/Z:------------- že/že/J,------------- nedokáže/dokázat/VB-S---3P-NAP-- vyjádřit/vyjádřit/Vf--------A-P--;city/cit/NNIP4-----A---- ,/,/Z:------------- jež/jenž/PJIP4---------- ke/k/RV--3---------- mně/já/PP-S3--1------- chová/chovat/VB-S---3P-AAI--;,/,/Z:------------- jako/jako/J,------------- ten/ten/PDMS1---------- nešťastný/šťastný/AAMS1----1N---- duch/duch/NNMS1-----A---- ,/,/Z:------------- který/který/P4IS1---------- ruší/rušit/VB-S---3P-AAI-- můj/můj/PSIS4-S1------- klid/klid/NNIS4-----A---- ,/,/Z:------------- ale/ale/J^------------- kdo/kdo/PKM-1---------- ví/vědět/VB-S---3P-AAI-- ,/,/Z:------------- jestli/jestli/J,------------- se/se/P7--4---------- v/v/RR--6---------- tom/ten/PDIS6---------- neblahém/neblahý/AAIS6----1A---- daru/dar/NNIS6-----A---- zvlášť/zvlášť/TT------------- neprojevuje/projevovat/VB-S---3P-NAI-- moc/moc/Db------------- ďábla/ďábel/NNMS2-----A---- ,/,/Z:------------- a/a/J^------------- není/být/VB-S---3P-NAI-- -/-/Z0------------- li/li/J,------------- to/ten/PDNS1---------- právě/právě/Db------------- on/on/PPMS1--3------- ,/,/Z:------------- kdo/kdo/PKM-1---------- mě/já/PH-S4--1------- pokouší/pokoušet/VB-S---3P-AAI-- v/v/RR--6---------- raráškových/raráškův/AUFP6M--------- úskočných/úskočný/AAFP6----1A---- promluvách/promluva/NNFP6-----A---- !/!/Z:-------------;3;FIC: beletrie
3;Nerozešla/rozejít/VpFS----R-NAP-- se/se/P7--4---------- s/s/RR--7---------- nimi/oni/P5MP7--3------- ,/,/Z:------------- protože/protože/J,------------- rozchod/rozchod/NNIS1-----A---- předpokládá/předpokládat/VB-S---3P-AAI-- vášeň/vášeň/NNFS4-----A---- a/a/J^------------- silné/silný/AAIP4----1A----;city/cit/NNIP4-----A---- ,/,/Z:------------- a/a/J^------------- ty/ten/PDIP4---------- k/k/RR--3---------- nim/oni/P5IP3--3------- nechová/chovat/VB-S---3P-NAI--;././Z:-------------;3;TODO empty
4;Člověk/člověk/NNMS1-----A---- pak/pak/Db------------- musí/muset/VB-S---3P-AAI-- mít/mít/Vf--------A-I-- samozřejmě/samozřejmě/TT------------- takt/takt/NNIS4-----A---- a/a/J^-------------;cit/cit/NNIS4-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- v/v/RR--6---------- jejich/jejich/PSFS6-P3------- duši/duše/NNFS6-----A---- nechoval/chovat/VpMS----R-NAI--;"jako/jako/J,------------- slon/slon/NNMS1-----A---- v/v/RR--6---------- porcelánu/porcelán/NNIS6-----A---- ././Z:------------- “/""/Z:-------------";0;NFC: oborová literatura
5;Zdvořilý/zdvořilý/AAIS1----1A---- výraz/výraz/NNIS1-----A---- zakryl/zakrýt/VpIS----R-AAP-- veškeré/veškerý/PLIP4----------;city/cit/NNIP4-----A---- ,/,/Z:------------- které/který/P4IP4---------- k/k/RR--3---------- Phillipsovi/Phillips/NNMS3-----A---1 mohl/moci/VpIS----R-AAI-- chovat/chovat/Vf--------A-I--;././Z:-------------;3;FIC: beletrie
6;"""/""/Z:------------- Byla/být/VpFS----R-AAI-- jsem/být/VB-S---1P-AAI-- do/do/RR--2---------- něho/on/P5MS2--3------1 prostě/prostě/TT------------- trop/trop/Db------------- ,/,/Z:------------- ""/""/Z:------------- řekla/říci/VpFS----R-AAP-- Midge/Midge/X@------------- Jenny/Jenny/NNFS1-----A---- ,/,/Z:------------- ""/""/Z:------------- a/a/J^------------- tak/tak/J^------------- jsem/být/VB-S---1P-AAI-- tím/ten/PDNS7---------- slovem/slovo/NNNS7-----A---- pojmenovala/pojmenovat/VpFS----R-AAP-- i/i/J^------------- chudáčka/chudáček/NNMS4-----A---- psa/pes/NNMS4-----A---- ,/,/Z:------------- abych/aby|být/J,-------------|Vc-S---1----I-- dokázala/dokázat/VpFS----R-AAP-- ,/,/Z:------------- jaké/jaký/P4IP4----------";city/cit/NNIP4-----A---- vůči/vůči/RR--3---------- Stewovi/Stewovi/X@------------- chovám/chovat/VB-S---1P-AAI--;"././Z:------------- ""/""/Z:-------------";1;FIC: beletrie
7;Tím/ten/PDIS7---------- způsobem/způsob/NNIS7-----A---- si/se/P7--3---------- chtěla/chtít/VpFS----R-AAI-- změřit/změřit/Vf--------A-P-- ,/,/Z:------------- jaké/jaký/P4IP4---------- skutečné/skutečný/AAIP4----1A----;city/cit/NNIP4-----A---- k/k/RR--3---------- ní/on/P5FS3--3------- chovám/chovat/VB-S---1P-AAI--;././Z:-------------;1;FIC: beletrie
8;;City/cit/NNIP4-----A---- chovala/chovat/VpFS----R-AAI--;k/k/RR--3---------- básníkovi/básník/NNMS3-----A---- Nebeskému/Nebeský/NNMS3-----A---- ,/,/Z:------------- profesoru/profesor/NNMS3-----A---1 Helceletovi/Helcelet/NNMS3-----A---- a/a/J^------------- MUDr/MUDr/BN------------- ././Z0------------- Jurenkovi/Jurenka/NNMS3-----A---- ,/,/Z:------------- ale/ale/J^------------- žádný/žádný/PWIS1---------- z/z/RR--2---------- těchto/tento/PDIP2---------- vztahů/vztah/NNIP2-----A---- netrval/trvat/VpMS----R-NAI-- dlouho/dlouho/Dg-------1A---- ././Z:-------------;1;NMG: publicistika
9;"Teprvě/Teprvě/X@------------- když/když/J,------------- všichni/všechen/PLMP1---------- ochraptěli/ochraptět/VpMP----R-AAP-- ,/,/Z:------------- rychtář/rychtář/NNMS1-----A---- pokračoval/pokračovat/VpMS----R-AAI-- :/:/Z:------------- ""/""/Z:------------- Tím/ten/PDNS7---------- odsouzená/odsouzený/AAFS1----1A---- urazila/urazit/VpFS----R-AAP--";city/cit/NNIP4-----A---- ,/,/Z:------------- které/který/P4IP4---------- chováme/chovat/VB-P---1P-AAI--;"k/k/RR--3---------- našemu/náš/PSMS3-P1------- vousatému/vousatý/AAMS3----1A---- císaři/císař/NNMS3-----A---- .../.../Z:------------- ""/""/Z:-------------";3;FIC: beletrie
10;"""/""/Z:------------- Má/mít/VB-S---3P-AAI--";cit/cit/NNIS4-----A---- pro/pro/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- jak/jak/Db------------- lidé/člověk/NNMP1-----A---- vnímají/vnímat/VB-P---3P-AAI-- politiku/politika/NNFS4-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- má/mít/VB-S---3P-AAI-- chovat/chovat/Vf--------A-I--;",/,/Z:------------- ""/""/Z:------------- říká/říkat/VB-S---3P-AAI-- Fiabane/Fiabane/X@------------- ././Z:-------------";0;NMG: publicistika
