id;left;kwic;right
"1";"Jsme/být/VB-P---1P-AAI-- obklopeni/obklopit/VsMP------APP-- množstvím/množství/NNNS7-----A---- věcí/věc/NNFP2-----A---- ,/,/Z:------------- vůči/vůči/RR--3---------- kterým/který/P4FP3----------";"chováme/chovat/VB-P---1P-AAI-- city/cit/NNIP4-----A----";"stejně/stejně/Dg-------1A---- bizarní/bizarní/AAIP4----1A---- a/a/J^------------- proměnlivé/proměnlivý/AAIP4----1A---- jako/jako/J,------------- vůči/vůči/RR--3---------- lidem/člověk/NNMP3-----A---- ././Z:-------------"
"2";"K/k/RR--3---------- matkám/matka/NNFP3-----A----";"chovali/chovat/VpMP----R-AAI-- něžné/něžný/AAIP4----1A---- city/cit/NNIP4-----A----";"i/i/J^------------- ti/ten/PDMP1---------- nejotrlejší/otrlý/AAMP1----3A---- ././Z:-------------"
"3";"Angelina/Angelina/NNFS1-----A---- Jolieová/Jolieová/NNFS1-----A---- tvrdí/tvrdit/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,-------------";"chová/chovat/VB-S---3P-AAI-- ke/k/RV--3---------- svým/svůj/P8FP3---------- třem/tři/ClFP3---------- dětem/dítě/NNFP3-----A---- odlišné/odlišný/AAIP4----1A---- city/cit/NNIP4-----A----";"././Z:-------------"
"4";"Cole/Cole/NNMS1-----A---- byl/být/VpMS----R-AAI-- charakterní/charakterní/AAMS1----1A---- chlap/chlap/NNMS1-----A---- a/a/J^------------- Dickie/Dickie/NNMS1-----A---- nikterak/nikterak/Db------------- nepohyboval/pohybovat/VpMS----R-NAI-- o/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- že/že/J,------------- onen/onen/PDMS1---------- Američan/Američan/NNMS1-----A---- k/k/RR--3---------- Rebecce/Rebecka/NNFS3-----A---- i/i/J^------------- nadále/nadále/Db-------------";"chová/chovat/VB-S---3P-AAI-- hluboké/hluboký/AAIP4----1A---- city/cit/NNIP4-----A----";"././Z:-------------"
"5";"Sedmatřicetiletou/sedmatřicetiletý/AAFS4----1A---- ženu/žena/NNFS4-----A---- už/už/Db------------- dříve/brzy/Dg-------2A---- znal/znát/VpMS----R-AAI-- a/a/J^-------------";"choval/chovat/VpMS----R-AAI-- k/k/RR--3---------- ní/on/P5FS3--3------- více/hodně/Dg-------2A---- než/než/J,------------- přátelské/přátelský/AAIP4----1A---- city/cit/NNIP4-----A----";",/,/Z:------------- údajně/údajně/Dg-------1A---- totiž/totiž/TT------------- byli/být/VpMP----R-AAI-- milenci/milenec/NNMP1-----A---- ././Z:-------------"
"6";"""/""/Z:------------- Nevidíte/vidět/VB-P---2P-NAI-- ,/,/Z:------------- jaké/jaký/P4NS1---------- ke/k/RV--3---------- mně/já/PP-S3--1-------";"chová/chovat/VB-S---3P-AAI-- city/cit/NNIP4-----A----";"?/?/Z:------------- ""/""/Z:-------------"
"7";"Kdybych/kdyby|být/J,-------------|Vc-S---1----I-- se/se/P7--4---------- někdy/někdy/Db------------- oženil/oženit/VpMS----R-AAP-- ,/,/Z:------------- Watsone/Watson/NNMS5-----A---- ,/,/Z:------------- doufám/doufat/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- má/můj/PSFS1-S1------1 žena/žena/NNFS1-----A---- ke/k/RV--3---------- mně/já/PP-S3--1-------";"chovala/chovat/VpFS----R-AAI-- vřelejší/vřelý/AAIP4----2A---- city/cit/NNIP4-----A----";",/,/Z:------------- než/než/J,------------- aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- dala/dát/VpFS----R-AAP-- někam/někam/Db------------- odvést/odvést/Vf--------A-P-- hospodyní/hospodyně/NNFS7-----A---- ,/,/Z:------------- kdyby/kdyby|být/J,-------------|Vc----------I-- má/můj/PSFS1-S1------1 mrtvola/mrtvola/NNFS1-----A---- ležela/ležet/VpFS----R-AAI-- pár/pár/Db------------- metrů/metr/NNIP2-----A---- od/od/RR--2---------- ní/on/P5FS2--3------- ././Z:-------------"
"8";"Ruby/Ruby/NNFS1-----A---- byla/být/VpFS----R-AAI-- sice/sice/J^------------- stejná/stejný/AAFS1----1A---- jako/jako/J,------------- všechny/všechen/PLFP1---------- ostatní/ostatní/AAFP1----1A---- ,/,/Z:------------- ale/ale/J^------------- přece/přece/TT------------- jiná/jiný/AAFS1----1A---- –/-/Z:------------- Berlusconi/Berlusconi/NNMS1-----A---- k/k/RR--3---------- ní/on/P5FS3--3-------";"choval/chovat/VpMS----R-AAI-- hluboký/hluboký/AAIS4----1A---- cit/cit/NNIS4-----A----";"././Z:-------------"
"9";"A/a/J^------------- uštědřil/uštědřit/VpMS----R-AAP-- mi/já/PH-S3--1------- docela/docela/Db------------- slušný/slušný/AAIS4----1A---- pohlavek/pohlavek/NNIS4-----A---- ,/,/Z:------------- buď/buď/J^------------- na/na/RR--4---------- důkaz/důkaz/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- vůči/vůči/RR--3---------- mně/já/PP-S3--1-------";"chová/chovat/VB-S---3P-AAI-- city/cit/NNIP4-----A----";"otcovské/otcovský/AAIP4----1A---- a/a/J^------------- mužné/mužný/AAIP4----1A---- ,/,/Z:------------- nebo/nebo/J^------------- jako/jako/J,------------- trest/trest/NNIS4-----A---- a/a/J^------------- odpuštění/odpuštění/NNNS4-----A---- zároveň/zároveň/Db------------- ././Z:-------------"
"10";"Pokud/pokud/J,------------- k/k/RR--3---------- nim/oni/P5MP3--3-------";"choval/chovat/VpMS----R-AAI-- silné/silný/AAIP4----1A---- city/cit/NNIP4-----A----";",/,/Z:------------- nemohl/moci/VpMS----R-NAI-- je/oni/PPIP4--3------- přece/přece/TT------------- jen/jen/TT------------- tak/tak/Db------------- nechat/nechat/Vf--------A-P-- ze/z/RV--2---------- svého/svůj/P8IS2---------- života/život/NNIS2-----A---- zmizet/zmizet/Vf--------A-P-- ?/?/Z:------------- “/""/Z:------------- přemýšlel/přemýšlet/VpMS----R-AAI-- nahlas/nahlas/Db------------- Sjöberg/Sjöberg/NNMS1-----A---- ././Z:-------------"
"11";"""/""/Z:-------------";"Chovám/chovat/VB-S---1P-AAI-- k/k/RR--3---------- Brnu/Brno/NNNS3-----A---- velké/velký/AAIP4----1A---- city/cit/NNIP4-----A----";",/,/Z:------------- ""/""/Z:------------- připomněl/připomenout/VpMS----R-AAP-- v/v/RR--4---------- sobotu/sobota/NNFS4-----A---- po/po/RR--6---------- výhře/výhra/NNFS6-----A---- 2/2/C=------------- :/:/Z0------------- 1/1/C=------------- ././Z0------------- ""/""/Z:------------- Jenže/jenže/J^------------- teď/teď/Db------------- pracuji/pracovat/VB-S---1P-AAI-1 pro/pro/RR--4---------- Olomouc/Olomouc/NNFS4-----A---- a/a/J^------------- veškerý/veškerý/PLIS1---------- sentiment/sentiment/NNIS1-----A---- musí/muset/VB-S---3P-AAI-- jít/jít/Vf--------A-I-- stranou/stranou/Db------------- ././Z:-------------"
"12";"Podle/podle/RR--2---------- dochovaných/dochovaný/AAIP2----1A---- dopisů/dopis/NNIP2-----A----";"chová/chovat/VB-S---3P-AAI-- nejsilnější/silný/AAIP4----3A---- city/cit/NNIP4-----A----";"k/k/RR--3---------- Robertu/Robert/NNMS3-----A---1 Dudleymu/Dudley/NNMS3-----A---- ,/,/Z:------------- hraběti/hrabě/NNMS3-----A---- z/z/RR--2---------- Leicesteru/Leicester/NNIS2-----A---- (/(/Z:------------- 1532/1532/C=------------- –/-/Z:------------- 1588/1588/C=------------- )/)/Z:------------- ././Z:-------------"
"13";"Nebylo/být/VpNS----R-NAI-- by/být/Vc----------I-- snad/snad/TT------------- lepší/dobrý/AANS1----2A---- ,/,/Z:------------- kdyby/kdyby|být/J,-------------|Vc----------I--";"nechoval/chovat/VpMS----R-NAI-- k/k/RR--3---------- nikomu/nikdo/PWM-3---------- žádné/žádný/PWIP4---------- city/cit/NNIP4-----A----";"?/?/Z:-------------"
"14";"Ale/ale/J^------------- musíme/muset/VB-P---1P-AAI-- se/se/P7--4----------";"chovat/chovat/Vf--------A-I-- ,/,/Z:------------- jako/jako/J,------------- bychom/být/Vc-P---1----I-- nevěděli/vědět/VpMP----R-NAI-- ,/,/Z:------------- co/co/PQ--4---------- děláme/dělat/VB-P---1P-AAI-- ,/,/Z:------------- jenom/jen/Db------------- abychom/aby|být/J,-------------|Vc-P---1----I-- uchránili/uchránit/VpMP----R-AAP-- city/cit/NNIP4-----A----";"Pekelníků/pekelník/NNMP2-----A---- ?/?/Z:-------------"
"15";"Vždycky/vždy/Db------------- k/k/RR--3---------- tomu/ten/PDIS3---------- nástroji/nástroj/NNIS3-----A----";"choval/chovat/VpMS----R-AAI-- hluboké/hluboký/AAIP4----1A---- city/cit/NNIP4-----A----";",/,/Z:------------- ale/ale/J^------------- takhle/takhle/Db------------- o/o/RR--6---------- houslích/housle/NNFP6-----A---- jakživ/jakživ/ACMS------A---- neuvažoval/uvažovat/VpMS----R-NAI-- ././Z:-------------"
"16";"On/on/PPMS1--3------- se/se/P7--4---------- choval/chovat/VpMS----R-AAI-- podobně/podobně/Dg-------1A---- ,/,/Z:------------- ale/ale/J^------------- každopádně/každopádně/Db------------- k/k/RR--3---------- ní/on/P5FS3--3------- pořád/pořád/Db-------------";"chová/chovat/VB-S---3P-AAI-- city/cit/NNIP4-----A----";"././Z:-------------"
"17";"""/""/Z:------------- Neříkám/říkat/VB-S---1P-NAI-- to/ten/PDNS4---------- proto/proto/Db------------- ,/,/Z:------------- že/že/J,------------- jste/být/VB-P---2P-AAI-- se/se/P7--4---------- vůči/vůči/RR--3---------- mně/já/PP-S3--1-------";"choval/chovat/VpMS----R-AAI-- odmítavě/odmítavě/Dg-------1A---- a/a/J^------------- hluboce/hluboce/Dg-------1A---- jste/být/VB-P---2P-AAI-- ranil/ranit/VpMS----R-AAP-- mé/můj/PSIP4-S1------1 city/cit/NNIP4-----A----";"././Z:-------------"
"18";"Jenny/Jenny/NNFS1-----A---- připadala/připadat/VpFS----R-AAI-- celá/celý/AAFS1----1A---- záležitost/záležitost/NNFS1-----A---- nesmírně/nesmírně/Dg-------1A---- absurdní/absurdní/AAFS1----1A---- -/-/Z:------------- a/a/J^------------- navíc/navíc/Db------------- zjistila/zjistit/VpFS----R-AAP-- ,/,/Z:------------- že/že/J,------------- vůči/vůči/RR--3---------- opatřením/opatření/NNNP3-----A---- svých/svůj/P8MP2---------- rodičů/rodič/NNMP2-----A----";"chová/chovat/VB-S---3P-AAI-- nesmírně/nesmírně/Dg-------1A---- obojaké/obojaký/AAIP4----1A---- city/cit/NNIP4-----A----";"-/-/Z0------------- ,/,/Z:------------- a/a/J^------------- tak/tak/J^------------- téměř/téměř/Db------------- ani/ani/J^------------- neprotestovala/protestovat/VpFS----R-NAI-- ././Z:-------------"
