id;left;kwic;right;VNP?;doc.txtype_group
1;Někteří/některý/PZMP1---------- hráči/hráč/NNMP1-----A---- vůči/vůči/RR--3---------- vám/vy/PP-P3--2------- údajně/údajně/Dg-------1A----;chovali/chovat/VpMP----R-AAI-- či/či/J^------------- chovají/chovat/VB-P---3P-AAI-- až/až/TT------------- despekt/despekt/NNIS4-----A----;"s/s/RR--7---------- ohledem/ohled/NNIS7-----A---- na/na/RR--4---------- vaši/váš/PSFS4-P2------- stoprocentní/stoprocentní/AAFS4----1A---- profesionalitu/profesionalita/NNFS4-----A---- ././Z0------------- v/v/RR--6---------- Česku/Česko/NNNS6-----A---- se/se/P7--4---------- přece/přece/TT------------- vždycky/vždy/Db------------- částečně/částečně/Dg-------1A---- improvizovalo/improvizovat/VpNS----R-AAB-- podle/podle/RR--2---------- hesla/heslo/NNNS2-----A---- „/""/Z:------------- nějak/nějak/Db------------- to/ten/PDNS1---------- dopadne/dopadnout/VB-S---3P-AAP-- “/""/Z:------------- ././Z:-------------";1;NMG: publicistika
2;Proč/proč/Db------------- v/v/RR--6---------- roce/rok/NNIS6-----A---1 2020/2020/C=------------- stavíme/stavět/VB-P---1P-AAI-- pomník/pomník/NNIS4-----A---- Marii/Marie/NNFS3-----A---- Terezii/Terezie/NNFS3-----A---- ,/,/Z:------------- královně/královna/NNFS3-----A---- ,/,/Z:------------- jež/jenž/PJFS1----------;chovala/chovat/VpFS----R-AAI-- despekt/despekt/NNIS4-----A----;ke/ke/RV--3---------- svatováclavské/svatováclavský/AAFS3----1A---- koruně/koruna/NNFS3-----A---- ?/?/Z:-------------;1;NMG: publicistika
3;Proč/proč/Db------------- v/v/RR--6---------- roce/rok/NNIS6-----A---1 2020/2020/C=------------- stavíme/stavět/VB-P---1P-AAI-- pomník/pomník/NNIS4-----A---- královně/královna/NNFS3-----A---- ,/,/Z:------------- jež/jenž/PJFS1----------;chovala/chovat/VpFS----R-AAI-- despekt/despekt/NNIS4-----A----;ke/ke/RV--3---------- svatováclavské/svatováclavský/AAFS3----1A---- koruně/koruna/NNFS3-----A---- ,/,/Z:------------- která/který/P4FS1---------- byla/být/VpFS----R-AAI-- a/a/J^------------- je/být/VB-S---3P-AAI-- pokládána/pokládat/VsFS------API-- za/za/RR--4---------- symbol/symbol/NNIS4-----A---- českého/český/AAIS2----1A---- státu/stát/NNIS2-----A---- –/-/Z:------------- a/a/J^------------- kterou/který/P4FS4---------- ještě/ještě/Db------------- sto/sto/CzNS4---------- let/léta/NNNP2-----A---- po/po/RR--6---------- vzniku/vznik/NNIS6-----A---- republiky/republika/NNFS2-----A---- periodicky/periodicky/Dg-------1A---- adorujeme/adorovat/VB-P---1P-AAI-- jako/jako/J,------------- nějakou/nějaký/PZFS4---------- svátost/svátost/NNFS4-----A---- v/v/RR--6---------- nekonečných/nekonečný/AAFP6----1N---- frontách/fronta/NNFP6-----A---- ?/?/Z:-------------;1;NMG: publicistika
4;K/k/RR--3---------- zelňačkám/zelňačka/NNFP3-----A---- odjinud/odjinud/Db-------------;chováme/chovat/VB-P---1P-AAI-- od/od/RR--2---------- pradávna/pradávna/ACNS2-----A---- despekt/despekt/NNIS4-----A----;././Z:-------------;1;NMG: publicistika
5;Myslím/myslet/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- jsme/být/VB-P---1P-AAI-- jí/on/PPFS3--3------- do/do/RR--2---------- výběru/výběr/NNIS2-----A---- povolání/povolání/NNNS2-----A---- nemluvili/mluvit/VpMP----R-NAI-- ,/,/Z:------------- ale/ale/J^------------- ani/ani/J^------------- já/já/PP-S1--1------- ,/,/Z:------------- ani/ani/J^------------- žena/žena/NNFS1-----A---- jsme/být/VB-P---1P-AAI-- k/k/RR--3---------- učitelům/učitel/NNMP3-----A----;nechovali/chovat/VpMP----R-NAI-- žádný/žádný/PWIS4---------- despekt/despekt/NNIS4-----A----;././Z:-------------;1;NFC: oborová literatura
6;Celá/celý/AAFS1----1A---- tradiční/tradiční/AAFS1----1A---- společnost/společnost/NNFS1-----A---- tedy/tedy/TT-------------;chová/chovat/VB-S---3P-AAI-- jistý/jistý/AAIS4----1A---- despekt/despekt/NNIS4-----A----;"vůči/vůči/RR--3---------- fyzické/fyzický/AAFS3----1A---- práci/práce/NNFS3-----A---- ,/,/Z:------------- bez/bez/RR--2---------- níž/jenž/P9FS2---------- se/se/P7--4---------- ovšem/ovšem/TT------------- nemůže/moci/VB-S---3P-NAI-- obejít/obejít/Vf--------A-P-- (/(/Z:------------- jak/jak/Db------------- říká/říkat/VB-S---3P-AAI-- Jacques/Jacques/NNMS1-----A---- le/le/F%------------- Goff/Goff/NNMS1-----A---- ,/,/Z:------------- „/""/Z:------------- středověká/středověký/AAFS1----1A---- společnost/společnost/NNFS1-----A---- byla/být/VpFS----R-AAI-- společností/společnost/NNFS7-----A---- hladu/hlad/NNIS2-----A---- “/""/Z:------------- )/)/Z:------------- ,/,/Z:------------- zároveň/zároveň/Db------------- je/být/VB-S---3P-AAI-- však/však/J^------------- prodchnuta/prodchnout/VsFS------APP-- nenávistí/nenávist/NNFS7-----A---- k/k/RR--3---------- obohacování/obohacování/NNNS3-----A---- ,/,/Z:------------- k/k/RR--3---------- žádostivosti/žádostivost/NNFS3-----A---- a/a/J^------------- chtivosti/chtivost/NNFS3-----A---- ,/,/Z:------------- spojené/spojený/AAFS3----1A---- zejména/zejména/TT------------- s/s/RR--7---------- lichvou/lichva/NNFS7-----A---- ././Z:-------------";1;NFC: oborová literatura
7;"""/""/Z:------------- Pět/pět/Cn-S4---------- let/rok/NNNP2-----A---- za/za/RR--7---------- mnou/já/PP-S7--1------- chodil/chodit/VpMS----R-AAI-- každý/každý/PLIS4---------- druhý/druhý/CrIS4---------- den/den/NNIS4-----A---- ,/,/Z:------------- dvakrát/dvakrát/Cv------------- týdně/týdně/Db------------- u/u/RR--2---------- mě/já/PH-S2--1------- zůstával/zůstávat/VpMS----R-AAI-- přes/přes/RR--4---------- noc/noc/NNFS4-----A---- ,/,/Z:------------- pět/pět/Cn-S4---------- let/rok/NNNP2-----A---- se/se/P7--4---------- ke/k/RV--3---------- mně/já/PP-S3--1-------";choval/chovat/VpMS----R-AAI-- nejen/nejen/Db------------- jako/jako/J,------------- pozorný/pozorný/AAMS1----1A---- milenec/milenec/NNMS1-----A---- ,/,/Z:------------- ale/ale/J^------------- i/i/J^------------- jako/jako/J,------------- dobrý/dobrý/AAMS1----1A---- kamarád/kamarád/NNMS1-----A---- ,/,/Z:------------- pět/pět/Cn-S4---------- let/rok/NNNP2-----A---- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- v/v/RR--6---------- něm/on/P5MS6--3------- suplovala/suplovat/VpFS----R-AAI-- otce/otec/NNMS4-----A---- ,/,/Z:------------- ke/k/RV--3---------- kterému/který/P4MS3---------- jsem/být/VB-S---1P-AAI-- nikdy/nikdy/Db------------- správný/správný/AAIS4----1A---- vztah/vztah/NNIS4-----A---- neměla/mít/VpFS----R-NAI-- ,/,/Z:------------- protože/protože/J,------------- namísto/namísto/RR--2---------- autority/autorita/NNFS2-----A---- nabuzoval/nabuzovat/VpMS----R-AAI-- spíš/spíš/TT------------- můj/můj/PSIS4-S1------- despekt/despekt/NNIS4-----A----;.../.../Z:-------------;0;FIC: beletrie
8;Někteří/některý/PZMP1---------- hráči/hráč/NNMP1-----A---- vůči/vůči/RR--3---------- vám/vy/PP-P3--2------- údajně/údajně/Dg-------1A---- chovali/chovat/VpMP----R-AAI-- či/či/J^-------------;chovají/chovat/VB-P---3P-AAI-- až/až/TT------------- despekt/despekt/NNIS4-----A----;"s/s/RR--7---------- ohledem/ohled/NNIS7-----A---- na/na/RR--4---------- vaši/váš/PSFS4-P2------- stoprocentní/stoprocentní/AAFS4----1A---- profesionalitu/profesionalita/NNFS4-----A---- ././Z0------------- v/v/RR--6---------- Česku/Česko/NNNS6-----A---- se/se/P7--4---------- přece/přece/TT------------- vždycky/vždy/Db------------- částečně/částečně/Dg-------1A---- improvizovalo/improvizovat/VpNS----R-AAB-- podle/podle/RR--2---------- hesla/heslo/NNNS2-----A---- „/""/Z:------------- nějak/nějak/Db------------- to/ten/PDNS1---------- dopadne/dopadnout/VB-S---3P-AAP-- “/""/Z:------------- ././Z:-------------";1;TODO empty
9;Obdivuje/obdivovat/VB-S---3P-AAI-- -/-/Z0------------- li/li/J,------------- J/J/BN------------- ././Z0------------- Leschtina/Leschtina/NNMS1-----A---- ,/,/Z:------------- že/že/J,------------- Macek/Macek/NNMS1-----A---- se/se/P7--4----------;choval/chovat/VpMS----R-AAI-- jako/jako/J,------------- právní/právní/AAMS1----1A---- revolucionář/revolucionář/NNMS1-----A---- ,/,/Z:------------- šíří/šířit/VB-S---3P-AAI-- tak/tak/Db------------- despekt/despekt/NNIS4-----A----;k/k/RR--3---------- ústavním/ústavní/AAFP3----1A---- institucím/instituce/NNFP3-----A---- ././Z:-------------;0;NMG: publicistika
10;JAN/Jan/NNMS1-----A---- :/:/Z:------------- Já/já/PP-S1--1------- mám/mít/VB-S---1P-AAI-- omluvu/omluva/NNFS4-----A---- ,/,/Z:-------------;chovám/chovat/VB-S---1P-AAI-- totiž/totiž/TT------------- despekt/despekt/NNIS4-----A----;ke/k/RV--3---------- vzdělání/vzdělání/NNNS3-----A---- díky/díky/RR--3---------- otci/otec/NNMS3-----A---- ,/,/Z:------------- který/který/P4MS1---------- vždycky/vždy/Db------------- prohlašoval/prohlašovat/VpMS----R-AAI-- :/:/Z:------------- Vždyť/vždyť/J^------------- ony/onen/PDFP1---------- ty/ten/PDFP1---------- vysoké/vysoký/AAFP1----1A---- školy/škola/NNFP1-----A---- nejsou/být/VB-P---3P-NAI-- zase/zase/Db------------- tak/tak/Db------------- vysoké/vysoký/AAFP1----1A---- .../.../Z:-------------;1;NMG: publicistika
