id;left;kwic;right;VNP?;doc.txtype_group
1;Teprve/teprve/Db------------- když/když/J,------------- ke/k/RV--3---------- mně/já/PP-S3--1------- nabyl/nabýt/VpMS----R-AAP--;důvěru/důvěra/NNFS4-----A---- ,/,/Z:------------- choval/chovat/VpMS----R-AAI--;se/se/P7--4---------- nenuceně/nenuceně/Dg-------1A---- ,/,/Z:------------- přirozeně/přirozeně/Dg-------1A---- ,/,/Z:------------- roztomile/roztomile/Dg-------1A---- ././Z:-------------;0;NMG: publicistika
2;Pokud/pokud/J,------------- vybereme/vybrat/VB-P---1P-AAP-- člověka/člověk/NNMS4-----A---- ,/,/Z:------------- k/k/RR--3---------- němuž/jenž/P9MS3---------- nemá/mít/VB-S---3P-NAI-- koučovaný/koučovaný/AAMS1----1A----;důvěru/důvěra/NNFS4-----A---- nebo/nebo/J^------------- dokonce/dokonce/TT------------- vůči/vůči/RR--3---------- němu/on/P5MS3--3------- chová/chovat/VB-S---3P-AAI--;jisté/jistý/AAFP4----1A---- antipatie/antipatie/NNFP4-----A---- ,/,/Z:------------- již/jenž/PJFS4---------- předem/předem/Db------------- snižujeme/snižovat/VB-P---1P-AAI-- šance/šance/NNFP4-----A---- koučování/koučování/NNNS2-----A---- na/na/RR--4---------- úspěch/úspěch/NNIS4-----A---- ././Z:-------------;0;NFC: oborová literatura
3;Svou/svůj/P8FS4---------1;"důvěru/důvěra/NNFS4-----A---- jste/být/VB-P---2P-AAI-- vládě/vláda/NNFS3-----A---- nedali/dát/VpMP----R-NAP-- ;/;/Z:------------- jak/jak/Db------------- se/se/P7--4---------- vůči/vůči/RR--3---------- ní/on/P5FS3--3------- budete/být/VB-P---2F-AAI-- chovat/chovat/Vf--------A-I--";dál/dál/Db------------- ?/?/Z:-------------;0;NMG: publicistika
4;"„/""/Z:------------- Dlouhodobé/dlouhodobý/AAIP1----1A---- vztahy/vztah/NNIP1-----A---- jsou/být/VB-P---3P-AAI-- založeny/založit/VsIP------APP-- na/na/RR--6---------- vyšších/vysoký/AAFP6----2A---- hodnotách/hodnota/NNFP6-----A---- ,/,/Z:------------- například/například/TT------------- na/na/RR--6---------- zodpovědnosti/zodpovědnost/NNFS6-----A---- a/a/J^------------- morálních/morální/AAFP6----1A---- zásadách/zásada/NNFP6-----A---- ,/,/Z:------------- Pokud/pokud/J,------------- spolu/spolu/Db------------- mají/mít/VB-P---3P-AAI-- lidé/člověk/NNMP1-----A---- vytvořit/vytvořit/Vf--------A-P-- pevný/pevný/AAIS4----1A---- vztah/vztah/NNIS4-----A---- a/a/J^------------- mají/mít/VB-P---3P-AAI-- založit/založit/Vf--------A-P-- rodinu/rodina/NNFS4-----A---- ,/,/Z:------------- je/být/VB-S---3P-AAI-- zapotřebí/zapotřebí/Db------------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- k/k/RR--3---------- sobě/se/P6--3---------- měli/mít/VpMP----R-AAI--";důvěru/důvěra/NNFS4-----A---- ,/,/Z:------------- byli/být/VpMP----R-AAI-- k/k/RR--3---------- sobě/se/P6--3---------- tolerantní/tolerantní/AAMP1----1A---- ,/,/Z:------------- chovali/chovat/VpMP----R-AAI--;k/k/RR--3---------- sobě/se/P6--3---------- navzájem/navzájem/Db------------- úctu/úcta/NNFS4-----A---- a/a/J^------------- pochopení/pochopení/NNNS4-----A---- ././Z:-------------;0;NMG: publicistika
5;Neměl/mít/VpMS----R-NAI--;důvěru/důvěra/NNFS4-----A---- ke/k/RV--3---------- smyslnému/smyslný/AAIS3----1A---- typu/typ/NNIS3-----A---- ,/,/Z:------------- k/k/RR--3---------- těm/ten/PDIP3---------- ,/,/Z:------------- co/co/J,------------- vypadaly/vypadat/VpIP----R-AAI-- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- samou/samý/PLFS7---------- vášní/vášeň/NNFS7-----A---- spolkly/spolknout/VpFP----R-AAP-1 i/i/J^------------- syrového/syrový/AAMS4----1A---- kajmana/kajman/NNMS4-----A---- ,/,/Z:------------- a/a/J^------------- v/v/RR--6---------- posteli/postel/NNFS6-----A---- se/se/P7--4---------- pak/pak/Db------------- obvykle/obvykle/Dg-------1A---- chovaly/chovat/VpIP----R-AAI--;ze/z/RV--2---------- všech/všechen/PLMP2---------- nejtrpněji/trpně/Dg-------3A---- ././Z:-------------;0;FIC: beletrie
6;Carlos/Carlos/NNMS1-----A---- nikdy/nikdy/Db------------- nekomentoval/komentovat/VpMS----R-NAB-- její/její/PSFS4FS3------- váhu/váha/NNFS4-----A---- ,/,/Z:------------- ale/ale/J^------------- fakt/fakt/NNIS1-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- mu/on/PHMS3--3------- líbila/líbit/VpFS----R-AAI-- hned/hned/Db------------- od/od/RR--2---------- začátku/začátek/NNIS2-----A---- ,/,/Z:------------- když/když/J,------------- byla/být/VpFS----R-AAI-- ještě/ještě/Db------------- baculatá/baculatý/AAFS1----1A---- -/-/Z:------------- že/že/J,------------- si/se/P7--3---------- ji/on/PPFS4--3------- vybral/vybrat/VpMS----R-AAP-- a/a/J^------------- že/že/J,------------- se/se/P7--4---------- s/s/RR--7---------- ní/on/P5FS7--3------- miloval/milovat/VpMS----R-AAI-- -/-/Z:------------- utvrdil/utvrdit/VpMS----R-AAP--;důvěru/důvěra/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- k/k/RR--3---------- němu/on/P5MS3--3------- chovala/chovat/VpFS----R-AAI--;././Z:-------------;0;FIC: beletrie
7;Nemám/mít/VB-S---1P-NAI-- nejmenší/malý/AAFS4----3A----;důvěru/důvěra/NNFS4-----A---- k/k/RR--3---------- lidem/člověk/NNMP3-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--;,/,/Z:------------- jako/jako/J,------------- by/být/Vc----------I-- neměli/mít/VpMP----R-NAI-- žádnou/žádný/PWFS4---------- slabou/slabý/AAFS4----1A---- stránku/stránka/NNFS4-----A---- ././Z:-------------;0;FIC: beletrie
8;Sousedé/soused/NNMP1-----A---- si/se/P7--3---------- toho/ten/PDNS2---------- všímají/všímat/VB-P---3P-AAI-- ,/,/Z:------------- ztrácejí/ztrácet/VB-P---3P-AAI-- k/k/RR--3---------- nám/my/PP-P3--1-------;důvěru/důvěra/NNFS4-----A---- a/a/J^------------- podle/podle/RR--2---------- toho/ten/PDNS2---------- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--;././Z:-------------;0;NMG: publicistika
9;Prozatím/prozatím/Db------------- je/oni/PPFP4--3------- nechal/nechat/VpMS----R-AAP-- u/u/RR--2---------- jejich/jejich/PSMS2-P3------- bývalého/bývalý/AAMS2----1A---- majitele/majitel/NNMS2-----A---- a/a/J^------------- s/s/RR--7---------- úsměvem/úsměv/NNIS7-----A---- dodal/dodat/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- tím/ten/PDNS7---------- mu/on/PHMS3--3------- snad/snad/TT------------- dokázal/dokázat/VpMS----R-AAP-- ,/,/Z:------------- jakou/jaký/P4FS4----------;důvěru/důvěra/NNFS4-----A---- chová/chovat/VB-S---3P-AAI--;v/v/RR--4---------- názor/názor/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- Francouzi/Francouz/NNMP1-----A---- ani/ani/J^------------- Poitevanští/Poitevanští/X@------------- oblast/oblast/NNFS4-----A---- nevyplení/vyplenit/VB-P---3P-NAP-- ././Z:-------------;1;FIC: beletrie
10;Je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- samozřejmě/samozřejmě/TT------------- iluzorní/iluzorní/AANS1----1A---- ,/,/Z:------------- ale/ale/J^------------- každé/každý/PLNS1---------- politické/politický/AANS1----1A---- šapitó/šapitó/NNNS1-----A---- by/být/Vc----------I-- mohlo/moci/VpNS----R-AAI-- mít/mít/Vf--------A-I-- svého/svůj/P8MS4---------- krotitele/krotitel/NNMS4-----A---- ,/,/Z:------------- který/který/P4MS1---------- by/být/Vc----------I-- sem/sem/Db------------- tam/tam/Db------------- zapráskal/zapráskat/VpMS----R-AAP-- bičem/bič/NNIS7-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- si/se/P7--3---------- politici/politik/NNMP1-----A---- uvědomili/uvědomit/VpMP----R-AAP-- ,/,/Z:------------- že/že/J,------------- jsme/být/VB-P---1P-AAI-- jim/oni/PPMP3--3------- dali/dát/VpMP----R-AAP--;důvěru/důvěra/NNFS4-----A---- a/a/J^------------- očekáváme/očekávat/VB-P---1P-AAI-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- budou/být/VB-P---3F-AAI-- chovat/chovat/Vf--------A-I--;korektně/korektně/Dg-------1A---- a/a/J^------------- jednat/jednat/Vf--------A-I-- v/v/RR--6---------- zájmu/zájem/NNIS6-----A---- nás/my/PP-P2--1------- všech/všechen/PLMP2---------- ,/,/Z:------------- tak/tak/J^------------- jak/jak/Db------------- hlásají/hlásat/VB-P---3P-AAI-- jejich/jejich/PSFP1-P3------- předvolební/předvolební/AAFP1----1A---- proklamace/proklamace/NNFP1-----A---- ././Z:-------------;0;NMG: publicistika
11;Tuto/tento/PDFS4----------;důvěru/důvěra/NNFS4-----A---- ale/ale/J^------------- nelze/lze/Db--------N---- chápat/chápat/Vf--------A-I-- jen/jen/Db------------- v/v/RR--6---------- nějakém/nějaký/PZIS6---------- omezeně/omezeně/Dg-------1A---- politickém/politický/AAIS6----1A---- a/a/J^------------- účelovém/účelový/AAIS6----1A---- smyslu/smysl/NNIS6-----A---- nebo/nebo/J^------------- jako/jako/J,------------- slepou/slepý/AAFS4----1A---- víru/víra/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- druzí/druhý/CrMP1---------- se/se/P7--4---------- budou/být/VB-P---3F-AAI-- chovat/chovat/Vf--------A-I--;tak/tak/Db------------- ,/,/Z:------------- jak/jak/Db------------- říkají/říkat/VB-P---3P-AAI-- ././Z:-------------;0;NMG: publicistika
12;Potvrdily/potvrdit/VpFP----R-AAP--;důvěru/důvěra/NNFS4-----A---- ,/,/Z:------------- již/jenž/PJFS4---------- chová/chovat/VB-S---3P-AAI--;"lid/lid/NNIS4-----A---- k/k/RR--3---------- vedoucí/vedoucí/AGFS3-----A---- síle/síla/NNFS3-----A---- společnosti/společnost/NNFS2-----A---- ,/,/Z:------------- Komunistické/komunistický/AAFS3----1A---- straně/strana/NNFS3-----A---- Československa/Československo/NNNS2-----A---- (/(/Z:------------- KSČ/KSČ/BN------------- )/)/Z:------------- ,/,/Z:------------- která/který/P4FS1---------- věrně/věrně/Dg-------1A---- slouží/sloužit/VB-S---3P-AAI-- pracujícímu/pracující/AGIS3-----A---- lidu/lid/NNIS3-----A---- ././Z:------------- ""/""/Z:------------- -/-/Z:------------- stálo/stát/VpNS----R-AAI-- mimo/mimo/RR--4---------- jiné/jiný/AANS4----1A---- v/v/RR--6---------- úvodníku/úvodník/NNIS6-----A---- Rozkvětu/rozkvět/NNIS2-----A---- ,/,/Z:------------- týdeníku/týdeník/NNIS2-----A---- Okresního/okresní/AAIS2----1A---- výboru/výbor/NNIS2-----A---- KSČ/KSČ/BN------------- a/a/J^------------- Okresního/okresní/AAIS2----1A---- národního/národní/AAIS2----1A---- výboru/výbor/NNIS2-----A---- vNovémJičíně/vNovémJičíně/X@------------- ././Z:-------------";3;NMG: publicistika
13;"„/""/Z:------------- Já/já/PP-S1--1------- zmíním/zmínit/VB-S---1P-AAP-- i/i/J^------------- vzájemnou/vzájemný/AAFS4----1A----";důvěru/důvěra/NNFS4-----A---- a/a/J^------------- to/ten/PDNS4---------- ,/,/Z:------------- abychom/aby|být/J,-------------|Vc-P---1----I-- se/se/P7--4---------- k/k/RR--3---------- sobě/se/P6--3---------- v/v/RR--6---------- negativním/negativní/AAIS6----1A---- i/i/J^------------- pozitivním/pozitivní/AAIS6----1A---- smyslu/smysl/NNIS6-----A---- chovali/chovat/VpMP----R-AAI--;otevřeně/otevřeně/Dg-------1A---- ././Z:-------------;0;NMG: publicistika
14;2/2/C=------------- ././Z0------------- Charismatičtí/charismatický/AAMP1----1A---- vůdcové/vůdce/NNMP1-----A---1 –/-/Z:------------- po/po/RR--6---------- většině/většina/NNFS6-----A---- stránek/stránka/NNFP2-----A---- Mají/mít/VB-P---3P-AAI-- velmi/velmi/Db------------- silné/silný/AANS4----1A---- charisma/charisma/NNNS4-----A---- ,/,/Z:------------- které/který/P4NS1---------- z/z/RR--2---------- nich/oni/P5MP2--3------- vyzařuje/vyzařovat/VB-S---3P-AAI-- ,/,/Z:------------- určují/určovat/VB-P---3P-AAI-- směr/směr/NNIS4-----A---- vývoje/vývoj/NNIS2-----A---- ,/,/Z:------------- mají/mít/VB-P---3P-AAI-- silné/silný/AAFP4----1A---- vize/vize/NNFP4-----A---- ,/,/Z:------------- dokážou/dokázat/VB-P---3P-AAP-- osobně/osobně/Dg-------1A---- nadchnout/nadchnout/Vf--------A-P-- ,/,/Z:------------- ostatní/ostatní/AAMP1----1A---- k/k/RR--3---------- nim/oni/P5FP3--3------- vzhlížejí/vzhlížet/VB-P---3P-AAI-- s/s/RR--7---------- úctou/úcta/NNFS7-----A---- a/a/J^------------- láskou/láska/NNFS7-----A---- ,/,/Z:------------- mají/mít/VB-P---3P-AAI-- obrovskou/obrovský/AAFS4----1A----;důvěru/důvěra/NNFS4-----A---- v/v/RR--4---------- sebe/se/P6--4---------- sama/sám/PLMS4---------- ,/,/Z:------------- mají/mít/VB-P---3P-AAI-- obrovskou/obrovský/AAFS4----1A---- důvěru/důvěra/NNFS4-----A---- lidí/člověk/NNMP2-----A---- ,/,/Z:------------- jsou/být/VB-P---3P-AAI-- inspirativní/inspirativní/AAMP1----1A---- ,/,/Z:------------- umějí/umět/VB-P---3P-AAI-- prohrávat/prohrávat/Vf--------A-I-- a/a/J^------------- znovu/znovu/Db------------- začínat/začínat/Vf--------A-I-- ,/,/Z:------------- lidé/člověk/NNMP1-----A---- za/za/RR--7---------- nimi/oni/P5MP7--3------- jdou/jít/VB-P---3P-AAI-- ,/,/Z:------------- milují/milovat/VB-P---3P-AAI-- je/oni/PPFP4--3------- ,/,/Z:------------- chovají/chovat/VB-P---3P-AAI--;k/k/RR--3---------- nim/oni/P5MP3--3------- úctu/úcta/NNFS4-----A---- a/a/J^------------- bázeň/bázeň/NNFS4-----A---- ,/,/Z:------------- dávají/dávat/VB-P---3P-AAI-- práci/práce/NNFS3-----A---- vyšší/vysoký/AAIS4----2A---- smysl/smysl/NNIS4-----A---- ,/,/Z:------------- působí/působit/VB-P---3P-AAI-- na/na/RR--4---------- lidi/člověk/NNMP4-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- své/svůj/P8IP4---------1 osobní/osobní/AAIP4----1A---- zájmy/zájem/NNIP4-----A---- převedli/převést/VpMP----R-AAP-- na/na/RR--4---------- zájmy/zájem/NNIP4-----A---- organizace/organizace/NNFS2-----A---- ,/,/Z:------------- používají/používat/VB-P---3P-AAI-- intelektuální/intelektuální/AAFS4----1A---- stimulaci/stimulace/NNFS4-----A---- ,/,/Z:------------- vedou/vést/VB-P---3P-AAI-- lidi/člověk/NNMP4-----A---- k/k/RR--3---------- neustálému/neustálý/AAIS3----1A---- růstu/růst/NNIS3-----A---- a/a/J^------------- zdokonalování/zdokonalování/NNNS3-----A---- ,/,/Z:------------- k/k/RR--3---------- uspokojování/uspokojování/NNNS3-----A---- vyšších/vysoký/AAFP2----2A---- potřeb/potřeba/NNFP2-----A---- –/-/Z:------------- umějí/umět/VB-P---3P-AAI-- využívat/využívat/Vf--------A-I-- city/cit/NNIP4-----A---- pro/pro/RR--4---------- cíle/cíl/NNIP4-----A---- organizace/organizace/NNFS2-----A---- ,/,/Z:------------- používají/používat/VB-P---3P-AAI-- transformační/transformační/AANS4----1A----;0;NFC: oborová literatura
15;Prohlásil/prohlásit/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- Biblicum/Biblicum/X@------------- má/mít/VB-S---3P-AAI-- jeho/jeho/PSFS4-S3------- nejvyšší/vysoký/AAFS4----3A----;důvěru/důvěra/NNFS4-----A---- ,/,/Z:------------- přiměl/přimět/VpMS----R-AAP-- kardinála/kardinál/NNMS4-----A---- Giuseppe/Giuseppe/NNMS4-----A---- Pizzarda/Pizzarda/X@------------- ,/,/Z:------------- který/který/P4MS1---------- tahal/tahat/VpMS----R-AAI-- za/za/RR--4---------- drátky/drátek/NNIP4-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- Beovi/Beovi/X@------------- omluvil/omluvit/VpMS----R-AAP-- ,/,/Z:------------- a/a/J^------------- uvažoval/uvažovat/VpMS----R-AAI-- o/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- že/že/J,------------- sáhne/sáhnout/VB-S---3P-AAP-- k/k/RR--3---------- vážným/vážný/AANP3----1A---- opatřením/opatření/NNNP3-----A---- ,/,/Z:------------- pokud/pokud/J,------------- se/se/P7--4---------- konzervativci/konzervativec/NNMS3-----A---- ovládaná/ovládaný/AAFS1----1A---- biblická/biblický/AAFS1----1A---- komise/komise/NNFS1-----A---- bude/být/VB-S---3F-AAI-- i/i/J^------------- nadále/nadále/Db------------- chovat/chovat/Vf--------A-I--;tak/tak/Db------------- málo/málo/Dg-------1A---- konstruktivně/konstruktivně/Dg-------1A---- ././Z:-------------;0;NFC: oborová literatura
16;Dostálová/Dostálová/NNFS1-----A---- souhlasí/souhlasit/VB-S---3P-AAI-- s/s/RR--7---------- tím/ten/PDNS7---------- ,/,/Z:------------- že/že/J,------------- strava/strava/NNFS1-----A---- má/mít/VB-S---3P-AAI-- být/být/Vf--------A-I-- pestrá/pestrý/AAFS1----1A---- a/a/J^------------- vyvážená/vyvážený/AAFS1----1A---- ,/,/Z:------------- ale/ale/J^------------- nadměrnou/nadměrný/AAFS4----1A----;důvěru/důvěra/NNFS4-----A---- k/k/RR--3---------- různým/různý/AAFP3----1A---- výživovým/výživový/AAFP3----1A---- pyramidám/pyramida/NNFP3-----A---- nechová/chovat/VB-S---3P-NAI--;././Z:-------------;1;NFC: oborová literatura
17;V/v/RR--6---------- očích/oko/NNFP6-----A---- měl/mít/VpMS----R-AAI-- spíš/spíš/TT------------- smutek/smutek/NNIS4-----A---- než/než/J,------------- nepřátelství/nepřátelství/NNNS4-----A---- ,/,/Z:------------- jako/jako/J,------------- by/být/Vc----------I-- zklamala/zklamat/VpFS----R-AAP--;důvěru/důvěra/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- k/k/RR--3---------- ní/on/P5FS3--3------- kdysi/kdysi/Db------------- choval/chovat/VpMS----R-AAI--;././Z:-------------;3;FIC: beletrie
