id;left;kwic;right
"1";"Situaci/situace/NNFS4-----A---- na/na/RR--6---------- trzích/trh/NNIP6-----A---- se/se/P7--4---------- snažila/snažit/VpFS----R-AAI-- zklidnit/zklidnit/Vf--------A-P-- německá/německý/AAFS1----1A---- kancléřka/kancléřka/NNFS1-----A---- Angela/Angela/NNFS1-----A---- Merkelová/Merkelová/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- Rajoye/Rajoy/NNMS4-----A---- podpořila/podpořit/VpFS----R-AAP-- a/a/J^------------- prohlásila/prohlásit/VpFS----R-AAP-- ,/,/Z:------------- že/že/J,------------- k/k/RR--3---------- jeho/jeho/PSIS3-S3------- kabinetu/kabinet/NNIS3-----A---- nadále/nadále/Db-------------";"chová/chovat/VB-S---3P-AAI-- důvěru/důvěra/NNFS4-----A----";"././Z:-------------"
"2";"""/""/Z:------------- Musíme/muset/VB-P---1P-AAI-- těžké/těžký/AANS4----1A---- období/období/NNNS4-----A---- přestát/přestát/Vf--------A-P-- ,/,/Z:------------- musíme/muset/VB-P---1P-AAI-- se/se/P7--4----------";"chovat/chovat/Vf--------A-I-- tak/tak/Db------------- ,/,/Z:------------- abychom/aby|být/J,-------------|Vc-P---1----I-- získali/získat/VpMP----R-AAP-- ztracenou/ztracený/AAFS4----1A---- důvěru/důvěra/NNFS4-----A----";"zpátky/zpátky/Db------------- ././Z:-------------"
"3";"S/s/RR--7---------- Václavem/Václav/NNMS7-----A---- k/k/RR--3---------- sobě/se/P6--3----------";"chováme/chovat/VB-P---1P-AAI-- vzájemnou/vzájemný/AAFS4----1A---- důvěru/důvěra/NNFS4-----A----";",/,/Z:------------- neuděláme/udělat/VB-P---1P-NAP-- si/se/P7--3---------- žádnou/žádný/PWFS4---------- podpásovku/podpásovka/NNFS4-----A---- ././Z:-------------"
"4";"Když/když/J,------------- ječíte/ječet/VB-P---2P-AAI-- a/a/J^------------- bezhlavě/bezhlavě/Dg-------1A---- škubete/škubat/VB-P---2P-AAI-1 vodítkem/vodítko/NNNS7-----A---- ,/,/Z:-------------";"chováte/chovat/VB-P---2P-AAI-- se/se/P7--4---------- jako/jako/J,------------- nezvladatelný/zvladatelný/AAMS1----1N---- zuřící/zuřící/AGMS1-----A---- šílenec/šílenec/NNMS1-----A---- –/-/Z:------------- někdo/někdo/PZM-1---------- ,/,/Z:------------- k/k/RR--3---------- němuž/jenž/P9MS3---------- nelze/lze/Db--------N---- mít/mít/Vf--------A-I-- důvěru/důvěra/NNFS4-----A----";"–/-/Z:------------- a/a/J^------------- pes/pes/NNMS1-----A---- se/se/P7--4---------- z/z/RR--2---------- vás/vy/PP-P2--2------- naučí/naučit/VB-S---3P-AAP-- mít/mít/Vf--------A-I-- strach/strach/NNIS4-----A---- ././Z:-------------"
"5";"Ví/vědět/VB-S---3P-AAI-- totiž/totiž/TT------------- ,/,/Z:------------- že/že/J,------------- k/k/RR--3---------- ní/on/P5FS3--3------- Robert/Robert/NNMS1-----A----";"chová/chovat/VB-S---3P-AAI-- opravdovou/opravdový/AAFS4----1A---- důvěru/důvěra/NNFS4-----A----";"././Z:-------------"
"6";"Na/na/RR--4---------- rozdíl/rozdíl/NNIS4-----A---- od/od/RR--2---------- velkých/velký/AANP2----1A---- tryskových/tryskový/AANP2----1A---- letadel/letadlo/NNNP2-----A----";"nechovala/chovat/VpFS----R-NAI-- k/k/RR--3---------- těm/ten/PDFP3---------- malým/malý/AAMP3----1A---- důvěru/důvěra/NNFS4-----A----";"././Z:-------------"
"7";"Copak/copak/TT------------- může/moci/VB-S---3P-AAI-- člověk/člověk/NNMS1-----A----";"chovat/chovat/Vf--------A-I-- důvěru/důvěra/NNFS4-----A----";",/,/Z:------------- jakou/jaký/P4FS4---------- on/on/PPMS1--3------- projevil/projevit/VpMS----R-AAP-- mně/já/PP-S3--1------- ,/,/Z:------------- k/k/RR--3---------- někomu/někdo/PZM-3---------- ,/,/Z:------------- koho/kdo/PKM-4---------- si/se/P7--3---------- vůbec/vůbec/TT------------- neváží/vážit/VB-S---3P-NAI-- ?/?/Z:-------------"
"8";"Dalšími/další/AAMP7----1A---- přáteli/přítel/NNMP7-----A---- ,/,/Z:------------- ke/k/RV--3---------- kterým/který/P4MP3----------";"chová/chovat/VB-S---3P-AAI-- zvláštní/zvláštní/AAFS4----1A---- důvěru/důvěra/NNFS4-----A----";",/,/Z:------------- jsou/být/VB-P---3P-AAI-- Suleyman/Suleyman/NNMS1-----A---- a/a/J^------------- jeho/jeho/PSFS1-S3------- žena/žena/NNFS1-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- žijí/žít/VB-P---3P-AAI-1 v/v/RR--6---------- blízkém/blízký/AAIS6----1A---- Mustafapasa/Mustafapasa/X@------------- ././Z:-------------"
"9";"Poněvadž/poněvadž/J,------------- tehdy/tehdy/Db------------- jsem/být/VB-S---1P-AAI-- už/už/Db------------- ke/k/RV--3---------- Quincasi/Quincasi/X@------------- Borbovi/Borbovi/X@-------------";"choval/chovat/VpMS----R-AAI-- velikou/veliký/AAFS4----1A---- důvěru/důvěra/NNFS4-----A----";",/,/Z:------------- šel/jít/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- za/za/RR--7---------- ním/on/P5MS7--3------- a/a/J^------------- svěřil/svěřit/VpMS----R-AAP-- se/se/P7--4---------- mu/on/PHMS3--3------- se/s/RV--7---------- svým/svůj/P8NS7---------- vnitřním/vnitřní/AANS7----1A---- puzením/puzení/NNNS7-----A---- stát/stát/Vf--------A-P-- se/se/P7--4---------- otcem/otec/NNMS7-----A---- ././Z:-------------"
"10";"Západní/západní/AAFP1----1A---- vlády/vláda/NNFP1-----A----";"chovají/chovat/VB-P---3P-AAI-- k/k/RR--3---------- soukromým/soukromý/AAIP3----1A---- vojenským/vojenský/AAIP3----1A---- podnikům/podnik/NNIP3-----A---- značnou/značný/AAFS4----1A---- důvěru/důvěra/NNFS4-----A----";":/:/Z:------------- tak/tak/J^------------- například/například/TT------------- o/o/RR--4---------- smlouvu/smlouva/NNFS4-----A---- mezi/mezi/RR--7---------- MPRI/MPRI/X@------------- a/a/J^------------- bosenskou/bosenský/AAFS7----1A---- federací/federace/NNFS7-----A---- se/se/P7--4---------- zasloužila/zasloužit/VpFS----R-AAP-- sama/sám/PLFS1---------- vláda/vláda/NNFS1-----A---- USA/USA/BN------------- ././Z:-------------"
