id;left;kwic;right
"1";"Po/po/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- co/co/PQ--4---------- předvedli/předvést/VpMP----R-AAP-- v/v/RR--6---------- Moskvě/Moskva/NNFS6-----A---- ,/,/Z:------------- si/se/P7--3---------- nelze/lze/Db--------N---- dělat/dělat/Vf--------A-I-- sebemenší/malý/AAFP4----1A----";"iluze/iluze/NNFP4-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- asi/asi/TT------------- chovají/chovat/VB-P---3P-AAI--";"na/na/RR--6---------- Kavkaze/Kavkaz/NNIS6-----A---- ././Z:-------------"
"2";"Jsem/být/VB-S---1P-AAI-- také/také/Db------------- člověk/člověk/NNMS1-----A---- tolerantní/tolerantní/AAMS1----1A---- a/a/J^------------- konsenzuální/konsenzuální/AAMS1----1A---- .../.../Z:------------- a/a/J^------------- myslím/myslet/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- také/také/Db------------- dost/dost/Dg-------1A---- dobře/dobře/Dg-------1A---- znám/znát/VB-S---1P-AAI-- svět/svět/NNIS4-----A---- ,/,/Z:------------- takže/takže/J,------------- nemám/mít/VB-S---1P-NAI-- žádné/žádný/PWFP4----------";"iluze/iluze/NNFP4-----A---- ani/ani/J^------------- blokace/blokace/NNFP4-----A---- ;/;/Z:------------- nechovám/chovat/VB-S---1P-NAI--";"žádné/žádný/PWFP4---------- nenávisti/nenávist/NNFP4-----A---- vůči/vůči/RR--3---------- stranám/strana/NNFP3-----A---- ani/ani/J^------------- vůči/vůči/RR--3---------- jednotlivým/jednotlivý/AAFP3----1A---- osobám/osoba/NNFP3-----A---- ,/,/Z:------------- snažím/snažit/VB-S---1P-AAI-- se/se/P7--4---------- každého/každý/PLMS4---------- posuzovat/posuzovat/Vf--------A-I-- podle/podle/RR--2---------- jeho/jeho/PSFP2-S3------- profesionálních/profesionální/AAFP2----1A---- a/a/J^------------- charakterových/charakterový/AAFP2----1A---- kvalit/kvalita/NNFP2-----A---- ,/,/Z:------------- podle/podle/RR--2---------- myšlenek/myšlenka/NNFP2-----A---- ,/,/Z:------------- s/s/RR--7---------- nimiž/jenž/P9FP7---------- přichází/přicházet/VB-S---3P-AAI-- ././Z:-------------"
"3";"A/a/J^------------- je/být/VB-S---3P-AAI-- -/-/Z0------------- li/li/J,------------- tentýž/tentýž/PDMS1---------- inzerent/inzerent/NNMS1-----A---- tam/tam/Db------------- i/i/J^------------- tady/tady/Db------------- ,/,/Z:------------- nemůžeme/moci/VB-P---1P-NAI-- si/se/P7--3---------- dělat/dělat/Vf--------A-I--";"iluze/iluze/NNFP4-----A---- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- se/se/P7--4---------- tam/tam/Db------------- choval/chovat/VpMS----R-AAI--";"jinak/jinak/Db------------- než/než/J,------------- u/u/RR--2---------- nás/my/PP-P2--1------- ././Z:-------------"
"4";"Nedělám/dělat/VB-S---1P-NAI-- si/se/P7--3---------- ale/ale/J^-------------";"iluze/iluze/NNFP4-----A---- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- se/se/P7--4---------- v/v/RR--6---------- cirkusech/cirkus/NNIP6-----A---- chovali/chovat/VpMP----R-AAI--";"ke/k/RV--3---------- zvířatům/zvíře/NNNP3-----A---- vždy/vždy/Db------------- korektně/korektně/Dg-------1A---- a/a/J^------------- poskytli/poskytnout/VpMP----R-AAP-1 jim/oni/PPMP3--3------- přiměřený/přiměřený/AAIS4----1A---- vhodný/vhodný/AAIS4----1A---- prostor/prostor/NNIS4-----A---- a/a/J^------------- stravu/strava/NNFS4-----A---- ././Z:-------------"
"5";"Nedělám/dělat/VB-S---1P-NAI-- si/se/P7--3---------- zvláštní/zvláštní/AAFP4----1A----";"iluze/iluze/NNFP4-----A---- ani/ani/J^------------- nechovám/chovat/VB-S---1P-NAI--";"přehnané/přehnaný/AAFP4----1A---- naděje/naděje/NNFP4-----A---- ,/,/Z:------------- že/že/J,------------- bych/být/Vc-S---1----I-- mohla/moci/VpFS----R-AAI-- zaujmout/zaujmout/Vf--------A-P-- čelné/čelný/AANS4----1A---- místo/místo/NNNS4-----A---- v/v/RR--6---------- jedné/jeden/ClFS6---------- z/z/RR--2---------- těch/ten/PDIP2---------- KKV/KKV/BN------------- ././Z:-------------"
"6";"Nepodložené/podložený/AANS1----1N---- nařčení/nařčení/NNNS1-----A---- mne/já/PP-S4--1------- tehdy/tehdy/Db------------- ráno/ráno/Db------------- připravilo/připravit/VpNS----R-AAP-- o/o/RR--4---------- příjemnou/příjemný/AAFS4----1A----";"iluzi/iluze/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- chová/chovat/VB-S---3P-AAI--";"-/-/Z0------------- li/li/J,------------- se/se/P7--4---------- člověk/člověk/NNMS1-----A---- důsledně/důsledně/Dg-------1A---- čestně/čestně/Dg-------1A---- ,/,/Z:------------- nikdo/nikdo/PWM-1---------- na/na/RR--4---------- něj/on/P5MS4--3------- nemůže/moci/VB-S---3P-NAI-- ././Z:-------------"
"7";"Barevný/barevný/AAIS4----1A---- atelierový/atelierový/X@------------- portrét/portrét/NNIS4-----A---- své/svůj/P8FS2---------1 ženy/žena/NNFS2-----A---- a/a/J^------------- dvou/dva/ClMP2---------- malých/malý/AAMP2----1A---- chlapců/chlapec/NNMP2-----A---- měl/mít/VpMS----R-AAI-- okatě/okatě/Dg-------1A---- vystavený/vystavený/AAIS4----1A---- ,/,/Z:------------- asi/asi/TT------------- aby/aby|být/J,-------------|Vc----------I-- rozptýlil/rozptýlit/VpIS----R-AAP-- jakékoli/jakýkoli/PZFP4---------- vysněné/vysněný/AAFP4----1A----";"iluze/iluze/NNFP4-----A---- ,/,/Z:------------- které/který/P4FP4---------- by/být/Vc----------I-- personál/personál/NNIS1-----A---- mohl/moci/VpIS----R-AAI-- chovat/chovat/Vf--------A-I--";"o/o/RR--6---------- jeho/jeho/PSFS6-S3------- použitelnosti/použitelnost/NNFS6-----A---- ././Z:-------------"
"8";"Nedělejme/dělat/Vi-P---1--N-I-- si/se/P7--3---------- ani/ani/J^-------------";"iluze/iluze/NNFP4-----A---- o/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- kolik/kolik/Ca--1---------- kritiků/kritik/NNMP2-----A---- poslanecké/poslanecký/AAFS2----1A---- nenasytnosti/nenasytnost/NNFS2-----A---- by/být/Vc----------I-- se/se/P7--4---------- v/v/RR--6---------- jejich/jejich/PSFS6-P3------- pozici/pozice/NNFS6-----A---- chovalo/chovat/VpNS----R-AAI--";"zásadověji/zásadově/Dg-------2A---- ././Z:-------------"
"9";"O/o/RR--6---------- sobě/se/P6--6---------- samém/samý/PLNS6---------- žádné/žádný/PWFP4----------";"iluze/iluze/NNFP4-----A---- neměl/mít/VpMS----R-NAI-- ,/,/Z:------------- stále/stále/Dg-------1A---- však/však/J^------------- choval/chovat/VpMS----R-AAI--";"naději/naděje/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- ze/z/RV--2---------- mě/já/PH-S2--1------- by/být/Vc----------I-- jednou/jednou/Db------------- mohlo/moci/VpNS----R-AAI-- něco/něco/PZ--4---------- být/být/Vf--------A-I-- ././Z:-------------"
"10";"V/v/RR--6---------- Biafře/Biafra/NNFS6-----A---- si/se/P7--3---------- nikdo/nikdo/PWM-1---------- nedělá/dělat/VB-S---3P-NAI--";"iluze/iluze/NNFP4-----A---- o/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- jak/jak/Db------------- by/být/Vc----------I-- se/se/P7--4---------- Biafřané/Biafřan/NNMP1-----A---- chovali/chovat/VpMP----R-AAI--";",/,/Z:------------- kdyby/kdyby|být/J,-------------|Vc----------I-- se/se/P7--4---------- válečná/válečný/AAFS1----1A---- karta/karta/NNFS1-----A---- obrátila/obrátit/VpFS----R-AAP-- a/a/J^------------- oni/oni/PPMP1--3------- získali/získat/VpMP----R-AAP-- převahu/převaha/NNFS4-----A---- nad/nad/RR--7---------- současnými/současný/AAMP7----1A---- utlačovateli/utlačovatel/NNMP7-----A---- ././Z:-------------"
