id;left;kwic;right;VNP?;doc.txtype_group
1;Když/když/J,------------- pak/pak/Db------------- přijde/přijít/VB-S---3P-AAP-- muž/muž/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- se/se/P7--4----------;chová/chovat/VB-S---3P-AAI-- jakž/jakž/Db------------- takž/takž/Db------------- galantně/galantně/Dg-------1A---- a/a/J^------------- ženě/žena/NNFS3-----A---- dodá/dodat/VB-S---3P-AAP-- iluzi/iluze/NNFS4-----A----;"opory/opora/NNFS2-----A---- ,/,/Z:------------- ona/on/PPFS1--3------- je/být/VB-S---3P-AAI-- u/u/RR--2---------- vytržení/vytržení/NNNS2-----A---- ,/,/Z:------------- přestává/přestávat/VB-S---3P-AAI-- používat/používat/Vf--------A-I-- přirozené/přirozený/AAIP4----1A---- instinkty/instinkt/NNIP4-----A---- ,/,/Z:------------- slepě/slepě/Dg-------1A---- se/se/P7--4---------- zamiluje/zamilovat/VB-S---3P-AAP-- a/a/J^------------- vzápětí/vzápětí/Db------------- porodí/porodit/VB-S---3P-AAP-- dítě/dítě/NNNS4-----A---- ././Z:------------- “/""/Z:-------------";0;NMG: publicistika
2;;Nechovám/chovat/VB-S---1P-NAI-- však/však/J^------------- iluzi/iluze/NNFS4-----A----;,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- to/ten/PDNS1---------- mohla/moci/VpFS----R-AAI-- být/být/Vf--------A-I-- vítězná/vítězný/AAFS1----1A---- válka/válka/NNFS1-----A---- a/a/J^------------- že/že/J,------------- by/být/Vc----------I-- porážka/porážka/NNFS1-----A---- stála/stát/VpFS----R-AAI-- méně/málo/Dg-------2A---- obětí/oběť/NNFP2-----A---- než/než/J,------------- kapitulace/kapitulace/NNFS1-----A---- ././Z:-------------;1;NMG: publicistika
3;Všech/všechen/PLMP2---------- ,/,/Z:------------- s/s/RR--7---------- nimiž/jenž/P9MP7---------- mám/mít/VB-S---1P-AAI-- šanci/šance/NNFS4-----A---- pracovat/pracovat/Vf--------A-I-- a/a/J^-------------;nechovají/chovat/VB-P---3P-NAI-- se/se/P7--4---------- nějak/nějak/Db------------- šíleně/šíleně/Dg-------1A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- mi/já/PH-S3--1------- zkazili/zkazit/VpMP----R-AAP-- moje/můj/PSFP4-S1------- iluze/iluze/NNFP4-----A----;././Z:-------------;0;NMG: publicistika
4;Mají/mít/VB-P---3P-AAI-- po/po/RR--6---------- této/tento/PDFS6---------- zkušenosti/zkušenost/NNFS6-----A----;chovat/chovat/Vf--------A-I-- ještě/ještě/Db------------- nějaké/nějaký/PZFP4---------- iluze/iluze/NNFP4-----A----;,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- v/v/RR--6---------- eurovolbách/eurovolba/NNFP6-----A---- rozhoduje/rozhodovat/VB-S---3P-AAI-- o/o/RR--6---------- bruselské/bruselský/AAFS6----1A---- politice/politika/NNFS6-----A---- ?/?/Z:-------------;1;NMG: publicistika
5;On/on/PPMS1--3------- dnes/dnes/Db------------- vůči/vůči/RR--3---------- lidem/člověk/NNMP3-----A---- i/i/J^------------- věcem/věc/NNFP3-----A----;nechová/chovat/VB-S---3P-NAI-- žádné/žádný/PWFP4---------- iluze/iluze/NNFP4-----A----;././Z:-------------;1;FIC: beletrie
6;Ani/ani/J^------------- jedna/jeden/ClFS1---------- strana/strana/NNFS1-----A---- ohledně/ohledně/RR--2---------- té/ten/PDFS2---------- druhé/druhý/CrFS2----------;nechová/chovat/VB-S---3P-NAI-- žádné/žádný/PWFP4---------- iluze/iluze/NNFP4-----A----;././Z:-------------;1;FIC: beletrie
7;;Chová/chovat/VB-S---3P-AAI-- se/se/P7--4---------- tak/tak/Db------------- dosud/dosud/Db------------- -/-/Z:------------- její/její/PSFS1FS3------- loajálnost/loajálnost/NNFS1-----A---- nepolevila/polevit/VpFS----R-NAP-- ani/ani/J^------------- v/v/RR--6---------- nejmenším/malý/AANS6----3A---- ,/,/Z:------------- i/i/J^------------- když/když/J,------------- jsem/být/VB-S---1P-AAI-- všechny/všechen/PLFP4---------- její/její/PSFP4FS3------- iluze/iluze/NNFP4-----A----;dokonale/dokonale/Dg-------1A---- zničil/zničit/VpMS----R-AAP-- ././Z:-------------;0;FIC: beletrie
8;Bohužel/bohužel/TT------------- ,/,/Z:------------- až/až/TT------------- příliš/příliš/Db------------- často/často/Dg-------1A---- se/se/P7--4---------- k/k/RR--3---------- mozku/mozek/NNIS3-----A----;chováme/chovat/VB-P---1P-AAI-- jako/jako/J,------------- k/k/RR--3---------- tažnému/tažný/AANS3----1A---- zvířeti/zvíře/NNNS3-----A---- ,/,/Z:------------- které/který/P4NS4---------- honíme/honit/VB-P---1P-AAI-- půl/půl/CyFS4---------- roku/rok/NNIS2-----A---1 od/od/RR--2---------- jednoho/jeden/ClIS2---------- úkolu/úkol/NNIS2-----A---- k/k/RR--3---------- druhému/druhý/CrMS3---------- ,/,/Z:------------- načež/načež/Db------------- mu/on/PHMS3--3------- dopřejeme/dopřát/VB-P---1P-AAP-- iluzi/iluze/NNFS4-----A----;týdne/týden/NNIS2-----A---- či/či/J^------------- dvou/dva/ClIP2---------- odpočinku/odpočinek/NNIS2-----A---- a/a/J^------------- hned/hned/Db------------- od/od/RR--2---------- něj/on/P5IS2--3------- zase/zase/Db------------- očekáváme/očekávat/VB-P---1P-AAI-- plný/plný/AAIS4----1A---- výkon/výkon/NNIS4-----A---- ././Z:-------------;0;NMG: publicistika
9;Důležité/důležitý/AANS1----1A---- je/být/VB-S---3P-AAI-- nenechat/nechat/Vf--------N-P-- se/se/P7--4---------- zastrašit/zastrašit/Vf--------A-P-- rozsahem/rozsah/NNIS7-----A---- a/a/J^------------- radikálností/radikálnost/NNFS7-----A---- probíhajících/probíhající/AGFP2-----A---- změn/změna/NNFP2-----A---- ,/,/Z:------------- a/a/J^------------- třebaže/třebaže/J,------------- vůči/vůči/RR--3---------- novému/nový/AAIS3----1A---- věku/věk/NNIS3-----A----;nechováme/chovat/VB-P---1P-NAI-- žádné/žádný/PWFP4---------- iluze/iluze/NNFP4-----A----;,/,/Z:------------- vyslovit/vyslovit/Vf--------A-P-- se/se/P7--4---------- bez/bez/RR--2---------- výhrad/výhrada/NNFP2-----A---- v/v/RR--4---------- jeho/jeho/PSIS4-S3------- prospěch/prospěch/NNIS4-----A---- ././Z:-------------;1;NFC: oborová literatura
10;V/v/RR--6---------- tomto/tento/PDIS6---------- ohledu/ohled/NNIS6-----A---- nám/my/PP-P3--1------- okupace/okupace/NNFS1-----A---- v/v/RR--6---------- roce/rok/NNIS6-----A---1 1968/1968/C=------------- prokázala/prokázat/VpFS----R-AAP-- dobrou/dobrý/AAFS4----1A---- službu/služba/NNFS4-----A---- :/:/Z:------------- kdo/kdo/PKM-1---------- ještě/ještě/Db-------------;choval/chovat/VpMS----R-AAI-- nějaké/nějaký/PZFP4---------- iluze/iluze/NNFP4-----A----;o/o/RR--6---------- ideálech/ideál/NNIP6-----A---- komunismu/komunismus/NNIS2-----A---- ,/,/Z:------------- tanky/tank/NNIP1-----A---- mu/on/PHMS3--3------- je/oni/PPIP4--3------- poměrně/poměrně/Dg-------1A---- spolehlivě/spolehlivě/Dg-------1A---- rozehnaly/rozehnat/VpIP----R-AAP-- ././Z:-------------;1;NMG: publicistika
