id;left;kwic;right;VNP?;doc.txtype_group
1;;Lásku/láska/NNFS4-----A---- mi/já/PH-S3--1------- daly/dát/VpFP----R-AAP-- tety/teta/NNFP1-----A---- a/a/J^------------- já/já/PP-S1--1------- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- naučil/naučit/VpMS----R-AAP-- lidi/člověk/NNMP4-----A---- rozlišovat/rozlišovat/Vf--------A-I-- podle/podle/RR--2---------- toho/ten/PDNS2---------- ,/,/Z:------------- jak/jak/Db------------- žijí/žít/VB-P---3P-AAI-1 ,/,/Z:------------- jaké/jaký/P4FP1---------- mají/mít/VB-P---3P-AAI-- ideály/ideál/NNIP4-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--;k/k/RR--3---------- druhým/druhý/CrMP3---------- a/a/J^------------- jak/jak/Db------------- pracují/pracovat/VB-P---3P-AAI-- a/a/J^------------- pečují/pečovat/VB-P---3P-AAI-- o/o/RR--4---------- své/svůj/P8FP4---------1 rodiny/rodina/NNFP4-----A---- ././Z:-------------;0;NMG: publicistika
2;Poprvé/poprvé/Cv------------- v/v/RR--6---------- životě/život/NNIS6-----A---- se/se/P7--4---------- Mary/Mary/NNFS1-----A---- Ann/Anna/NNFS1-----A---- cítila/cítit/VpFS----R-AAI-- volná/volný/AAFS1----1A---- natolik/natolik/Db------------- ,/,/Z:------------- že/že/J,------------- mohla/moci/VpFS----R-AAI-- být/být/Vf--------A-I-- sama/sám/PLFS1---------- sebou/se/P6--7---------- a/a/J^------------- rozdávat/rozdávat/Vf--------A-I-- svou/svůj/P8FS4---------1 bezednou/bezedný/AAFS4----1A----;lásku/láska/NNFS4-----A---- ,/,/Z:------------- a/a/J^------------- přestože/přestože/J,------------- v/v/RR--6---------- sobě/se/P6--6---------- nechovala/chovat/VpFS----R-NAI--;zlobu/zloba/NNFS4-----A---- ,/,/Z:------------- kochala/kochat/VpFS----R-AAI-- se/se/P7--4---------- pohledem/pohled/NNIS7-----A---- na/na/RR--4---------- Iaina/Iain/NNMS4-----A---- ,/,/Z:------------- jímž/jenž/PJIS7---------- vévoda/vévoda/NNMS1-----A---- sem/sem/Db------------- tam/tam/Db------------- posunoval/posunovat/VpMS----R-AAI-- po/po/RR--6---------- šachovnici/šachovnice/NNFS6-----A---- ././Z:-------------;0;FIC: beletrie
3;Do/do/RR--2---------- každé/každý/PLFS2---------- své/svůj/P8FS2---------1 činnosti/činnost/NNFS2-----A---- ,/,/Z:------------- práce/práce/NNFS2-----A---- vkládám/vkládat/VB-S---1P-AAI-- pozitivní/pozitivní/AAIS4----1A---- přístup/přístup/NNIS4-----A---- ,/,/Z:------------- radost/radost/NNFS4-----A---- ,/,/Z:-------------;"lásku/láska/NNFS4-----A---- k/k/RR--3---------- lidem/člověk/NNMP3-----A---- ,/,/Z:------------- snahu/snaha/NNFS4-----A---- pomoci/pomoci/Vf--------A-P-- a/a/J^------------- řídím/řídit/VB-S---1P-AAI-- se/se/P7--4---------- heslem/heslo/NNNS7-----A---- :/:/Z:------------- „/""/Z:------------- Chovej/chovat/Vi-S---2--A-I--";"se/se/P7--4---------- tak/tak/Db------------- ,/,/Z:------------- jak/jak/Db------------- chceš/chtít/VB-S---2P-AAI-- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- chovali/chovat/VpMP----R-AAI-- druzí/druhý/CrMP1---------- k/k/RR--3---------- tobě/ty/PP-S3--2------- ././Z:------------- “/""/Z:-------------";0;NFC: oborová literatura
4;Takové/takový/PDFP1---------- rybenky/rybenka/NNFP1-----A---- nebo/nebo/J^------------- švábi/šváb/NNMP1-----A---1 také/také/Db------------- nebezpeční/bezpečný/AAMP1----1N---- nejsou/být/VB-P---3P-NAI-- a/a/J^------------- nikdo/nikdo/PWM-1---------- k/k/RR--3---------- nim/oni/P5MP3--3-------;lásku/láska/NNFS4-----A---- nechová/chovat/VB-S---3P-NAI--;././Z:-------------;1;NMG: publicistika
5;Pojal/pojmout/VpMS----R-AAP-- ke/k/RV--3---------- mně/já/PP-S3--1------- tu/ten/PDFS4---------- nepochopitelnou/pochopitelný/AAFS4----1N----;lásku/láska/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- velcí/velký/AAMP1----1A---- advokáti/advokát/NNMP1-----A---- umějí/umět/VB-P---3P-AAI-- chovat/chovat/Vf--------A-I--;k/k/RR--3---------- velkým/velký/AAMP3----1A---- zločincům/zločinec/NNMP3-----A---- ././Z:-------------;3;FIC: beletrie
6;Lidé/člověk/NNMP1-----A---- se/se/P7--4---------- mlsně/mlsně/Dg-------1A---- vrhají/vrhat/VB-P---3P-AAI-- na/na/RR--4---------- Vaše/váš/PSFP4-P2------- knihy/kniha/NNFP4-----A---- ,/,/Z:------------- čtou/číst/VB-P---3P-AAI-- je/oni/PPFP4--3------- v/v/RR--6---------- pohodlné/pohodlný/AAFS6----1A---- lenošce/lenoška/NNFS6-----A---- ,/,/Z:------------- myslí/myslet/VB-P---3P-AAI-- na/na/RR--4---------- tu/ten/PDFS4---------- velkou/velký/AAFS4----1A---- ,/,/Z:------------- nešťastnou/šťastný/AAFS4----1N---- a/a/J^------------- diskrétní/diskrétní/AAFS4----1A----;lásku/láska/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- k/k/RR--3---------- nim/oni/P5MP3--3------- chováte/chovat/VB-P---2P-AAI--;,/,/Z:------------- a/a/J^------------- utěšuje/utěšovat/VB-S---3P-AAI-- je/oni/PPMP4--3------- to/ten/PDNS1---------- v/v/RR--6---------- mnoha/mnoho/Ca--6---------- věcech/věc/NNFP6-----A---- :/:/Z:------------- že/že/J,------------- jsou/být/VB-P---3P-AAI-- oškliví/ošklivý/AAMP1----1A---- ,/,/Z:------------- že/že/J,------------- jsou/být/VB-P---3P-AAI-- zbabělí/zbabělý/AAMP1----1A---- ,/,/Z:------------- že/že/J,------------- mají/mít/VB-P---3P-AAI-- parohy/paroh/NNIP4-----A---- ,/,/Z:------------- že/že/J,------------- nedostali/dostat/VpMP----R-NAP-- prvního/první/CrIS2---------- ledna/leden/NNIS2-----A---- přidáno/přidat/VsNS------APP-- ././Z:-------------;3;FIC: beletrie
7;A/a/J^------------- jestli/jestli/J,------------- snad/snad/TT------------- mohl/moci/VpMS----R-AAI-- chápat/chápat/Vf--------A-I-- výměnu/výměna/NNFS4-----A---- Sabiny/Sabina/NNFS2-----A---- za/za/RR--4---------- brýlatou/brýlatý/AAFS4----1A---- studentku/studentka/NNFS4-----A---- jako/jako/J,------------- malou/malý/AAFS4----1A---- degradaci/degradace/NNFS4-----A---- ,/,/Z:------------- jeho/jeho/PSFS1-S3------- dobrota/dobrota/NNFS1-----A---- se/se/P7--4---------- postarala/postarat/VpFS----R-AAP-- o/o/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- že/že/J,------------- novou/nový/AAFS4----1A---- milenku/milenka/NNFS4-----A---- přijal/přijmout/VpMS----R-AAP-- rád/rád/ACMS------A---- a/a/J^------------- pociťoval/pociťovat/VpMS----R-AAI-- k/k/RR--3---------- ní/on/P5FS3--3------- otcovskou/otcovský/AAFS4----1A----;lásku/láska/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- nemohl/moci/VpMS----R-NAI-- ostatně/ostatně/TT------------- nikdy/nikdy/Db------------- předtím/předtím/Db------------- plně/plně/Dg-------1A---- uspokojit/uspokojit/Vf--------A-P-- vzhledem/vzhledem/RF------------- k/k/RR--3---------- tomu/ten/PDNS3---------- ,/,/Z:------------- že/že/J,------------- Marie/Marie/NNFS1-----A---- -/-/Z0------------- Anne/Anna/NNFS1-----A---- se/se/P7--4---------- nechovala/chovat/VpFS----R-NAI--;jako/jako/J,------------- dcera/dcera/NNFS1-----A---- ,/,/Z:------------- nýbrž/nýbrž/J^------------- jako/jako/J,------------- druhá/druhý/CrFS1---------- Marie/Marie/NNFS1-----A---- -/-/Z0------------- Claude/Claude/NNMS1-----A---- ././Z:-------------;0;FIC: beletrie
8;Pokud/pokud/J,-------------;lásku/láska/NNFS4-----A---- k/k/RR--3---------- přírodě/příroda/NNFS3-----A---- nechováte/chovat/VB-P---2P-NAI--;,/,/Z:------------- voda/voda/NNFS1-----A---- vás/vy/PP-P4--2------- ji/on/PPFS4--3------- naučí/naučit/VB-S---3P-AAP-- ././Z:-------------;1;NMG: publicistika
9;Jeho/jeho/PSIS1-S3------- cirkus/cirkus/NNIS1-----A---- pro/pro/RR--4---------- něj/on/P5MS4--3------- ale/ale/J^------------- znamenal/znamenat/VpIS----R-AAI-- tolik/tolik/Ca--4---------- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- kdykoli/kdykoli/Db------------- prodal/prodat/VpMS----R-AAP-- všechnu/všechen/PLFS4----------;lásku/láska/NNFS4-----A---- ,/,/Z:------------- jíž/jenž/PJFS7---------- snad/snad/TT------------- ke/k/RV--3---------- mně/já/PP-S3--1------- choval/chovat/VpMS----R-AAI--;././Z:-------------;3;FIC: beletrie
10;Postoj/postoj/NNIS4-----A---- závodníků/závodník/NNMP2-----A---- beru/brát/VB-S---1P-AAI-- jako/jako/J,------------- nádhernou/nádherný/AAFS4----1A---- odezvu/odezva/NNFS4-----A---- na/na/RR--4----------;lásku/láska/NNFS4-----A---- ,/,/Z:------------- jakou/jaký/P4FS4---------- Luděk/Luděk/NNMS1-----A---- choval/chovat/VpMS----R-AAI--;k/k/RR--3---------- autům/auto/NNNP3-----A---- a/a/J^------------- závodníkům/závodník/NNMP3-----A---- ././Z:-------------;3;NMG: publicistika
