id;left;kwic;right
"1";"K/k/RR--3---------- té/ten/PDFS3---------- přezdívce/přezdívka/NNFS3-----A----";"chovám/chovat/VB-S---1P-AAI-- velké/velký/AAFP4----1A---- sympatie/sympatie/NNFP4-----A---- ,/,/Z:------------- protože/protože/J,------------- šlo/jít/VpNS----R-AAI-- o/o/RR--4---------- mou/můj/PSFS4-S1------1 první/první/CrFS4---------- velkou/velký/AAFS4----1A---- lásku/láska/NNFS4-----A----";",/,/Z:------------- i/i/J^------------- když/když/J,------------- nenaplněnou/naplněný/AAFS4----1N---- ././Z:-------------"
"2";"Společné/společný/AAIP1----1A---- nemají/mít/VB-P---3P-NAI-- jen/jen/Db------------- city/cit/NNIP4-----A---- ,/,/Z:------------- které/který/P4IP1---------- k/k/RR--3---------- sobě/se/P6--3----------";"chovají/chovat/VB-P---3P-AAI-- ,/,/Z:------------- ale/ale/J^------------- i/i/J^------------- lásku/láska/NNFS4-----A----";"k/k/RR--3---------- luxusu/luxus/NNIS3-----A---- ././Z:-------------"
"3";"Obě/oba/ClFP1---------- dcery/dcera/NNFP1-----A---- se/se/P7--4---------- narodily/narodit/VpFP----R-AAP-- v/v/RR--6---------- USA/USA/BN------------- ,/,/Z:------------- a/a/J^------------- proto/proto/J^------------- budeme/být/VB-P---1F-AAI-- vždy/vždy/Db------------- v/v/RR--6---------- naší/náš/PSFS6-P1------- rodině/rodina/NNFS6-----A----";"chovat/chovat/Vf--------A-I-- úctu/úcta/NNFS4-----A---- a/a/J^------------- lásku/láska/NNFS4-----A----";"k/k/RR--3---------- oběma/oba/ClFP3---------- zemím/země/NNFP3-----A---- ,/,/Z:------------- a/a/J^------------- mít/mít/Vf--------A-I-- tak/tak/Db------------- dva/dva/ClIP4---------- domovy/domov/NNIP4-----A---- :/:/Z:------------- Česko/Česko/NNNS4-----A---- a/a/J^------------- Ameriku/Amerika/NNFS4-----A---- ././Z:-------------"
"4";"Filozofové/filozof/NNMP1-----A---- se/se/P7--4----------";"chovají/chovat/VB-P---3P-AAI-- ,/,/Z:------------- jako/jako/J,------------- by/být/Vc----------I-- se/se/P7--4---------- o/o/RR--4---------- svou/svůj/P8FS4---------1 lásku/láska/NNFS4-----A----";"k/k/RR--3---------- moudrosti/moudrost/NNFS3-----A---- nechtěli/chtít/VpMP----R-NAI-- s/s/RR--7---------- nikým/nikdo/PWM-7---------- dělit/dělit/Vf--------A-I-- a/a/J^------------- mohou/moci/VB-P---3P-AAI-1 vyvolávat/vyvolávat/Vf--------A-I-- dojem/dojem/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- jim/oni/PPMP3--3------- stačí/stačit/VB-S---3P-AAI-- vnitřní/vnitřní/AAIS1----1A---- pocit/pocit/NNIS1-----A---- lichotivého/lichotivý/AANS2----1A---- uspokojení/uspokojení/NNNS2-----A---- z/z/RR--2---------- vědomí/vědomí/NNNS2-----A---- vlastního/vlastní/AANS2----1A---- moudra/moudro/NNNS2-----A---- ././Z:-------------"
"5";"""/""/Z:------------- Kdy/kdy/Db------------- jste/být/VB-P---2P-AAI-- poprvé/poprvé/Cv------------- začala/začít/VpFS----R-AAP--";"chovat/chovat/Vf--------A-I-- k/k/RR--3---------- Majovi/Majovi/X@------------- lásku/láska/NNFS4-----A----";"Za/za/RR--2---------- jakých/jaký/P4FP2---------- konkrétních/konkrétní/AAFP2----1A---- okolností/okolnost/NNFP2-----A---- se/se/P7--4---------- to/ten/PDNS1---------- vyvíjelo/vyvíjet/VpNS----R-AAI-- dál/dál/Db------------- ?/?/Z:------------- ""/""/Z:-------------"
"6";"Obchůzkář/obchůzkář/NNMS1-----A---- Mancuso/Mancuso/X@-------------";"choval/chovat/VpMS----R-AAI-- k/k/RR--3---------- téhle/tenhle/PDFS3---------- motorce/motorka/NNFS3-----A---- lásku/láska/NNFS4-----A----";"platonicky/platonicky/Dg-------1A---- náruživou/náruživý/AAFS4----1A---- ././Z:-------------"
"7";"K/k/RR--3---------- jiným/jiný/AAIP3----1A---- státům/stát/NNIP3-----A----";"chovám/chovat/VB-S---1P-AAI-- obdiv/obdiv/NNIS4-----A---- ,/,/Z:------------- úctu/úcta/NNFS4-----A---- ,/,/Z:------------- uznání/uznání/NNNS4-----A---- ,/,/Z:------------- dokonce/dokonce/TT------------- i/i/J^------------- trochu/trochu/Db------------- náklonnosti/náklonnost/NNFS2-----A---- ,/,/Z:------------- ale/ale/J^------------- u/u/RR--2---------- Montany/Montana/NNFS2-----A---- je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- láska/láska/NNFS1-----A---- a/a/J^------------- je/být/VB-S---3P-AAI-- obtížné/obtížný/AANS1----1A---- analyzovat/analyzovat/Vf--------A-I-- lásku/láska/NNFS4-----A----";",/,/Z:------------- když/když/J,------------- je/být/VB-S---3P-AAI-- člověk/člověk/NNMS1-----A---- zamilován/zamilovat/VsMS------APP-- ././Z:-------------"
"8";"A/a/J^------------- připomněla/připomenout/VpFS----R-AAP-- jsem/být/VB-S---1P-AAI-- mu/on/PHMS3--3------- pěkně/pěkně/Dg-------1A---- zostra/zostra/Db------------- ,/,/Z:------------- že/že/J,------------- se/s/RV--7---------- mnou/já/PP-S7--1------- má/mít/VB-S---3P-AAI-- dvě/dva/ClFP4---------- krásné/krásný/AAFP4----1A---- děti/dítě/NNFP4-----A---- ,/,/Z:------------- ke/k/RV--3---------- kterým/který/P4FP3---------- by/být/Vc----------I-- se/se/P7--4---------- měl/mít/VpMS----R-AAI--";"chovat/chovat/Vf--------A-I-- jako/jako/J,------------- zodpovědný/zodpovědný/AAMS1----1A---- táta/táta/NNMS1-----A---- ,/,/Z:------------- že/že/J,------------- jsem/být/VB-S---1P-AAI-- to/ten/PDNS1---------- byla/být/VpFS----R-AAI-- já/já/PP-S1--1------- ,/,/Z:------------- kdo/kdo/PKM-1---------- ho/on/PHMS4--3------- podporoval/podporovat/VpMS----R-AAI-- v/v/RR--6---------- těžkých/těžký/AAFP6----1A---- chvílích/chvíle/NNFP6-----A---- ,/,/Z:------------- kdy/kdy/Db------------- málem/málem/Db------------- umřel/umřít/VpMS----R-AAP-- ,/,/Z:------------- a/a/J^------------- že/že/J,------------- je/být/VB-S---3P-AAI-- od/od/RR--2---------- něj/on/P5MS2--3------- sprostý/sprostý/AAMS1----1A---- ,/,/Z:------------- když/když/J,------------- se/se/P7--4---------- tahá/tahat/VB-S---3P-AAI-- s/s/RR--7---------- nějakou/nějaký/PZFS7---------- Evou/Eva/NNFS7-----A---- ,/,/Z:------------- místo/místo/Db------------- aby/aby|být/J,-------------|Vc----------I-- mi/já/PH-S3--1------- aspoň/aspoň/Db------------- trochu/trochu/Db------------- oplatil/oplatit/VpMS----R-AAP-- lásku/láska/NNFS4-----A----";",/,/Z:------------- péči/péče/NNFS4-----A---- a/a/J^------------- starostlivost/starostlivost/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- jsem/být/VB-S---1P-AAI-- mu/on/PHMS3--3------- dala/dát/VpFS----R-AAP-- já/já/PP-S1--1------- ././Z:-------------"
"9";"Pane/pán/NNMS5-----A---- Rašíne/Rašín/NNMS5-----A---- ,/,/Z:------------- kníže/kníže/NNMS1-----A---- je/být/VB-S---3P-AAI-- můj/můj/PSMS1-S1------- příbuzný/příbuzný/NNMS1-----A---- ,/,/Z:-------------";"chovám/chovat/VB-S---1P-AAI-- k/k/RR--3---------- němu/on/P5MS3--3------- nevšední/všední/AAFS4----1N---- lásku/láska/NNFS4-----A----";",/,/Z:------------- ale/ale/J^------------- ať/ať/J,------------- teď/teď/Db------------- raději/rád/Dg-------2A---- polehává/polehávat/VB-S---3P-AAI-- na/na/RR--6---------- svém/svůj/P8NS6---------- loži/lože/NNNS6-----A---- mezi/mezi/RR--7---------- čtyřmi/čtyři/ClFP7---------- zdmi/zeď/NNFP7-----A---- pokoje/pokoj/NNIS2-----A---- ,/,/Z:------------- ať/ať/J,------------- se/se/P7--4---------- příliš/příliš/Db------------- nehýbá/hýbat/VB-S---3P-NAI-- a/a/J^------------- nic/nic/PW--1---------- nepodniká/podnikat/VB-S---3P-NAI-- ././Z:-------------"
"10";"Také/také/Db------------- by/být/Vc----------I-- se/se/P7--4---------- mohlo/moci/VpNS----R-AAI-- stát/stát/Vf--------A-P-- ,/,/Z:------------- že/že/J,------------- bych/být/Vc-S---1----I--";"chovala/chovat/VpFS----R-AAI-- větší/velký/AAFS4----2A---- lásku/láska/NNFS4-----A----";"k/k/RR--3---------- dřevěné/dřevěný/AAFS3----1A---- kuličce/kulička/NNFS3-----A---- než/než/J,------------- ke/k/RV--3---------- svým/svůj/P8MP3---------- bližním/bližní/NNMP3-----A---- ././Z:-------------"
