id;left;kwic;right
"1";"Výzkumný/výzkumný/AAIS1----1A---- ústav/ústav/NNIS1-----A---- mne/já/PP-S4--1------- navedl/navést/VpIS----R-AAP-- na/na/RR--4----------";"myšlenku/myšlenka/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- bychom/být/Vc-P---1----I-- mohli/moci/VpMP----R-AAI-- paralelně/paralelně/Dg-------1A---- chovat/chovat/Vf--------A-I--";"skupinu/skupina/NNFS4-----A---- kanečků/kaneček/NNMP2-----A---- ,/,/Z:------------- prasniček/prasnička/NNFP2-----A---- a/a/J^------------- vykastrovaných/vykastrovaný/AAMP2----1A---- vepříků/vepřík/NNMP2-----A---- a/a/J^------------- srovnávat/srovnávat/Vf--------A-I-- jejich/jejich/PSIP4-P3------- parametry/parametr/NNIP4-----A---- ././Z:-------------"
"2";"Na/na/RR--6---------- nejnižší/nízký/AAFS6----3A---- úrovni/úroveň/NNFS6-----A---- -/-/Z:------------- tak/tak/J^------------- si/se/P7--3---------- rozvádím/rozvádět/VB-S---1P-AAI-- Rádlovu/Rádlův/AUFS4M---------";"myšlenku/myšlenka/NNFS4-----A---- -/-/Z:------------- spočívá/spočívat/VB-S---3P-AAI-- kotvička/kotvička/NNFS1-----A---- elektronů/elektron/NNIP2-----A---- ,/,/Z:------------- atomů/atom/NNIP2-----A---- a/a/J^------------- molekul/molekula/NNFP2-----A---- (/(/Z:------------- etc/etc/Bb------------- ././Z0------------- )/)/Z:------------- v/v/RR--6---------- jejich/jejich/PSIS6-P3------- ""/""/Z:------------- orientačním/orientační/AAIS6----1A---- smyslu/smysl/NNIS6-----A---- ""/""/Z:------------- ,/,/Z:------------- který/který/P4IS1---------- jim/oni/PPMP3--3------- v/v/RR--6---------- jistých/jistý/AAFP6----1A---- -/-/Z:------------- Teilhard/Teilhard/NNMS1-----A---- de/de/F%------------- Chardin/Chardin/NNMS1-----A---- by/být/Vc----------I-- řekl/říci/VpMS----R-AAP-- :/:/Z:------------- extrémních/extrémní/AAIP2----1A---- -/-/Z:------------- případech/případ/NNIP6-----A---- dovoluje/dovolovat/VB-S---3P-AAI-- se/se/P7--4---------- chovat/chovat/Vf--------A-I--";"přiměřeně/přiměřeně/Dg-------1A---- rozvrhu/rozvrh/NNIS2-----A---- a/a/J^------------- plánu/plán/NNIS2-----A---- ,/,/Z:------------- který/který/P4IS1---------- je/oni/PPIP4--3------- přesahuje/přesahovat/VB-S---3P-AAI-- ,/,/Z:------------- totiž/totiž/TT------------- rozvrhu/rozvrh/NNIS2-----A---- a/a/J^------------- plánu/plán/NNIS2-----A---- živého/živý/AAIS2----1A---- organismu/organismus/NNIS2-----A---- ././Z:-------------"
"3";"To/ten/PDNS1---------- přímo/přímo/Dg-------1A---- hraje/hrát/VB-S---3P-AAI-- do/do/RR--2---------- karet/karta/NNFP2-----A---- Evropské/evropský/AAFS3----1A---- komisi/komise/NNFS3-----A---- (/(/Z:------------- EK/EK/BN------------- )/)/Z:------------- ,/,/Z:------------- jež/jenž/PJFS1----------";"myšlenku/myšlenka/NNFS4-----A---- europrezidenta/europrezident/NNMS2-----A---- rozhodně/rozhodně/TT------------- v/v/RR--6---------- lásce/láska/NNFS6-----A---- nechová/chovat/VB-S---3P-NAI--";"././Z:-------------"
"4";"Nicméně/nicméně/J^------------- teď/teď/Db------------- jsem/být/VB-S---1P-AAI-- tím/ten/PDNS7---------- chtěl/chtít/VpMS----R-AAI-- jenom/jen/Db------------- ilustrovat/ilustrovat/Vf--------A-B--";"myšlenku/myšlenka/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- tlak/tlak/NNIS1-----A---- toho/ten/PDIS2---------- systému/systém/NNIS2-----A---- je/být/VB-S---3P-AAI-- natolik/natolik/Db------------- silný/silný/AAIS1----1A---- ,/,/Z:------------- že/že/J,------------- mnoho/mnoho/Ca--1---------- lidí/člověk/NNMP2-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- se/se/P7--4---------- zdají/zdát/VB-P---3P-AAI-- být/být/Vf--------A-I-- normální/normální/AAMP1----1A---- a/a/J^------------- slušní/slušný/AAMP1----1A---- ,/,/Z:------------- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--";"velmi/velmi/Db------------- nepravděpodobně/pravděpodobně/Dg-------1N---- ,/,/Z:------------- když/když/J,------------- mu/on/PHMS3--3------- podlehnou/podlehnout/VB-P---3P-AAP-- ././Z:-------------"
"5";"Napadlo/napadnout/VpNS----R-AAP-1 ho/on/PHMS4--3------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- začal/začít/VpMS----R-AAP-- řvát/řvát/Vf--------A-I-- o/o/RR--4---------- pomoc/pomoc/NNFS4-----A---- ,/,/Z:------------- až/až/J,------------- Richard/Richard/NNMS1-----A---- začne/začít/VB-S---3P-AAP-- svůj/svůj/P8IS4---------- hovor/hovor/NNIS4-----A---- ,/,/Z:------------- ale/ale/J^------------- rychle/rychle/Dg-------1A---- tuto/tento/PDFS4----------";"myšlenku/myšlenka/NNFS4-----A---- zapudil/zapudit/VpMS----R-AAP-- jako/jako/J,------------- sebevražednou/sebevražedný/AAFS4----1A---- ,/,/Z:------------- neboť/neboť/J^------------- si/se/P7--3---------- uvědomil/uvědomit/VpMS----R-AAP-- ,/,/Z:------------- jak/jak/Db------------- nervózně/nervózně/Dg-------1A---- se/se/P7--4---------- Richard/Richard/NNMS1-----A---- chová/chovat/VB-S---3P-AAI--";"././Z:-------------"
"6";"To/ten/PDNS1---------- ho/on/PHMS4--3------- překvapilo/překvapit/VpNS----R-AAP-- a/a/J^------------- urazilo/urazit/VpNS----R-AAP-- :/:/Z:------------- Takovou/takový/PDFS4---------- škaredou/škaredý/AAFS4----1A----";"myšlenku/myšlenka/NNFS4-----A---- vy/vy/PP-P1--2------- o/o/RR--6---------- mně/já/PP-S6--1------- chováte/chovat/VB-P---2P-AAI--";"od/od/RR--2---------- té/ten/PDFS2---------- doby/doba/NNFS2-----A---- ?/?/Z:-------------"
"7";"Tuto/tento/PDFS4----------";"myšlenku/myšlenka/NNFS4-----A---- sdíleli/sdílet/VpMP----R-AAI-- i/i/J^------------- nevěřící/nevěřící/NNMP1-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- se/se/P7--4---------- světici/světice/NNFS3-----A---- moudrosti/moudrost/NNFS2-----A---- vyrovnali/vyrovnat/VpMP----R-AAP-- ,/,/Z:------------- protože/protože/J,------------- zrak/zrak/NNIS1-----A---- mi/já/PH-S3--1------- padl/padnout/VpIS----R-AAP-1 na/na/RR--4---------- řádky/řádek/NNIP4-----A---- ,/,/Z:------------- jejichž/jejichž/P1MS7-P3------- autorem/autor/NNMS7-----A---- podle/podle/RR--2---------- mnohých/mnohý/AAMP2----1A---- byl/být/VpMS----R-AAI-- Abú/Abú/NNMS1-----A---- Bakr/Bakr/NNMS1-----A---- -/-/Z0------------- Muhammad/Muhammad/NNMS1-----A---- ibn/ibn/F%------------- Zaka/Zak/NNMS2-----A---- -/-/Z0------------- rija/rija/X@------------- ar/ar/F%------------- Rází/Rází/NNMS1-----A---- ;/;/Z:------------- ten/ten/PDMS1---------- v/v/RR--6---------- knize/kniha/NNFS6-----A---- Liber/libra/NNFP2-----A---- continens/continens/X@------------- ztotožňuje/ztotožňovat/VB-S---3P-AAI-- milostnou/milostný/AAFS4----1A---- melancholii/melancholie/NNFS4-----A---- s/s/RR--7---------- lykantropií/lykantropie/NNFS7-----A---- ,/,/Z:------------- která/který/P4FS1---------- toho/ten/PDNS2---------- ,/,/Z:------------- kde/kde/Db------------- je/být/VB-S---3P-AAI-- ji/on/PPFS4--3------- postižen/postihnout/VsMS------APP-1 ,/,/Z:------------- mák/mák/NNIS1-----A---- lomu/lom/NNIS2-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- choval/chovat/VpMS----R-AAI--";"jako/jako/J,------------- vlk/vlk/NNMS1-----A---- ././Z:-------------"
"8";"Šrotovalo/šrotovat/VpNS----R-AAI-- mi/já/PH-S3--1------- to/ten/PDNS1---------- v/v/RR--6---------- hlavě/hlava/NNFS6-----A---- a/a/J^------------- až/až/TT------------- po/po/RR--6---------- čase/čas/NNIS6-----A---- uzrálo/uzrát/VpNS----R-AAP-- v/v/RR--4----------";"myšlenku/myšlenka/NNFS4-----A---- :/:/Z:------------- aha/aha/II------------- ,/,/Z:------------- musím/muset/VB-S---1P-AAI-- se/se/P7--4---------- chovat/chovat/Vf--------A-I--";"tak/tak/Db------------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- mě/já/PH-S4--1------- pejsci/pejsek/NNMP1-----A---- přirozeně/přirozeně/Dg-------1A---- respektovali/respektovat/VpMP----R-AAI-- ././Z:-------------"
"9";"I/i/J^------------- když/když/J,------------- potlačila/potlačit/VpFS----R-AAP-- nepříjemné/příjemný/AAFP4----1N----";"myšlenky/myšlenka/NNFP4-----A---- na/na/RR--4---------- fyzické/fyzický/AAIP4----1A---- kontakty/kontakt/NNIP4-----A---- mezi/mezi/RR--4---------- Mags/Mags/X@------------- a/a/J^------------- Bets/Bets/X@------------- ,/,/Z:------------- šokovalo/šokovat/VpNS----R-AAB-- ji/on/PPFS4--3------- ,/,/Z:------------- že/že/J,------------- matka/matka/NNFS1-----A---- celý/celý/AAIS4----1A---- život/život/NNIS4-----A---- chovala/chovat/VpFS----R-AAI--";"tak/tak/Db------------- vášnivou/vášnivý/AAFS4----1A---- náklonnost/náklonnost/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- tolik/tolik/Ca--4---------- let/rok/NNNP2-----A---- dokázala/dokázat/VpFS----R-AAP-- pečlivě/pečlivě/Dg-------1A---- skrývat/skrývat/Vf--------A-I-- před/před/RR--7---------- Hermií/Hermie/NNFS7-----A---- a/a/J^------------- patrně/patrně/TT------------- také/také/Db------------- před/před/RR--7---------- svým/svůj/P8MS7---------- manželem/manžel/NNMS7-----A---- ,/,/Z:------------- Hermiiným/Hermiin/AUMS7F--------- otcem/otec/NNMS7-----A---- ././Z:-------------"
"10";"A/a/J^------------- právě/právě/Db------------- to/ten/PDNS1---------- ho/on/PHMS4--3------- přivedlo/přivést/VpNS----R-AAP-- na/na/RR--4----------";"myšlenku/myšlenka/NNFS4-----A---- začít/začít/Vf--------A-P-- žížaly/žížala/NNFP4-----A---- chovat/chovat/Vf--------A-I--";"././Z:-------------"
