id;left;kwic;right
"1";"Já/já/PP-S1--1------- věřím/věřit/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- toto/tento/PDNS1---------- projevilo/projevit/VpNS----R-AAP-- i/i/J^------------- v/v/RR--6---------- celém/celý/AAIS6----1A---- roce/rok/NNIS6-----A---1 2005/2005/C=------------- ,/,/Z:------------- kdy/kdy/Db------------- i/i/J^------------- takové/takový/PDFP1---------- dramatické/dramatický/AAFP1----1A---- události/událost/NNFP1-----A---- ,/,/Z:------------- jako/jako/J,------------- byla/být/VpFS----R-AAI-- vládní/vládní/AAFS1----1A---- krize/krize/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- trošku/trošku/Db------------- nespravedlivě/spravedlivě/Dg-------1N---- je/být/VB-S---3P-AAI-- na/na/RR--6---------- konci/konec/NNIS6-----A---- roku/rok/NNIS2-----A---1 zapomenuta/zapomenout/VsFS------APP-- ,/,/Z:------------- přestože/přestože/J,------------- dominovala/dominovat/VpFS----R-AAB-- prvním/první/CrIP3---------- čtyřem/čtyři/ClIP3---------- měsícům/měsíc/NNIP3-----A---- roku/rok/NNIS2-----A---1 ././Z0------------- tak/tak/J^------------- i/i/J^------------- v/v/RR--6---------- této/tento/PDFS6---------- době/doba/NNFS6-----A---- jsem/být/VB-S---1P-AAI-- se/se/P7--4----------";"choval/chovat/VpMS----R-AAI-- předpokládám/předpokládat/VB-S---1P-AAI-- ,/,/Z:------------- a/a/J^------------- většina/většina/NNFS1-----A---- občanů/občan/NNMP2-----A---- to/ten/PDNS4---------- přijala/přijmout/VpFS----R-AAP-- ,/,/Z:------------- velmi/velmi/Db------------- prezidentsky/prezidentsky/Dg-------1A---- ,/,/Z:------------- a/a/J^------------- nedal/dát/VpMS----R-NAP-- jsem/být/VB-S---1P-AAI-- ani/ani/J^------------- náznak/náznak/NNIS4-----A---- preferencí/preference/NNFP2-----A---- pro/pro/RR--4---------- politickou/politický/AAFS4----1A---- stranu/strana/NNFS4-----A---- či/či/J^------------- pro/pro/RR--4---------- myšlenky/myšlenka/NNFP4-----A----";",/,/Z:------------- kterým/který/P4FP3---------- jsem/být/VB-S---1P-AAI-- já/já/PP-S1--1------- zasvětil/zasvětit/VpMS----R-AAP-- celý/celý/AAIS4----1A---- život/život/NNIS4-----A---- ././Z:-------------"
"2";"Prorok/prorok/NNMS1-----A---- se/se/P7--4---------- vlastně/vlastně/TT------------- v/v/RR--6---------- rámci/rámec/NNIS6-----A---- sekty/sekta/NNFS2-----A---- choval/chovat/VpMS----R-AAI-- jako/jako/J,------------- svrchovaný/svrchovaný/AAMS1----1A---- dominantní/dominantní/AAMS1----1A---- samec/samec/NNMS1-----A---- ,/,/Z:------------- čímž/co/PE--7---------- u/u/RR--2---------- svých/svůj/P8IP2---------- druhů/druh/NNIP2-----A---- dokázal/dokázat/VpMS----R-AAP-- potlačit/potlačit/Vf--------A-P-- veškeré/veškerý/PLIP4---------- projevy/projev/NNIP4-----A---- mužnosti/mužnost/NNFS2-----A---- :/:/Z:------------- nejen/nejen/Db------------- že/že/TT------------- nepěstovali/pěstovat/VpMP----R-NAI-- sexuální/sexuální/AAIS4----1A---- život/život/NNIS4-----A---- ,/,/Z:------------- ale/ale/J^------------- ani/ani/J^------------- se/se/P7--4---------- ho/on/PHIS4--3------- vést/vést/Vf--------A-I-- nesnažili/snažit/VpMP----R-NAI-- ,/,/Z:------------- k/k/RR--3---------- samicím/samice/NNFP3-----A---- se/se/P7--4---------- zásadně/zásadně/Dg-------1A----";"nechovali/chovat/VpMP----R-NAI-- vstřícně/vstřícně/Dg-------1A---- či/či/J^------------- podbízivě/podbízivě/Dg-------1A---- ,/,/Z:------------- přijali/přijmout/VpMP----R-AAP-- zkrátka/zkrátka/TT------------- za/za/RR--4---------- svou/svůj/P8FS4---------1 myšlenku/myšlenka/NNFS4-----A----";",/,/Z:------------- že/že/J,------------- sexualita/sexualita/NNFS1-----A---- je/být/VB-S---3P-AAI-- výsadou/výsada/NNFS7-----A---- proroka/prorok/NNMS2-----A---- ;/;/Z:------------- pak/pak/Db------------- jsem/být/VB-S---1P-AAI-- pochopil/pochopit/VpMS----R-AAP-- ,/,/Z:------------- proč/proč/Db------------- prorok/prorok/NNMS1-----A---- v/v/RR--6---------- přednáškách/přednáška/NNFP6-----A---- velebil/velebit/VpMS----R-AAI-- ženské/ženský/AAFP4----1A---- hodnoty/hodnota/NNFP4-----A---- a/a/J^------------- zároveň/zároveň/Db------------- nesmiřitelně/nesmiřitelně/Dg-------1A---- útočil/útočit/VpMS----R-AAI-- proti/proti/RR--3---------- machismu/machismus/NNIS3-----A---- :/:/Z:------------- jeho/jeho/PSIS7-S3------- cílem/cíl/NNIS7-----A---- bylo/být/VpNS----R-AAI-- připravit/připravit/Vf--------A-P-- posluchače/posluchač/NNMP4-----A---- o/o/RR--4---------- mužnost/mužnost/NNFS4-----A---- ././Z:-------------"
"3";"Věříte/věřit/VB-P---2P-AAI-- v/v/RR--6---------- realizaci/realizace/NNFS6-----A---- dostavby/dostavba/NNFS2-----A---- Domu/dům/NNIS2-----A---- umění/umění/NNNS2-----A---- ?/?/Z:------------- ""/""/Z:------------- I/i/J^------------- když/když/J,------------- se/se/P7--4---------- říká/říkat/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- nejrealističtěji/realisticky/Dg-------3A---- se/se/P7--4---------- dnes/dnes/Db-------------";"chová/chovat/VB-S---3P-AAI-- ten/ten/PDMS1---------- ,/,/Z:------------- kdo/kdo/PKM-1---------- je/být/VB-S---3P-AAI-- pesimista/pesimista/NNMS1-----A---- ,/,/Z:------------- nevidím/vidět/VB-S---1P-NAI-- pro/pro/RR--4---------- galerii/galerie/NNFS4-----A---- v/v/RR--6---------- následujících/následující/AGNP6-----A---- deseti/deset/Cn-P6---------- letech/rok/NNNP6-----A---- významnější/významný/AAIS4----2A---- úkol/úkol/NNIS4-----A---- než/než/J,------------- realizovat/realizovat/Vf--------A-B-- tuto/tento/PDFS4---------- myšlenku/myšlenka/NNFS4-----A----";"././Z:------------- ""/""/Z:-------------"
"4";"Jen/jen/Db------------- občas/občas/Db------------- se/se/P7--4---------- začali/začít/VpMP----R-AAP--";"chovat/chovat/Vf--------A-I-- podle/podle/RR--2---------- scénáře/scénář/NNIS2-----A---- :/:/Z:------------- synchronizovali/synchronizovat/VpMP----R-AAB-- své/svůj/P8IP4---------1 pohyby/pohyb/NNIP4-----A---- ,/,/Z:------------- povídali/povídat/VpMP----R-AAI-- si/se/P7--3---------- pro/pro/RR--4---------- sebe/se/P6--4---------- ,/,/Z:------------- čas/čas/NNIS4-----A---- od/od/RR--2---------- času/čas/NNIS2-----A---- si/se/P7--3---------- vybrali/vybrat/VpMP----R-AAP-- někoho/někdo/PZM-4---------- z/z/RR--2---------- návštěvníků/návštěvník/NNMP2-----A---- a/a/J^------------- šeptem/šeptem/Db------------- se/se/P7--4---------- podělili/podělit/VpMP----R-AAP-- o/o/RR--4---------- své/svůj/P8FP4---------1 myšlenky/myšlenka/NNFP4-----A----";"././Z:-------------"
"5";"Virgília/Virgílie/NNFS1-----A----";"chovala/chovat/VpFS----R-AAI-- velké/velký/AAFP4----1A---- naděje/naděje/NNFP4-----A---- ,/,/Z:------------- že/že/J,------------- tenhle/tenhle/PDMS1---------- starý/starý/AAMS1----1A---- příbuzný/příbuzný/NNMS1-----A---- ,/,/Z:------------- lakotný/lakotný/AAMS1----1A---- jako/jako/J,------------- hrob/hrob/NNIS1-----A---- ,/,/Z:------------- zajistí/zajistit/VB-S---3P-AAP-- synkovu/synkův/AUFS4M--------- budoucnost/budoucnost/NNFS4-----A---- nějakým/nějaký/PZNS7---------- tím/ten/PDNS7---------- dědictvím/dědictví/NNNS7-----A---- ;/;/Z:------------- její/její/PSMS1FS3------- choť/choť/NNMS1-----A---- ,/,/Z:------------- ačli/ačli/J,------------- byl/být/VpMS----R-AAI-- stejného/stejný/AANS2----1A---- mínění/mínění/NNNS1-----A---- ,/,/Z:------------- své/svůj/P8FP4---------1 myšlenky/myšlenka/NNFP4-----A----";"tajil/tajit/VpMS----R-AAI-- či/či/J^------------- dusil/dusit/VpMS----R-AAI-- v/v/RR--6---------- zárodku/zárodek/NNIS6-----A---- ././Z:-------------"
"6";"Na/na/RR--6---------- jedné/jeden/ClFS6---------- straně/strana/NNFS6-----A---- se/se/P7--4---------- někdy/někdy/Db-------------";"chováš/chovat/VB-S---2P-AAI-- jako/jako/J,------------- dítě/dítě/NNNS1-----A---- ,/,/Z:------------- na/na/RR--6---------- druhé/druhý/CrFS6---------- straně/strana/NNFS6-----A---- máš/mít/VB-S---2P-AAI-- úsudek/úsudek/NNIS4-----A---- tak/tak/Db------------- bystrý/bystrý/AAIS4----1A---- a/a/J^------------- myšlenky/myšlenka/NNFP4-----A----";"tak/tak/Db------------- pohotové/pohotový/AAFP4----1A---- ,/,/Z:------------- až/až/J,------------- je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- k/k/RR--3---------- nevíře/nevíra/NNFS3-----A---- ././Z:-------------"
"7";"Čím/co/PQ--7---------- se/se/P7--4---------- mu/on/PHMS3--3------- ta/ten/PDFS1---------- žena/žena/NNFS1-----A---- a/a/J^------------- její/její/PSFS1FS3------- dcerka/dcerka/NNFS1-----A---- stávaly/stávat/VpFP----R-AAI-- bližší/blízký/AAFS7----2A---- ,/,/Z:------------- tím/ten/PDNS7---------- méně/málo/Dg-------2A---- si/se/P7--3---------- troufal/troufat/VpMS----R-AAI--";"chovat/chovat/Vf--------A-I-- se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5MP3--3------- jako/jako/J,------------- člen/člen/NNMS1-----A---- rodiny/rodina/NNFS2-----A---- ,/,/Z:------------- tím/ten/PDNS7---------- přísněji/přísně/Dg-------2A---- ovládal/ovládat/VpMS----R-AAI-- své/svůj/P8FP4---------1 myšlenky/myšlenka/NNFP4-----A----";",/,/Z:------------- vědomí/vědomí/NNNS4-----A---- povinnosti/povinnost/NNFS2-----A---- ke/k/RV--3---------- své/svůj/P8FS3---------1 rodině/rodina/NNFS3-----A---- a/a/J^------------- tím/ten/PDNS7---------- větší/velký/AAFS1----2A---- byla/být/VpFS----R-AAI-- jeho/jeho/PSFS1-S3------- bolest/bolest/NNFS1-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- dopustil/dopustit/VpMS----R-AAP-- nevěry/nevěra/NNFS2-----A---- ././Z:-------------"
"8";"Němci/Němec/NNMP1-----A---- jsou/být/VB-P---3P-AAI-- jedinými/jediný/AAMP7----1A---- skutečnými/skutečný/AAMP7----1A---- lidmi/člověk/NNMP7-----A---- na/na/RR--6---------- světě/svět/NNIS6-----A---- a/a/J^------------- stejně/stejně/Dg-------1A---- jako/jako/J,------------- se/se/P7--4----------";"chovají/chovat/VB-P---3P-AAI-- slušně/slušně/Dg-------1A---- ke/k/RV--3---------- zvířatům/zvíře/NNNP3-----A---- ,/,/Z:------------- chovají/chovat/VB-P---3P-AAI-- se/se/P7--4---------- slušně/slušně/Dg-------1A---- k/k/RR--3---------- těmto/tento/PDNP3---------- lidským/lidský/AANP3----1A---- zvířatům/zvíře/NNNP3-----A---- ,/,/Z:------------- ale/ale/J^------------- bylo/být/VpNS----R-AAI-- by/být/Vc----------I-- zločinem/zločin/NNIS7-----A---- proti/proti/RR--3---------- vlastní/vlastní/AAFS3----1A---- krvi/krev/NNFS3-----A---- se/se/P7--4---------- kvůli/kvůli/RR--3---------- nim/oni/P5MP3--3------- trápit/trápit/Vf--------A-I-- a/a/J^------------- předávat/předávat/Vf--------A-I-- jim/oni/PPMP3--3------- své/svůj/P8FP4---------1 myšlenky/myšlenka/NNFP4-----A----";"././Z:-------------"
"9";"Jak/jak/Db------------- říkám/říkat/VB-S---1P-AAI-- ,/,/Z:------------- po/po/RR--4---------- celou/celý/AAFS4----1A---- dobu/doba/NNFS4-----A---- se/se/P7--4----------";"chovala/chovat/VpFS----R-AAI-- naprosto/naprosto/Db------------- profesionálně/profesionálně/Dg-------1A---- ,/,/Z:------------- ale/ale/J^------------- mou/můj/PSFS7-S1------1 povinností/povinnost/NNFS7-----A---- bylo/být/VpNS----R-AAI-- myslet/myslet/Vf--------A-I-- na/na/RR--4---------- blaho/blaho/NNNS4-----A---- panství/panství/NNNS2-----A---- i/i/J^------------- do/do/RR--2---------- budoucna/budoucno/NNNS2-----A---- ,/,/Z:------------- a/a/J^------------- pokud/pokud/J,------------- ony/onen/PDIP1---------- náznaky/náznak/NNIP1-----A---- opravdu/opravdu/TT------------- podporují/podporovat/VB-P---3P-AAI-- myšlenku/myšlenka/NNFS4-----A----";"pana/pán/NNMS2-----A---- Grahama/Graham/NNMS2-----A---- ,/,/Z:------------- že/že/J,------------- slečna/slečna/NNFS1-----A---- Kentonová/Kentonová/NNFS1-----A---- uvažuje/uvažovat/VB-S---3P-AAI-- z/z/RR--2---------- romantických/romantický/AAIP2----1A---- důvodů/důvod/NNIP2-----A---- o/o/RR--6---------- odchodu/odchod/NNIS6-----A---1 ,/,/Z:------------- měl/mít/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- bezesporu/bezesporu/TT------------- odpovědnost/odpovědnost/NNFS4-----A---- záležitost/záležitost/NNFS4-----A---- prověřit/prověřit/Vf--------A-P-- ././Z:-------------"
"10";"Kdyby/kdyby|být/J,-------------|Vc----------I-- se/se/P7--4---------- všichni/všechen/PLMP1----------";"chovali/chovat/VpMP----R-AAI-- tímto/tento/PDIS7---------- způsobem/způsob/NNIS7-----A---- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- jednoznačně/jednoznačně/Dg-------1A---- sdělovali/sdělovat/VpMP----R-AAI-- své/svůj/P8FP4---------1 myšlenky/myšlenka/NNFP4-----A----";",/,/Z:------------- tak/tak/J^------------- by/být/Vc----------I-- to/ten/PDNS1---------- bylo/být/VpNS----R-AAI-- jen/jen/Db------------- ku/k/RV--3---------- prospěchu/prospěch/NNIS3-----A---- ././Z:-------------"
