id;left;kwic;right
"1";"Podle/podle/RR--2---------- německé/německý/AAFS2----1A---- ústavy/ústava/NNFS2-----A---- má/mít/VB-S---3P-AAI-- každý/každý/PLMS1---------- vězeň/vězeň/NNMS1-----A---- ""/""/Z:------------- právo/právo/NNNS4-----A---- na/na/RR--4----------";"naději/naděje/NNFS4-----A---- ""/""/Z:------------- ,/,/Z:------------- že/že/J,------------- když/když/J,------------- se/se/P7--4---------- bude/být/VB-S---3F-AAI-- chovat/chovat/Vf--------A-I--";"slušně/slušně/Dg-------1A---- ,/,/Z:------------- stráví/strávit/VB-S---3P-AAP-- konec/konec/NNIS4-----A---- života/život/NNIS2-----A---- na/na/RR--6---------- svobodě/svoboda/NNFS6-----A---- ././Z:-------------"
"2";"Problém/problém/NNIS1-----A---- je/být/VB-S---3P-AAI-- v/v/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- že/že/J,------------- sebevrah/sebevrah/NNMS1-----A----";"naději/naděje/NNFS4-----A---- na/na/RR--4---------- takovou/takový/PDFS4---------- změnu/změna/NNFS4-----A---- nechová/chovat/VB-S---3P-NAI--";"././Z:-------------"
"3";"V/v/RR--6---------- narážce/narážka/NNFS6-----A---- na/na/RR--4---------- tragické/tragický/AANS4----1A---- ustupování/ustupování/NNNS4-----A---- Adolfu/Adolf/NNMS3-----A---1 Hitlerovi/Hitler/NNMS3-----A---- Bush/Bush/NNMS1-----A---- vyjádřil/vyjádřit/VpMS----R-AAP--";"naději/naděje/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- ""/""/Z:------------- se/se/P7--4---------- OSN/OSN/BN------------- nezachová/zachovat/VB-S---3P-NAP-- podobně/podobně/Dg-------1A---- ,/,/Z:------------- jako/jako/J,------------- se/se/P7--4---------- chovala/chovat/VpFS----R-AAI--";"Liga/liga/NNFS1-----A---- národů/národ/NNIP2-----A---- v/v/RR--6---------- období/období/NNNS6-----A---- před/před/RR--7---------- 2/2/C=------------- ././Z0------------- světovou/světový/AAFS7----1A---- válkou/válka/NNFS7-----A---- ././Z:------------- ""/""/Z:-------------"
"4";"Vkládám/vkládat/VB-S---1P-AAI-- do/do/RR--2---------- ní/on/P5FS2--3------- velké/velký/AAFP4----1A----";"naděje/naděje/NNFP4-----A---- ,/,/Z:------------- i/i/J^------------- když/když/J,------------- mi/já/PH-S3--1------- připadá/připadat/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- více/hodně/Dg-------2A---- chovají/chovat/VB-P---3P-AAI--";"jako/jako/J,------------- stádo/stádo/NNNS1-----A---- ,/,/Z:------------- hlavně/hlavně/Dg-------1A---- když/když/J,------------- dojde/dojít/VB-S---3P-AAP-- na/na/RR--4---------- volby/volba/NNFP4-----A---- ././Z:-------------"
"5";"Přál/přát/VpMS----R-AAI-- jí/on/PPFS3--3------- dobré/dobrý/AANS4----1A---- ráno/ráno/NNNS4-----A---- ,/,/Z:------------- doufal/doufat/VpMS----R-AAI-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- hezky/hezky/Dg-------1A---- vyspala/vyspat/VpFS----R-AAP-- ,/,/Z:------------- ujistil/ujistit/VpMS----R-AAP-- ji/on/PPFS4--3------- o/o/RR--6---------- své/svůj/P8FS6---------1 oddanosti/oddanost/NNFS6-----A---- a/a/J^------------- vyjádřil/vyjádřit/VpMS----R-AAP--";"naději/naděje/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- i/i/J^------------- ona/on/PPFS1--3------- k/k/RR--3---------- němu/on/P5MS3--3------- chová/chovat/VB-S---3P-AAI--";"alespoň/alespoň/Db------------- maličko/maličko/Dg-------1A---- podobných/podobný/AAIP2----1A---- citů/cit/NNIP2-----A---- ././Z:-------------"
"6";"Ale/ale/J^------------- ty/ty/PP-S1--2------- ,/,/Z:-------------";"Naději/naděje/NNFS4-----A---- ,/,/Z:------------- ty/ty/PP-S1--2------- a/a/J^------------- tvůj/tvůj/PSMS1-S2------- táta/táta/NNMS1-----A---- s/s/RR--7---------- mámou/máma/NNFS7-----A---- ,/,/Z:------------- se/se/P7--4---------- chováte/chovat/VB-P---2P-AAI--";"důležitě/důležitě/Dg-------1A---- ././Z:-------------"
"7";"Jeho/jeho/PSNS4-S3------- rozhodnutí/rozhodnutí/NNNS4-----A---- nediktovala/diktovat/VpFS----R-NAI-- ani/ani/J^------------- tak/tak/Db------------- touha/touha/NNFS1-----A---- najít/najít/Vf--------A-P-- ničemy/ničema/NNMP4-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- vyvraždili/vyvraždit/VpMP----R-AAP-- jeho/jeho/PSFS4-S3------- rodinu/rodina/NNFS4-----A---- ,/,/Z:------------- a/a/J^------------- pomstít/pomstít/Vf--------A-P-- se/se/P7--4---------- ,/,/Z:------------- i/i/J^------------- když/když/J,------------- v/v/RR--6---------- skrytu/skryt/NNIS6-----A---- duše/duše/NNFS2-----A---- ještě/ještě/Db------------- jistou/jistý/AAFS4----1A----";"naději/naděje/NNFS4-----A---- choval/chovat/VpMS----R-AAI--";",/,/Z:------------- jako/jako/J,------------- spíše/spíš/TT------------- prostý/prostý/AAIS4----1A---- zdravý/zdravý/AAIS4----1A---- rozum/rozum/NNIS4-----A---- ././Z:-------------"
"8";"";"Naději/naděje/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- Roman/Roman/NNMS1-----A---- Hubník/Hubník/NNMS1-----A---- své/svůj/P8NS4---------1 hostování/hostování/NNNS4-----A---- v/v/RR--6---------- mateřské/mateřský/AAFS6----1A---- Olomouci/Olomouc/NNFS6-----A---- prodloužil/prodloužit/VpMS----R-AAP-- i/i/J^------------- pro/pro/RR--4---------- jarní/jarní/AAFS4----1A---- část/část/NNFS4-----A---- sezony/sezóna/NNFS2-----A---- ,/,/Z:------------- v/v/RR--6---------- Sigmě/Sigma/NNFS6-----A---- příliš/příliš/Db------------- velkou/velký/AAFS4----1A---- nechovali/chovat/VpMP----R-NAI--";"././Z:-------------"
"9";"Pokud/pokud/J,------------- takové/takový/PDFP4----------";"naděje/naděje/NNFP4-----A---- chovala/chovat/VpFS----R-AAI--";",/,/Z:------------- tak/tak/J^------------- uvažovala/uvažovat/VpFS----R-AAI-- úplně/úplně/Dg-------1A---- jinak/jinak/Db------------- než/než/J,------------- vrah/vrah/NNMS1-----A---- ././Z:-------------"
"10";"Z/z/RR--2---------- jejích/její/PSMP2FS3------- jedenácti/jedenáct/Cn-P2---------- účastníků/účastník/NNMP2-----A---- se/se/P7--4---------- prosadila/prosadit/VpFS----R-AAP-- zatím/zatím/Db------------- nejvýrazněji/výrazně/Dg-------3A---- druhá/druhý/CrFS1---------- v/v/RR--6---------- pražském/pražský/AAIS6----1A---- Gerschově/Gerschův/AUIS6M--------- memoriálu/memoriál/NNIS6-----A---- Winona/Winona/NNFS1-----A---- (/(/Z:------------- ž/ž/BN------------- ././Z0------------- Zobalová/Zobalová/NNFS1-----A---- )/)/Z:------------- ,/,/Z:------------- ale/ale/J^-------------";"naděje/naděje/NNFP4-----A---- chovají/chovat/VB-P---3P-AAI--";"i/i/J^------------- vítězka/vítězka/NNFS1-----A---- karlovarské/karlovarský/AAFS2----1A---- Ceny/cena/NNFS2-----A---- Masise/Masise/X@------------- Kerta/Kert/NNMS2-----A---- (/(/Z:------------- Chaloupka/Chaloupka/NNMS1-----A---- )/)/Z:------------- a/a/J^------------- v/v/RR--6---------- témže/tentýž/PDIS6---------- dostihu/dostih/NNIS6-----A---- třetí/třetí/CrIS1---------- Spark/Spark/NNIS1-----A---- of/of/F%------------- Light/Light/F%------------- (/(/Z:------------- ž/ž/BN------------- ././Z0------------- Michna/Michna/NNMS1-----A---- )/)/Z:------------- ././Z:-------------"
"11";"Tuto/tento/PDFS4----------";"naději/naděje/NNFS4-----A---- chovají/chovat/VB-P---3P-AAI--";"hlavně/hlavně/Dg-------1A---- politici/politik/NNMP1-----A---- ,/,/Z:------------- ekonom/ekonom/NNMS1-----A---- Thanassis/Thanassis/X@------------- Mavridis/Mavridis/X@------------- ale/ale/J^------------- varuje/varovat/VB-S---3P-AAI-- před/před/RR--7---------- přehnanými/přehnaný/AANP7----1A---- očekáváními/očekávání/NNNP7-----A---- ././Z:-------------"
"12";"Falešné/falešný/AAFP4----1A----";"naděje/naděje/NNFP4-----A---- do/do/RR--2---------- odvetného/odvetný/AAIS2----1A---- zápasu/zápas/NNIS2-----A---- nechová/chovat/VB-S---3P-NAI--";"ani/ani/J^------------- český/český/AAMS1----1A---- útočník/útočník/NNMS1-----A---- v/v/RR--6---------- barvách/barva/NNFP6-----A---- Kaiserslauternu/Kaiserslautern/NNIS2-----A---- VRATISLAV/Vratislav/NNMS1-----A---- LOKVENC/Lokvenc/NNMS1-----A---- ././Z:-------------"
"13";"Přitom/přitom/Db------------- až/až/TT------------- polovina/polovina/CyFS1---------- prvních/první/CrFP2---------- srdečních/srdeční/AAFP2----1A---- příhod/příhoda/NNFP2-----A---- způsobených/způsobený/AAFP2----1A---- vyšším/vysoký/AAIS7----2A---- cholesterolem/cholesterol/NNIS7-----A---- končí/končit/VB-S---3P-AAI-- rychlou/rychlý/AAFS7----1A---- smrtí/smrt/NNFS7-----A---- postižených/postižený/AAMP2----1A---- ,/,/Z:------------- dříve/brzy/Dg-------2A---- než/než/J,------------- je/být/VB-S---3P-AAI-- možné/možný/AANS1----1A---- jim/oni/PPFP3--3------- pomoci/pomoci/Vf--------A-P-- skvělými/skvělý/AAFP7----1A---- technologiemi/technologie/NNFP7-----A---- ,/,/Z:------------- které/který/P4FP4---------- můžeme/moci/VB-P---1P-AAI-- téměř/téměř/Db------------- denně/denně/Dg-------1A---- obdivovat/obdivovat/Vf--------A-I-- ve/v/RV--6---------- sdělovacích/sdělovací/AAIP6----1A---- prostředcích/prostředek/NNIP6-----A---- a/a/J^------------- které/který/P4FP1---------- v/v/RR--6---------- části/část/NNFS6-----A---- populace/populace/NNFS2-----A---- budí/budit/VB-P---3P-AAI-- neoprávněné/oprávněný/AAFP4----1N----";"naděje/naděje/NNFP4-----A---- ve/v/RV--4---------- všemoc/všemoc/NNFS4-----A---- medicíny/medicína/NNFS2-----A---- ,/,/Z:------------- jež/jenž/PJFP1---------- nás/my/PP-P4--1------- zachrání/zachránit/VB-P---3P-AAP-- ,/,/Z:------------- ať/ať/J,------------- se/se/P7--4---------- chováme/chovat/VB-P---1P-AAI--";"sebehůř/špatně/Db------------- ././Z:-------------"
"14";"Reálnou/reálný/AAFS4----1A----";"naději/naděje/NNFS4-----A---- na/na/RR--4---------- start/start/NNIS4-----A---- v/v/RR--6---------- letos/letos/Db------------- premiérovém/premiérový/AANS6----1A---- play/play/F%------------- off/off/F%------------- stále/stále/Dg-------1A---- chovají/chovat/VB-P---3P-AAI--";"také/také/Db------------- čtvrtí/čtvrť/NNFS7-----A---- Mentos/Mentos/NNIS1-----A---- Chodov/Chodov/NNIS1-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- v/v/RR--6---------- předposledním/předposlední/AANS6----1A---- dvoukole/dvoukolo/NNNS6-----A---- získali/získat/VpMP----R-AAP-- cenné/cenný/AAIP4----1A---- skalpy/skalp/NNIP4-----A---- Vítkovic/Vítkovice/NNFP2-----A---- i/i/J^------------- Havířova/Havířov/NNIS2-----A---- ././Z:-------------"
"15";"Ačkoli/ačkoli/J,------------- byl/být/VpMS----R-AAI-- Richelieu/Richelieu/NNMS1-----A---- oficiálně/oficiálně/Dg-------1A---- přítelem/přítel/NNMS7-----A---- Švédska/Švédsko/NNNS2-----A---- ,/,/Z:------------- pohlížel/pohlížet/VpMS----R-AAI-- na/na/RR--4---------- Gustavův/Gustavův/AUIS4M--------- ohromující/ohromující/AGIS4-----A---- úspěch/úspěch/NNIS4-----A---- se/s/RV--7---------- znepokojením/znepokojení/NNNS7-----A---- ,/,/Z:------------- neboť/neboť/J^------------- zmařil/zmařit/VpMS----R-AAP-- všechny/všechen/PLFP4----------";"naděje/naděje/NNFP4-----A---- ,/,/Z:------------- které/který/P4FP4---------- spolu/spolu/Db------------- s/s/RR--7---------- páterem/páter/NNMS7-----A---- Josefem/Josef/NNMS7-----A---- chovali/chovat/VpMP----R-AAI--";",/,/Z:------------- a/a/J^------------- sice/sice/J^------------- že/že/J,------------- budou/být/VB-P---3F-AAI-- moci/moci/Vf--------A-I-- prostředkovat/prostředkovat/Vf--------A-I-- mezi/mezi/RR--7---------- protestantskými/protestantský/AAMP7----1A---- a/a/J^------------- katolickými/katolický/AAMP7----1A---- knížaty/kníže/NNMP7-----A---- ././Z:-------------"
"16";"Autorka/autorka/NNFS1-----A---- píše/psát/VB-S---3P-AAI-- o/o/RR--6---------- válečných/válečný/AAFP6----1A---- hrůzách/hrůza/NNFP6-----A---- ,/,/Z:------------- neopomíjí/opomíjet/VB-S---3P-NAI-- však/však/J^------------- ani/ani/J^-------------";"naději/naděje/NNFS4-----A---- (/(/Z:------------- symbolizovanou/symbolizovaný/AAFS4----1A---- zejména/zejména/TT------------- přeživším/přeživší/AMNS7-----A---- novorozenětem/novorozeně/NNNS7-----A---- ,/,/Z:------------- ačkoliv/ačkoli/J,------------- jeho/jeho/PSFS1-S3------- matka/matka/NNFS1-----A---- zemřela/zemřít/VpFS----R-AAP-- )/)/Z:------------- a/a/J^------------- hluboké/hluboký/AANS4----1A---- lidství/lidství/NNNS4-----A---- ,/,/Z:------------- ztělesňované/ztělesňovaný/AANS4----1A---- především/především/TT------------- postavou/postava/NNFS7-----A---- starého/starý/AAMS2----1A---- ševce/švec/NNMS2-----A---- ,/,/Z:------------- „/""/Z:------------- básníka/básník/NNMS2-----A---- v/v/RR--6---------- botách/bota/NNFP6-----A---- “/""/Z:------------- ,/,/Z:------------- jenž/jenž/PJMS1---------- je/být/VB-S---3P-AAI-- přímo/přímo/Dg-------1A---- archetypem/archetyp/NNIS7-----A---- „/""/Z:------------- dobrého/dobrý/AAMS2----1A---- člověka/člověk/NNMS2-----A---- “/""/Z:------------- ,/,/Z:------------- ale/ale/J^------------- nejen/nejen/Db------------- jím/jíst/VB-S---1P-AAI-- ;/;/Z:------------- altruisticky/altruisticky/Dg-------1A---- a/a/J^------------- nezištně/zištně/Dg-------1N---- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--";"i/i/J^------------- další/další/AAFP1----1A---- postavy/postava/NNFP1-----A---- ././Z:-------------"
