id;left;kwic;right;VNP?;doc.txtype_group
1;"""/""/Z:-------------";Chovám/chovat/VB-S---1P-AAI-- upřímnou/upřímný/AAFS4----1A---- naději/naděje/NNFS4-----A----;",/,/Z:------------- že/že/J,------------- můžeme/moci/VB-P---1P-AAI-- ukončit/ukončit/Vf--------A-P-- hladomor/hladomor/NNIS4-----A---- v/v/RR--6---------- této/tento/PDFS6---------- části/část/NNFS6-----A---- světa/svět/NNIS2-----A---- ,/,/Z:------------- ""/""/Z:------------- řekl/říci/VpMS----R-AAP-- Jackson/Jackson/NNMS1-----A---- novinářům/novinář/NNMP3-----A---- ././Z:-------------";1;NMG: publicistika
2;Stále/stále/Dg-------1A---- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- proto/proto/Db------------- v/v/RR--6---------- sobě/se/P6--6----------;choval/chovat/VpMS----R-AAI-- naději/naděje/NNFS4-----A----;,/,/Z:------------- že/že/J,------------- to/ten/PDNS1---------- bude/být/VB-S---3F-AAI-- v/v/RR--6---------- pohodě/pohoda/NNFS6-----A---- ././Z:-------------;1;NMG: publicistika
3;Sdružení/sdružení/NNNS1-----A---- Jazz/jazz/NNIS1-----A---- jde/jít/VB-S---3P-AAI-- městem/město/NNNS7-----A---- si/se/P7--3---------- sice/sice/J^-------------;chová/chovat/VB-S---3P-AAI-- naději/naděje/NNFS4-----A----;,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- hudba/hudba/NNFS1-----A---- alespoň/alespoň/Db------------- na/na/RR--4---------- tři/tři/ClIP4---------- dny/den/NNIP4-----A---- v/v/RR--6---------- polovině/polovina/CyFS6---------- října/říjen/NNIS2-----A---- do/do/RR--2---------- klubu/klub/NNIS2-----A---- vrátí/vrátit/VB-S---3P-AAP-- ,/,/Z:------------- ale/ale/J^------------- zároveň/zároveň/Db------------- hledá/hledat/VB-S---3P-AAI-- alternativní/alternativní/AANS4----1A---- řešení/řešení/NNNS4-----A---- ././Z:-------------;1;NMG: publicistika
4;O/o/RR--6---------- sobě/se/P6--6---------- samém/samý/PLNS6---------- žádné/žádný/PWFP4---------- iluze/iluze/NNFP4-----A---- neměl/mít/VpMS----R-NAI-- ,/,/Z:------------- stále/stále/Dg-------1A---- však/však/J^-------------;choval/chovat/VpMS----R-AAI-- naději/naděje/NNFS4-----A----;,/,/Z:------------- že/že/J,------------- ze/z/RV--2---------- mě/já/PH-S2--1------- by/být/Vc----------I-- jednou/jednou/Db------------- mohlo/moci/VpNS----R-AAI-- něco/něco/PZ--4---------- být/být/Vf--------A-I-- ././Z:-------------;1;FIC: beletrie
5;Sociální/sociální/AAMP1----1A---- demokraté/demokrat/NNMP1-----A---- včera/včera/Db------------- ještě/ještě/Db-------------;chovali/chovat/VpMP----R-AAI-- naději/naděje/NNFS4-----A----;,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- si/se/P7--3---------- mohli/moci/VpMP----R-AAI-- absolutní/absolutní/AAFS4----1A---- většinu/většina/NNFS4-----A---- ve/v/RV--6---------- Vídni/Vídeň/NNFS6-----A---- udržet/udržet/Vf--------A-P-- ././Z:-------------;1;NMG: publicistika
6;Za/za/RR--4---------- měsíc/měsíc/NNIS4-----A---- nato/nato/Db------------- odcestovali/odcestovat/VpMP----R-AAP-- do/do/RR--2---------- Texasu/Texas/NNIS2-----A---- (/(/Z:------------- do/do/RR--2---------- té/ten/PDFS2---------- dnešní/dnešní/AAFS2----1A---- Mekky/Mekka/NNFS2-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- vyjádřil/vyjádřit/VpMS----R-AAP-- strejček/strýček/NNMS1-----A---- Gavin/Gavin/NNMS1-----A---- ,/,/Z:------------- těch/ten/PDMP2---------- ,/,/Z:------------- co/co/J,------------- se/se/P7--4---------- do/do/RR--2---------- něčeho/něco/PZ--2---------- zapletli/zaplést/VpMP----R-AAP-- ,/,/Z:------------- nemůžou/moci/VB-P---3P-NAI-- platit/platit/Vf--------A-I-- nebo/nebo/J^------------- jenom/jen/Db-------------;chovají/chovat/VB-P---3P-AAI-- nějakou/nějaký/PZFS4---------- naději/naděje/NNFS4-----A----;)/)/Z:------------- i/i/J^------------- Flem/Flo/NNMS7-----A---- s/s/RR--7---------- Eulou/Eulou/X@------------- ,/,/Z:------------- kteří/který/P4MP1---------- se/se/P7--4---------- příští/příští/AAIS4----1A---- rok/rok/NNIS4-----A---- v/v/RR--6---------- létě/léto/NNNS6-----A---- vrátili/vrátit/VpMP----R-AAP-- s/s/RR--7---------- holčičkou/holčička/NNFS7-----A---- o/o/RR--4---------- trošku/trošku/Db------------- větší/velký/AAFS4----2A---- ,/,/Z:------------- než/než/J,------------- by/být/Vc----------I-- člověk/člověk/NNMS1-----A---- u/u/RR--2---------- dítěte/dítě/NNNS2-----A---- ,/,/Z:------------- kterému/který/P4MS3---------- jsou/být/VB-P---3P-AAI-- teprve/teprve/Db------------- tři/tři/ClIP1---------- měsíce/měsíc/NNIP1-----A---- ,/,/Z:------------- očekával/očekávat/VpMS----R-AAI-- ././Z:-------------;1;FIC: beletrie
7;Dovolte/dovolit/Vi-P---2--A-P-- ,/,/Z:------------- abych/aby|být/J,-------------|Vc-S---1----I-- zdůraznil/zdůraznit/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- nikterak/nikterak/Db------------- nesnižuji/snižovat/VB-S---1P-NAI-1 důležitost/důležitost/NNFS4-----A---- společenského/společenský/AANS2----1A---- svědomí/svědomí/NNNS2-----A---- jednotlivce/jednotlivec/NNMS2-----A---- a/a/J^------------- že/že/J,-------------;chovám/chovat/VB-S---1P-AAI-- pevnou/pevný/AAFS4----1A---- naději/naděje/NNFS4-----A----;,/,/Z:------------- že/že/J,------------- ani/ani/J^------------- mé/můj/PSNS1-S1------1 svědomí/svědomí/NNNS1-----A---- není/být/VB-S---3P-NAI-- zakrnělé/zakrnělý/AANS1----1A---- ././Z:-------------;1;FIC: beletrie
8;A/a/J^-------------;chová/chovat/VB-S---3P-AAI-- naději/naděje/NNFS4-----A----;,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- pořádně/pořádně/Dg-------1A---- ukáže/ukázat/VB-S---3P-AAP-- i/i/J^------------- český/český/AAIS1----1A---- tým/tým/NNIS1-----A---- pod/pod/RR--7---------- vedením/vedení/NNNS7-----A---- trenéra/trenér/NNMS2-----A---- Josefa/Josef/NNMS2-----A---- Jandače/Jandač/NNMS2-----A---- ././Z:-------------;1;NMG: publicistika
9;Po/po/RR--6---------- boku/bok/NNIS6-----A---- opata/opat/NNMS2-----A---- stál/stát/VpMS----R-AAI-- kardinál/kardinál/NNMS1-----A---- Bertrand/Bertrand/NNMS1-----A---- z/z/RR--2---------- Poggetta/Poggetta/X@------------- a/a/J^-------------;choval/chovat/VpMS----R-AAI-- se/se/P7--4---------- jako/jako/J,------------- někdo/někdo/PZM-1---------- ,/,/Z:------------- kdo/kdo/PKM-1---------- s/s/RR--7---------- mocnými/mocný/AAMP7----1A---- tohoto/tento/PDIS2---------- světa/svět/NNIS2-----A---- sedává/sedávat/VB-S---3P-AAI-- u/u/RR--2---------- jednoho/jeden/ClIS2---------- stolu/stůl/NNIS2-----A---- ,/,/Z:------------- málem/málem/Db------------- jako/jako/J,------------- by/být/Vc----------I-- sám/sám/PLMS1---------- byl/být/VpMS----R-AAI-- papež/papež/NNMS1-----A---- ,/,/Z:------------- a/a/J^------------- na/na/RR--4---------- všechny/všechen/PLFP4---------- strany/strana/NNFP4-----A---- ,/,/Z:------------- zvláště/zvlášť/Db------------- minoritům/minorita/NNMP3-----A---- ,/,/Z:------------- rozdílel/rozdílet/VpMS----R-AAI-- srdečné/srdečný/AAIP4----1A---- úsměvy/úsměv/NNIP4-----A---- a/a/J^------------- naději/naděje/NNFS4-----A----;ve/v/RV--4---------- významné/významný/AAFP4----1A---- dohody/dohoda/NNFP4-----A---- na/na/RR--4---------- příští/příští/AAIS4----1A---- den/den/NNIS4-----A---- ././Z:-------------;0;FIC: beletrie
10;Němci/Němec/NNMP1-----A----;chovali/chovat/VpMP----R-AAI-- naději/naděje/NNFS4-----A----;,/,/Z:------------- že/že/J,------------- poskytnou/poskytnout/VB-P---3P-AAP-- Rakousku/Rakousko/NNNS3-----A---- možnost/možnost/NNFS4-----A---- rychle/rychle/Dg-------1A---- potrestat/potrestat/Vf--------A-P-- Srbsko/Srbsko/NNNS4-----A---- a/a/J^------------- tím/ten/PDNS7---------- postavit/postavit/Vf--------A-P-- Rusko/Rusko/NNNS4-----A---- ,/,/Z:------------- Británii/Británie/NNFS4-----A---- a/a/J^------------- Francii/Francie/NNFS4-----A---- před/před/RR--4---------- vyřešený/vyřešený/AAIS4----1A---- problém/problém/NNIS4-----A---- ,/,/Z:------------- který/který/P4IS4---------- nechtěly/chtít/VpIP----R-NAI-- zpochybnit/zpochybnit/Vf--------A-P-- vstupem/vstup/NNIS7-----A---- do/do/RR--2---------- války/válka/NNFS2-----A---- kvůli/kvůli/RR--3---------- Srbsku/Srbsko/NNNS3-----A---- ././Z:-------------;1;NFC: oborová literatura
