id;left;kwic;right
"1";"Teď/teď/Db------------- jen/jen/Db------------- doufám/doufat/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- konečně/konečně/Dg-------1A---- přemůžu/přemoci/VB-S---1P-AAP-- svoji/svůj/P8FS4---------- lenost/lenost/NNFS4-----A---- a/a/J^-------------";"nechuť/nechuť/NNFS4-----A---- vyřizovat/vyřizovat/Vf--------A-I-- cokoliv/cokoli/PZ--4---------- s/s/RR--7---------- jakoukoliv/jakýkoli/PZFS7---------- institucí/instituce/NNFS7-----A---- a/a/J^------------- začnu/začít/VB-S---1P-AAP-- se/se/P7--4---------- chovat/chovat/Vf--------A-I--";"promiskuitně/promiskuitně/Dg-------1A---- ././Z:-------------"
"2";"Ado/Ado/NNMS1-----A---- jisté/jistý/AAFS2----1A---- míry/míra/NNFS2-----A---- také/také/Db------------- vysvětluje/vysvětlovat/VB-S---3P-AAI--";"nechuť/nechuť/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- Atkinson/Atkinson/NNMS1-----A---- k/k/RR--3---------- Beanovi/Bean/NNMS3-----A---- svým/svůj/P8IS7---------- způsobem/způsob/NNIS7-----A---- chová/chovat/VB-S---3P-AAI--";"././Z:-------------"
"3";"Tohle/tenhle/PDNS1---------- bylo/být/VpNS----R-AAI-- jednoznačně/jednoznačně/Dg-------1A---- lepší/dobrý/AANS1----2A---- než/než/J,------------- muset/muset/Vf--------A-I-- zkoumat/zkoumat/Vf--------A-I-- psychiku/psychika/NNFS4-----A---- patrně/patrně/TT------------- (/(/Z:------------- taktéž/taktéž/Db------------- )/)/Z:------------- opilého/opilý/AAMS4----1A---- ,/,/Z:------------- chronicky/chronicky/Dg-------1A---- mlčenlivého/mlčenlivý/AAMS4----1A---- ,/,/Z:------------- soukromé/soukromý/AAFP4----1A---- zavírací/zavírací/AAFP4----1A---- hodiny/hodina/NNFP4-----A---- nerespektujícího/respektující/AGMS4-----N---- a/a/J^-------------";"nechuť/nechuť/NNFS4-----A---- podílet/podílet/Vf--------A-I-- se/se/P7--4---------- na/na/RR--6---------- odklízecích/odklízecí/AAFP6----1A---- pracích/práce/NNFP6-----A---- demonstrujícího/demonstrující/AGMS2-----A---- „/""/Z:------------- partnera/partner/NNMS2-----A---- “/""/Z:------------- ,/,/Z:------------- a/a/J^------------- to/to/TT------------- za/za/RR--7---------- účelem/účel/NNIS7-----A---- zjištění/zjištění/NNNS2-----A---- ,/,/Z:------------- zda/zda/J,------------- si/se/P7--3---------- dělá/dělat/VB-S---3P-AAI-- naděje/naděje/NNFP4-----A---- nebo/nebo/J^------------- chová/chovat/VB-S---3P-AAI--";"obavy/obava/NNFP4-----A---- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- ještě/ještě/Db------------- mohlo/moci/VpNS----R-AAI-- dojít/dojít/Vf--------A-P-- na/na/RR--4---------- sex/sex/NNIS4-----A---- ././Z:-------------"
"4";"Narážím/narážet/VB-S---1P-AAI-- na/na/RR--4---------- vaši/váš/PSFS4-P2------- pověstnou/pověstný/AAFS4----1A---- prostořekost/prostořekost/NNFS4-----A---- a/a/J^-------------";"nechuť/nechuť/NNFS4-----A---- chovat/chovat/Vf--------A-I--";"se/se/P7--4---------- konvenčně/konvenčně/Dg-------1A---- .../.../Z:-------------"
"5";"Což/co/PE--1---------- mi/já/PH-S3--1------- vnuklo/vnuknout/VpNS----R-AAP-1 nápad/nápad/NNIS4-----A---- ,/,/Z:------------- jak/jak/Db------------- ukončit/ukončit/Vf--------A-P-- celospolečenskou/celospolečenský/AAFS4----1A---- apatii/apatie/NNFS4-----A---- a/a/J^-------------";"nechuť/nechuť/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- chováme/chovat/VB-P---1P-AAI--";"k/k/RR--3---------- dění/dění/NNNS3-----A---- za/za/RR--7---------- hranicemi/hranice/NNFP7-----A---- vlasti/vlast/NNFS2-----A---- ././Z:-------------"
"6";"Z/z/RR--2---------- klubka/klubko/NNNS2-----A---- lidí/člověk/NNMP2-----A---- ,/,/Z:------------- k/k/RR--3---------- nimž/jenž/P9MP3---------- chováš/chovat/VB-S---2P-AAI-- tajnou/tajný/AAFS4----1A----";"nechuť/nechuť/NNFS4-----A---- ,/,/Z:------------- protože/protože/J,------------- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--";"přesně/přesně/Dg-------1A---- jako/jako/J,------------- ty/ty/PP-S1--2------- ,/,/Z:------------- když/když/J,------------- ti/ty/PH-S3--2------- bylo/být/VpNS----R-AAI-- pětadvacet/pětadvacet/Cn-S1---------- ,/,/Z:------------- se/se/P7--4---------- zničehonic/zničehonic/Db------------- vyloupne/vyloupnout/VB-S---3P-AAP-- známý/známý/AAIS1----1A---- obličej/obličej/NNIS1-----A---- ././Z:-------------"
"7";"Podivné/podivný/AANS1----1A---- vytržení/vytržení/NNNS1-----A---- pominulo/pominout/VpNS----R-AAP-- a/a/J^------------- pociťoval/pociťovat/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- k/k/RR--3---------- ní/on/P5FS3--3------- už/už/Db------------- zase/zase/Db------------- jen/jen/Db------------- čirou/čirý/AAFS4----1A----";"nechuť/nechuť/NNFS4-----A---- a/a/J^------------- bylo/být/VpNS----R-AAI-- mi/já/PH-S3--1------- trapné/trapný/AANS1----1A---- ,/,/Z:------------- že/že/J,------------- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- k/k/RR--3---------- ní/on/P5FS3--3------- před/před/RR--7---------- chvílí/chvíle/NNFS7-----A---- choval/chovat/VpMS----R-AAI--";"s/s/RR--7---------- takovým/takový/PDIS7---------- zdůvěrňujícím/zdůvěrňující/AGIS7-----A---- zájmem/zájem/NNIS7-----A---- a/a/J^------------- laskavostí/laskavost/NNFS7-----A---- (/(/Z:------------- i/i/J^------------- když/když/J,------------- jen/jen/Db------------- předstíranou/předstíraný/AAFS4----1A---- )/)/Z:------------- ././Z:-------------"
"8";"Vzhledem/vzhledem/RF------------- k/k/RR--3---------- tomu/ten/PDNS3---------- ,/,/Z:------------- jakou/jaký/P4FS4----------";"nechuť/nechuť/NNFS4-----A---- mimino/mimino/NNNS1-----A---- chová/chovat/VB-S---3P-AAI--";"k/k/RR--3---------- uspávání/uspávání/NNNS3-----A---- a/a/J^------------- jak/jak/Db------------- často/často/Dg-------1A---- se/se/P7--4---------- naopak/naopak/TT------------- za/za/RR--4---------- působivé/působivý/AAFP4----1A---- akustické/akustický/AAFP4----1A---- kulisy/kulisa/NNFP4-----A---- dlouho/dlouho/Dg-------1A---- před/před/RR--7---------- svítáním/svítání/NNNS7-----A---- probouzí/probouzet/VB-S---3P-AAI-- ,/,/Z:------------- bych/být/Vc-S---1----I-- jej/on/PPIS4--3------2 i/i/J^------------- já/já/PP-S1--1------- měl/mít/VpMS----R-AAI-- za/za/RR--4---------- sovu/sova/NNFS4-----A---- ,/,/Z:------------- symbol/symbol/NNIS4-----A---- ponocování/ponocování/NNNS2-----A---- ././Z:-------------"
"9";"Ale/ale/J^------------- kdo/kdo/PKM-1---------- ví/vědět/VB-S---3P-AAI-- ,/,/Z:------------- třeba/třeba/TT------------- byla/být/VpFS----R-AAI-- rozvášněná/rozvášněný/AAFS1----1A---- debata/debata/NNFS1-----A---- pouze/pouze/Db------------- reakcí/reakce/NNFS7-----A---- na/na/RR--4---------- vyjádření/vyjádření/NNNS4-----A---- expremiéra/expremiér/NNMS2-----A---- Václava/Václav/NNMS2-----A---- Klause/Klaus/NNMS2-----A---- pro/pro/RR--4---------- Lidové/lidový/AAFP4----1A---- noviny/noviny/NNFP4-----A---- ,/,/Z:------------- kde/kde/Db------------- svou/svůj/P8FS4---------1";"nechuť/nechuť/NNFS4-----A---- privatizovat/privatizovat/Vf--------A-B-- banky/banka/NNFP4-----A---- vysvětlil/vysvětlit/VpMS----R-AAP-- tím/ten/PDNS7---------- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- se/se/P7--4---------- privátní/privátní/AAFP1----1A---- banky/banka/NNFP1-----A---- chovaly/chovat/VpFP----R-AAI--";"velmi/velmi/Db------------- obezřetně/obezřetně/Dg-------1A---- a/a/J^------------- neposkytovaly/poskytovat/VpFP----R-NAI-- tolik/tolik/Ca--4---------- úvěrů/úvěr/NNIP2-----A---- ././Z:-------------"
"10";"Možná/možná/TT------------- proto/proto/Db------------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- mi/já/PH-S3--1------- pomstila/pomstít/VpFS----R-AAP-- za/za/RR--4---------- můj/můj/PSIS4-S1------- přípitek/přípitek/NNIS4-----A---- a/a/J^-------------";"nechuť/nechuť/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- chovám/chovat/VB-S---1P-AAI--";"vůči/vůči/RR--3---------- jejímu/její/PSMS3FS3------- manželovi/manžel/NNMS3-----A---- ,/,/Z:------------- si/se/P7--3---------- najímá/najímat/VB-S---3P-AAI-- jiného/jiný/AAMS4----1A---- režiséra/režisér/NNMS4-----A---- ,/,/Z:------------- Jamieho/Jamie/NNMS4-----A---- Kinga/King/NNMS4-----A---- ././Z:-------------"
"11";"Nepřekonatelnou/překonatelný/AAFS4----1N----";"nechuť/nechuť/NNFS4-----A---- chovají/chovat/VB-P---3P-AAI--";"můry/můra/NNFP1-----A---- k/k/RR--3---------- muří/muří/AAFS3----1A---- noze/noha/NNFS3-----A---- -/-/Z:------------- pěticípé/pěticípý/AAFS3----1A---- hvězdě/hvězda/NNFS3-----A---- nakreslené/nakreslený/AAFP1----1A---- jedním/jeden/ClIS7---------- tahem/tah/NNIS7-----A---- ././Z:-------------"
"12";"Na/na/RR--4---------- její/její/PSNS4FS3------- volání/volání/NNNS4-----A---- se/se/P7--4---------- v/v/RR--6---------- ulicích/ulice/NNFP6-----A---- syrských/syrský/AANP2----1A---- měst/město/NNNP2-----A---- po/po/RR--6---------- pátečních/páteční/AAFP6----1A---- modlitbách/modlitba/NNFP6-----A---- shromáždily/shromáždit/VpFP----R-AAP-- statisíce/stotisíc/CzIP1---------1 lidí/člověk/NNMP2-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- pozorovatelům/pozorovatel/NNMP3-----A---- a/a/J^------------- skrze/skrz/RV--4---------- ně/oni/P5MP4--3------- i/i/J^------------- světu/svět/NNIS3-----A---- názorně/názorně/Dg-------1A---- předvedli/předvést/VpMP----R-AAP-- ,/,/Z:------------- jak/jak/Db------------- hlubokou/hluboký/AAFS4----1A----";"nechuť/nechuť/NNFS4-----A---- ke/k/RV--3---------- svému/svůj/P8MS3---------- diktátorovi/diktátor/NNMS3-----A---- chovají/chovat/VB-P---3P-AAI--";"././Z:-------------"
