id;left;kwic;right
"1";"Kdo/kdo/PKM-1---------- si/se/P7--3---------- přečte/přečíst/VB-S---3P-AAP-- Marxovo/Marxův/AUNS4M--------- dílko/dílko/NNNS4-----A---- O/o/RR--6---------- židovské/židovský/AAFS6----1A---- otázce/otázka/NNFS6-----A---- ,/,/Z:------------- ví/vědět/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- jeho/jeho/PSMS1-S3------- autor/autor/NNMS1-----A----";"choval/chovat/VpMS----R-AAI-- k/k/RR--3---------- židovskému/židovský/AANS3----1A---- společenství/společenství/NNNS3-----A---- silnou/silný/AAFS4----1A---- nechuť/nechuť/NNFS4-----A----";",/,/Z:------------- až/až/J,------------- nepřátelství/nepřátelství/NNNS4-----A---- ././Z:-------------"
"2";"Dnes/dnes/Db------------- je/být/VB-S---3P-AAI-- přitom/přitom/Db------------- ta/ten/PDFS1---------- hrozba/hrozba/NNFS1-----A---- do/do/RR--2---------- jisté/jistý/AAFS2----1A---- míry/míra/NNFS2-----A---- za/za/RR--7---------- námi/my/PP-P7--1------- a/a/J^------------- lidé/člověk/NNMP1-----A---- se/se/P7--4---------- nemusí/muset/VB-P---3P-NAI-1";"chovat/chovat/Vf--------A-I-- tak/tak/Db------------- konzervativně/konzervativně/Dg-------1A---- ,/,/Z:------------- komentoval/komentovat/VpMS----R-AAB-- v/v/RR--6---------- Hospodářských/hospodářský/AAFP6----1A---- novinách/noviny/NNFP6-----A---- šéf/šéf/NNMS1-----A---- České/český/AAFS2----1A---- národní/národní/AAFS2----1A---- banky/banka/NNFS2-----A---- Miroslav/Miroslav/NNMS1-----A---- Singer/Singer/NNMS1-----A---- přetrvávající/přetrvávající/AGFS4-----A---- nechuť/nechuť/NNFS4-----A----";"české/český/AAFS2----1A---- populace/populace/NNFS2-----A---- k/k/RR--3---------- utrácení/utrácení/NNNS3-----A---- peněz/peníze/NNIP2-----A---- ././Z:-------------"
"3";"Ačkoliv/ačkoliv/J,------------- národ/národ/NNIS1-----A---- český/český/AAIS1----1A----";"chová/chovat/VB-S---3P-AAI-- nechuť/nechuť/NNFS4-----A----";"více/více/Dg-------2A---- než/než/J,------------- značnou/značný/AAFS4----1A---- vůči/vůči/RR--3---------- fangličkaření/fangličkaření/NNNS3-----A---- ,/,/Z:------------- mávání/mávání/NNNS3-----A---- prápory/prápor/NNIP1-----A---- a/a/J^------------- patetickým/patetický/AAIP3----1A---- výlevům/výlev/NNIP3-----A---- obecně/obecně/Dg-------1A---- už/už/Db------------- od/od/RR--2---------- dob/doba/NNFP2-----A---- kamarádíčkování/kamarádíčkování/NNNS2-----A---- se/se/RV--7---------- Sovětským/sovětský/AAIS7----1A---- svazem/svaz/NNIS7-----A---- (/(/Z:------------- na/na/RR--4---------- věčné/věčný/AAIP4----1A---- časy/čas/NNIP4-----A---- a/a/J^------------- nikdy/nikdy/Db------------- jinak/jinak/Db------------- )/)/Z:------------- ,/,/Z:------------- neměli/mít/VpMP----R-NAI-- bychom/být/Vc-P---1----I-- na/na/RR--4---------- podobná/podobný/AANP4----1A---- tragická/tragický/AANP4----1A---- výročí/výročí/NNNP4-----A---- zapomínat/zapomínat/Vf--------A-I-- ././Z:-------------"
"4";"Jakmile/jakmile/J,------------- se/se/P7--4---------- při/při/RR--6---------- svém/svůj/P8NS6---------- rozhodování/rozhodování/NNNS6-----A---- začnou/začít/VB-P---3P-AAP--";"chovat/chovat/Vf--------A-I-- jako/jako/J,------------- my/my/PP-P1--1------- -/-/Z:------------- tedy/tedy/TT------------- racionálně/racionálně/Dg-------1A---- ,/,/Z:------------- často/často/Dg-------1A---- to/ten/PDNS1---------- v/v/RR--6---------- nás/my/PP-P6--1------- vzbouzí/vzbouzet/VB-S---3P-AAI-- takovou/takový/PDFS4---------- tu/ten/PDFS4---------- nechuť/nechuť/NNFS4-----A----";",/,/Z:------------- kdy/kdy/Db------------- říkáme/říkat/VB-P---1P-AAI-- ,/,/Z:------------- že/že/J,------------- bychom/být/Vc-P---1----I-- si/se/P7--3---------- o/o/RR--4---------- ni/on/P5FS4--3------- neopřeli/opřít/VpMP----R-NAP-- ani/ani/J^------------- kolo/kolo/NNNS4-----A---- .../.../Z:------------- a/a/J^------------- že/že/J,------------- my/my/PP-P1--1------- si/se/P7--3---------- teda/tedy/TT------------- fakt/fakt/TT------------- vybíráme/vybírat/VB-P---1P-AAI-- ,/,/Z:------------- o/o/RR--4---------- co/co/PQ--4---------- si/se/P7--3---------- ta/ten/PDNP4---------- kola/kolo/NNNP4-----A---- opřem/opřít/VB-P---1P-AAP-6 ,/,/Z:------------- co/co/PQ--4---------- ?/?/Z:-------------"
"5";"Obecně/obecně/Dg-------1A---- největší/velký/AAIS4----3A---- odpor/odpor/NNIS4-----A---- vyvolávají/vyvolávat/VB-P---3P-AAI-- u/u/RR--2---------- obou/oba/ClNP2---------- pohlaví/pohlaví/NNNP2-----A---- žehlení/žehlení/NNNS1-----A---- ,/,/Z:------------- mytí/mytí/NNNS1-----A---- oken/okno/NNNP2-----A---- ,/,/Z:------------- avšak/avšak/J^------------- muži/muž/NNMP1-----A---- k/k/RR--3---------- těmto/tento/PDFP3---------- pracím/práce/NNFP3-----A----";"chovají/chovat/VB-P---3P-AAI-- téměř/téměř/Db------------- dvakrát/dvakrát/Cv------------- menší/malý/AAFS4----2A---- nechuť/nechuť/NNFS4-----A----";"než/než/J,------------- ženy/žena/NNFP1-----A---- (/(/Z:------------- např/např/BT------------- ././Z0------------- mytí/mytí/NNNS1-----A---- oken/okno/NNNP2-----A---- nesnáší/snášet/VB-S---3P-NAI-- 20,8/20,8/C=------------- %/%/Z:------------- žen/žena/NNFP2-----A---- a/a/J^------------- 11,6/11,6/C=------------- %/%/Z:------------- mužů/muž/NNMP2-----A---- ,/,/Z:------------- u/u/RR--2---------- žehlení/žehlení/NNNS2-----A---- jsou/být/VB-P---3P-AAI-- čísla/číslo/NNNP1-----A---- podobná/podobný/AANP1----1A---- )/)/Z:------------- ././Z:-------------"
"6";"Pokud/pokud/J,------------- ovšem/ovšem/TT------------- jde/jít/VB-S---3P-AAI-- o/o/RR--4---------- „/""/Z:------------- pohanská/pohanský/AANP4----1A---- “/""/Z:------------- témata/téma/NNNP4-----A---- ,/,/Z:------------- církevní/církevní/AAFS1----1A---- část/část/NNFS1-----A---- autorů/autor/NNMP2-----A---- k/k/RR--3---------- nim/oni/P5MP3--3-------";"chová/chovat/VB-S---3P-AAI-- pochopitelnou/pochopitelný/AAFS4----1A---- nechuť/nechuť/NNFS4-----A----";":/:/Z:------------- pohané/pohan/NNMP1-----A---- jsou/být/VB-P---3P-AAI-- nanejvýš/nanejvýš/Db------------- jen/jen/Db------------- vhodným/vhodný/AAIS7----1A---- materiálem/materiál/NNIS7-----A---- k/k/RR--3---------- pokřtění/pokřtění/NNNS3-----A---- ,/,/Z:------------- do/do/RR--2---------- té/ten/PDFS2---------- doby/doba/NNFS2-----A---- jsou/být/VB-P---3P-AAI-- především/především/TT------------- nositeli/nositel/NNMP7-----A---- záporných/záporný/AAFP2----1A---- vlastností/vlastnost/NNFP2-----A---- ,/,/Z:------------- nevhodných/vhodný/AAFP2----1N---- pro/pro/RR--4---------- četbu/četba/NNFS4-----A---- mládeže/mládež/NNFS2-----A---- ././Z:-------------"
"7";"Teď/teď/Db------------- ,/,/Z:------------- po/po/RR--6---------- dvanácti/dvanáct/Cn-P6---------- letech/rok/NNNP6-----A---- a/a/J^------------- nesčetných/nesčetný/AAIP6----1A---- milostných/milostný/AAIP6----1A---- románcích/románek/NNIP6-----A---- ,/,/Z:------------- seděla/sedět/VpFS----R-AAI-- naproti/naproti/RR--3---------- Maris/Maris/NNMS1-----A---- Matherlyové/Matherlyové/X@------------- -/-/Z0------------- Reedové/Reedová/NNFS3-----A---- ,/,/Z:-------------";"chovala/chovat/VpFS----R-AAI-- se/se/P7--4---------- zdvořile/zdvořile/Dg-------1A---- ,/,/Z:------------- avšak/avšak/J^------------- dusila/dusit/VpFS----R-AAI-- v/v/RR--6---------- sobě/se/P6--6---------- nesmírnou/nesmírný/AAFS4----1A---- nechuť/nechuť/NNFS4-----A----";"vůči/vůči/RR--3---------- ženě/žena/NNFS3-----A---- ,/,/Z:------------- která/který/P4FS1---------- ji/on/PPFS4--3------- předčila/předčit/VpFS----R-AAP-- ,/,/Z:------------- aniž/aniž/J,------------- o/o/RR--4---------- to/ten/PDNS4---------- usilovala/usilovat/VpFS----R-AAI-- ././Z:-------------"
"8";"Primakov/Primakov/NNMS1-----A---- na/na/RR--4---------- ro/ro/X@------------- zdíl/zdíl/X@------------- od/od/RR--2---------- nich/oni/P5MP2--3------- netrpí/trpět/VB-S---3P-NAI-- přehnanými/přehnaný/AAFP7----1A---- ambicemi/ambice/NNFP7-----A---- a/a/J^-------------";"chová/chovat/VB-S---3P-AAI-- nechuť/nechuť/NNFS4-----A----";"k/k/RR--3---------- publicitě/publicita/NNFS3-----A---- ././Z:-------------"
"9";"Raději/rád/Dg-------2A---- méně/málo/Dg-------2A---- ,/,/Z:------------- ale/ale/J^------------- jistě/jistě/Dg-------1A---- Ekonomové/ekonom/NNMP1-----A---- vědí/vědět/VB-P---3P-AAI-- již/již/Db------------- dlouho/dlouho/Dg-------1A---- ,/,/Z:------------- že/že/J,------------- lidé/člověk/NNMP1-----A---- k/k/RR--3---------- riskování/riskování/NNNS3-----A----";"chovají/chovat/VB-P---3P-AAI-- nechuť/nechuť/NNFS4-----A----";"././Z:-------------"
"10";"Obecně/obecně/Dg-------1A---- největší/velký/AAIS4----3A---- odpor/odpor/NNIS4-----A---- vyvolávají/vyvolávat/VB-P---3P-AAI-- u/u/RR--2---------- obou/oba/ClNP2---------- pohlaví/pohlaví/NNNP2-----A---- žehlení/žehlení/NNNS1-----A---- ,/,/Z:------------- mytí/mytí/NNNS1-----A---- oken/okno/NNNP2-----A---- ,/,/Z:------------- avšak/avšak/J^------------- muži/muž/NNMP1-----A---- k/k/RR--3---------- těmto/tento/PDFP3---------- pracím/práce/NNFP3-----A----";"chovají/chovat/VB-P---3P-AAI-- téměř/téměř/Db------------- dvakrát/dvakrát/Cv------------- menší/malý/AAFS4----2A---- nechuť/nechuť/NNFS4-----A----";"než/než/J,------------- ženy/žena/NNFP1-----A---- (/(/Z:------------- např/např/BT------------- ././Z0------------- mytí/mytí/NNNS1-----A---- oken/okno/NNNP2-----A---- nesnáší/snášet/VB-S---3P-NAI-- 20,8/20,8/C=------------- %/%/Z:------------- žen/žena/NNFP2-----A---- a/a/J^------------- 11,6/11,6/C=------------- %/%/Z:------------- mužů/muž/NNMP2-----A---- ,/,/Z:------------- u/u/RR--2---------- žehlení/žehlení/NNNS2-----A---- jsou/být/VB-P---3P-AAI-- čísla/číslo/NNNP1-----A---- podobná/podobný/AANP1----1A---- )/)/Z:------------- ././Z:-------------"
