id;left;kwic;right
"1";"";"Nedůvěru/nedůvěra/NNFS4-----A---- vůči/vůči/RR--3---------- médiím/médium/NNNP3-----A---- chovají/chovat/VB-P---3P-AAI--";"důchodci/důchodce/NNMP1-----A---- ,/,/Z:------------- lidé/člověk/NNMP1-----A---- se/s/RV--7---------- špatnou/špatný/AAFS7----1A---- životní/životní/AAFS7----1A---- úrovní/úroveň/NNFS7-----A---- ,/,/Z:------------- lidé/člověk/NNMP1-----A---- z/z/RR--2---------- velkých/velký/AANP2----1A---- měst/město/NNNP2-----A---- a/a/J^------------- voliči/volič/NNMP1-----A---- KSČM/KSČM/BN------------- ././Z:-------------"
"2";"Nenáviděni/nenávidět/VsMP------API-- ,/,/Z:------------- neboť/neboť/J^------------- nepřinášeli/přinášet/VpMP----R-NAI-- nic/nic/PW--4---------- kromě/kromě/RR--2---------- hladu/hlad/NNIS2-----A---- a/a/J^------------- žízně/žízeň/NNFS2-----A---- ;/;/Z:------------- vítáni/vítat/VsMP------API-- ,/,/Z:------------- neboť/neboť/J^------------- svým/svůj/P8IS7---------- příchodem/příchod/NNIS7-----A---- živili/živit/VpMP----R-AAI--";"nedůvěru/nedůvěra/NNFS4-----A---- ,/,/Z:------------- která/který/P4FS1---------- je/být/VB-S---3P-AAI-- mnohým/mnohý/AAMP3----1A---- zapotřebí/zapotřebí/Db------------- ,/,/Z:------------- podezřívavost/podezřívavost/NNFS1-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- lidé/člověk/NNMP1-----A---- rádi/rád/ACMP------A---- chovají/chovat/VB-P---3P-AAI--";",/,/Z:------------- a/a/J^------------- malověrnost/malověrnost/NNFS1-----A---- ,/,/Z:------------- které/který/P4FS3---------- se/se/P7--4---------- rádi/rád/ACMP------A---- oddávají/oddávat/VB-P---3P-AAI-- ././Z:-------------"
"3";"Tito/tento/PDMP1---------- zaměstnanci/zaměstnanec/NNMP1-----A---- v/v/RR--6---------- sobě/se/P6--6---------- ponesou/nést/VB-P---3F-AAI-- zlost/zlost/NNFS4-----A---- a/a/J^-------------";"nedůvěru/nedůvěra/NNFS4-----A---- vůči/vůči/RR--3---------- firmě/firma/NNFS3-----A---- a/a/J^------------- začnou/začít/VB-P---3P-AAP-- se/se/P7--4---------- tak/tak/Db------------- k/k/RR--3---------- ní/on/P5FS3--3------- i/i/J^------------- chovat/chovat/Vf--------A-I--";"././Z:-------------"
"4";"Největší/velký/AAFS4----3A----";"nedůvěru/nedůvěra/NNFS4-----A---- Češi/Čech/NNMP1-----A---- naopak/naopak/TT------------- chovají/chovat/VB-P---3P-AAI--";"k/k/RR--3---------- německé/německý/AAFS3----1A---- kancléřce/kancléřka/NNFS3-----A---- Angele/Angela/NNFS3-----A---- Merkelové/Merkelová/NNFS3-----A---- ././Z:-------------"
"5";"I/i/J^------------- členové/člen/NNMP1-----A---- toho/ten/PDIS2---------- Josefova/Josefův/AUIS2M--------- podivného/podivný/AAIS2----1A---- klubu/klub/NNIS2-----A---- ,/,/Z:------------- k/k/RR--3---------- němuž/jenž/P9IS3---------- jsem/být/VB-S---1P-AAI-- i/i/J^------------- nadále/nadále/Db------------- pociťovala/pociťovat/VpFS----R-AAI-- určitou/určitý/AAFS4----1A----";"nedůvěru/nedůvěra/NNFS4-----A---- ,/,/Z:------------- se/se/P7--4---------- ke/k/RV--3---------- mně/já/PP-S3--1------- začali/začít/VpMP----R-AAP-- chovat/chovat/Vf--------A-I--";"uctivěji/uctivě/Dg-------2A---- poté/poté/Db------------- ,/,/Z:------------- co/co/Db------------- jsem/být/VB-S---1P-AAI-- jim/oni/PPMP3--3------- darovala/darovat/VpFS----R-AAB-- novotou/novota/NNFS7-----A---- zářící/zářící/AGFS7-----A---- kopací/kopací/AAIS4----1A---- míč/míč/NNIS4-----A---- ././Z:-------------"
"6";"Aleyt/Aleyt/NNFS4-----A---- to/ten/PDNS4---------- rozzlobilo/rozzlobit/VpNS----R-AAP-- ,/,/Z:------------- protože/protože/J,------------- věděla/vědět/VpFS----R-AAI-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- její/její/PSMS1FS3------- muž/muž/NNMS1-----A---- bojí/bát/VB-S---3P-AAI-- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- nedala/dát/VpFS----R-NAP-- najevo/najevo/Db-------------";"nedůvěru/nedůvěra/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- k/k/RR--3---------- Židovi/Žid/NNMS3-----A---- chová/chovat/VB-S---3P-AAI--";"././Z:-------------"
"7";"Povznáším/povznášet/VB-S---1P-AAI-- ,/,/Z:------------- pokud/pokud/J,------------- je/být/VB-S---3P-AAI-- možné/možný/AANS1----1A---- ,/,/Z:------------- svoji/svůj/P8FS4---------- vyrovnanou/vyrovnaný/AAFS4----1A---- nejistotu/nejistota/NNFS4-----A---- z/z/RR--2---------- dosahu/dosah/NNIS2-----A---- všeho/všechen/PLNS2---------- ,/,/Z:------------- co/co/PQ--1---------- by/být/Vc----------I-- mě/já/PH-S4--1------- snad/snad/TT------------- mohlo/moci/VpNS----R-AAI-- svádět/svádět/Vf--------A-I-- k/k/RR--3---------- jednostrannému/jednostranný/AANS3----1A---- nebo/nebo/J^------------- konečnému/konečný/AANS3----1A---- rozhodnutí/rozhodnutí/NNNS3-----A---- co/co/Db------------- do/do/RR--2---------- skutečnosti/skutečnost/NNFS2-----A---- a/a/J^------------- smyslu/smysl/NNIS2-----A---- prožitého/prožitý/AAIS2----1A---- děje/děj/NNIS2-----A---- ;/;/Z:------------- -/-/Z:------------- a/a/J^------------- čím/co/PQ--7---------- pádnější/pádný/AAIS1----2A---- je/být/VB-S---3P-AAI-- důkaz/důkaz/NNIS1-----A---- ,/,/Z:------------- tím/ten/PDNS7---------- větší/velký/AAFS4----2A----";"nedůvěru/nedůvěra/NNFS4-----A---- je/být/VB-S---3P-AAI-- k/k/RR--3---------- němu/on/P5IS3--3------- třeba/třeba/Db------------- chovat/chovat/Vf--------A-I--";"././Z0------------- -/-/Z:------------- Není/být/VB-S---3P-NAI-- vyloučeno/vyloučit/VsNS------APP-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- ten/ten/PDIS1---------- napjatý/napjatý/AAIS1----1A---- stav/stav/NNIS1-----A---- mé/můj/PSFS2-S1------1 mysli/mysl/NNFS2-----A---- stane/stát/VB-S---3P-AAP-- třeba/třeba/TT------------- časem/čas/NNIS7-----A---- neudržitelným/udržitelný/AAIS7----1N---- -/-/Z:------------- pak/pak/Db------------- bych/být/Vc-S---1----I-- byl/být/VpMS----R-AAI-- znovu/znovu/Db------------- nucen/nutit/VsMS------API-- hledat/hledat/Vf--------A-I-- nějaký/nějaký/PZIS4---------- východ/východ/NNIS4-----A---- z/z/RR--2---------- nouze/nouze/NNFS2-----A---- ././Z:-------------"
"8";"";"Nedůvěru/nedůvěra/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- chová/chovat/VB-S---3P-AAI--";"Washington/Washington/NNIS1-----A---- vůči/vůči/RR--3---------- Íránu/Írán/NNIS3-----A---- ,/,/Z:------------- ještě/ještě/Db------------- prohloubil/prohloubit/VpIS----R-AAP-- jaderný/jaderný/AAIS4----1A---- program/program/NNIS4-----A---- ,/,/Z:------------- na/na/RR--6---------- němž/jenž/P9IS6---------- režim/režim/NNIS1-----A---- ajatolláhů/ajatolláh/NNMP2-----A---- začal/začít/VpIS----R-AAP-- pracovat/pracovat/Vf--------A-I-- na/na/RR--6---------- prahu/práh/NNIS6-----A---- 21/21/C=------------- ././Z0------------- století/století/NNNS2-----A---- ././Z:-------------"
"9";"Věděla/vědět/VpFS----R-AAI-- náhle/náhle/Dg-------1A---- ,/,/Z:------------- že/že/J,------------- tuto/tento/PDFS4---------- nezodpovědnou/zodpovědný/AAFS4----1N---- ,/,/Z:------------- nebezpečnou/bezpečný/AAFS4----1N---- bytost/bytost/NNFS4-----A---- miluje/milovat/VB-S---3P-AAI-- i/i/J^------------- přes/přes/RR--4----------";"nedůvěru/nedůvěra/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- k/k/RR--3---------- ní/on/P5FS3--3------- chová/chovat/VB-S---3P-AAI--";"././Z:-------------"
"10";"„/""/Z:------------- Proč/proč/Db------------- jsi/být/VB-S---2P-AAI-- mi/já/PH-S3--1------- nic/nic/PW--4---------- neřekla/říci/VpFS----R-NAP-- ,/,/Z:------------- mami/máma/NNFS5-----A---- ?/?/Z:------------- “/""/Z:------------- Chanty/Chanty/NNFS1-----A---- patrně/patrně/TT------------- zahanbovala/zahanbovat/VpFS----R-AAI-- vzpomínka/vzpomínka/NNFS1-----A---- na/na/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- jak/jak/Db------------- drzou/drzý/AAFS4----1A----";"nedůvěru/nedůvěra/NNFS4-----A---- k/k/RR--3---------- Rayovi/Ray/NNMS3-----A---1 chovala/chovat/VpFS----R-AAI--";"././Z:-------------"
