id;left;kwic;right;VNP?;doc.txtype_group
1;"„/""/Z:------------- Rozhovory/rozhovor/NNIP1-----A---- o/o/RR--6---------- nové/nový/AAFS6----1A---- dohodě/dohoda/NNFS6-----A---- o/o/RR--6---------- jaderném/jaderný/AANS6----1A---- odzbrojení/odzbrojení/NNNS6-----A---- také/také/Db------------- ukazují/ukazovat/VB-P---3P-AAI-- ,/,/Z:------------- že/že/J,------------- obě/oba/ClFP1---------- strany/strana/NNFP1-----A---- stále/stále/Dg-------1A---- vůči/vůči/RR--3---------- sobě/se/P6--3----------";chovají/chovat/VB-P---3P-AAI-- nedůvěru/nedůvěra/NNFS4-----A----;"././Z:------------- “/""/Z:-------------";1;NMG: publicistika
2;Úplně/úplně/Dg-------1A---- od/od/RR--2---------- začátku/začátek/NNIS2-----A---- ,/,/Z:------------- co/co/PQ--4---------- jsem/být/VB-S---1P-AAI-- Carla/Carlo/NNMS4-----A---- Collinse/Collins/NNMS4-----A---- poznal/poznat/VpMS----R-AAP-- ,/,/Z:------------- jsem/být/VB-S---1P-AAI-- k/k/RR--3---------- němu/on/P5MS3--3------- a/a/J^------------- celému/celý/AAIS3----1A---- tomu/ten/PDIS3---------- jeho/jeho/PSIS3-S3------- projektu/projekt/NNIS3-----A----;choval/chovat/VpMS----R-AAI-- jistou/jistý/AAFS4----1A---- skepsi/skepse/NNFS4-----A---- ,/,/Z:------------- možná/možná/TT------------- nespravedlivou/spravedlivý/AAFS4----1N---- nedůvěru/nedůvěra/NNFS4-----A----;././Z:-------------;1;FIC: beletrie
3;Zejména/zejména/TT------------- k/k/RR--3---------- houbám/houba/NNFP3-----A---- rostoucím/rostoucí/AGFP3-----A---- volně/volně/Dg-------1A---- v/v/RR--6---------- přírodě/příroda/NNFS6-----A----;chová/chovat/VB-S---3P-AAI-- většina/většina/NNFS1-----A---- obyvatel/obyvatel/NNMP2-----A---1 západní/západní/AAFS2----1A---- Evropy/Evropa/NNFS2-----A---- i/i/J^------------- USA/USA/BN------------- velkou/velký/AAFS4----1A---- nedůvěru/nedůvěra/NNFS4-----A----;,/,/Z:------------- na/na/RR--4---------- rozdíl/rozdíl/NNIS4-----A---- třeba/třeba/TT------------- od/od/RR--2---------- Číňanů/Číňan/NNMP2-----A---- či/či/J^------------- Japonců/Japonec/NNMP2-----A---- ././Z:-------------;1;NFC: oborová literatura
4;Lidé/člověk/NNMP1-----A----;chovají/chovat/VB-P---3P-AAI-- k/k/RR--3---------- vládě/vláda/NNFS3-----A---- důvěru/důvěra/NNFS4-----A---- i/i/J^------------- nedůvěru/nedůvěra/NNFS4-----A----;z/z/RR--2---------- mnoha/mnoho/Ca--2---------- dalších/další/AAFP2----1A---- pohnutek/pohnutka/NNFP2-----A---- ././Z:-------------;1;NMG: publicistika
5;"""/""/Z:------------- Vy/vy/PP-P1--2------- víte/vědět/VB-P---2P-AAI-- ,/,/Z:------------- že/že/J,------------- k/k/RR--3---------- vám/vy/PP-P3--2-------";nechovám/chovat/VB-S---1P-NAI-- nedůvěru/nedůvěra/NNFS4-----A----;././Z:-------------;1;FIC: beletrie
6;Naše/náš/PSNS4-P1------- předcházející/předcházející/AGNS4-----A---- jednání/jednání/NNNS4-----A---- sledoval/sledovat/VpMS----R-AAI-- z/z/RR--2---------- odposlechu/odposlech/NNIS2-----A---- ,/,/Z:------------- a/a/J^------------- přestože/přestože/J,------------- vůči/vůči/RR--3---------- Barleymu/Barley/NNMS3-----A----;choval/chovat/VpMS----R-AAI-- hlubokou/hluboký/AAFS4----1A---- nedůvěru/nedůvěra/NNFS4-----A----;,/,/Z:------------- bledé/bledý/AAFP1----1A---- baltské/baltský/AAFP1----1A---- oči/oko/NNFP1-----A---- mu/on/PHMS3--3------- teď/teď/Db------------- jiskřily/jiskřit/VpFP----R-AAI-- vzrušením/vzrušení/NNNS7-----A---- ././Z:-------------;1;FIC: beletrie
7;"""/""/Z:------------- Já/já/PP-S1--1------- k/k/RR--3---------- tobě/ty/PP-S3--2------- jistě/jistě/Dg-------1A----";nechovala/chovat/VpFS----R-NAI-- nedůvěru/nedůvěra/NNFS4-----A----;,/,/Z:------------- a/a/J^------------- jestli/jestli/J,------------- na/na/RR--4---------- mne/já/PP-S4--1------- něco/něco/PZ--1---------- takového/takový/PDNS2---------- z/z/RR--2---------- hostinské/hostinská/NNFS2-----A---- přešlo/přejít/VpNS----R-AAP-- ,/,/Z:------------- celá/celý/AAFS1----1A---- šťastná/šťastný/AAFS1----1A---- to/ten/PDNS4---------- odvrhnu/odvrhnout/VB-S---1P-AAP-- a/a/J^------------- tebe/ty/PP-S4--2------- na/na/RR--6---------- kolenou/koleno/NNNP6-----A---1 odprosím/odprosit/VB-S---1P-AAP-- ,/,/Z:------------- což/co/PE--4---------- vlastně/vlastně/TT------------- dělám/dělat/VB-S---1P-AAI-- ustavičně/ustavičně/Dg-------1A---- ,/,/Z:------------- i/i/J^------------- když/když/J,------------- říkám/říkat/VB-S---1P-AAI-- tak/tak/Db------------- ošklivé/ošklivý/AAFP4----1A---- věci/věc/NNFP4-----A---- ././Z:-------------;1;FIC: beletrie
8;Vzhledem/vzhledem/RF------------- k/k/RR--3---------- omezeným/omezený/AAFP3----1A---- možnostem/možnost/NNFP3-----A---- inspektorů/inspektor/NNMP2-----A---- JIM/oni/PPMP3--3-------;chovají/chovat/VB-P---3P-AAI-- Rusko/Rusko/NNNS4-----A---- a/a/J^------------- Čína/Čína/NNFS1-----A---- nedůvěru/nedůvěra/NNFS4-----A----;k/k/RR--3---------- nakládání/nakládání/NNNS3-----A---- s/s/RR--7---------- jejich/jejich/PSIP7-P3------- závěry/závěr/NNIP7-----A---- ,/,/Z:------------- byť/byť/J,------------- tento/tento/PDIS1---------- mechanismus/mechanismus/NNIS1-----A---- vznikl/vzniknout/VpIS----R-AAP-1 i/i/J^------------- s/s/RR--7---------- jejich/jejich/PSIS7-P3------- souhlasem/souhlas/NNIS7-----A---- ././Z:-------------;1;NMG: publicistika
9;Můj/můj/PSMS1-S1------- spolubydlící/spolubydlící/NNMS1-----A---- nikdy/nikdy/Db------------- nebyl/být/VpMS----R-NAI-- pilot/pilot/NNMS1-----A---- ,/,/Z:------------- samozřejmě/samozřejmě/TT------------- ,/,/Z:------------- vůbec/vůbec/TT------------- ke/k/RV--3---------- mně/já/PP-S3--1-------;nechová/chovat/VB-S---3P-NAI-- nedůvěru/nedůvěra/NNFS4-----A----;jako/jako/J,------------- ke/k/RV--3---------- špiclovi/špicl/NNMS3-----A---- pana/pán/NNMS2-----A---- ředitele/ředitel/NNMS2-----A---- ,/,/Z:------------- a/a/J^------------- stejně/stejně/Dg-------1A---- jako/jako/J,------------- já/já/PP-S1--1------- vůbec/vůbec/TT------------- není/být/VB-S---3P-NAI-- blázen/blázen/NNMS1-----A---- ././Z:-------------;1;FIC: beletrie
10;Rakušané/Rakušan/NNMP1-----A---- k/k/RR--3---------- Temelínu/Temelín/NNIS3-----A----;chovají/chovat/VB-P---3P-AAI-- stejnou/stejný/AAFS4----1A---- nedůvěru/nedůvěra/NNFS4-----A----;",/,/Z:------------- s/s/RR--7---------- jakou/jaký/P4FS7---------- Češi/Čech/NNMP1-----A---- přistupují/přistupovat/VB-P---3P-AAI-- ke/k/RV--3---------- všemu/všechen/PLNS3---------- ,/,/Z:------------- co/co/PQ--1---------- přichází/přicházet/VB-S---3P-AAI-- z/z/RR--2---------- ""/""/Z:------------- dálného/dálný/AAIS2----1A---- ""/""/Z:------------- postkomunistického/postkomunistický/AAIS2----1A---- Východu/východ/NNIS2-----A---- ././Z:-------------";1;NMG: publicistika
11;;Chovám/chovat/VB-S---1P-AAI-- značnou/značný/AAFS4----1A---- nedůvěru/nedůvěra/NNFS4-----A----;"k/k/RR--3---------- černobílému/černobílý/AANS3----1A---- uvažování/uvažování/NNNS3-----A---- ,/,/Z:------------- je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- velice/velice/Db------------- nudné/nudný/AANS1----1A---- a/a/J^------------- značně/značně/Dg-------1A---- to/ten/PDNS4---------- omezuje/omezovat/VB-S---3P-AAI-- ././Z:------------- ""/""/Z:-------------";1;NMG: publicistika
