id;left;kwic;right
"1";"Avšak/avšak/J^------------- '/'/Z:------------- Jak/jak/Db------------- ho/on/PHMS4--3------- jen/jen/Db------------- mohu/moci/VB-S---1P-AAI-1 dost/dost/Dg-------1A---- nenávidět/nenávidět/Vf--------A-I-- ?/?/Z:------------- '/'/Z:------------- ptala/ptát/VpFS----R-AAI-- se/se/P7--4---------- znova/znovu/Db------------- a/a/J^------------- znova/znovu/Db------------- ././Z0------------- '/'/Z:------------- Jak/jak/Db------------- mu/on/PHMS3--3------- jen/jen/Db------------- mohu/moci/VB-S---1P-AAI-1 ukázat/ukázat/Vf--------A-P-- tu/ten/PDFS4----------";"nenávist/nenávist/NNFS4-----A---- ,/,/Z:------------- co/co/J,------------- k/k/RR--3---------- němu/on/P5MS3--3------- chovám/chovat/VB-S---1P-AAI--";"?/?/Z:------------- '/'/Z:-------------"
"2";"A/a/J^------------- půjde/jít/VB-S---3F-AAI-- to/ten/PDNS1---------- ještě/ještě/Db------------- dál/daleko/Dg-------2A---- ,/,/Z:------------- vzápětí/vzápětí/Db------------- překvapený/překvapený/AAMS1----1A---- čtenář/čtenář/NNMS1-----A---- zjistí/zjistit/VB-S---3P-AAP-- ,/,/Z:------------- že/že/J,------------- automaté/automaté/X@------------- chovají/chovat/VB-P---3P-AAI-- nepřekonatelnou/překonatelný/AAFS4----1N----";"nenávist/nenávist/NNFS4-----A---- k/k/RR--3---------- lidem/člověk/NNMP3-----A---- za/za/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- že/že/J,------------- je/oni/PPMP4--3------- pokořovali/pokořovat/VpMP----R-AAI-- a/a/J^------------- chovali/chovat/VpMP----R-AAI--";"se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5MP3--3------- jako/jako/J,------------- k/k/RR--3---------- otrokům/otrok/NNMP3-----A---- ././Z:-------------"
"3";"";"Nenávist/nenávist/NNFS4-----A---- k/k/RR--3---------- žádnému/žádný/PWMS3---------- člověku/člověk/NNMS3-----A---- nechovám/chovat/VB-S---1P-NAI--";"././Z:-------------"
"4";"Je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- podle/podle/RR--2---------- nich/oni/P5MP2--3------- více/hodně/Dg-------2A---- méně/málo/Dg-------2A---- pozitivní/pozitivní/AAFS1----1A---- historická/historický/AAFS1----1A---- figura/figura/NNFS1-----A---- ,/,/Z:------------- ale/ale/J^------------- žádnou/žádný/PWFS4---------- vášnivou/vášnivý/AAFS4----1A---- lásku/láska/NNFS4-----A---- či/či/J^-------------";"nenávist/nenávist/NNFS4-----A---- k/k/RR--3---------- ní/on/P5FS3--3------- nechovají/chovat/VB-P---3P-NAI--";"././Z:-------------"
"5";"Jeho/jeho/PSNS1-S3------- vyrovnané/vyrovnaný/AANS1----1A---- tvrzení/tvrzení/NNNS1-----A---- člověka/člověk/NNMS2-----A---- téměř/téměř/Db------------- přesvědčí/přesvědčit/VB-S---3P-AAP-- :/:/Z:------------- ""/""/Z:------------- Musím/muset/VB-S---1P-AAI-- zdůraznit/zdůraznit/Vf--------A-P-- ,/,/Z:------------- že/že/J,------------- já/já/PP-S1--1------- sám/sám/PLMS1---------- jsem/být/VB-S---1P-AAI-- vůči/vůči/RR--3---------- Židům/Žid/NNMP3-----A---- nikdy/nikdy/Db------------- žádnou/žádný/PWFS4----------";"nenávist/nenávist/NNFS4-----A---- nechoval/chovat/VpMS----R-NAI--";"././Z:-------------"
"6";"Největší/velký/AAFS4----3A---- a/a/J^------------- nejvášnivější/vášnivý/AAFS4----3A----";"nenávist/nenávist/NNFS4-----A---- choval/chovat/VpMS----R-AAI--";"ke/k/RV--3---------- svému/svůj/P8MS3---------- sousedovi/soused/NNMS3-----A---- ,/,/Z:------------- kolegovi/kolega/NNMS3-----A---- drobnému/drobný/AAMS3----1A---- hospodáři/hospodář/NNMS3-----A---- ,/,/Z:------------- malému/malý/AAMS3----1A---- chromému/chromý/AAMS3----1A---- chlapíkovi/chlapík/NNMS3-----A---- ,/,/Z:------------- který/který/P4MS1---------- se/se/P7--4---------- jmenoval/jmenovat/VpMS----R-AAB-- Gill/Gil/NNMS1-----A---- ,/,/Z:------------- a/a/J^------------- Luke/Luke/NNMS1-----A---- o/o/RR--6---------- něm/on/P5MS6--3------- nemluvil/mluvit/VpMS----R-NAI-- nikdy/nikdy/Db------------- jinak/jinak/Db------------- než/než/J,------------- velmi/velmi/Db------------- nelaskavě/laskavě/Dg-------1N---- a/a/J^------------- říkal/říkat/VpMS----R-AAI-- mu/on/PHMS3--3------- ""/""/Z:------------- ten/ten/PDMS1---------- mladej/mladý/AAMS1----1A---6 hopsálek/hopsálek/NNMS1-----A---- ""/""/Z:------------- ././Z:-------------"
"7";"Vzhledem/vzhledem/RF------------- k/k/RR--3---------- mému/můj/PSNS3-S1------- náhlému/náhlý/AANS3----1A---- rozhodnutí/rozhodnutí/NNNS3-----A---- odložit/odložit/Vf--------A-P-- veškerou/veškerý/PLFS4----------";"nenávist/nenávist/NNFS4-----A---- vůči/vůči/RR--3---------- svým/svůj/P8MP3---------- nepřátelům/nepřítel/NNMP3-----A---- a/a/J^------------- chovat/chovat/Vf--------A-I--";"se/se/P7--4---------- jako/jako/J,------------- Ralph/Ralph/NNMS1-----A---- Scott/Scott/NNMS1-----A---- to/ten/PDNS1---------- všechno/všechen/PLNS1---------- vypadalo/vypadat/VpNS----R-AAI-- poněkud/poněkud/Db------------- směšně/směšně/Dg-------1A---- ././Z:-------------"
"8";"První/první/CrNS1---------- stadium/stadium/NNNS1-----A---- líčí/líčit/VB-S---3P-AAI-- jako/jako/J,------------- strach/strach/NNIS4-----A---- z/z/RR--2---------- barvy/barva/NNFS2-----A---- vlastní/vlastní/AAFS2----1A---- pleti/pleť/NNFS2-----A---1 ,/,/Z:-------------";"nenávist/nenávist/NNFS4-----A---- vůči/vůči/RR--3---------- sobě/se/P6--3---------- samému/samý/PLMS3---------- –/-/Z:------------- to/ten/PDNS1---------- prý/prý/TT------------- stvořilo/stvořit/VpNS----R-AAP-- všechny/všechen/PLMP4---------- servilní/servilní/AAMP4----1A---- černé/černý/AAMP4----1A---- sluhy/sluha/NNMP4-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- se/se/P7--4---------- snaží/snažit/VB-P---3P-AAI-- chovat/chovat/Vf--------A-I--";"běleji/bíle/Dg-------2A---- než/než/J,------------- jejich/jejich/PSMP1-P3------- páni/pán/NNMP1-----A---1 ././Z:-------------"
"9";"Sotva/sotva/Db------------- si/se/P7--3---------- dovedete/dovést/VB-P---2P-AAP-- představit/představit/Vf--------A-P--";"nenávist/nenávist/NNFS4-----A---- ,/,/Z:------------- jakou/jaký/P4FS4---------- k/k/RR--3---------- vám/vy/PP-P3--2------- ti/ten/PDMP1---------- lidé/člověk/NNMP1-----A---- chovají/chovat/VB-P---3P-AAI--";"././Z:------------- ""/""/Z:-------------"
"10";"Největší/velký/AAFS4----3A----";"nenávist/nenávist/NNFS4-----A---- choval/chovat/VpMS----R-AAI--";"k/k/RR--3---------- bratru/bratr/NNMS3-----A---1 Matyášovi/Matyáš/NNMS3-----A---1 ,/,/Z:------------- jehož/jenž/PJMS4---------- správně/správně/Dg-------1A---- podezíral/podezírat/VpMS----R-AAI-- ,/,/Z:------------- že/že/J,------------- ho/on/PHMS4--3------- chce/chtít/VB-S---3P-AAI-- vystrnadit/vystrnadit/Vf--------A-P-- z/z/RR--2---------- říšského/říšský/AAIS2----1A---- trůnu/trůn/NNIS2-----A---- ././Z:-------------"
