id;left;kwic;right
"1";"„/""/Z:------------- Nemám/mít/VB-S---1P-NAI-- žádné/žádný/PWMP4---------- nepřátele/nepřítel/NNMP4-----A---- a/a/J^------------- v/v/RR--6---------- sobě/se/P6--6----------";"nechovám/chovat/VB-S---1P-NAI-- nenávist/nenávist/NNFS4-----A----";",/,/Z:------------- “/""/Z:------------- prohlásil/prohlásit/VpMS----R-AAP-- Liou/Liou/NNMS1-----A---- před/před/RR--7---------- soudem/soud/NNIS7-----A---- ././Z:-------------"
"2";"""/""/Z:------------- Ne/ne/TT------------- ,/,/Z:------------- pane/pán/NNMS5-----A---- řediteli/ředitel/NNMS5-----A---- ,/,/Z:------------- ""/""/Z:------------- říkám/říkat/VB-S---1P-AAI-- ././Z:------------- ""/""/Z:------------- K/k/RR--3---------- německému/německý/AAIS3----1A---- národu/národ/NNIS3-----A----";"nechovám/chovat/VB-S---1P-NAI-- nenávist/nenávist/NNFS4-----A----";",/,/Z:------------- nevěřím/věřit/VB-S---1P-NAI-- na/na/RR--4---------- kolektivní/kolektivní/AAFS4----1A---- vinu/vina/NNFS4-----A---- ././Z:-------------"
"3";"Prosím/prosit/VB-S---1P-AAI-- ,/,/Z:-------------";"nechovej/chovat/Vi-S---2--N-I-- k/k/RR--3---------- němu/on/P5MS3--3------- nenávist/nenávist/NNFS4-----A----";"././Z:-------------"
"4";"Znám/znát/VB-S---1P-AAI-- učitelky/učitelka/NNFP4-----A---- ,/,/Z:------------- které/který/P4FP1----------";"chovají/chovat/VB-P---3P-AAI-- nenávist/nenávist/NNFS4-----A----";"k/k/RR--3---------- dětem/dítě/NNFP3-----A---- ././Z:-------------"
"5";"";"Nechovám/chovat/VB-S---1P-NAI-- nenávist/nenávist/NNFS4-----A----";"ani/ani/J^------------- hořkost/hořkost/NNFS4-----A---- vůči/vůči/RR--3---------- Němcům/Němec/NNMP3-----A---- ,/,/Z:------------- protože/protože/J,------------- to/ten/PDNS1---------- jsou/být/VB-P---3P-AAI-- dobří/dobrý/AAMP1----1A---- lidé/člověk/NNMP1-----A---- ././Z:-------------"
"6";"Ach/ach/II------------- ,/,/Z:------------- má/můj/PSFS5-S1------1 nešťastná/šťastný/AAFS5----1N---- Charlotto/Charlotte/NNFS5-----A---- ,/,/Z:-------------";"nechovej/chovat/Vi-S---2--N-I-- ke/k/RV--3---------- mně/já/PP-S3--1------- nenávist/nenávist/NNFS4-----A----";"ve/v/RV--6---------- svém/svůj/P8NS6---------- věčném/věčný/AANS6----1A---- nebi/nebe/NNNS6-----A---- mezi/mezi/RR--7---------- věčnou/věčný/AAFS7----1A---- alchymií/alchymie/NNFS7-----A---- asfaltu/asfalt/NNIS2-----A---- a/a/J^------------- gumy/guma/NNFS2-----A---- a/a/J^------------- kovu/kov/NNIS2-----A---- a/a/J^------------- kamene/kámen/NNIS2-----A---- -/-/Z:------------- ale/ale/J^------------- ,/,/Z:------------- díkybohu/díkybohu/Db------------- ,/,/Z:------------- ne/ne/TT------------- vody/voda/NNFS2-----A---- ,/,/Z:------------- ne/ne/TT------------- vody/voda/NNFS2-----A---- !/!/Z:-------------"
"7";"""/""/Z:------------- Alinardus/Alinardus/X@------------- k/k/RR--3---------- němu/on/P5MS3--3-------";"chová/chovat/VB-S---3P-AAI-- nenávist/nenávist/NNFS4-----A----";"kvůli/kvůli/RR--3---------- nějaké/nějaký/PZFS3---------- dávné/dávný/AAFS3----1A---- události/událost/NNFS3-----A---- ,/,/Z:------------- kdy/kdy/Db------------- mu/on/PHMS3--3------- bylo/být/VpNS----R-AAI-- upřeno/upřít/VsNS------APP-- důstojenství/důstojenství/NNNS1-----A---- knihovníka/knihovník/NNMS2-----A---- .../.../Z:------------- ""/""/Z:-------------"
"8";"K/k/RR--3---------- nekatolíkům/nekatolík/NNMP3-----A----";"nechoval/chovat/VpMS----R-NAI-- nenávist/nenávist/NNFS4-----A----";",/,/Z:------------- ale/ale/J^------------- spíš/spíš/TT------------- lítost/lítost/NNFS4-----A---- ././Z:-------------"
"9";"logických/logický/AAFP2----1A---- dedukcí/dedukce/NNFP2-----A---- ,/,/Z:------------- z/z/RR--2---------- něhož/jenž/P9IS2---------- samozřejmě/samozřejmě/TT------------- nikdo/nikdo/PWM-1---------- nemůže/moci/VB-S---3P-NAI-- vyjít/vyjít/Vf--------A-P-- živ/živý/ACMS------A---- a/a/J^------------- zdráv/zdravý/ACMS------A---- :/:/Z:------------- Už/už/Db------------- je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- všechno/všechen/PLNS1---------- jasnější/jasný/AANS1----2A---- ,/,/Z:------------- vysvětluje/vysvětlovat/VB-S---3P-AAI-- strážmistrovi/strážmistr/NNMS3-----A---- ,/,/Z:------------- několik/několik/Ca--1---------- lidí/člověk/NNMP2-----A---- z/z/RR--2---------- té/ten/PDFS2---------- skupiny/skupina/NNFS2-----A---- (/(/Z:------------- ne/ne/TT------------- všichni/všechen/PLMP1---------- ,/,/Z:------------- jak/jak/Db------------- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- původně/původně/Dg-------1A---- myslel/myslet/VpMS----R-AAI-- )/)/Z:------------- mělo/mít/VpNS----R-AAI-- neshody/neshoda/NNFP4-----A---- s/s/RR--7---------- řečeným/řečený/AAIS7----1A---- Solibem/Solibem/X@------------- Ohromným/ohromný/AAMS7----1A---- ,/,/Z:------------- k/k/RR--3---------- němuž/jenž/P9IS3---------- jak/jak/Db------------- se/se/P7--4---------- zdá/zdát/VB-S---3P-AAI-- lidé/člověk/NNMP1-----A----";"chovají/chovat/VB-P---3P-AAI-- extrémní/extrémní/AAIP4----1A---- city/cit/NNIP4-----A---- :/:/Z:------------- obdiv/obdiv/NNIS4-----A---- ,/,/Z:------------- jak/jak/Db------------- jsme/být/VB-P---1P-AAI-- tady/tady/Db------------- několikrát/několikrát/Co------------- viděli/vidět/VpMP----R-AAI-- ,/,/Z:------------- a/a/J^------------- nenávist/nenávist/NNFS4-----A----";",/,/Z:------------- kterou/který/P4FS4---------- ovšem/ovšem/TT------------- jeho/jeho/PSMP1-S3------- přívrženci/přívrženec/NNMP1-----A---- pečlivě/pečlivě/Dg-------1A---- maskovali/maskovat/VpMP----R-AAI-- ././Z:-------------"
"10";"Havana/Havana/NNFS1-----A---- všechny/všechen/PLFP4---------- tyto/tento/PDFP4---------- organizace/organizace/NNFP4-----A---- označuje/označovat/VB-S---3P-AAI-- jako/jako/J,------------- ""/""/Z:------------- miamskou/miamský/AAFS4----1A---- kontrarevoluční/kontrarevoluční/AAFS4----1A---- mafii/mafie/NNFS4-----A---- ""/""/Z:------------- a/a/J^-------------";"chová/chovat/VB-S---3P-AAI-- k/k/RR--3---------- nim/oni/P5FP3--3------- skutečnou/skutečný/AAFS4----1A---- nenávist/nenávist/NNFS4-----A----";"././Z:-------------"
