id;left;kwic;right;VNP?;doc.txtype_group
1;Je/být/VB-S---3P-AAI-- třeba/třeba/Db------------- poznamenat/poznamenat/Vf--------A-P-- ,/,/Z:------------- že/že/J,------------- Joseph/Joseph/NNMS1-----A---- Frank/Frank/NNMS1-----A---- vůči/vůči/RR--3---------- Freudovi/Freud/NNMS3-----A----;nechoval/chovat/VpMS----R-NAI-- zvláštní/zvláštní/AANS4----1A---- nepřátelství/nepřátelství/NNNS4-----A----;././Z:-------------;1;NFC: oborová literatura
2;Je/být/VB-S---3P-AAI-- hermafroditní/hermafroditní/AAMS1----1A---- a/a/J^------------- má/mít/VB-S---3P-AAI-- v/v/RR--6---------- sobě/se/P6--6---------- všechny/všechen/PLIP4---------- protiklady/protiklad/NNIP4-----A---- ,/,/Z:------------- takže/takže/J,------------- je/být/VB-S---3P-AAI-- vždy/vždy/Db------------- na/na/RR--6---------- volné/volný/AAFS6----1A---- noze/noha/NNFS6-----A---- a/a/J^------------- není/být/VB-S---3P-NAI-- závislý/závislý/AAMS1----1A---- na/na/RR--6---------- žádném/žádný/PWIS6---------- protikladu/protiklad/NNIS6-----A---- ,/,/Z:------------- i/i/J^------------- když/když/J,------------- vůči/vůči/RR--3---------- Saturnu/Saturn/NNIS3-----A----;chová/chovat/VB-S---3P-AAI-- nepřátelství/nepřátelství/NNNS4-----A----;././Z:-------------;1;TODO
3;Přestože/přestože/J,------------- se/se/P7--4---------- často/často/Dg-------1A---- stávají/stávat/VB-P---3P-AAI-- terčem/terč/NNIS7-----A---- jejího/její/PSNS2FS3------- žertování/žertování/NNNS2-----A---- ,/,/Z:-------------;nechová/chovat/VB-S---3P-NAI-- k/k/RR--3---------- nim/oni/P5IP3--3------- nepřátelství/nepřátelství/NNNS4-----A----;,/,/Z:------------- právě/právě/Db------------- naopak/naopak/TT------------- ././Z:-------------;1;NMG: publicistika
4;Ministr/ministr/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- je/být/VB-S---3P-AAI-- íránského/íránský/AAIS2----1A---- původu/původ/NNIS2-----A---- ,/,/Z:------------- zdůraznil/zdůraznit/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- jeho/jeho/PSFS1-S3------- země/země/NNFS1-----A---- vůči/vůči/RR--3---------- Íránu/Írán/NNIS3-----A----;nechová/chovat/VB-S---3P-NAI-- nepřátelství/nepřátelství/NNNS4-----A----;././Z:-------------;1;NMG: publicistika
5;"""/""/Z:------------- Začne/začít/VB-S---3P-AAP-- se/se/P7--4---------- tím/ten/PDNS7---------- ,/,/Z:------------- ""/""/Z:------------- vykládal/vykládat/VpMS----R-AAI-- Grandsailles/Grandsailles/X@------------- ,/,/Z:------------- ""/""/Z:------------- že/že/J,------------- vyberete/vybrat/VB-P---2P-AAP-- pár/pár/NNIS4-----A---- ,/,/Z:------------- kterému/který/P4IS3---------- je/být/VB-S---3P-AAI-- souzeno/soudit/VsNS------API-- stát/stát/NNIS1-----A---- se/se/P7--4---------- milenci/milenec/NNMP7-----A---- ,/,/Z:------------- pokud/pokud/J,------------- možno/možno/Db------------- jedince/jedinec/NNMS4-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- k/k/RR--3---------- sobě/se/P6--3---------- vzájemně/vzájemně/Dg-------1A----";chovají/chovat/VB-P---3P-AAI-- nepřátelství/nepřátelství/NNNS4-----A----;././Z:-------------;1;TODO
6;Ozbrojené/ozbrojený/AAIP1----1A---- útvary/útvar/NNIP1-----A---- k/k/RR--3---------- nám/my/PP-P3--1------- totiž/totiž/TT-------------;chovaly/chovat/VpIP----R-AAI-- hluboké/hluboký/AANS4----1A---- nepřátelství/nepřátelství/NNNS4-----A----;:/:/Z:------------- viděli/vidět/VpMP----R-AAI-- v/v/RR--6---------- nás/my/PP-P6--1------- jednak/jednak/J^------------- podezřelé/podezřelý/AAIP4----1A---- živly/živel/NNIP4-----A---- ,/,/Z:------------- vrahy/vrah/NNMP4-----A---- ,/,/Z:------------- zločince/zločinec/NNMP4-----A---- a/a/J^------------- nepřátele/nepřítel/NNMP4-----A---- připravené/připravený/AAMP4----1A---- (/(/Z:------------- ve/v/RV--6---------- smyslu/smysl/NNIS6-----A---- tehdejší/tehdejší/AAFS2----1A---- špionážní/špionážní/AAFS2----1A---- literatury/literatura/NNFS2-----A---- )/)/Z:------------- provést/provést/Vf--------A-P-- kdykoliv/kdykoli/Db------------- úkladnou/úkladný/AAFS4----1A---- vraždu/vražda/NNFS4-----A---- jejich/jejich/PSFP2-P3------- pokojných/pokojný/AAFP2----1A---- rodin/rodina/NNFP2-----A---- ,/,/Z:------------- jednak/jednak/J^------------- (/(/Z:------------- a/a/J^------------- to/ten/PDNS1---------- bylo/být/VpNS----R-AAI-- snad/snad/TT------------- důležitější/důležitý/AANS1----2A---- )/)/Z:------------- nám/my/PP-P3--1------- záviděli/závidět/VpMP----R-AAI-- ,/,/Z:------------- že/že/J,------------- jsme/být/VB-P---1P-AAI-- měli/mít/VpMP----R-AAI-- peníze/peníze/NNIP4-----A---- a/a/J^------------- mohli/moci/VpMP----R-AAI-- si/se/P7--3---------- všude/všude/Db------------- dovolit/dovolit/Vf--------A-P-- pětkrát/pětkrát/Cv-------------;1;FIC: beletrie
7;;Chovali/chovat/VpMP----R-AAI-- jsme/být/VB-P---1P-AAI-- se/se/P7--4---------- k/k/RR--3---------- sobě/se/P6--3---------- tak/tak/Db------------- nepřátelsky/přátelsky/Dg-------1N---- ,/,/Z:------------- že/že/J,------------- jsme/být/VB-P---1P-AAI-- na/na/RR--4---------- sebe/se/P6--4---------- dokonce/dokonce/TT------------- i/i/J^------------- mluvili/mluvit/VpMP----R-AAI-- ,/,/Z:------------- totiž/totiž/TT------------- ,/,/Z:------------- ani/ani/J^------------- jsme/být/VB-P---1P-AAI-- se/se/P7--4---------- nesnažili/snažit/VpMP----R-NAI-- své/svůj/P8NS4---------1 nepřátelství/nepřátelství/NNNS4-----A----;zakrývat/zakrývat/Vf--------A-I-- ././Z:-------------;0;FIC: beletrie
8;Obránci/obránce/NNMP1-----A---- Konopiště/Konopiště/NNNS2-----A---- se/se/P7--4---------- drželi/držet/VpMP----R-AAI-- neuvěřitelně/uvěřitelně/Dg-------1N---- dlouho/dlouho/Dg-------1A---- i/i/J^------------- proto/proto/Db------------- ,/,/Z:------------- že/že/J,------------- to/ten/PDNS1---------- byli/být/VpMP----R-AAI-- katolíci/katolík/NNMP1-----A---- ,/,/Z:------------- kteří/který/P4MP1----------;chovali/chovat/VpMP----R-AAI-- velké/velký/AANS4----1A---- nepřátelství/nepřátelství/NNNS4-----A----;"k/k/RR--3---------- Jiřímu/Jiří/NNMS3-----A---- z/z/RR--2---------- Poděbrad/Poděbrady/NNIP2-----A---- ,/,/Z:------------- “/""/Z:------------- tvrdí/tvrdit/VB-S---3P-AAI-- František/František/NNMS1-----A---- Záruba/Záruba/NNMS1-----A---- s/s/RR--7---------- tím/ten/PDNS7---------- ,/,/Z:------------- že/že/J,------------- na/na/RR--6---------- hradech/hrad/NNIP6-----A---- často/často/Dg-------1A---- otravovali/otravovat/VpMP----R-AAI-- studně/studna/NNFP4-----A---- ././Z:-------------";1;NMG: publicistika
9;Pokud/pokud/J,------------- se/se/P7--4---------- předtím/předtím/Db-------------;chovala/chovat/VpFS----R-AAI-- chladně/chladně/Dg-------1A---- ,/,/Z:------------- teď/teď/Db------------- se/se/P7--4---------- to/ten/PDNS1---------- změnilo/změnit/VpNS----R-AAP-- ve/v/RV--4---------- vyložené/vyložený/AANS4----1A---- nepřátelství/nepřátelství/NNNS4-----A----;././Z:-------------;0;FIC: beletrie
10;;Nechovám/chovat/VB-S---1P-NAI-- k/k/RR--3---------- nikomu/nikdo/PWM-3---------- z/z/RR--2---------- vás/vy/PP-P2--2------- žádné/žádný/PWNS4---------- nepřátelství/nepřátelství/NNNS4-----A----;,/,/Z:------------- ale/ale/J^------------- proti/proti/RR--3---------- Jamesovi/James/NNMS3-----A---1 nepůjdu/jít/VB-S---1F-NAI-- ././Z:-------------;1;FIC: beletrie
