id;left;kwic;right
"1";"Teď/teď/Db------------- rozsévají/rozsévat/VB-P---3P-AAI-- mezi/mezi/RR--7---------- mladou/mladý/AAFS7----1A---- generací/generace/NNFS7-----A----";"nevraživost/nevraživost/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- na/na/RR--4---------- nás/my/PP-P4--1------- starší/starý/AAMP1----2A---- musí/muset/VB-P---3P-AAI-1 dělat/dělat/Vf--------A-I-- ,/,/Z:------------- že/že/J,------------- na/na/RR--4---------- nás/my/PP-P4--1------- doplácejí/doplácet/VB-P---3P-AAI-- ,/,/Z:------------- a/a/J^------------- tak/tak/J^------------- se/se/P7--4---------- ani/ani/J^------------- člověk/člověk/NNMS1-----A---- nediví/divit/VB-S---3P-NAI-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- mladí/mladý/AAMP1----1A---- ke/k/RV--3---------- starým/starý/AAMP3----1A---- spoluobčanům/spoluobčan/NNMP3-----A---- chovají/chovat/VB-P---3P-AAI--";"././Z:-------------"
"2";"Je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- umění/umění/NNNS1-----A---- ,/,/Z:------------- zahodit/zahodit/Vf--------A-P-- osobní/osobní/AAFS4----1A----";"nevraživost/nevraživost/NNFS4-----A---- a/a/J^------------- chovat/chovat/Vf--------A-I--";"se/se/P7--4---------- a/a/J^------------- posuzovat/posuzovat/Vf--------A-I-- záležitosti/záležitost/NNFP4-----A---- věcně/věcně/Dg-------1A---- ././Z:-------------"
"3";"Nepředpokládá/předpokládat/VB-S---3P-NAI-- to/ten/PDNS1---------- nic/nic/PW--4---------- jiného/jiný/AANS2----1A---- ,/,/Z:------------- než/než/J,------------- ""/""/Z:------------- jen/jen/Db------------- ""/""/Z:------------- odhodit/odhodit/Vf--------A-P-- malicherné/malicherný/AAFP4----1A---- a/a/J^------------- nízké/nízký/AAFP4----1A---- osobní/osobní/AAFP4----1A---- ambice/ambice/NNFP4-----A---- ,/,/Z:-------------";"nevraživost/nevraživost/NNFS4-----A---- a/a/J^------------- podrazy/podraz/NNIP4-----A---- a/a/J^------------- chovat/chovat/Vf--------A-I--";"se/se/P7--4---------- skutečně/skutečně/TT------------- zodpovědně/zodpovědně/Dg-------1A---- ././Z:-------------"
"4";"A/a/J^------------- to/to/TT------------- i/i/J^------------- přes/přes/RR--4----------";"nevraživost/nevraživost/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- k/k/RR--3---------- němu/on/P5MS3--3------- chová/chovat/VB-S---3P-AAI--";"šéf/šéf/NNMS1-----A---- strany/strana/NNFS2-----A---- Bohuslav/Bohuslav/NNMS1-----A---- Sobotka/Sobotka/NNMS1-----A---- ,/,/Z:------------- jenž/jenž/PJMS1---------- stále/stále/Dg-------1A---- nezapomněl/zapomenout/VpMS----R-NAP-1 na/na/RR--4---------- jeho/jeho/PSIS4-S3------- pokus/pokus/NNIS4-----A---- o/o/RR--4---------- „/""/Z:------------- puč/puč/NNIS4-----A---- “/""/Z:------------- po/po/RR--6---------- parlamentních/parlamentní/AAFP6----1A---- volbách/volba/NNFP6-----A---- ././Z:-------------"
"5";"Ona/on/PPFS1--3------- sama/sám/PLFS1---------- tvrdí/tvrdit/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,-------------";"nevraživost/nevraživost/NNFS4-----A---- necítí/cítit/VB-S---3P-NAI-- :/:/Z:------------- ""/""/Z:------------- Před/před/RR--7---------- týdnem/týden/NNIS7-----A---- jsem/být/VB-S---1P-AAI-- byla/být/VpFS----R-AAI-- na/na/RR--6---------- cyklistických/cyklistický/AAIP6----1A---- závodech/závod/NNIP6-----A---- na/na/RR--6---------- Zadově/Zadov/NNIS6-----A---- a/a/J^------------- lidi/člověk/NNMP1-----A---1 se/se/P7--4---------- ke/k/RV--3---------- mně/já/PP-S3--1------- chovají/chovat/VB-P---3P-AAI--";"naprosto/naprosto/Db------------- normálně/normálně/Dg-------1A---- ././Z:-------------"
"6";"Prozradil/prozradit/VpMS----R-AAP-- nicméně/nicméně/J^------------- ,/,/Z:------------- že/že/J,-------------";"nevraživost/nevraživost/NNFS4-----A---- vůči/vůči/RR--3---------- Dimunovi/Dimun/NNMS3-----A---- chová/chovat/VB-S---3P-AAI--";"hlavně/hlavně/Dg-------1A---- šéfporadce/šéfporadce/NNMS1-----A---- Jaroslav/Jaroslav/NNMS1-----A---- Tvrdík/Tvrdík/NNMS1-----A---- ././Z:-------------"
"7";"Leeuwenhoek/Leeuwenhoek/NNMS1-----A---- k/k/RR--3---------- nim/oni/P5MP3--3------- žádnou/žádný/PWFS4----------";"nevraživost/nevraživost/NNFS4-----A---- nechoval/chovat/VpMS----R-NAI--";"././Z:-------------"
"8";"Buď/buď/J^------------- se/se/P7--4---------- ve/v/RV--6---------- veřejnoprávní/veřejnoprávní/AAFS6----1A---- televizi/televize/NNFS6-----A---- pevně/pevně/Dg-------1A---- usadila/usadit/VpFS----R-AAP-- parta/parta/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- rozdmýchává/rozdmýchávat/VB-S---3P-AAI-- vášně/vášeň/NNFP4-----A---- a/a/J^-------------";"nevraživost/nevraživost/NNFS4-----A---- mezi/mezi/RR--7---------- lidmi/člověk/NNMP7-----A---- ,/,/Z:------------- a/a/J^------------- nebo/nebo/J^------------- se/se/P7--4---------- státní/státní/AAFS1----1A---- instituce/instituce/NNFS1-----A---- začíná/začínat/VB-S---3P-AAI-- chovat/chovat/Vf--------A-I--";"jako/jako/J,------------- soukromé/soukromý/AANS1----1A---- bulvární/bulvární/AANS1----1A---- médium/médium/NNNS1-----A---- -/-/Z:------------- a/a/J^------------- potom/potom/Db------------- nás/my/PP-P4--1------- potěš/potěšit/Vi-S---2--A-P-- pánbůh/pánbůh/NNMS1-----A---- ././Z:-------------"
"9";"Čistě/čistě/Dg-------1A---- osobní/osobní/AAFS4----1A----";"nevraživost/nevraživost/NNFS4-----A---- k/k/RR--3---------- němu/on/P5MS3--3------- nechovám/chovat/VB-S---1P-NAI--";"././Z:-------------"
"10";"Agresivní/agresivní/AAMP1----1A---- nacionalisté/nacionalista/NNMP1-----A---- a/a/J^------------- část/část/NNFS1-----A---- srbské/srbský/AAFS2----1A---- pravoslavné/pravoslavný/AAFS2----1A---- církve/církev/NNFS2-----A---- rozdmychávají/rozdmychávat/VB-P---3P-AAI--";"nevraživost/nevraživost/NNFS4-----A---- k/k/RR--3---------- Židům/Žid/NNMP3-----A---- a/a/J^------------- státní/státní/AAFP1----1A---- instituce/instituce/NNFP1-----A---- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--";"pasivně/pasivně/Dg-------1A---- ././Z:-------------"
