id;left;kwic;right;VNP?;doc.txtype_group
1;Dlouhodobě/dlouhodobě/Dg-------1A---- k/k/RR--3---------- sobě/se/P6--3----------;chovají/chovat/VB-P---3P-AAI-- velkou/velký/AAFS4----1A---- nevraživost/nevraživost/NNFS4-----A----;,/,/Z:------------- ale/ale/J^------------- jak/jak/Db------------- se/se/P7--4---------- ukazuje/ukazovat/VB-S---3P-AAI-- ,/,/Z:------------- když/když/J,------------- dojde/dojít/VB-S---3P-AAP-- na/na/RR--4---------- hudbu/hudba/NNFS4-----A---- ,/,/Z:------------- jde/jít/VB-S---3P-AAI-- nenávist/nenávist/NNFS1-----A---- stranou/stranou/Db------------- ././Z:-------------;1;NMG: publicistika
2;Oba/oba/ClIP1---------- tábory/tábor/NNIP1-----A---- fanoušků/fanoušek/NNMP2-----A---- k/k/RR--3---------- sobě/se/P6--3----------;chovají/chovat/VB-P---3P-AAI-- velkou/velký/AAFS4----1A---- nevraživost/nevraživost/NNFS4-----A----;,/,/Z:------------- což/co/PE--1---------- se/se/P7--4---------- mimochodem/mimochodem/Db------------- znovu/znovu/Db------------- projevilo/projevit/VpNS----R-AAP-- týden/týden/NNIS4-----A---- po/po/RR--6---------- inkriminovaném/inkriminovaný/AAIS6----1A---- přepadu/přepad/NNIS6-----A---- ././Z:-------------;1;NMG: publicistika
3;Obecně/obecně/Dg-------1A---- je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- velmi/velmi/Db------------- příjemná/příjemný/AAFS1----1A---- země/země/NNFS1-----A---- tím/ten/PDNS7---------- ,/,/Z:------------- že/že/J,------------- místní/místní/AAMP1----1A---- jsou/být/VB-P---3P-AAI-- pohostinní/pohostinný/AAMP1----1A---- a/a/J^-------------;nechovají/chovat/VB-P---3P-NAI-- k/k/RR--3---------- cizincům/cizinec/NNMP3-----A---- žádnou/žádný/PWFS4---------- nevraživost/nevraživost/NNFS4-----A----;././Z:-------------;1;NMG: publicistika
4;Nevidím/vidět/VB-S---1P-NAI-- důvod/důvod/NNIS4-----A---- ,/,/Z:------------- proč/proč/Db-------------;chovat/chovat/Vf--------A-I-- nevraživost/nevraživost/NNFS4-----A----;k/k/RR--3---------- lidem/člověk/NNMP3-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- žádné/žádný/PWFP4---------- z/z/RR--2---------- ekonomických/ekonomický/AAFP2----1A---- změn/změna/NNFP2-----A---- neprovedli/provést/VpMP----R-NAP-- ,/,/Z:------------- ani/ani/J^------------- je/oni/PPMP4--3------- nemůžou/moci/VB-P---3P-NAI-- nijak/nijak/Db------------- ovlivnit/ovlivnit/Vf--------A-P-- ././Z:-------------;1;NMG: publicistika
5;Podle/podle/RR--2---------- Onga/Ong/NNMS2-----A---- vykazují/vykazovat/VB-P---3P-AAI-- naše/náš/PSFP1-P1------- země/země/NNFP1-----A---- některé/některý/PZIP4---------- podobné/podobný/AAIP4----1A---- rysy/rys/NNIP4-----A---- :/:/Z:------------- jsou/být/VB-P---3P-AAI-- hospodářsky/hospodářsky/Dg-------1A---- vyspělé/vyspělý/AAFP1----1A---- (/(/Z:------------- singapurská/singapurský/AAFS1----1A---- strana/strana/NNFS1-----A---- vysoce/vysoce/Db------------- hodnotila/hodnotit/VpFS----R-AAI-- naše/náš/PSNS4-P1------- přijetí/přijetí/NNNS4-----A---- do/do/RR--2---------- OECD/OECD/BN------------- )/)/Z:------------- ,/,/Z:-------------;nechovají/chovat/VB-P---3P-NAI-- vůči/vůči/RR--3---------- sobě/se/P6--3---------- žádnou/žádný/PWFS4---------- nevraživost/nevraživost/NNFS4-----A----;a/a/J^------------- jejich/jejich/PSFS1-P3------- poloha/poloha/NNFS1-----A---- je/oni/PPFP4--3------- předurčuje/předurčovat/VB-S---3P-AAI-- k/k/RR--3---------- roli/role/NNFS3-----A---- brány/brána/NNFS2-----A---- do/do/RR--2---------- regionu/region/NNIS2-----A---- a/a/J^------------- k/k/RR--3---------- celému/celý/AAIS3----1A---- kontinentu/kontinent/NNIS3-----A---- ././Z:-------------;1;NMG: publicistika
6;Ještě/ještě/Db------------- v/v/RR--6---------- době/doba/NNFS6-----A---- vlády/vláda/NNFS2-----A---- Jana/Jan/NNMS2-----A---- Diviše/Diviš/NNMS2-----A---- ze/z/RV--2---------- Žerotína/Žerotín/NNIS2-----A---- se/se/P7--4---------- tak/tak/Db------------- na/na/RR--6---------- náměšťském/náměšťský/AANS6----1A---- panství/panství/NNNS6-----A---- stal/stát/VpMS----R-AAP-- předmětem/předmět/NNIS7-----A---- jednání/jednání/NNNS2-----A---- poddaný/poddaný/AAMS1----1A---- Jan/Jan/NNMS1-----A---- Krčma/Krčma/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- se/se/P7--4---------- údajně/údajně/Dg-------1A---- obzvláště/obzvlášť/Db------------- v/v/RR--6---------- době/doba/NNFS6-----A---- nepřítomnosti/nepřítomnost/NNFS2-----A---- vrchnosti/vrchnost/NNFS2-----A---- na/na/RR--6---------- dominiu/dominium/NNNS6-----A----;choval/chovat/VpMS----R-AAI-- v/v/RR--6---------- rozporu/rozpor/NNIS6-----A---- s/s/RR--7---------- dobrými/dobrý/AAIP7----1A---- mravy/mrav/NNIP7-----A---- a/a/J^------------- snažil/snažit/VpMS----R-AAI-- se/se/P7--4---------- na/na/RR--6---------- zdejších/zdejší/AAIP6----1A---- vinohradech/vinohrad/NNIP6-----A---- vystupovat/vystupovat/Vf--------A-I-- jako/jako/J,------------- zástupce/zástupce/NNMS1-----A---- vrchnosti/vrchnost/NNFS2-----A---- ,/,/Z:------------- což/co/PE--1---------- ovšem/ovšem/TT------------- v/v/RR--6---------- Židlochovicích/Židlochovice/NNFP6-----A---- vyvolalo/vyvolat/VpNS----R-AAP-- tak/tak/Db------------- velkou/velký/AAFS4----1A---- nevraživost/nevraživost/NNFS4-----A----;,/,/Z:------------- že/že/J,------------- musel/muset/VpMS----R-AAI-- celou/celý/AAFS4----1A---- věc/věc/NNFS4-----A---- řešit/řešit/Vf--------A-I-- sám/sám/PLIS4---------- Žerotín/Žerotín/NNIS4-----A---- ././Z:-------------;0;NFC: oborová literatura
7;;Chovali/chovat/VpMP----R-AAI-- se/se/P7--4---------- ostentativně/ostentativně/Dg-------1A---- zdrženlivě/zdrženlivě/Dg-------1A---- ,/,/Z:------------- téměř/téměř/Db------------- spiklenecky/spiklenecky/Dg-------1A---- a/a/J^------------- svou/svůj/P8FS7---------1 taktikou/taktika/NNFS7-----A---- si/se/P7--3---------- během/během/RR--2---------- týdne/týden/NNIS2-----A---- po/po/RR--6---------- svém/svůj/P8IS6---------- příjezdu/příjezd/NNIS6-----A---1 vysloužili/vysloužit/VpMP----R-AAP-- všeobecnou/všeobecný/AAFS4----1A---- nevraživost/nevraživost/NNFS4-----A----;a/a/J^------------- přezdívku/přezdívka/NNFS4-----A---- Čmuchalové/čmuchal/NNMP1-----A---- ././Z:-------------;0;FIC: beletrie
8;Brazilci/Brazilec/NNMP1-----A---- mají/mít/VB-P---3P-AAI-- ve/v/RV--6---------- velké/velký/AAFS6----1A---- oblibě/obliba/NNFS6-----A---- vše/všechen/PLNS4---------1 ,/,/Z:------------- co/co/PQ--1---------- se/se/P7--4---------- vztahuje/vztahovat/VB-S---3P-AAI-- k/k/RR--3---------- jejich/jejich/PSFS3-P3------- někdejší/někdejší/AAFS3----1A---- portugalské/portugalský/AAFS3----1A---- královské/královský/AAFS3----1A---- rodině/rodina/NNFS3-----A---- –/-/Z:-------------;nechovají/chovat/VB-P---3P-NAI-- k/k/RR--3---------- ní/on/P5FS3--3------- postkoloniální/postkoloniální/AAFS4----1A---- nevraživost/nevraživost/NNFS4-----A----;,/,/Z:------------- spíše/spíš/TT------------- naopak/naopak/TT------------- ././Z:-------------;1;NMG: publicistika
9;;Chová/chovat/VB-S---3P-AAI-- se/se/P7--4---------- jako/jako/J,------------- slon/slon/NNMS1-----A---- v/v/RR--6---------- porcelánu/porcelán/NNIS6-----A---- ,/,/Z:------------- což/co/PE--1---------- vyvolává/vyvolávat/VB-S---3P-AAI-- velké/velký/AANS4----1A---- napětí/napětí/NNNS4-----A---- a/a/J^------------- nevraživost/nevraživost/NNFS4-----A----;././Z:-------------;0;NMG: publicistika
10;Nikdy/nikdy/Db------------- nevíte/vědět/VB-P---2P-NAI-- ,/,/Z:------------- nakolik/nakolik/Db------------- se/se/P7--4---------- k/k/RR--3---------- vám/vy/PP-P3--2------- kdo/kdo/PKM-1----------;chová/chovat/VB-S---3P-AAI-- upřímně/upřímně/Dg-------1A---- ,/,/Z:------------- ale/ale/J^------------- vyslovenou/vyslovený/AAFS4----1A---- nevraživost/nevraživost/NNFS4-----A----;jsem/být/VB-S---1P-AAI-- tam/tam/Db------------- nezažil/zažít/VpMS----R-NAP-- ././Z:-------------;0;NMG: publicistika
