id;left;kwic;right
"1";"Přesvědčíme/přesvědčit/VB-P---1P-AAP-- se/se/P7--4---------- ,/,/Z:------------- že/že/J,------------- jsme/být/VB-P---1P-AAI-- na/na/RR--6---------- dobré/dobrý/AAFS6----1A---- stopě/stopa/NNFS6-----A---- ,/,/Z:------------- když/když/J,------------- si/se/P7--3---------- uvědomíme/uvědomit/VB-P---1P-AAP-- ,/,/Z:------------- jakou/jaký/P4FS4---------- přímo/přímo/Dg-------1A---- pečovatelskou/pečovatelský/AAFS4----1A----";"náklonnost/náklonnost/NNFS4-----A---- lidé/člověk/NNMP1-----A---- chovají/chovat/VB-P---3P-AAI--";"ke/k/RV--3---------- svým/svůj/P8MP3---------- šampiónům/šampion/NNMP3-----A---- ././Z:-------------"
"2";"Podle/podle/RR--2---------- hypotézy/hypotéza/NNFS2-----A---- faciální/faciální/AAFS2----1A---- odezvy/odezva/NNFS2-----A---- můžete/moci/VB-P---2P-AAI-- k/k/RR--3---------- lidem/člověk/NNMP3-----A---- ,/,/Z:------------- kterým/který/P4MP3---------- jste/být/VB-P---2P-AAI-- se/se/P7--4---------- upřeně/upřeně/Dg-------1A---- dívali/dívat/VpMP----R-AAI-- do/do/RR--2---------- očí/oko/NNFP2-----A---- ,/,/Z:------------- cítit/cítit/Vf--------A-I--";"náklonnost/náklonnost/NNFS4-----A---- a/a/J^------------- chovat/chovat/Vf--------A-I--";"se/se/P7--4---------- zamilovaně/zamilovaně/Dg-------1A---- ././Z:-------------"
"3";"Podobnou/podobný/AAFS4----1A----";"náklonnost/náklonnost/NNFS4-----A---- chová/chovat/VB-S---3P-AAI--";"k/k/RR--3---------- andělíčkům/andělíček/NNMP3-----A---- ././Z:-------------"
"4";"Nevěděla/vědět/VpFS----R-NAI-- ,/,/Z:------------- co/co/PQ--1---------- ji/on/PPFS4--3------- bolí/bolet/VB-S---3P-AAI-- víc/hodně/Dg-------2A---- –/-/Z:------------- zda/zda/J,------------- to/ten/PDNS1---------- ,/,/Z:------------- že/že/J,------------- Marek/Marek/NNMS1-----A---- neopětuje/opětovat/VB-S---3P-NAI-- její/její/PSFS4FS3-------";"náklonnost/náklonnost/NNFS4-----A---- ,/,/Z:------------- nebo/nebo/J^------------- že/že/J,------------- se/se/P7--4---------- Klára/Klára/NNFS1-----A---- nechová/chovat/VB-S---3P-NAI--";"jako/jako/J,------------- kamarádka/kamarádka/NNFS1-----A---- a/a/J^------------- chce/chtít/VB-S---3P-AAI-- jí/on/PPFS3--3------- přebrat/přebrat/Vf--------A-P-- muže/muž/NNMS4-----A---- snů/sen/NNIP2-----A---- ././Z:-------------"
"5";"A/a/J^------------- kdyby/kdyby|být/J,-------------|Vc----------I-- na/na/RR--4---------- vás/vy/PP-P4--2------- náhodou/náhodou/Db------------- přece/přece/TT------------- jen/jen/TT------------- právě/právě/Db------------- v/v/RR--6---------- této/tento/PDFS6---------- chvíli/chvíle/NNFS6-----A---- čekala/čekat/VpFS----R-AAI-- ,/,/Z:------------- buďte/být/Vi-P---2--A-I-- si/se/P7--3---------- jist/jistý/ACMS------A---- ,/,/Z:------------- že/že/J,------------- vaše/váš/PSFS1-P2------- nepřítomnost/nepřítomnost/NNFS1-----A---- jen/jen/Db------------- upevní/upevnit/VB-S---3P-AAP--";"náklonnost/náklonnost/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- k/k/RR--3---------- vám/vy/PP-P3--2------- chová/chovat/VB-S---3P-AAI--";"././Z:------------- ""/""/Z:-------------"
"6";"";"Náklonnost/náklonnost/NNFS4-----A---- k/k/RR--3---------- něžnému/něžný/AANS3----1A---- pohlaví/pohlaví/NNNS3-----A---- choval/chovat/VpMS----R-AAI--";"v/v/RR--6---------- sobě/se/P6--6---------- dál/dál/Db------------- a/a/J^------------- taky/také/Db------------- se/se/P7--4---------- tím/ten/PDNS7---------- nijak/nijak/Db------------- zvlášť/zvlášť/TT------------- netajil/tajit/VpMS----R-NAI-- ././Z:-------------"
"7";"Přitom/přitom/Db------------- si/se/P7--3---------- vzpomněl/vzpomenout/VpMS----R-AAP-1 ,/,/Z:------------- že/že/J,------------- Barnabáš/Barnabáš/NNMS1-----A---- je/být/VB-S---3P-AAI-- přes/přes/RR--4---------- všechnu/všechen/PLFS4----------";"náklonnost/náklonnost/NNFS4-----A---- ,/,/Z:------------- již/jenž/PJFS4---------- k/k/RR--3---------- němu/on/P5MS3--3------- chová/chovat/VB-S---3P-AAI--";",/,/Z:------------- přece/přece/TT------------- jen/jen/TT------------- pouhý/pouhý/AAMS1----1A---- posel/posel/NNMS1-----A---- ,/,/Z:------------- a/a/J^------------- dal/dát/VpMS----R-AAP-- mu/on/PHMS3--3------- přinést/přinést/Vf--------A-P-- pivo/pivo/NNNS4-----A---- ././Z:-------------"
"8";"Možná/možná/TT------------- jeden/jeden/ClMS1---------- druhého/druhý/CrMS4---------- ././Z0------------- */*/Z:------------- Monika/Monika/NNFS1-----A---- Valentová/Valentová/NNFS1-----A---- Asi/asi/TT------------- největší/velký/AAFS4----3A---- citovou/citový/AAFS4----1A----";"náklonnost/náklonnost/NNFS4-----A---- chová/chovat/VB-S---3P-AAI--";"ke/k/RV--3---------- »/""/Z:------------- spálenému/spálený/AAMS3----1A---- medvídkovi/medvídek/NNMS3-----A---- «/""/Z:------------- ././Z:-------------"
"9";"""/""/Z:------------- Jenom/jen/Db------------- tak/tak/Db------------- mnoho/mnoho/Ca--4---------- jako/jako/J,------------- vy/vy/PP-P1--2------- jeho/on/PPMS4--3------- ,/,/Z:------------- ""/""/Z:------------- odvětil/odvětit/VpMS----R-AAP-- William/William/NNMS1-----A---- ././Z:------------- ""/""/Z:------------- A/a/J^------------- já/já/PP-S1--1------- vím/vědět/VB-S---1P-AAI-- ,/,/Z:------------- jak/jak/J,------------- hlubokou/hluboký/AAFS4----1A----";"náklonnost/náklonnost/NNFS4-----A---- k/k/RR--3---------- němu/on/P5MS3--3------- chováte/chovat/VB-P---2P-AAI--";"././Z:------------- ""/""/Z:-------------"
"10";"Své/svůj/P8NS4---------1 zlato/zlato/NNNS4-----A---- a/a/J^------------- stříbro/stříbro/NNNS4-----A---- utratil/utratit/VpMS----R-AAP-- většinou/většinou/Db------------- na/na/RR--4---------- dárky/dárek/NNIP4-----A---- ,/,/Z:------------- jak/jak/Db------------- užitečné/užitečný/AAIP4----1A---- ,/,/Z:------------- tak/tak/J^------------- výstřední/výstřední/AAIP4----1A---- -/-/Z:------------- což/co/PE--1---------- do/do/RR--2---------- jisté/jistý/AAFS2----1A---- míry/míra/NNFS2-----A---- vysvětluje/vysvětlovat/VB-S---3P-AAI--";"náklonnost/náklonnost/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- k/k/RR--3---------- němu/on/P5MS3--3------- chovali/chovat/VpMP----R-AAI--";"jeho/jeho/PSMP1-S3------- synovci/synovec/NNMP1-----A---- a/a/J^------------- neteře/neteř/NNFP1-----A---- ././Z:-------------"
