id;left;kwic;right;VNP?;doc.txtype_group
1;Není/být/VB-S---3P-NAI-- samozřejmé/samozřejmý/AANS1----1A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- uznávaný/uznávaný/AAMS1----1A---- světový/světový/AAMS1----1A---- spisovatel/spisovatel/NNMS1-----A----;choval/chovat/VpMS----R-AAI-- nadstandardní/nadstandardní/AAFS4----1A---- náklonnost/náklonnost/NNFS4-----A----;k/k/RR--3---------- Česku/Česko/NNNS3-----A---- ././Z:-------------;1;NMG: publicistika
2;Jaká/jaký/P4FS1---------- hrozná/hrozný/AAFS1----1A---- škoda/škoda/NNFS1-----A---- a/a/J^------------- hanba/hanba/NNFS1-----A---- ,/,/Z:------------- že/že/J,------------- je/být/VB-S---3P-AAI-- jí/on/PPFS3--3------- odepřeno/odepřít/VsNS------APP-- mít/mít/Vf--------A-I-- víc/hodně/Dg-------2A---- dětí/dítě/NNFP2-----A---- a/a/J^------------- že/že/J,-------------;chová/chovat/VB-S---3P-AAI-- tak/tak/Db------------- malou/malý/AAFS4----1A---- náklonnost/náklonnost/NNFS4-----A----;k/k/RR--3---------- Lionelovi/Lionel/NNMS3-----A---- ././Z:-------------;1;FIC: beletrie
3;Z/z/RR--2---------- toho/ten/PDNS2---------- plyne/plynout/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- první/první/CrMS1---------- zesnulý/zesnulý/AAMS1----1A---- byl/být/VpMS----R-AAI-- laskavý/laskavý/AAMS1----1A---- člověk/člověk/NNMS1-----A---- ,/,/Z:------------- ke/k/RV--3---------- kterému/který/P4MS3---------- mnoho/mnoho/Ca--1---------- lidí/člověk/NNMP2-----A----;chovalo/chovat/VpNS----R-AAI-- náklonnost/náklonnost/NNFS4-----A----;a/a/J^------------- přátelství/přátelství/NNNS4-----A---- ,/,/Z:------------- a/a/J^------------- proto/proto/J^------------- přišel/přijít/VpMS----R-AAP-- určitě/určitě/TT------------- do/do/RR--2---------- nebe/nebe/NNNS2-----A---- ././Z:-------------;1;FIC: beletrie
4;Jestliže/jestliže/J,------------- šlo/jít/VpNS----R-AAI-- o/o/RR--4---------- někoho/někdo/PZM-4---------- ,/,/Z:------------- k/k/RR--3---------- němuž/jenž/P9MS3----------;chovala/chovat/VpFS----R-AAI-- určitou/určitý/AAFS4----1A---- náklonnost/náklonnost/NNFS4-----A----;":/:/Z:------------- ""/""/Z:------------- Chudák/chudák/NNMS1-----A---- ,/,/Z:------------- ""/""/Z:------------- prohlásila/prohlásit/VpFS----R-AAP-- ,/,/Z:------------- ""/""/Z:------------- byl/být/VpMS----R-AAI-- ještě/ještě/Db------------- mladý/mladý/AAMS1----1A---- ,/,/Z:------------- ""/""/Z:------------- i/i/J^------------- když/když/J,------------- byl/být/VpMS----R-AAI-- třeba/třeba/TT------------- nebožtík/nebožtík/NNMS1-----A---- už/už/Db------------- dlouho/dlouho/Dg-------1A---- ve/v/RV--6---------- věku/věk/NNIS6-----A---- na/na/RR--4---------- umření/umření/NNNS4-----A---- ././Z:-------------";1;NFC: oborová literatura
5;Byla/být/VpFS----R-AAI-- to/ten/PDNS1---------- divná/divný/AAFS1----1A---- a/a/J^------------- taky/také/Db------------- trapná/trapný/AAFS1----1A---- podívaná/podívaná/NNFS1-----A---- ,/,/Z:------------- čím/co/PQ--7---------- víc/hodně/Dg-------2A---- se/se/P7--4---------- k/k/RR--3---------- němu/on/P5MS3--3------- Nino/Nino/NNMS1-----A---- a/a/J^------------- Deliliers/Deliliers/NNMS1-----A----;chovali/chovat/VpMP----R-AAI-- nezdvořile/zdvořile/Dg-------1N---- ,/,/Z:------------- tím/ten/PDNS7---------- víc/hodně/Dg-------2A---- se/se/P7--4---------- snažil/snažit/VpMS----R-AAI-- získat/získat/Vf--------A-P-- si/se/P7--3---------- jejich/jejich/PSFS4-P3------- náklonnost/náklonnost/NNFS4-----A----;././Z:-------------;0;FIC: beletrie
6;Cushie/Cushie/X@------------- měla/mít/VpFS----R-AAI-- hodně/hodně/Dg-------1A---- komplikovaných/komplikovaný/AAIP2----1A---- způsobů/způsob/NNIP2-----A---- ,/,/Z:------------- kterými/který/P4IP7---------- zkoušela/zkoušet/VpFS----R-AAI-- ,/,/Z:------------- jakou/jaký/P4FS7---------- k/k/RR--3---------- ní/on/P5FS3--3------- chlapi/chlap/NNMP1-----A----;chovají/chovat/VB-P---3P-AAI-- náklonnost/náklonnost/NNFS4-----A----;././Z:-------------;1;FIC: beletrie
7;"K/K/BN------------- ././Z0------------- nebyl/být/VpMS----R-NAI-- s/s/RR--7---------- tou/ten/PDFS7---------- odpovědí/odpověď/NNFS7-----A---- spokojen/spokojený/ACMS------A---- ;/;/Z:------------- napůl/napůl/Db------------- žertem/žert/NNIS7-----A---- ,/,/Z:------------- napůl/napůl/Db------------- vážně/vážně/Dg-------1A---- řekl/říci/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- je/být/VB-S---3P-AAI-- s/s/RR--7---------- nimi/oni/P5MP7--3------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- zdá/zdát/VB-S---3P-AAI-- ,/,/Z:------------- spolčena/spolčit/VsFS------APP-- nebo/nebo/J^------------- k/k/RR--3---------- nim/oni/P5MP3--3------- aspoň/aspoň/Db-------------";chová/chovat/VB-S---3P-AAI-- velkou/velký/AAFS4----1A---- náklonnost/náklonnost/NNFS4-----A----;,/,/Z:------------- nu/nu/TT------------- ,/,/Z:------------- vždyť/vždyť/J^------------- jsou/být/VB-P---3P-AAI-- to/ten/PDNS1---------- hezcí/hezký/AAMP1----1A---- hoši/hoch/NNMP1-----A---- ,/,/Z:------------- ale/ale/J^------------- neexistuje/existovat/VB-S---3P-NAI-- člověk/člověk/NNMS1-----A---- ,/,/Z:------------- jehož/jenž/PJMS2---------- bychom/být/Vc-P---1----I-- se/se/P7--4---------- při/při/RR--6---------- trošce/troška/NNFS6-----A---- dobré/dobrý/AAFS2----1A---- vůle/vůle/NNFS2-----A---- nemohli/moci/VpMP----R-NAI-- zbavit/zbavit/Vf--------A-P-- ,/,/Z:------------- dokáže/dokázat/VB-S---3P-AAP-- jí/on/PPFS3--3------- to/ten/PDNS4---------- na/na/RR--6---------- pomocnících/pomocník/NNMP6-----A---- ././Z:-------------;1;TODO
8;Léta/rok/NNNP4-----A---2 jsme/být/VB-P---1P-AAI-- se/se/P7--4---------- jenom/jen/Db------------- znali/znát/VpMP----R-AAI-- ,/,/Z:------------- obdivovali/obdivovat/VpMP----R-AAI-- se/se/P7--4---------- ,/,/Z:------------- ale/ale/J^------------- asi/asi/TT------------- odjakživa/odjakživa/Db------------- jsme/být/VB-P---1P-AAI-- k/k/RR--3---------- sobě/se/P6--3----------;chovali/chovat/VpMP----R-AAI-- náklonnost/náklonnost/NNFS4-----A----;././Z:-------------;1;NMG: publicistika
9;Záplatovaný/záplatovaný/AAIS1----1A---- vzhled/vzhled/NNIS1-----A---- dodával/dodávat/VpIS----R-AAI-- robotovi/robot/NNMS3-----A---- ,/,/Z:------------- mírně/mírně/Dg-------1A---- řečeno/říci/VsNS------APP-- ,/,/Z:------------- jisté/jistý/AAFS2----1A---- jedinečnosti/jedinečnost/NNFS3-----A---- ,/,/Z:------------- a/a/J^------------- Derec/Derec/NNMS1-----A---- k/k/RR--3---------- němu/on/P5MS3--3-------;choval/chovat/VpMS----R-AAI-- nesmírnou/nesmírný/AAFS4----1A---- náklonnost/náklonnost/NNFS4-----A----;././Z:-------------;1;FIC: beletrie
10;I/i/J^------------- když/když/J,------------- medvěd/medvěd/NNMS1-----A---- zjevně/zjevně/TT-------------;chová/chovat/VB-S---3P-AAI-- k/k/RR--3---------- lidem/člověk/NNMP3-----A---- náklonnost/náklonnost/NNFS4-----A----;,/,/Z:------------- muži/muž/NNMP1-----A---- zákona/zákon/NNIS2-----A---- ho/on/PHMS4--3------- přesto/přesto/Db------------- pro/pro/RR--4---------- jistotu/jistota/NNFS4-----A---- provizorně/provizorně/Dg-------1A---- umístili/umístit/VpMP----R-AAP-- do/do/RR--2---------- cely/cela/NNFS2-----A---- ././Z:-------------;1;NMG: publicistika
