id;left;kwic;right;VNP?;doc.txtype_group
1;Prozradíte/prozradit/VB-P---2P-AAP-- svůj/svůj/P8IS4----------;názor/názor/NNIS4-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- má/mít/VB-S---3P-AAI-- trenér/trenér/NNMS1-----A---- chovat/chovat/Vf--------A-I--;k/k/RR--3---------- malým/malý/AAFP3----1A---- dětem/dítě/NNFP3-----A---- ?/?/Z:-------------;0;NMG: publicistika
2;Sarepta/Sarepta/NNFS1-----A---- obsahuje/obsahovat/VB-S---3P-AAI-- mj/mj/Bb------------- ././Z0------------- Mathesiův/Mathesiův/AUIS4M---------;názor/názor/NNIS4-----A---- na/na/RR--4---------- vznik/vznik/NNIS4-----A---- kovů/kov/NNIP2-----A---- a/a/J^------------- jak/jak/Db------------- je/být/VB-S---3P-AAI-- třeba/třeba/Db------------- se/se/P7--4---------- ke/k/RV--3---------- kovům/kov/NNIP3-----A---- chovat/chovat/Vf--------A-I--;././Z:-------------;0;NMG: publicistika
3;Dopis/dopis/NNIS1-----A---- podle/podle/RR--2---------- něj/on/P5MS2--3------- obsahuje/obsahovat/VB-S---3P-AAI-- právní/právní/AAIS4----1A----;názor/názor/NNIS4-----A---- Hradu/hrad/NNIS2-----A---- ,/,/Z:------------- co/co/PQ--4---------- má/mít/VB-S---3P-AAI-- BIS/BIS/BN------------- sdělovat/sdělovat/Vf--------A-I-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- při/při/RR--6---------- tom/ten/PDNS6---------- k/k/RR--3---------- prezidentovi/prezident/NNMS3-----A---- chovat/chovat/Vf--------A-I--;,/,/Z:------------- ale/ale/J^------------- také/také/Db------------- roli/role/NNFS4-----A---- a/a/J^------------- vymezení/vymezení/NNNS4-----A---- kontrolní/kontrolní/AAFS2----1A---- činnosti/činnost/NNFS2-----A---- komise/komise/NNFS2-----A---- ././Z:-------------;0;NMG: publicistika
4;Podle/podle/RR--2---------- jejích/její/PSMP2FS3------- přátel/přítel/NNMP2-----A---- však/však/J^------------- sdílela/sdílet/VpFS----R-AAI-- otcův/otcův/AUIS4M---------;názor/názor/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- expremiér/expremiér/NNMS1-----A---- Viktor/Viktor/NNMS1-----A---- Černomyrdin/Černomyrdin/NNMS1-----A---- (/(/Z:------------- 59/59/C=------------- )/)/Z:------------- se/se/P7--4---------- choval/chovat/VpMS----R-AAI--;stále/stále/Dg-------1A---- více/hodně/Dg-------2A---- jako/jako/J,------------- prezident/prezident/NNMS1-----A---- ././Z:-------------;0;NMG: publicistika
5;Zastávám/zastávat/VB-S---1P-AAI--;názor/názor/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- se/se/P7--4---------- k/k/RR--3---------- sobě/se/P6--3---------- všichni/všechen/PLMP1---------- měli/mít/VpMP----R-AAI-- chovat/chovat/Vf--------A-I--;slušně/slušně/Dg-------1A---- a/a/J^------------- mít/mít/Vf--------A-I-- normální/normální/AAIS4----1A---- vztah/vztah/NNIS4-----A---- ././Z:-------------;0;NMG: publicistika
6;"""/""/Z:------------- Říkaj/říkat/VB-P---3P-AAI-6 ,/,/Z:------------- že/že/J,------------- vaše/váš/PSIP4-P2-------";názory/názor/NNIP4-----A---- chovaj/chovat/VB-P---3P-AAI-6;"chirurgové/chirurg/NNMP1-----A---- skoro/skoro/Db------------- v/v/RR--6---------- takový/takový/PDFS6---------6 úctě/úcta/NNFS6-----A---- ,/,/Z:------------- s/s/RR--7---------- jakou/jaký/P4FS7---------- vy/vy/PP-P1--2------- vzhlížíte/vzhlížet/VB-P---2P-AAI-- sám/sám/PLMS1---------- k/k/RR--3---------- sobě/se/P6--3---------- ././Z:------------- ""/""/Z:-------------";1;FIC: beletrie
7;Vyslovil/vyslovit/VpMS----R-AAP-- jsem/být/VB-S---1P-AAI-- jen/jen/Db------------- svůj/svůj/P8IS4---------- skromný/skromný/AAIS4----1A----;názor/názor/NNIS4-----A---- a/a/J^------------- nemínil/mínit/VpMS----R-NAI-- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- v/v/RR--6---------- nejmenším/malý/AANS6----3A---- dotknout/dotknout/Vf--------A-P-- ani/ani/J^------------- vás/vy/PP-P4--2------- osobně/osobně/Dg-------1A---- ,/,/Z:------------- ani/ani/J^------------- citů/cit/NNIP2-----A---- ,/,/Z:------------- které/který/P4IP4---------- chováte/chovat/VB-P---2P-AAI--;k/k/RR--3---------- panu/pán/NNMS3-----A---1 Trčkovi/Trčka/NNMS3-----A---- ././Z:-------------;0;FIC: beletrie
8;Udělám/udělat/VB-S---1P-AAP-- si/se/P7--3---------- svůj/svůj/P8IS4----------;názor/názor/NNIS4-----A---- ,/,/Z:------------- lidem/člověk/NNMP3-----A---- řeknu/říci/VB-S---1P-AAP-- vlastní/vlastní/AAFS4----1A---- filozofii/filozofie/NNFS4-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- mají/mít/VB-P---3P-AAI-- ve/v/RV--6---------- firmě/firma/NNFS6-----A---- chovat/chovat/Vf--------A-I--;vůči/vůči/RR--3---------- sobě/se/P6--3---------- i/i/J^------------- ostatním/ostatní/AAMP3----1A---- ././Z:-------------;0;NMG: publicistika
9;"""/""/Z:------------- No/no/TT------------- ,/,/Z:------------- máme/mít/VB-P---1P-AAI-- na/na/RR--4---------- věc/věc/NNFS4-----A---- různé/různý/AAIP4----1A----";názory/názor/NNIP4-----A---- ,/,/Z:------------- náčelníku/náčelník/NNMS5-----A---- ,/,/Z:------------- ale/ale/J^------------- to/ten/PDNS1---------- neznamená/znamenat/VB-S---3P-NAI-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- k/k/RR--3---------- sobě/se/P6--3---------- nemůžeme/moci/VB-P---1P-NAI-- chovat/chovat/Vf--------A-I--;přátelsky/přátelsky/Dg-------1A---- ././Z:-------------;0;FIC: beletrie
10;V/v/RR--6---------- rámci/rámec/NNIS6-----A---- ruské/ruský/AAFS2----1A---- politické/politický/AAFS2----1A---- a/a/J^------------- podnikatelské/podnikatelský/AAFS2----1A---- elity/elita/NNFS2-----A---- přitom/přitom/Db------------- poslední/poslední/AAFS7----1A---- dobou/doba/NNFS7-----A---- sílí/sílit/VB-S---3P-AAI--;názor/názor/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- Washington/Washington/NNIS1-----A---- se/se/P7--4---------- k/k/RR--3---------- Moskvě/Moskva/NNFS3-----A---- chová/chovat/VB-S---3P-AAI--;podle/podle/RR--2---------- tohoto/tento/PDIS2---------- vzorce/vzorec/NNIS2-----A---- ././Z:-------------;0;NMG: publicistika
11;Pokud/pokud/J,------------- má/mít/VB-S---3P-AAI-- však/však/J^------------- město/město/NNNS1-----A---- jiný/jiný/AAIS4----1A----;názor/názor/NNIS4-----A---- ,/,/Z:------------- je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- možné/možný/AANS1----1A---- ,/,/Z:------------- každopádně/každopádně/Db------------- však/však/J^------------- se/se/P7--4---------- k/k/RR--3---------- řešení/řešení/NNNS3-----A---- náměstí/náměstí/NNNS2-----A---- město/město/NNNS1-----A---- musí/muset/VB-S---3P-AAI-- chovat/chovat/Vf--------A-I--;jako/jako/J,------------- k/k/RR--3---------- autorskému/autorský/AANS3----1A---- dílu/dílo/NNNS3-----A---- ,/,/Z:------------- stejně/stejně/Dg-------1A---- jako/jako/J,------------- k/k/RR--3---------- soše/socha/NNFS3-----A---- či/či/J^------------- domu/dům/NNIS3-----A---- ././Z:-------------;0;NMG: publicistika
12;Každý/každý/PLMS1---------- člověk/člověk/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- kdysi/kdysi/Db------------- nevypadal/vypadat/VpMS----R-NAI-- tak/tak/Db------------- ,/,/Z:------------- jak/jak/Db------------- bolševici/bolševik/NNMP1-----A---- chtěli/chtít/VpMP----R-AAI-- ,/,/Z:------------- byl/být/VpMS----R-AAI-- důležitý/důležitý/AAMS1----1A---- a/a/J^------------- stejně/stejně/Dg-------1A---- tak/tak/Db------------- je/být/VB-S---3P-AAI-- dneska/dnes/Db------------- důležitý/důležitý/AAMS1----1A---- každý/každý/PLMS1---------- ,/,/Z:------------- kdo/kdo/PKM-1---------- má/mít/VB-S---3P-AAI-- svůj/svůj/P8IS4----------;názor/názor/NNIS4-----A---- a/a/J^------------- nechová/chovat/VB-S---3P-NAI--;se/se/P7--4---------- tak/tak/Db------------- ,/,/Z:------------- jak/jak/Db------------- by/být/Vc----------I-- ty/ten/PDNP4---------6 paka/pako/NNNP4-----A---- v/v/RR--6---------- čele/čelo/NNNS6-----A---- se/s/RV--7---------- Zemanem/Zeman/NNMS7-----A---- chtěli/chtít/VpMP----R-AAI-- ././Z:-------------;0;NMG: publicistika
13;Prostějov/Prostějov/NNIS1-----A---- -/-/Z:------------- Zastupitelé/zastupitel/NNMP1-----A---- v/v/RR--6---------- Prostějově/Prostějov/NNIS6-----A---- mají/mít/VB-P---3P-AAI-- odlišné/odlišný/AAIP4----1A----;názory/názor/NNIP4-----A---- na/na/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- jak/jak/Db------------- by/být/Vc----------I-- se/se/P7--4---------- město/město/NNNS1-----A---- mělo/mít/VpNS----R-AAI-- chovat/chovat/Vf--------A-I--;k/k/RR--3---------- investorům/investor/NNMP3-----A---- ././Z:-------------;0;NMG: publicistika
14;Sami/sám/PLMP1---------- zastávali/zastávat/VpMP----R-AAI--;názor/názor/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- mají/mít/VB-P---3P-AAI-- -/-/Z0------------- li/li/J,------------- trhy/trh/NNIP1-----A---- fungovat/fungovat/Vf--------A-I-- ,/,/Z:------------- je/být/VB-S---3P-AAI-- zapotřebí/zapotřebí/Db------------- rozumná/rozumný/AAFS1----1A---- politika/politika/NNFS1-----A---- ,/,/Z:------------- moudří/moudrý/AAMP1----1A---- tvůrci/tvůrce/NNMP1-----A---- této/tento/PDFS2---------- politiky/politika/NNFS2-----A---- ,/,/Z:------------- přísná/přísný/AAFS1----1A---- regulace/regulace/NNFS1-----A---- a/a/J^------------- především/především/TT------------- jednotlivci/jednotlivec/NNMP1-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--;etickým/etický/AAIS7----1A---- způsobem/způsob/NNIS7-----A---- a/a/J^------------- vyžadují/vyžadovat/VB-P---3P-AAI-- etické/etický/AANS4----1A---- chování/chování/NNNS4-----A---- od/od/RR--2---------- druhých/druhý/CrMP2---------- ././Z:-------------;0;NFC: oborová literatura
15;"„/""/Z:------------- Znáš/znát/VB-S---2P-AAI-- přece/přece/TT------------- její/její/PSIS4FS3-------";názor/názor/NNIS4-----A---- na/na/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- má/mít/VB-S---3P-AAI-- chovat/chovat/Vf--------A-I--;mladá/mladý/AAFS1----1A---- dívka/dívka/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- ještě/ještě/Db------------- není/být/VB-S---3P-NAI-- pod/pod/RR--7---------- čepcem/čepec/NNIS7-----A---- ././Z:-------------;0;FIC: beletrie
