id;left;kwic;right;VNP?;doc.txtype_group
1;Jestliže/jestliže/J,------------- se/se/P7--4---------- toto/tento/PDNS1---------- etnikum/etnikum/NNNS1-----A---- ,/,/Z:------------- mezi/mezi/RR--7---------- kterým/který/P4NS7---------- je/být/VB-S---3P-AAI-- spousta/spousta/NNFS1-----A---- výborných/výborný/AAMP2----1A---- jedinců/jedinec/NNMP2-----A---- ,/,/Z:------------- umělců/umělec/NNMP2-----A---- i/i/J^------------- lidí/člověk/NNMP2-----A---- na/na/RR--6---------- vedoucích/vedoucí/AGIP6-----A---- postech/post/NNIP6-----A---- ,/,/Z:------------- nechová/chovat/VB-S---3P-NAI-- ,/,/Z:------------- jak/jak/Db------------- by/být/Vc----------I-- se/se/P7--4----------;chovat/chovat/Vf--------A-I-- mělo/mít/VpNS----R-AAI-- ,/,/Z:------------- potom/potom/Db------------- se/se/P7--4---------- nedivte/divit/Vi-P---2--N-I-- ,/,/Z:------------- že/že/J,------------- lidé/člověk/NNMP1-----A---- jsou/být/VB-P---3P-AAI-- proti/proti/RR--3---------- nim/oni/P5MP3--3------- bohužel/bohužel/TT------------- zaměření/zaměřený/AAMP1----1A---- a/a/J^------------- pak/pak/Db------------- třeba/třeba/TT------------- na/na/RR--4---------- takový/takový/PDIS4---------- názor/názor/NNIS4-----A----;slyší/slyšet/VB-P---3P-AAI-- ././Z:-------------;0;NMG: publicistika
2;Hasan/Hasan/NNMS1-----A---- poznamenal/poznamenat/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- někteří/některý/PZMP1---------- muslimové/muslim/NNMP1-----A---- se/se/P7--4---------- také/také/Db-------------;chovají/chovat/VB-P---3P-AAI-- nevhodně/vhodně/Dg-------1N---- ,/,/Z:------------- což/co/PE--1---------- může/moci/VB-S---3P-AAI-- negativní/negativní/AAIP4----1A---- názory/názor/NNIP4-----A----;podporovat/podporovat/Vf--------A-I-- ././Z:-------------;0;NMG: publicistika
3;;Chová/chovat/VB-S---3P-AAI-- se/se/P7--4---------- na/na/RR--4---------- rovinu/rovina/NNFS4-----A---- a/a/J^------------- řekne/říci/VB-S---3P-AAP-- svůj/svůj/P8IS4---------- názor/názor/NNIS4-----A----;i/i/J^------------- za/za/RR--4---------- cenu/cena/NNFS4-----A---- toho/ten/PDNS2---------- ,/,/Z:------------- že/že/J,------------- ji/on/PPFS4--3------- mohou/moci/VB-P---3P-AAI-1 vyhodit/vyhodit/Vf--------A-P-- z/z/RR--2---------- práce/práce/NNFS2-----A---- ././Z:-------------;0;NMG: publicistika
4;Země/země/NNFS1-----A---- si/se/P7--3---------- znovu/znovu/Db------------- uvědomila/uvědomit/VpFS----R-AAP-- ,/,/Z:------------- že/že/J,------------- Západ/západ/NNIS1-----A---- se/se/P7--4---------- sice/sice/J^------------- snaží/snažit/VB-S---3P-AAI--;chovat/chovat/Vf--------A-I-- se/se/P7--4---------- k/k/RR--3---------- Moskvě/Moskva/NNFS3-----A---- taktně/taktně/Dg-------1A---- ,/,/Z:------------- její/její/PSIP4FS3------- názory/názor/NNIP4-----A----;však/však/J^------------- nemusí/muset/VB-P---3P-NAI-1 brát/brát/Vf--------A-I-- příliš/příliš/Db------------- vážně/vážně/Dg-------1A---- ././Z:-------------;0;NMG: publicistika
5;;Chovejte/chovat/Vi-P---2--A-I-- se/se/P7--4---------- zdvořile/zdvořile/Dg-------1A---- ,/,/Z:------------- ale/ale/J^------------- tak/tak/Db------------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- bylo/být/VpNS----R-AAI-- každému/každý/PLMS3---------- jasné/jasný/AANS1----1A---- ,/,/Z:------------- že/že/J,------------- názor/názor/NNIS4-----A----;nezměníte/změnit/VB-P---2P-NAP-- ././Z:-------------;0;NMG: publicistika
6;A/a/J^------------- v/v/RR--6---------- tom/ten/PDNS6---------- se/se/P7--4---------- nemýlila/mýlit/VpFS----R-NAI-- ,/,/Z:------------- protože/protože/J,------------- po/po/RR--6---------- jisté/jistý/AAFS6----1A---- době/doba/NNFS6-----A---- jsem/být/VB-S---1P-AAI-- zjistil/zjistit/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,-------------;chovám/chovat/VB-S---1P-AAI-- jisté/jistý/AAFP4----1A---- představy/představa/NNFP4-----A---- nebo/nebo/J^------------- názory/názor/NNIP4-----A----;,/,/Z:------------- které/který/P4IP1---------- nemohly/moci/VpIP----R-NAI-- pocházet/pocházet/Vf--------A-I-- než/než/J,------------- od/od/RR--2---------- ní/on/P5FS2--3------- ,/,/Z:------------- že/že/J,------------- totiž/totiž/TT------------- poté/poté/Db------------- ,/,/Z:------------- co/co/Db------------- jsem/být/VB-S---1P-AAI-- zabil/zabít/VpMS----R-AAP-- jejího/její/PSMS4FS3------- psa/pes/NNMS4-----A---- ,/,/Z:------------- jsem/být/VB-S---1P-AAI-- byl/být/VpMS----R-AAI-- povinen/povinný/ACMS------A---- jí/on/PPFS3--3------- pomoci/pomoci/Vf--------A-P-- odnést/odnést/Vf--------A-P-- jej/on/PPMS4--3------2 k/k/RR--3---------- ní/on/P5FS3--3------- domů/domů/Db------------- a/a/J^------------- pohřbít/pohřbít/Vf--------A-P-- jej/on/PPMS4--3------2 ,/,/Z:------------- že/že/J,------------- na/na/RR--4---------- mne/já/PP-S4--1------- nehodlala/hodlat/VpFS----R-NAI-- podat/podat/Vf--------A-P-- žalobu/žaloba/NNFS4-----A---- za/za/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- co/co/PQ--4---------- jsem/být/VB-S---1P-AAI-- učinil/učinit/VpMS----R-AAP-- ,/,/Z:------------- ale/ale/J^------------- že/že/J,------------- člověk/člověk/NNMS1-----A---- nedělá/dělat/VB-S---3P-NAI-- vždycky/vždy/Db-------------;1;FIC: beletrie
7;Naše/náš/PSFS1-P1------- malá/malý/AAFS1----1A---- chudinka/chudinka/NNFS1-----A---- udělala/udělat/VpFS----R-AAP-- pár/pár/Db------------- kroků/krok/NNIP2-----A---- na/na/RR--4---------- zkoušku/zkouška/NNFS4-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- zjistila/zjistit/VpFS----R-AAP-- ,/,/Z:------------- jestli/jestli/J,------------- kůže/kůže/NNFS1-----A---- někde/někde/Db------------- ve/v/RV--6---------- špičce/špička/NNFS6-----A---- nedře/dřít/VB-S---3P-NAI-- ,/,/Z:------------- bylo/být/VpNS----R-AAI-- po/po/RR--6---------- debatě/debata/NNFS6-----A---- ,/,/Z:------------- teď/teď/Db------------- už/už/Db------------- si/se/P7--3---------- jenom/jen/Db------------- přála/přát/VpFS----R-AAI-- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- utrpení/utrpení/NNNS1-----A---- skončilo/skončit/VpNS----R-AAP-- a/a/J^------------- ona/on/PPFS1--3------- udržela/udržet/VpFS----R-AAP-- krok/krok/NNIS4-----A---- a/a/J^------------- pan/pán/NNMS1-----A---- Phillips/Phillips/NNMS1-----A---- měl/mít/VpMS----R-AAI-- radost/radost/NNFS4-----A---- ,/,/Z:------------- já/já/PP-S1--1------- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- styděl/stydět/VpMS----R-AAI-- ,/,/Z:------------- že/že/J,------------- jsem/být/VB-S---1P-AAI-- se/se/P7--4----------;choval/chovat/VpMS----R-AAI-- jako/jako/J,------------- sprosťák/sprosťák/NNMS1-----A---- ,/,/Z:------------- že/že/J,------------- jsem/být/VB-S---1P-AAI-- byl/být/VpMS----R-AAI-- ve/v/RV--6---------- sporu/spor/NNIS6-----A---- o/o/RR--4---------- boty/bota/NNFP4-----A---- nestranný/nestranný/AAMS1----1A---- ,/,/Z:------------- když/když/J,------------- na/na/RR--6---------- jedné/jeden/ClFS6---------- straně/strana/NNFS6-----A---- stála/stát/VpFS----R-AAI-- bolest/bolest/NNFS1-----A---- ,/,/Z:------------- že/že/J,------------- jsem/být/VB-S---1P-AAI-- vůbec/vůbec/TT------------- nestranný/nestranný/AAMS1----1A---- ,/,/Z:------------- že/že/J,------------- jsem/být/VB-S---1P-AAI-- vůbec/vůbec/TT------------- byl/být/VpMS----R-AAI-- kdy/kdy/Db------------- nestranný/nestranný/AAMS1----1A---- ,/,/Z:------------- přestali/přestat/VpMP----R-AAP-- jsme/být/VB-P---1P-AAI-- si/se/P7--3---------- vyměňovat/vyměňovat/Vf--------A-I-- šeptem/šeptem/Db------------- názory/názor/NNIP4-----A----;,/,/Z:------------- oba/oba/ClMP1---------- jsme/být/VB-P---1P-AAI-- se/se/P7--4---------- názorům/názor/NNIP3-----A---- ,/,/Z:------------- které/který/P4IP4---------- jsme/být/VB-P---1P-AAI-- si/se/P7--3---------- předtím/předtím/Db------------- šeptem/šeptem/Db------------- vyměnili/vyměnit/VpMP----R-AAP-- ,/,/Z:------------- začali/začít/VpMP----R-AAP-- uculovat/uculovat/Vf--------A-I-- ,/,/Z:------------- už/už/Db------------- je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- v/v/RR--6---------- pořádku/pořádek/NNIS6-----A---- ,/,/Z:------------- i/i/J^------------- ty/ten/PDFP1---------- boty/bota/NNFP1-----A---- jsou/být/VB-P---3P-AAI-- bez/bez/RR--2---------- těch/ten/PDFP2---------- silných/silný/AAFP2----1A---- ponožek/ponožka/NNFP2-----A---- mnohem/mnohem/Db------------- lepší/dobrý/AAFP1----2A---- ,/,/Z:------------- ať/ať/J,------------- jdou/jít/VB-P---3P-AAI-- všichni/všechen/PLMP1---------- nestranní/nestranný/AAMP1----1A---- protivové/protiva/NNMP1-----A---- do/do/RR--2---------- háje/háj/NNIS2-----A---- ,/,/Z:------------- zvlášť/zvlášť/TT------------- jeden/jeden/ClMS1---------- Američan/Američan/NNMS1-----A---- ,/,/Z:------------- jeden/jeden/ClMS1---------- můj/můj/PSMS1-S1------- přítel/přítel/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1----------;0;FIC: beletrie
8;Ministr/ministr/NNMS1-----A---- Plaga/Plaga/NNMS1-----A---- se/se/P7--4----------;chová/chovat/VB-S---3P-AAI-- arogantně/arogantně/Dg-------1A---- a/a/J^------------- prosazuje/prosazovat/VB-S---3P-AAI-- názory/názor/NNIP4-----A----;"ministerského/ministerský/AAMS2----1A---- předsedy/předseda/NNMS2-----A---- ,/,/Z:------------- ale/ale/J^------------- měl/mít/VpMS----R-AAI-- by/být/Vc----------I-- se/se/P7--4---------- hlavně/hlavně/Dg-------1A---- zajímat/zajímat/Vf--------A-I-- o/o/RR--4---------- stanovisko/stanovisko/NNNS4-----A---- učitelů/učitel/NNMP2-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- stojí/stát/VB-P---3P-AAI-- za/za/RR--7---------- tou/ten/PDFS7---------- katedrou/katedra/NNFS7-----A---- ,/,/Z:------------- “/""/Z:------------- myslí/myslet/VB-S---3P-AAI-- si/se/P7--3---------- ././Z:-------------";0;NMG: publicistika
9;Navíc/navíc/Db------------- se/se/P7--4----------;chovala/chovat/VpFS----R-AAI-- velmi/velmi/Db------------- přirozeně/přirozeně/Dg-------1A---- a/a/J^------------- otevřeně/otevřeně/Dg-------1A---- ,/,/Z:------------- svoje/svůj/P8IP4---------- názory/názor/NNIP4-----A----;pronášela/pronášet/VpFS----R-AAI-- bez/bez/RR--2---------- zábran/zábrana/NNFP2-----A---- ,/,/Z:------------- bez/bez/RR--2---------- koketérie/koketerie/NNFS2-----A---- a/a/J^------------- vypočítavosti/vypočítavost/NNFS2-----A---- -/-/Z:------------- a/a/J^------------- ke/k/RV--3---------- všemu/všechen/PLNS3---------- nezkaženě/zkaženě/Dg-------1N---- ,/,/Z:------------- jako/jako/J,------------- by/být/Vc----------I-- si/se/P7--3---------- svou/svůj/P8FS4---------1 neuvěřitelnou/neuvěřitelný/AAFS4----1A---- krásu/krása/NNFS4-----A---- ani/ani/J^------------- neuvědomovala/uvědomovat/VpFS----R-NAI-- ././Z:-------------;0;FIC: beletrie
10;Nechci/chtít/VB-S---1P-NAI-- říkat/říkat/Vf--------A-I-- ,/,/Z:------------- že/že/J,------------- hledáme/hledat/VB-P---1P-AAI-- intelektuálky/intelektuálka/NNFP4-----A---- ,/,/Z:------------- ale/ale/J^------------- měly/mít/VpFP----R-AAI-- by/být/Vc----------I-- se/se/P7--4---------- umět/umět/Vf--------A-I-- vyjadřovat/vyjadřovat/Vf--------A-I-- ,/,/Z:-------------;chovat/chovat/Vf--------A-I-- ,/,/Z:------------- komunikovat/komunikovat/Vf--------A-B-- ,/,/Z:------------- mít/mít/Vf--------A-I-- názory/názor/NNIP4-----A----;.../.../Z:-------------;0;NMG: publicistika
