id;left;kwic;right
"1";"Druhá/druhý/CrFS1---------- nasazená/nasazený/AAFS1----1A---- tenistka/tenistka/NNFS1-----A---- po/po/RR--6---------- zápasu/zápas/NNIS6-----A---1 přiznala/přiznat/VpFS----R-AAP-- ,/,/Z:------------- že/že/J,------------- měla/mít/VpFS----R-AAI--";"obavy/obava/NNFP4-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- bude/být/VB-S---3F-AAI-- chovat/chovat/Vf--------A-I--";"koleno/koleno/NNNS1-----A---- ,/,/Z:------------- které/který/P4NS4---------- si/se/P7--3---------- poranila/poranit/VpFS----R-AAP-- v/v/RR--6---------- druhém/druhý/CrNS6---------- kole/kolo/NNNS6-----A---- při/při/RR--6---------- utkání/utkání/NNNS6-----A---- s/s/RR--7---------- Brandiovou/Brandiová/NNFS7-----A---- ././Z:-------------"
"2";"Překonat/překonat/Vf--------A-P--";"obavy/obava/NNFP4-----A---- ,/,/Z:------------- chovat/chovat/Vf--------A-I--";"se/se/P7--4---------- zodpovědně/zodpovědně/Dg-------1A---- a/a/J^------------- nadále/nadále/Db------------- podporovat/podporovat/Vf--------A-I-- své/svůj/P8IP4---------1 oblíbené/oblíbený/AAIP4----1A---- podniky/podnik/NNIP4-----A---- alespoň/alespoň/Db------------- nákupem/nákup/NNIS7-----A---- jídla/jídlo/NNNS2-----A---- s/s/RR--7---------- sebou/se/P6--7---------- ,/,/Z:------------- pokud/pokud/J,------------- se/se/P7--4---------- sezení/sezení/NNNP1-----A---- v/v/RR--6---------- restauraci/restaurace/NNFS6-----A---- budou/být/VB-P---3F-AAI-- chtít/chtít/Vf--------A-I-- raději/rád/Dg-------2A---- vyhnout/vyhnout/Vf--------A-P-- ././Z:-------------"
"3";"Největší/velký/AAFS4----3A----";"obavu/obava/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- chovají/chovat/VB-P---3P-AAI--";"především/především/TT------------- Američané/Američan/NNMP1-----A---- ,/,/Z:------------- vzbuzují/vzbuzovat/VB-P---3P-AAI-- technologické/technologický/AAFP4----1A---- možnosti/možnost/NNFP4-----A---- nových/nový/AAMP2----1A---- teroristů/terorista/NNMP2-----A---- ././Z:-------------"
"4";"Mezi/mezi/RR--7---------- uživateli/uživatel/NNMP7-----A---- počítačů/počítač/NNIP2-----A---- ale/ale/J^------------- program/program/NNIS1-----A---- vyvolal/vyvolat/VpIS----R-AAP--";"obavy/obava/NNFP4-----A---- ,/,/Z:------------- protože/protože/J,------------- se/se/P7--4---------- chová/chovat/VB-S---3P-AAI--";"jako/jako/J,------------- virový/virový/AAIS1----1A---- program/program/NNIS1-----A---- ././Z:-------------"
"5";"A/a/J^------------- musím/muset/VB-S---1P-AAI-- si/se/P7--3---------- to/ten/PDNS4---------- nechat/nechat/Vf--------A-P-- pro/pro/RR--4---------- sebe/se/P6--4---------- ,/,/Z:------------- nikdo/nikdo/PWM-1---------- se/se/P7--4---------- to/ten/PDNS4---------- nesmí/smět/VB-S---3P-NAI-- dozvědět/dozvědět/Vf--------A-P-- ,/,/Z:------------- mé/můj/PSFP4-S1------1";"obavy/obava/NNFP4-----A---- a/a/J^------------- úzkosti/úzkost/NNFP4-----A---- nemohu/moci/VB-S---1P-NAI-1 svěřit/svěřit/Vf--------A-P-- manželovi/manžel/NNMS3-----A---- ,/,/Z:------------- a/a/J^------------- dokonce/dokonce/TT------------- musím/muset/VB-S---1P-AAI-- předstírat/předstírat/Vf--------A-I-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- nic/nic/PW--1---------- nestalo/stát/VpNS----R-NAP-- ,/,/Z:------------- hned/hned/Db------------- po/po/RR--6---------- návratu/návrat/NNIS6-----A---- se/se/P7--4---------- musím/muset/VB-S---1P-AAI-- ovládat/ovládat/Vf--------A-I-- a/a/J^------------- chovat/chovat/Vf--------A-I--";"tak/tak/Db------------- ,/,/Z:------------- jako/jako/J,------------- bych/být/Vc-S---1----I-- byla/být/VpFS----R-AAI-- šťastná/šťastný/AAFS1----1A---- a/a/J^------------- spokojená/spokojený/AAFS1----1A---- ,/,/Z:------------- klidná/klidný/AAFS1----1A---- a/a/J^------------- klid/klid/NNIS4-----A---- přinášející/přinášející/AGFS1-----A---- ,/,/Z:------------- milující/milující/AGFS1-----A---- ,/,/Z:------------- silná/silný/AAFS1----1A---- ,/,/Z:------------- jeho/jeho/PSFS1-S3------- opora/opora/NNFS1-----A---- a/a/J^------------- jistota/jistota/NNFS1-----A---- ././Z:-------------"
"6";"Sice/sice/J^------------- neskrýval/skrývat/VpMS----R-NAI-- svoje/svůj/P8FP4----------";"obavy/obava/NNFP4-----A---- o/o/RR--4---------- vlastní/vlastní/AANS4----1A---- zdraví/zdraví/NNNS4-----A---- i/i/J^------------- život/život/NNIS4-----A---- ,/,/Z:------------- ale/ale/J^------------- jinak/jinak/Db------------- se/se/P7--4---------- choval/chovat/VpMS----R-AAI--";"mimořádně/mimořádně/Dg-------1A---- laskavě/laskavě/Dg-------1A---- a/a/J^------------- ještě/ještě/Db------------- dřív/brzy/Dg-------2A---- ,/,/Z:------------- než/než/J,------------- sám/sám/PLMS1---------- začal/začít/VpMS----R-AAP-- klást/klást/Vf--------A-I-- otázky/otázka/NNFP4-----A---- ,/,/Z:------------- nám/my/PP-P3--1------- sdělil/sdělit/VpMS----R-AAP-- nové/nový/AAFP4----1A---- informace/informace/NNFP4-----A---- ././Z:-------------"
"7";"Přestože/přestože/J,------------- mě/já/PH-S4--1------- jeho/jeho/PSIS1-S3------- stisk/stisk/NNIS1-----A---- trochu/trochu/Db------------- bolel/bolet/VpIS----R-AAI-- ,/,/Z:------------- neměl/mít/VpMS----R-NAI-- jsem/být/VB-S---1P-AAI-- žádné/žádný/PWFP4----------";"obavy/obava/NNFP4-----A---- ,/,/Z:------------- neboť/neboť/J^------------- jsem/být/VB-S---1P-AAI-- cítil/cítit/VpMS----R-AAI-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- chce/chtít/VB-S---3P-AAI-- chovat/chovat/Vf--------A-I--";"přátelsky/přátelsky/Dg-------1A---- ././Z:-------------"
"8";"Také/také/Db------------- máme/mít/VB-P---1P-AAI--";"obavy/obava/NNFP4-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- budou/být/VB-P---3F-AAI-- chovat/chovat/Vf--------A-I--";"řidiči/řidič/NNMP1-----A---- tranzitní/tranzitní/AAFS2----1A---- přepravy/přeprava/NNFS2-----A---- ,/,/Z:------------- ""/""/Z:------------- řekla/říci/VpFS----R-AAP-- ředitelka/ředitelka/NNFS1-----A---- Radka/Radka/NNFS1-----A---- Pavlíková/Pavlíková/NNFS1-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- nikdo/nikdo/PWM-1---------- nepožádal/požádat/VpMS----R-NAP-- o/o/RR--4---------- vyjádření/vyjádření/NNNS4-----A---- k/k/RR--3---------- osazení/osazení/NNNS3-----A---- dopravního/dopravní/AANS2----1A---- značení/značení/NNNS2-----A---- ././Z:-------------"
"9";"Pobytem/pobyt/NNIS7-----A---- v/v/RR--6---------- prostředí/prostředí/NNNS6-----A---- tak/tak/Db------------- nezvyklém/nezvyklý/AANS6----1A---- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- naučil/naučit/VpMS----R-AAP-- jinak/jinak/Db------------- vidět/vidět/Vf--------A-I-- i/i/J^------------- vnímat/vnímat/Vf--------A-I-- .../.../Z:------------- moje/můj/PSFP1-S1------- rozlišovací/rozlišovací/AAFP1----1A---- schopnosti/schopnost/NNFP1-----A---- se/se/P7--4---------- zaostřovaly/zaostřovat/VpFP----R-AAI-- zejména/zejména/TT------------- na/na/RR--4---------- věci/věc/NNFP4-----A---- praktické/praktický/AAFP4----1A---- a/a/J^------------- jednoduché/jednoduchý/AAFP4----1A---- .../.../Z:------------- čím/co/PQ--7---------- víc/hodně/Dg-------2A---- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- s/s/RR--7---------- nimi/oni/P5FP7--3------- setkával/setkávat/VpMS----R-AAI-- ,/,/Z:------------- tím/ten/PDNS7---------- víc/hodně/Dg-------2A---- ve/v/RV--6---------- mně/já/PP-S6--1------- budily/budit/VpFP----R-AAI-- pocit/pocit/NNIS4-----A---- bezpečí/bezpečí/NNNS2-----A---- .../.../Z:------------- ani/ani/J^------------- ojedinělá/ojedinělý/AAFS1----1A---- blízkost/blízkost/NNFS1-----A---- jaguára/jaguár/NNMS2-----A---- či/či/J^------------- pumy/puma/NNFS2-----A---- mi/já/PH-S3--1------- nenaháněla/nahánět/VpFS----R-NAI--";"obavu/obava/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- v/v/RR--6---------- nestřeženém/střežený/AAIS6----1N---- okamžiku/okamžik/NNIS6-----A---- stanu/stát/VB-S---1P-AAP-- jejich/jejich/PSFS7-P3------- kořistí/kořist/NNFS7-----A---- .../.../Z:------------- sdílel/sdílet/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- s/s/RR--7---------- nimi/oni/P5FP7--3------- jejich/jejich/PSIS4-P3------- svět/svět/NNIS4-----A---- ,/,/Z:------------- tudíž/tudíž/J^------------- jsem/být/VB-S---1P-AAI-- k/k/RR--3---------- nim/oni/P5FP3--3------- patřil/patřit/VpMS----R-AAI-- .../.../Z:------------- zpočátku/zpočátku/Db------------- mě/já/PH-S4--1------- sledovali/sledovat/VpMP----R-AAI-- ,/,/Z:------------- ale/ale/J^------------- nikoliv/nikoli/TT------------- s/s/RR--7---------- ostražitou/ostražitý/AAFS7----1A---- nedůvěrou/nedůvěra/NNFS7-----A---- .../.../Z:------------- soudil/soudit/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- tak/tak/Db------------- z/z/RR--2---------- jejich/jejich/PSIP2-P3------- poněkud/poněkud/Db------------- lenivých/lenivý/AAIP2----1A---- pohybů/pohyb/NNIP2-----A---- a/a/J^------------- ospalého/ospalý/AANS2----1A---- mžourání/mžourání/NNNS2-----A---- .../.../Z:------------- snažil/snažit/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- v/v/RR--6---------- jejich/jejich/PSFS6-P3------- přítomnosti/přítomnost/NNFS6-----A---- chovat/chovat/Vf--------A-I--";"tak/tak/Db------------- nenuceně/nenuceně/Dg-------1A---- ,/,/Z:------------- jak/jak/Db------------- jsem/být/VB-S---1P-AAI-- jen/jen/Db------------- dokázal/dokázat/VpMS----R-AAP-- ,/,/Z:------------- a/a/J^------------- to/ten/PDNS1---------- je/oni/PPMP4--3------- zřejmě/zřejmě/TT------------- uklidňovalo/uklidňovat/VpNS----R-AAI-- .../.../Z:------------- v/v/RR--6---------- mém/můj/PSNS6-S1------- chování/chování/NNNS6-----A---- nebylo/být/VpNS----R-NAI-- nic/nic/PW--1---------- výhružného/výhružný/AANS2----1A---- ,/,/Z:------------- kromě/kromě/RR--2---------- nože/nůž/NNIS2-----A---- jsem/být/VB-S---1P-AAI-- nevlastnil/vlastnit/VpMS----R-NAI-- zbraň/zbraň/NNFS4-----A---- .../.../Z:------------- luk/luk/NNIS4-----A---- ani/ani/J^------------- šípy/šíp/NNIP4-----A---- .../.../Z:------------- vztyčené/vztyčený/AANS1----1A---- kopí/kopí/NNNS1-----A---- by/být/Vc----------I-- je/oni/PPIP4--3------- určitě/určitě/TT------------- varovalo/varovat/VpNS----R-AAI-- .../.../Z:-------------"
"10";"Nový/nový/AAIS1----1A---- virus/virus/NNIS1-----A---- začíná/začínat/VB-S---3P-AAI-- vyvolávat/vyvolávat/Vf--------A-I--";"obavy/obava/NNFP4-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- nezačal/začít/VpIS----R-NAP-- chovat/chovat/Vf--------A-I--";"jako/jako/J,------------- virus/virus/NNIS1-----A---- H5N1/H5N1/BN------------- ,/,/Z:------------- který/který/P4IS1---------- v/v/RR--6---------- roce/rok/NNIS6-----A---1 2003/2003/C=------------- usmrtil/usmrtit/VpIS----R-AAP-- ve/v/RV--6---------- světě/svět/NNIS6-----A---- 360/360/C=------------- lidí/člověk/NNMP2-----A---- a/a/J^------------- zdecimoval/zdecimovat/VpIS----R-AAP-- chov/chov/NNIS4-----A---- drůbeže/drůbež/NNFS2-----A---- v/v/RR--6---------- Asii/Asie/NNFS6-----A---- ././Z:-------------"
