id;left;kwic;right
"1";"";"Chováme/chovat/VB-P---1P-AAI-- vlastní/vlastní/AAFP4----1A---- slepice/slepice/NNFP4-----A---- a/a/J^------------- králíky/králík/NNMP4-----A---- ,/,/Z:------------- a/a/J^------------- protože/protože/J,------------- se/se/P7--4---------- o/o/RR--4---------- ně/oni/P5FP4--3------- hezky/hezky/Dg-------1A---- staráme/starat/VB-P---1P-AAI-- ,/,/Z:------------- nemám/mít/VB-S---1P-NAI-- obavu/obava/NNFS4-----A----";"je/oni/PPFP4--3------- sníst/sníst/Vf--------A-P-- ././Z:-------------"
"2";"Výklad/výklad/NNIS1-----A---- přenosu/přenos/NNIS2-----A---- záleží/záležet/VB-S---3P-AAI-- tudíž/tudíž/J^------------- na/na/RR--6---------- psychoanalytikovi/psychoanalytik/NNMS6-----A---- ,/,/Z:------------- který/který/P4MS1---------- rozpoznává/rozpoznávat/VB-S---3P-AAI-- a/a/J^------------- vykládá/vykládat/VB-S---3P-AAI-- způsob/způsob/NNIS4-----A---- ,/,/Z:------------- jakým/jaký/P4IS7---------- se/se/P7--4---------- k/k/RR--3---------- němu/on/P5MS3--3------- pacient/pacient/NNMS1-----A---- v/v/RR--6---------- současnosti/současnost/NNFS6-----A----";"chová/chovat/VB-S---3P-AAI-- :/:/Z:------------- Zda/zda/J,------------- má/mít/VB-S---3P-AAI-- obavy/obava/NNFP4-----A----";",/,/Z:------------- je/být/VB-S---3P-AAI-- povolný/povolný/AAMS1----1A---- ,/,/Z:------------- agresivní/agresivní/AAMS1----1A---- ,/,/Z:------------- ctižádostivý/ctižádostivý/AAMS1----1A---- apod/apod/Bb------------- ././Z:-------------"
"3";"Naopak/naopak/TT------------- ,/,/Z:------------- na/na/RR--6---------- venkově/venkov/NNIS6-----A---- je/být/VB-S---3P-AAI-- podle/podle/RR--2---------- mých/můj/PSFP2-S1------- zkušeností/zkušenost/NNFP2-----A---- zájem/zájem/NNIS1-----A---- o/o/RR--4---------- tento/tento/PDIS4---------- typ/typ/NNIS4-----A---- nákupu/nákup/NNIS2-----A---- nepoměrně/poměrně/Dg-------1N---- menší/malý/AAIS1----2A---- ,/,/Z:------------- lidé/člověk/NNMP1-----A---- v/v/RR--6---------- menších/malý/AAFP6----2A---- obcích/obec/NNFP6-----A---- se/se/P7--4----------";"chovají/chovat/VB-P---3P-AAI-- konzervativněji/konzervativně/Dg-------2A---- a/a/J^------------- mají/mít/VB-P---3P-AAI-- obavy/obava/NNFP4-----A----";"se/se/P7--4---------- zadlužit/zadlužit/Vf--------A-P-- ,/,/Z:------------- ""/""/Z:------------- míní/mínit/VB-S---3P-AAI-- obchodní/obchodní/AAMS1----1A---- ředitel/ředitel/NNMS1-----A---- plzeňského/plzeňský/AAIS2----1A---- velkoobchodu/velkoobchod/NNIS2-----A---- elektro/elektro/NNNS1-----A---- Petr/Petr/NNMS1-----A---- Janeček/Janeček/NNMS1-----A---- ././Z:-------------"
"4";"Zákon/zákon/NNIS1-----A---- dovoluje/dovolovat/VB-S---3P-AAI-- vydědit/vydědit/Vf--------A-P-- také/také/Db------------- potomka/potomek/NNMS4-----A---- ,/,/Z:------------- který/který/P4MS1---------- se/se/P7--4---------- sice/sice/J^------------- k/k/RR--3---------- zůstaviteli/zůstavitel/NNMS3-----A---- samotnému/samotný/AAMS3----1A----";"nechová/chovat/VB-S---3P-NAI-- špatně/špatně/Dg-------1A---- ,/,/Z:------------- ale/ale/J^------------- je/být/VB-S---3P-AAI-- zadlužen/zadlužit/VsMS------APP-- nebo/nebo/J^------------- si/se/P7--3---------- počíná/počínat/VB-S---3P-AAI-- tak/tak/Db------------- marnotratně/marnotratně/Dg-------1A---- ,/,/Z:------------- že/že/J,------------- vzbudí/vzbudit/VB-S---3P-AAP-- důvodnou/důvodný/AAFS4----1A---- obavu/obava/NNFS4-----A----";",/,/Z:------------- že/že/J,------------- se/se/P7--4---------- pro/pro/RR--4---------- jeho/jeho/PSMP4-S3------- potomky/potomek/NNMP4-----A---- (/(/Z:------------- vnuky/vnuk/NNMP4-----A---- zůstavitele/zůstavitel/NNMS2-----A---- )/)/Z:------------- nezachová/zachovat/VB-S---3P-NAP-- povinný/povinný/AAIS1----1A---- díl/díl/NNIS1-----A---- ././Z:-------------"
"5";"Whittington/Whittington/NNMS1-----A---- se/se/P7--4---------- už/už/Db------------- zase/zase/Db-------------";"choval/chovat/VpMS----R-AAI-- skoro/skoro/Db------------- žoviálně/žoviálně/Dg-------1A---- a/a/J^------------- tento/tento/PDIS1---------- obrat/obrat/NNIS1-----A---- vzbudil/vzbudit/VpIS----R-AAP-- v/v/RR--6---------- Pentličce/Pentlička/NNFS6-----A---- poněkud/poněkud/Db------------- obavy/obava/NNFP4-----A----";"././Z:-------------"
"6";"Jelikož/jelikož/J,------------- byly/být/VpFP----R-AAI-- všechny/všechen/PLFP1---------- ty/ten/PDFP1---------- události/událost/NNFP1-----A---- tak/tak/Db------------- napínavé/napínavý/AAFP1----1A---- ,/,/Z:------------- ale/ale/J^------------- zároveň/zároveň/Db------------- se/se/P7--4---------- Rex/Rex/NNMS1-----A----";"choval/chovat/VpMS----R-AAI-- tak/tak/Db------------- věcně/věcně/Dg-------1A---- a/a/J^------------- klidně/klidně/Dg-------1A---- ,/,/Z:------------- neměla/mít/VpFS----R-NAI-- obavy/obava/NNFP4-----A----";"z/z/RR--2---------- toho/ten/PDNS2---------- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- se/se/P7--4---------- něco/něco/PZ--1---------- podobného/podobný/AANS2----1A---- mohlo/moci/VpNS----R-AAI-- do/do/RR--2---------- budoucna/budoucno/NNNS2-----A---- opakovat/opakovat/Vf--------A-I-- ,/,/Z:------------- spíš/spíš/TT------------- se/s/RV--7---------- samým/samý/PLNS7---------- vzrušením/vzrušení/NNNS7-----A---- nemohla/moci/VpFS----R-NAI-- dočkat/dočkat/Vf--------A-P-- ,/,/Z:------------- až/až/J,------------- se/se/P7--4---------- stane/stát/VB-S---3P-AAP-- součástí/součást/NNFS7-----A---- takového/takový/PDNS2---------- dobrodružství/dobrodružství/NNNS2-----A---- ././Z:-------------"
"7";"Tady/tady/Db-------------";"chovám/chovat/VB-S---1P-AAI-- obavy/obava/NNFP4-----A----";"zase/zase/Db------------- já/já/PP-S1--1------- ,/,/Z:------------- i/i/J^------------- když/když/J,------------- je/být/VB-S---3P-AAI-- mi/já/PH-S3--1------- jinak/jinak/Db------------- vlastní/vlastní/AAIS1----1A---- postoj/postoj/NNIS1-----A---- zásadně/zásadně/Dg-------1A---- optimistický/optimistický/AAIS1----1A---- ././Z:-------------"
"8";"Třeba/třeba/TT------------- s/s/RR--7---------- dopisem/dopis/NNIS7-----A---- č/č/BN------------- ././Z0------------- 83/83/C=------------- :/:/Z:------------- VÁŽENÝ/vážený/AAMS5----1A---- PANE/pán/NNMS5-----A---- ,/,/Z:------------- VAŠE/váš/PSNS1-P2------- CHOVÁNÍ/chování/NNNS1-----A---- ,/,/Z:------------- JEŽ/jenž/PJNS1---------- JSTE/být/VB-P---2P-AAI-- A/a/J^------------- K/k/RR--3---------- TOMU/ten/PDNS3---------- V/v/RR--6---------- PŘÍTOMNOSTI/přítomnost/NNFS6-----A---- SPOLEČNOSTI/společnost/NNFS2-----A---- KE/k/RV--3---------- MNĚ/já/PP-S3--1------- JEVIL/jevit/VpMS----R-AAI-- ,/,/Z:------------- URAZILO/urazit/VpNS----R-AAP-- A/a/J^------------- ZARMOUTILO/zarmoutit/VpNS----R-AAP-- MNE/já/PP-S4--1------- TAK/tak/Db------------- HLUBOCE/hluboce/Dg-------1A---- ,/,/Z:------------- ŽE/že/J,-------------";"CHOVÁM/chovat/VB-S---1P-AAI-- OPRÁVNĚNÉ/oprávněný/AAFP4----1A---- OBAVY/obava/NNFP4-----A----";"PODATI/podat/Vf--------A-P-2 SVOJI/svůj/P8FS4---------- RUKU/ruka/NNFS4-----A---- MUŽI/muž/NNMS3-----A---- ,/,/Z:------------- JENŽ/jenž/PJMS1---------- SE/se/P7--4---------- CHOVÁ/chovat/VB-S---3P-AAI-- ././Z:-------------"
"9";"Blue/Blue/F%-------------";"chovala/chovat/VpFS----R-AAI-- v/v/RR--6---------- koutku/koutek/NNIS6-----A---- duše/duše/NNFS2-----A---- obavy/obava/NNFP4-----A----";",/,/Z:------------- že/že/J,------------- pes/pes/NNMS1-----A---- bude/být/VB-S---3F-AAI-- v/v/RR--6---------- domě/dům/NNIS6-----A---- na/na/RR--4---------- překážku/překážka/NNFS4-----A---- ././Z:-------------"
"10";"Jen/jen/Db------------- těžko/těžko/Dg-------1A---- pochopitelný/pochopitelný/AAIS1----1A---- samolibý/samolibý/AAIS1----1A---- názor/názor/NNIS1-----A---- na/na/RR--4---------- právo/právo/NNNS4-----A----";"chovat/chovat/Vf--------A-I-- si/se/P7--3---------- doma/doma/Db------------- jakékoliv/jakýkoli/PZNS4---------- zvíře/zvíře/NNNS4-----A---- ,/,/Z:------------- bez/bez/RR--2---------- ohledu/ohled/NNIS2-----A---- na/na/RR--4---------- obavy/obava/NNFP4-----A----";"sousedů/soused/NNMP2-----A---- z/z/RR--2---------- latentní/latentní/AAFS2----1A---- nebezpečnosti/nebezpečnost/NNFS2-----A---- dravce/dravec/NNMS2-----A---- uvězněného/uvězněný/AAMS2----1A---- za/za/RR--7---------- obskurním/obskurní/AAIS7----1A---- plotem/plot/NNIS7-----A---- ,/,/Z:------------- se/se/P7--4---------- nakonec/nakonec/TT------------- stal/stát/VpIS----R-AAP-- rozsudkem/rozsudek/NNIS7-----A---- smrti/smrt/NNFS2-----A---- nejen/nejen/Db------------- pro/pro/RR--4---------- valašského/valašský/AAMS4----1A---- chovatele/chovatel/NNMS4-----A---- ,/,/Z:------------- ale/ale/J^------------- paradoxně/paradoxně/Dg-------1A---- také/také/Db------------- pro/pro/RR--4---------- oba/oba/ClMP4---------- jím/on/PPMS7--3------- vlastněné/vlastněný/AAMP4----1A---- predátory/predátor/NNMP4-----A---- –/-/Z:------------- lva/lev/NNMS4-----A---- i/i/J^------------- lvici/lvice/NNFS4-----A---- ././Z:-------------"
