id;left;kwic;right;VNP?;doc.txtype_group
1;Svým/svůj/P8MP3---------- studentům/student/NNMP3-----A---- bych/být/Vc-S---1----I-- ráda/rád/ACFS------A---- předala/předat/VpFS----R-AAP-- nejen/nejen/Db------------- znalosti/znalost/NNFP4-----A---- a/a/J^------------- dovednosti/dovednost/NNFP4-----A---- ,/,/Z:------------- ale/ale/J^------------- i/i/J^------------- hluboký/hluboký/AAIS4----1A----;obdiv/obdiv/NNIS4-----A---- a/a/J^------------- lásku/láska/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- k/k/RR--3---------- cizím/cizí/AAIP3----1A---- jazykům/jazyk/NNIP3-----A---- obecně/obecně/Dg-------1A---- chovám/chovat/VB-S---1P-AAI--;",/,/Z:------------- “/""/Z:------------- svěřuje/svěřovat/VB-S---3P-AAI-- se/se/P7--4---------- ././Z:-------------";0;NMG: publicistika
2;Upřímně/upřímně/Dg-------1A---- řečeno/říci/VsNS------APP-- větší/velký/AAIS4----2A----;obdiv/obdiv/NNIS4-----A---- chovám/chovat/VB-S---1P-AAI--;vůči/vůči/RR--3---------- Charlesovi/Charles/NNMS3-----A---1 Marie/Marie/NNFS1-----A---- de/de/F%------------- la/la/F%------------- Condaminovi/Condaminovi/X@------------- a/a/J^------------- jeho/jeho/PSMP3-S3------- kolegům/kolega/NNMP3-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- zde/zde/Db------------- deset/deset/Cn-S4---------- let/rok/NNNP2-----A---- proměřovali/proměřovat/VpMP----R-AAI-- zeměkouli/zeměkoule/NNFS4-----A---- jen/jen/Db------------- za/za/RR--2---------- pomoci/pomoc/NNFS2-----A---- tehdejších/tehdejší/AAIP2----1A---- jednoduchých/jednoduchý/AAIP2----1A---- přístrojů/přístroj/NNIP2-----A---- a/a/J^------------- díky/díky/RR--3---------- svému/svůj/P8NS3---------- profesionálnímu/profesionální/AANS3----1A---- nasazení/nasazení/NNNS3-----A---- a/a/J^------------- schopnostem/schopnost/NNFP3-----A---- ,/,/Z:------------- než/než/J,------------- k/k/RR--3---------- anonymní/anonymní/AAFS3----1A---- GPS/GPS/BN------------- ././Z:-------------;1;NFC: oborová literatura
3;O/o/RR--4---------- to/ten/PDNS4---------- větší/velký/AAIS4----2A----;obdiv/obdiv/NNIS4-----A---- můžeme/moci/VB-P---1P-AAI-- chovat/chovat/Vf--------A-I--;"ke/k/RV--3---------- všem/všechen/PLMP3---------- ,/,/Z:------------- koho/kdo/PKM-4---------- „/""/Z:------------- sex/sex/NNIS1-----A---- ,/,/Z:------------- drugs/drugs/F%------------- and/and/F%------------- rock’n’roll/rock'n'roll/NNIS1-----A---- “/""/Z:------------- nepřeválcovaly/převálcovat/VpIP----R-NAP-- a/a/J^------------- nezbavily/zbavit/VpIP----R-NAP-- duševního/duševní/AANS2----1A---- zdraví/zdraví/NNNS2-----A---- ani/ani/J^------------- základní/základní/AAFP4----1A---- lidské/lidský/AAFP4----1A---- slušnosti/slušnost/NNFP4-----A---- ././Z:-------------";1;NMG: publicistika
4;Kdyby/kdyby|být/J,-------------|Vc----------I-- si/se/P7--3---------- mohla/moci/VpFS----R-AAI-- vybrat/vybrat/Vf--------A-P-- ,/,/Z:------------- do/do/RR--2---------- které/který/P4FS2---------- postavy/postava/NNFS2-----A---- se/se/P7--4---------- vtělí/vtělit/VB-P---3P-AAP-- ,/,/Z:------------- Chelčický/chelčický/AAMS1----1A---- by/být/Vc----------I-- to/ten/PDNS1---------- i/i/J^------------- přes/přes/RR--4---------- veškerý/veškerý/PLIS4----------;obdiv/obdiv/NNIS4-----A---- ,/,/Z:------------- který/který/P4IS1---------- k/k/RR--3---------- němu/on/P5IS3--3------- chová/chovat/VB-S---3P-AAI--;,/,/Z:------------- nebyl/být/VpIS----R-NAI-- ././Z:-------------;3;NMG: publicistika
5;Bezmeznej/bezmezný/AAIS4----1A---6;obdiv/obdiv/NNIS4-----A---- ,/,/Z:------------- kterej/který/P4IS4---------6 k/k/RR--3---------- nim/oni/P5IP3--3------- vlčácká/vlčácký/AAFS1----1A---- smečka/smečka/NNFS1-----A---- chovala/chovat/VpFS----R-AAI--;,/,/Z:------------- nám/my/PP-P3--1------- zprvu/zprvu/Db------------- zabraňoval/zabraňovat/VpMS----R-AAI-- pochopit/pochopit/Vf--------A-P-- ,/,/Z:------------- jakej/jaký/P4MS1---------6 byl/být/VpMS----R-AAI-- Rak/rak/NNMS1-----A---- vlastně/vlastně/TT------------- megaloman/megaloman/NNMS1-----A---- :/:/Z:------------- Rak/rak/NNMS1-----A---- totiž/totiž/TT------------- byla/být/VpFS----R-AAI-- průhledná/průhledný/AAFS1----1A---- variace/variace/NNFS1-----A---- na/na/RR--4---------- jméno/jméno/NNNS4-----A---- Rakitin/Rakitin/X@------------- ,/,/Z:------------- což/co/PE--1---------- byl/být/VpMS----R-AAI-- slavnej/slavný/AAMS1----1A---6 vůdce/vůdce/NNMS1-----A---- z/z/RR--2---------- Fíglerovy/Fíglerovy/X@------------- knihy/kniha/NNFS2-----A---- Bobři/bobr/NNMP1-----A---- z/z/RR--2---------- Vydří/Vydří/NNNS2-----A---- ././Z:-------------;3;FIC: beletrie
6;Na/na/RR--4---------- druhou/druhý/CrFS4---------- stranu/strana/NNFS4-----A---- jsem/být/VB-S---1P-AAI-- ale/ale/J^------------- vždy/vždy/Db------------- choval/chovat/VpMS----R-AAI-- velký/velký/AAIS4----1A----;obdiv/obdiv/NNIS4-----A---- k/k/RR--3---------- Poirotovu/Poirotův/AUIS3M--------- důvtipu/důvtip/NNIS3-----A---- -/-/Z:------------- tedy/tedy/TT------------- kromě/kromě/RR--2---------- chvil/chvíle/NNFP2-----A---- ,/,/Z:------------- kdy/kdy/Db------------- se/se/P7--4---------- choval/chovat/VpMS----R-AAI--;",/,/Z:------------- jak/jak/Db------------- ostatně/ostatně/TT------------- sám/sám/PLMS1---------- přiznával/přiznávat/VpMS----R-AAI-- ,/,/Z:------------- tak/tak/J^------------- ""/""/Z:------------- bláznivě/bláznivě/Dg-------1A---- paličatě/paličatě/Dg-------1A---- ""/""/Z:------------- ././Z:-------------";0;FIC: beletrie
7;Pocítila/pocítit/VpFS----R-AAP-- k/k/RR--3---------- Sabině/Sabina/NNFS3-----A----;obdiv/obdiv/NNIS4-----A---- a/a/J^------------- protože/protože/J,------------- se/se/P7--4---------- malířka/malířka/NNFS1-----A---- chovala/chovat/VpFS----R-AAI--;velice/velice/Db------------- přátelsky/přátelsky/Dg-------1A---- ,/,/Z:------------- ten/ten/PDIS1---------- obdiv/obdiv/NNIS1-----A---- nebyl/být/VpIS----R-NAI-- doprovázen/doprovázet/VsIS------API-- strachem/strach/NNIS7-----A---- či/či/J^------------- nedůvěrou/nedůvěra/NNFS7-----A---- a/a/J^------------- měnil/měnit/VpIS----R-AAI-- se/se/P7--4---------- v/v/RR--6---------- sympatii/sympatie/NNFS6-----A---- ././Z:-------------;0;FIC: beletrie
8;I/i/J^------------- když/když/J,------------- je/být/VB-S---3P-AAI-- pravda/pravda/NNFS1-----A---- ,/,/Z:------------- že/že/J,------------- na/na/RR--4---------- rozdíl/rozdíl/NNIS4-----A---- od/od/RR--2---------- diváků/divák/NNMP2-----A---- indické/indický/AAIP1----1A---- úřady/úřad/NNIP1-----A---- k/k/RR--3---------- tanečnicím/tanečnice/NNFP3-----A---- z/z/RR--2---------- dálných/dálný/AAFP2----1A---- zemí/země/NNFP2-----A---- takový/takový/PDIS4----------;obdiv/obdiv/NNIS4-----A---- nechovají/chovat/VB-P---3P-NAI--;././Z:-------------;1;NMG: publicistika
9;Sedím/sedět/VB-S---1P-AAI-- na/na/RR--6---------- záchodové/záchodový/AAFS6----1A---- míse/mísa/NNFS6-----A---- ,/,/Z:------------- vychutnávám/vychutnávat/VB-S---1P-AAI-- si/se/P7--3---------- chuť/chuť/NNFS4-----A---- kouře/kouř/NNIS2-----A---- a/a/J^------------- ta/ten/PDFS1---------- slast/slast/NNFS1-----A---- ještě/ještě/Db------------- zvyšuje/zvyšovat/VB-S---3P-AAI--;obdiv/obdiv/NNIS4-----A---- ,/,/Z:------------- který/který/P4IS4---------- chovám/chovat/VB-S---1P-AAI--;ke/k/RV--3---------- své/svůj/P8FS3---------1 duchaplnosti/duchaplnost/NNFS3-----A---- ,/,/Z:------------- k/k/RR--3---------- umění/umění/NNNS3-----A---- rozvířit/rozvířit/Vf--------A-P-- polemiku/polemika/NNFS4-----A---- tam/tam/Db------------- ,/,/Z:------------- kde/kde/Db------------- se/se/P7--4---------- mí/můj/PSMP1-S1------1 kolegové/kolega/NNMP1-----A---- spokojí/spokojit/VB-P---3P-AAP-- s/s/RR--7---------- prostoduchým/prostoduchý/AANS7----1A---- přitakáním/přitakání/NNNS7-----A---- ././Z:-------------;3;FIC: beletrie
10;Dochovaná/dochovaný/AANP1----1A---- výtvarná/výtvarný/AANP1----1A---- díla/dílo/NNNP1-----A---- dokazují/dokazovat/VB-P---3P-AAI--;obdiv/obdiv/NNIS4-----A---- a/a/J^------------- lásku/láska/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- tvůrci/tvůrce/NNMP1-----A---- k/k/RR--3---------- české/český/AAFS3----1A---- krajině/krajina/NNFS3-----A---- chovají/chovat/VB-P---3P-AAI--;././Z:-------------;3;NMG: publicistika
