id;left;kwic;right;VNP?;doc.txtype_group
1;Ke/k/RV--3---------- Kurtu/Kurt/NNMS3-----A---1 Gebauerovi/Gebauer/NNMS3-----A----;chovám/chovat/VB-S---1P-AAI-- respekt/respekt/NNIS4-----A---- a/a/J^------------- obdiv/obdiv/NNIS4-----A----;"././Z:------------- “/""/Z:-------------";1;NMG: publicistika
2;K/k/RR--3---------- mamince/maminka/NNFS3-----A----;chová/chovat/VB-S---3P-AAI-- obrovskou/obrovský/AAFS4----1A---- úctu/úcta/NNFS4-----A---- a/a/J^------------- obdiv/obdiv/NNIS4-----A----;././Z:-------------;1;NMG: publicistika
3;Herec/herec/NNMS1-----A---- měl/mít/VpMS----R-AAI-- psa/pes/NNMS4-----A---- ,/,/Z:------------- ke/k/RV--3---------- kterému/který/P4MS3----------;chová/chovat/VB-S---3P-AAI-- i/i/J^------------- po/po/RR--6---------- jeho/jeho/PSFS6-S3------- smrti/smrt/NNFS6-----A---- nesmírný/nesmírný/AAIS4----1A---- obdiv/obdiv/NNIS4-----A----;././Z:-------------;1;NMG: publicistika
4;;Chovám/chovat/VB-S---1P-AAI-- hluboký/hluboký/AAIS4----1A---- obdiv/obdiv/NNIS4-----A----;k/k/RR--3---------- vlastnostem/vlastnost/NNFP3-----A---- Čečenců/Čečenec/NNMP2-----A---- ,/,/Z:------------- k/k/RR--3---------- jejich/jejich/PSFS3-P3------- odvaze/odvaha/NNFS3-----A---- a/a/J^------------- pohostinství/pohostinství/NNNS3-----A---- ././Z:-------------;1;NMG: publicistika
5;Thorn/Thorn/NNMS1-----A---- se/se/P7--4----------;choval/chovat/VpMS----R-AAI-- suverénně/suverénně/Dg-------1A---- ,/,/Z:------------- byl/být/VpMS----R-AAI-- to/ten/PDNS1---------- politik/politik/NNMS1-----A---- ,/,/Z:------------- jemuž/jenž/PJMS3---------- lichotila/lichotit/VpFS----R-AAI-- přízeň/přízeň/NNFS1-----A---- davu/dav/NNIS2-----A---- a/a/J^------------- obdiv/obdiv/NNIS4-----A----;././Z:-------------;0;FIC: beletrie
6;K/k/RR--3---------- rychlíkovým/rychlíkový/AAIP3----1A---- strojům/stroj/NNIP3-----A----;choval/chovat/VpMS----R-AAI-- obdiv/obdiv/NNIS4-----A----;"naprosto/naprosto/Db------------- vášnivý/vášnivý/AAIS4----1A---- ;/;/Z:------------- ten/ten/PDIS1---------- krátký/krátký/AAIS4----1A---- ,/,/Z:------------- atletický/atletický/AAIS4----1A---- komín/komín/NNIS4-----A---- ,/,/Z:------------- ten/ten/PDIS1---------- vysoký/vysoký/AAIS4----1A---- hrudník/hrudník/NNIS4-----A---- a/a/J^------------- ta/ten/PDNP4---------- kolesa/koleso/NNNP4-----A---- ,/,/Z:------------- kamaráde/kamarád/NNMS5-----A---- ,/,/Z:------------- to/ten/PDNS1---------- je/být/VB-S---3P-AAI-- krása/krása/NNFS1-----A---- !/!/Z:-------------";1;FIC: beletrie
7;K/k/RR--3---------- jiným/jiný/AAIP3----1A---- státům/stát/NNIP3-----A----;chovám/chovat/VB-S---1P-AAI-- obdiv/obdiv/NNIS4-----A----;,/,/Z:------------- úctu/úcta/NNFS4-----A---- ,/,/Z:------------- uznání/uznání/NNNS4-----A---- ,/,/Z:------------- dokonce/dokonce/TT------------- i/i/J^------------- trochu/trochu/Db------------- náklonnosti/náklonnost/NNFS2-----A---- ,/,/Z:------------- ale/ale/J^------------- u/u/RR--2---------- Montany/Montana/NNFS2-----A---- je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- láska/láska/NNFS1-----A---- a/a/J^------------- je/být/VB-S---3P-AAI-- obtížné/obtížný/AANS1----1A---- analyzovat/analyzovat/Vf--------A-I-- lásku/láska/NNFS4-----A---- ,/,/Z:------------- když/když/J,------------- je/být/VB-S---3P-AAI-- člověk/člověk/NNMS1-----A---- zamilován/zamilovat/VsMS------APP-- ././Z:-------------;1;FIC: beletrie
8;;Chovám/chovat/VB-S---1P-AAI-- ohromnej/ohromný/AAIS4----1A---6 obdiv/obdiv/NNIS4-----A----;k/k/RR--3---------- Uli/Uli/NNMS1-----A---- Hönessovi/Hönessovi/X@------------- ././Z:-------------;1;NMG: publicistika
9;A/a/J^------------- mimoto/mimoto/Db------------- ,/,/Z:------------- když/když/J,------------- už/už/Db------------- tak/tak/Db------------- pár/pár/Db------------- let/rok/NNNP2-----A---- bojuju/bojovat/VB-S---1P-AAI-- po/po/RR--6---------- jejich/jejich/PSIS6-P3------- boku/bok/NNIS6-----A---- ,/,/Z:------------- začínám/začínat/VB-S---1P-AAI-- k/k/RR--3---------- těm/ten/PDMP3---------- neřádům/neřád/NNMP3-----A----;chovat/chovat/Vf--------A-I-- chtě/chtít/VeMS------A-I-- nechtě/chtít/VeMS------N-I-- i/i/J^------------- jistý/jistý/AAIS4----1A---- obdiv/obdiv/NNIS4-----A----;"././Z:------------- ""/""/Z:-------------";1;FIC: beletrie
10;Pár/pár/Db------------- zaslal/zaslat/VpIS----R-AAP-- magazínu/magazín/NNIS3-----A---- People/People/F%------------- prohlášení/prohlášení/NNNS4-----A---- ,/,/Z:------------- podle/podle/RR--2---------- něhož/jenž/P9NS2---------- zůstali/zůstat/VpMP----R-AAP-- blízkými/blízký/AAMP7----1A---- přáteli/přítel/NNMP7-----A---- a/a/J^------------- nadále/nadále/Db------------- k/k/RR--3---------- sobě/se/P6--3----------;chovají/chovat/VB-P---3P-AAI-- vzájemný/vzájemný/AAIS4----1A---- obdiv/obdiv/NNIS4-----A----;././Z:-------------;1;NMG: publicistika
