id;left;kwic;right;VNP?;doc.txtype_group
1;Majorita/majorita/NNFS1-----A---- jim/oni/PPMP3--3------- vnucuje/vnucovat/VB-S---3P-AAI-- svůj/svůj/P8IS4----------;obraz/obraz/NNIS4-----A---- a/a/J^------------- nutí/nutit/VB-S---3P-AAI-- je/oni/PPIP4--3------- se/se/P7--4---------- podle/podle/RR--2---------- něj/on/P5MS2--3------- chovat/chovat/Vf--------A-I--;././Z:-------------;0;NMG: publicistika
2;Každý/každý/PLMS1---------- si/se/P7--3---------- v/v/RR--6---------- hlavě/hlava/NNFS6-----A---- (/(/Z:------------- mozku/mozek/NNIS6-----A---- ,/,/Z:------------- mysli/mysl/NNFS6-----A---- ,/,/Z:------------- duši/duše/NNFS6-----A---- )/)/Z:------------- uchováváme/uchovávat/VB-P---1P-AAI--;obrazy/obraz/NNIP4-----A---- či/či/J^------------- modely/model/NNIP4-----A---- všech/všechen/PLMP2---------- svých/svůj/P8MP2---------- blízkých/blízký/AAMP2----1A---- a/a/J^------------- známých/známý/AAMP2----1A---- –/-/Z:------------- čím/co/PQ--7---------- je/být/VB-S---3P-AAI-- mi/já/PH-S3--1------- někdo/někdo/PZM-1---------- bližší/blízký/AAMS1----2A---- či/či/J^------------- známější/známý/AAMS1----2A---- ,/,/Z:------------- tím/ten/PDNS7---------- věrnější/věrný/AAMS1----2A---- si/se/P7--3---------- chovám/chovat/VB-S---1P-AAI--;jeho/jeho/PSIS4-S3------- obraz/obraz/NNIS4-----A---- ././Z:-------------;0;NFC: oborová literatura
3;Na/na/RR--6---------- základě/základ/NNIS6-----A---- toho/ten/PDNS2---------- postupně/postupně/Dg-------1A---- poskládal/poskládat/VpMS----R-AAP--;obraz/obraz/NNIS4-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- mohli/moci/VpMP----R-AAI-- královna/královna/NNFS1-----A---- a/a/J^------------- premiér/premiér/NNMS1-----A---- nejen/nejen/Db------------- opravdu/opravdu/Db------------- chovat/chovat/Vf--------A-I--;,/,/Z:------------- ale/ale/J^------------- i/i/J^------------- myslet/myslet/Vf--------A-I-- a/a/J^------------- cítit/cítit/Vf--------A-I-- se/se/P7--4---------- v/v/RR--6---------- onom/onen/PDIS6---------- bouřlivém/bouřlivý/AAIS6----1A---- týdnu/týden/NNIS6-----A---- po/po/RR--6---------- Dianině/Dianin/AUFS6F--------- smrti/smrt/NNFS6-----A---- ././Z:-------------;0;NMG: publicistika
4;Najednou/najednou/Db------------- maloval/malovat/VpMS----R-AAI--;obrazy/obraz/NNIP4-----A---- ,/,/Z:------------- choval/chovat/VpMS----R-AAI--;rybičky/rybička/NNFP4-----A---- ,/,/Z:------------- pěstoval/pěstovat/VpMS----R-AAI-- překrásné/překrásný/AAFP4----1A---- orchideje/orchidej/NNFP4-----A---- ././Z:-------------;0;NMG: publicistika
5;Chystala/chystat/VpFS----R-AAI-- se/se/P7--4---------- určitě/určitě/TT------------- odstranit/odstranit/Vf--------A-P-- i/i/J^------------- Batlera/Batler/NNMS4-----A---- ,/,/Z:------------- horečně/horečně/Dg-------1A---- uklízela/uklízet/VpFS----R-AAI-- dům/dům/NNIS4-----A---- ,/,/Z:------------- přemalovala/přemalovat/VpFS----R-AAP-- ten/ten/PDIS4----------;obraz/obraz/NNIS4-----A---- ,/,/Z:------------- dala/dát/VpFS----R-AAP-- spravit/spravit/Vf--------A-P-- dveře/dveře/NNFP4-----A---- koupelny/koupelna/NNFS2-----A---- ,/,/Z:------------- hádala/hádat/VpFS----R-AAI-- se/se/P7--4---------- s/s/RR--7---------- kuchařkou/kuchařka/NNFS7-----A---- tak/tak/Db------------- ,/,/Z:------------- že/že/J,------------- ředitel/ředitel/NNMS1-----A---- Rygseck/Rygseck/X@------------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- zbavil/zbavit/VpMS----R-AAP-- nežádoucího/žádoucí/AAMS2----1N---- svědka/svědek/NNMS2-----A---- ,/,/Z:------------- musel/muset/VpMS----R-AAI-- tu/ten/PDFS4---------- ženu/žena/NNFS4-----A---- propustit/propustit/Vf--------A-P-- ,/,/Z:------------- na/na/RR--6---------- mně/já/PP-S6--1------- tvrdě/tvrdě/Dg-------1A---- požadovala/požadovat/VpFS----R-AAI-- klíč/klíč/NNIS4-----A---- od/od/RR--2---------- pracovny/pracovna/NNFS2-----A---- -/-/Z0------------- -/-/Z0------------- zkrátka/zkrátka/TT------------- chovala/chovat/VpFS----R-AAI--;se/se/P7--4---------- jako/jako/J,------------- typický/typický/AAMS1----1A---- maniak/maniak/NNMS1-----A---- ,/,/Z:------------- jako/jako/J,------------- by/být/Vc----------I-- chtěla/chtít/VpFS----R-AAI-- zakrýt/zakrýt/Vf--------A-P-- neustálé/neustálý/AANS4----1A---- vnitřní/vnitřní/AANS4----1A---- napětí/napětí/NNNS4-----A---- ././Z:-------------;0;FIC: beletrie
6;Neboť/neboť/J^------------- válka/válka/NNFS1-----A---- skončila/skončit/VpFS----R-AAP-- a/a/J^------------- svět/svět/NNIS1-----A---- ji/on/PPFS4--3------- přežil/přežít/VpIS----R-AAP-- a/a/J^------------- my/my/PP-P1--1------- jsme/být/VB-P---1P-AAI-- tady/tady/Db------------- ,/,/Z:------------- my/my/PP-P1--1------- všichni/všechen/PLMP1---------- ,/,/Z:------------- a/a/J^------------- pečujeme/pečovat/VB-P---1P-AAI-- o/o/RR--4---------- své/svůj/P8IP4---------1 domovy/domov/NNIP4-----A---- ,/,/Z:------------- rodíme/rodit/VB-P---1P-AAI-- a/a/J^------------- vychováváme/vychovávat/VB-P---1P-AAI-- děti/dítě/NNFP4-----A---- a/a/J^------------- nevytváříme/vytvářet/VB-P---1P-NAI-- pouhé/pouhý/AAFP4----1A---- knihy/kniha/NNFP4-----A---- nebo/nebo/J^-------------;obrazy/obraz/NNIP4-----A---- ,/,/Z:------------- ale/ale/J^------------- celý/celý/AAIS4----1A---- svět/svět/NNIS4-----A---- jako/jako/J,------------- takový/takový/PDIS4---------- -/-/Z:------------- jeho/jeho/PSIS4-S3------- řád/řád/NNIS4-----A---- a/a/J^------------- harmonii/harmonie/NNFS4-----A---- ,/,/Z:------------- svět/svět/NNIS4-----A---- ,/,/Z:------------- v/v/RR--6---------- němž/jenž/P9IS6---------- jsou/být/VB-P---3P-AAI-- děti/dítě/NNFP1-----A---- v/v/RR--6---------- bezpečí/bezpečí/NNNS6-----A---- (/(/Z:------------- možná/možná/TT------------- i/i/J^------------- šťastné/šťastný/AAFP1----1A---- )/)/Z:------------- a/a/J^------------- muži/muž/NNMP1-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- před/před/RR--7---------- časem/čas/NNIS7-----A---- prožili/prožít/VpMP----R-AAP-- nepředstavitelné/představitelný/AAFP4----1N---- hrůzy/hrůza/NNFP4-----A---- a/a/J^------------- chovali/chovat/VpMP----R-AAI--;se/se/P7--4---------- tak/tak/Db------------- statečně/statečně/Dg-------1A---- a/a/J^------------- báječně/báječně/Dg-------1A---- ,/,/Z:------------- se/se/P7--4---------- vracejí/vracet/VB-P---3P-AAI-- domů/domů/Db------------- k/k/RR--3---------- osvětleným/osvětlený/AANP3----1A---- oknům/okno/NNNP3-----A---- a/a/J^------------- domácím/domácí/AAFP3----1A---- vůním/vůně/NNFP3-----A---- a/a/J^------------- prostřeným/prostřený/AAIP3----1A---- stolům/stůl/NNIP3-----A---- ././Z:-------------;0;FIC: beletrie
7;"Tereza/Tereza/NNFS1-----A---- se/se/P7--4---------- často/často/Dg-------1A---- bavila/bavit/VpFS----R-AAI-- tím/ten/PDNS7---------- ,/,/Z:------------- že/že/J,------------- ho/on/PHMS4--3------- vodila/vodit/VpFS----R-AAI-- k/k/RR--3---------- zrcadlu/zrcadlo/NNNS3-----A---- ;/;/Z:------------- Nepoznával/poznávat/VpMS----R-NAI-- svůj/svůj/P8IS4----------";obraz/obraz/NNIS4-----A---- a/a/J^------------- choval/chovat/VpMS----R-AAI--;se/se/P7--4---------- k/k/RR--3---------- němu/on/P5MS3--3------- s/s/RR--7---------- neuvěřitelným/neuvěřitelný/AAIS7----1A---- nezájmem/nezájem/NNIS7-----A---- a/a/J^------------- roztěkaností/roztěkanost/NNFS7-----A---- ././Z:-------------;0;FIC: beletrie
8;Psychologové/psycholog/NNMP1-----A---- tvrdí/tvrdit/VB-P---3P-AAI-- ,/,/Z:------------- že/že/J,------------- když/když/J,------------- člověk/člověk/NNMS1-----A---- vidí/vidět/VB-S---3P-AAI-- svůj/svůj/P8IS4----------;obraz/obraz/NNIS4-----A---- v/v/RR--6---------- zrcadle/zrcadlo/NNNS6-----A---- ,/,/Z:------------- podvědomě/podvědomě/Dg-------1A---- se/se/P7--4---------- snaží/snažit/VB-S---3P-AAI-- chovat/chovat/Vf--------A-I--;rozumněji/rozumně/Dg-------2A---- ,/,/Z:------------- vhodněji/vhodně/Dg-------2A---- ,/,/Z:------------- vytvářet/vytvářet/Vf--------A-I-- o/o/RR--6---------- sobě/se/P6--6---------- lepší/dobrý/AAIS4----2A---- obraz/obraz/NNIS4-----A---- ././Z:-------------;0;NMG: publicistika
9;Cadfael/Cadfael/NNMS1-----A---- přednesl/přednést/VpMS----R-AAP-- svou/svůj/P8FS4---------1 prosbu/prosba/NNFS4-----A---- pokorně/pokorně/Dg-------1A---- ,/,/Z:------------- třebaže/třebaže/J,------------- ne/ne/TT------------- zcela/zcela/Db------------- rezignovaně/rezignovaně/Dg-------1A---- ,/,/Z:------------- a/a/J^------------- chvíli/chvíle/NNFS4-----A---- zůstal/zůstat/VpMS----R-AAP-- klečet/klečet/Vf--------A-I-- se/s/RV--7---------- zavřenýma/zavřený/AAFD7----1A---- očima/oko/NNFD7-----A---- ,/,/Z:------------- vzpomínaje/vzpomínat/VeMS------A-I-- na/na/RR--4---------- věci/věc/NNFP4-----A---- ,/,/Z:------------- jež/jenž/PJFP1---------- byly/být/VpFP----R-AAI-- provedeny/provést/VsFP------APP-- dobře/dobře/Dg-------1A---- ,/,/Z:------------- a/a/J^------------- věci/věc/NNFP1-----A---- ,/,/Z:------------- jež/jenž/PJFP1---------- byly/být/VpFP----R-AAI-- provedeny/provést/VsFP------APP-- méně/málo/Dg-------2A---- dobře/dobře/Dg-------1A---- ,/,/Z:------------- ale/ale/J^------------- s/s/RR--7---------- největší/velký/AAFS7----3A---- vděčností/vděčnost/NNFS7-----A---- a/a/J^------------- spokojeností/spokojenost/NNFS7-----A---- si/se/P7--3---------- vybavoval/vybavovat/VpMS----R-AAI--;obraz/obraz/NNIS4-----A---- svého/svůj/P8MS2---------- syna/syn/NNMS2-----A---- přestrojeného/přestrojený/AAMS2----1A---- za/za/RR--4---------- venkovského/venkovský/AAMS4----1A---- mladíka/mladík/NNMS4-----A---- jako/jako/J,------------- už/už/Db------------- jednou/jednou/Cv------------- předtím/předtím/Db------------- ,/,/Z:------------- jak/jak/Db------------- v/v/RR--6---------- mlynářově/mlynářův/AUIS6M--------- voze/vůz/NNIS6-----A---- chová/chovat/VB-S---3P-AAI--;na/na/RR--6---------- klíně/klín/NNIS6-----A---- svého/svůj/P8MS4---------- nepřítele/nepřítel/NNMS4-----A---- ././Z:-------------;0;FIC: beletrie
10;Dnes/dnes/Db------------- máme/mít/VB-P---1P-AAI-- v/v/RR--6---------- EU/EU/BN------------- úplně/úplně/Dg-------1A---- šílený/šílený/AAIS4----1A----;obraz/obraz/NNIS4-----A---- ,/,/Z:------------- posíláme/posílat/VB-P---1P-AAI-- tam/tam/Db------------- lidi/člověk/NNMP4-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- dělají/dělat/VB-P---3P-AAI-- ostudu/ostuda/NNFS4-----A---- a/a/J^------------- neumějí/umět/VB-P---3P-NAI-- se/se/P7--4---------- chovat/chovat/Vf--------A-I--;././Z:-------------;0;NMG: publicistika
