id;left;kwic;right
"1";"Rodina/rodina/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1----------";"chová/chovat/VB-S---3P-AAI-- koně/kůň/NNMP4-----A---- ,/,/Z:------------- se/se/P7--4---------- rozhodla/rozhodnout/VpFS----R-AAP-1 zde/zde/Db------------- zakotvit/zakotvit/Vf--------A-P-- nejen/nejen/Db------------- kvůli/kvůli/RR--3---------- výhledu/výhled/NNIS3-----A---- ,/,/Z:------------- ale/ale/J^------------- zejména/zejména/TT------------- kvůli/kvůli/RR--3---------- pocitu/pocit/NNIS3-----A---- absolutní/absolutní/AAFS2----1A---- volnosti/volnost/NNFS2-----A---- v/v/RR--6---------- přírodě/příroda/NNFS6-----A---- daleko/daleko/Dg-------1A---- od/od/RR--2---------- civilizace/civilizace/NNFS2-----A---- ,/,/Z:------------- který/který/P4IS1---------- bude/být/VB-S---3F-AAI-- rámovat/rámovat/Vf--------A-I-- panoramatický/panoramatický/AAIS4----1A---- obraz/obraz/NNIS4-----A----";"krajiny/krajina/NNFS2-----A---- ././Z:-------------"
"2";"Člověk/člověk/NNMS1-----A---- se/se/P7--4---------- k/k/RR--3---------- druhému/druhý/CrMS3----------";"chová/chovat/VB-S---3P-AAI-- v/v/RR--6---------- podstatě/podstata/NNFS6-----A---- podle/podle/RR--2---------- toho/ten/PDNS2---------- ,/,/Z:------------- jaký/jaký/P4IS4---------- obraz/obraz/NNIS4-----A----";"si/se/P7--3---------- o/o/RR--6---------- něm/on/P5IS6--3------- vytvořil/vytvořit/VpMS----R-AAP-- ././Z:-------------"
"3";"Zato/zato/Db------------- je/oni/PPFP4--3------- naučit/naučit/Vf--------A-P-- ,/,/Z:------------- že/že/J,------------- k/k/RR--3---------- přírodě/příroda/NNFS3-----A---- se/se/P7--4---------- mají/mít/VB-P---3P-AAI--";"chovat/chovat/Vf--------A-I-- jako/jako/J,------------- ke/k/RV--3---------- kamarádovi/kamarád/NNMS3-----A---- ,/,/Z:------------- ne/ne/TT------------- jako/jako/J,------------- k/k/RR--3---------- nepříteli/nepřítel/NNMS3-----A---- ,/,/Z:------------- jak/jak/Db------------- si/se/P7--3---------- přišít/přišít/Vf--------A-P-- knoflík/knoflík/NNIS4-----A---- ,/,/Z:------------- pověsit/pověsit/Vf--------A-P-- obraz/obraz/NNIS4-----A----";"či/či/J^------------- uvařit/uvařit/Vf--------A-P-- polévku/polévka/NNFS4-----A---- ././Z:-------------"
"4";"Snaha/snaha/NNFS1-----A----";"chovat/chovat/Vf--------A-I-- se/se/P7--4---------- proto/proto/Db------------- nestranicky/stranicky/Dg-------1N---- však/však/J^------------- podle/podle/RR--2---------- některých/některý/PZMP2---------- politologů/politolog/NNMP2-----A---- vzbuzuje/vzbuzovat/VB-S---3P-AAI-- obraz/obraz/NNIS4-----A----";"nudné/nudný/AAFS2----1A---- a/a/J^------------- neprůbojné/průbojný/AAFS2----1N---- osoby/osoba/NNFS2-----A---- ././Z:-------------"
"5";"Věděla/vědět/VpFS----R-AAI-- ,/,/Z:------------- že/že/J,------------- pokud/pokud/J,------------- ve/v/RV--6---------- své/svůj/P8FS6---------1 duši/duše/NNFS6-----A----";"chová/chovat/VB-S---3P-AAI-- tento/tento/PDIS4---------- obraz/obraz/NNIS4-----A----";",/,/Z:------------- pak/pak/Db------------- věděla/vědět/VpFS----R-AAI-- ,/,/Z:------------- že/že/J,------------- je/být/VB-S---3P-AAI-- lživý/lživý/AAMS1----1A---- ././Z:-------------"
"6";"A/a/J^------------- ne/ne/TT------------- -/-/Z0------------- napravuju/napravovat/VB-S---1P-AAI-- tím/ten/PDNS7---------- snad/snad/TT------------- také/také/Db------------- tu/ten/PDFS4---------- bezohlednou/bezohledný/AAFS4----1A---- lhostejnost/lhostejnost/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- jsem/být/VB-S---1P-AAI-- dosud/dosud/Db-------------";"choval/chovat/VpMS----R-AAI-- k/k/RR--3---------- jeho/jeho/PSNS3-S3------- dílu/dílo/NNNS3-----A---- ,/,/Z:------------- když/když/J,------------- jsem/být/VB-S---1P-AAI-- nenavštěvoval/navštěvovat/VpMS----R-NAI-- jeho/jeho/PSFP4-S3------- výstavy/výstava/NNFP4-----A---- a/a/J^------------- nezajímal/zajímat/VpMS----R-NAI-- se/se/P7--4---------- o/o/RR--4---------- jeho/jeho/PSIP4-S3------- obrazy/obraz/NNIP4-----A----";"?/?/Z:-------------"
"7";"A/a/J^------------- já/já/PP-S1--1------- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- obdivoval/obdivovat/VpMS----R-AAI-- jeho/jeho/PSFP4-S3------- živé/živý/AAFP4----1A---- paměti/paměť/NNFP4-----A---- ,/,/Z:------------- byl/být/VpMS----R-AAI-- už/už/Db------------- řadu/řada/NNFS4-----A---- let/rok/NNNP2-----A---- slepý/slepý/AAMS1----1A---- ,/,/Z:------------- a/a/J^------------- přesto/přesto/J^-------------";"choval/chovat/VpMS----R-AAI-- v/v/RR--6---------- hlavě/hlava/NNFS6-----A---- obrazy/obraz/NNIP4-----A----";",/,/Z:------------- jejichž/jejichž/P1FS4-P3------- hanebnost/hanebnost/NNFS4-----A---- nám/my/PP-P3--1------- tu/tu/Db------------- vylíčil/vylíčit/VpMS----R-AAP-- ././Z:-------------"
"8";"A/a/J^------------- podle/podle/RR--2---------- toho/ten/PDNS2---------- se/se/P7--4----------";"choval/chovat/VpMS----R-AAI-- na/na/RR--6---------- hřišti/hřiště/NNNS6-----A---- i/i/J^------------- mimo/mimo/RR--4---------- ně/oni/P5MP4--3------- ,/,/Z:------------- i/i/J^------------- když/když/J,------------- lidé/lidé/NNMP1-----A---- mě/já/PH-S4--1------- znají/znát/VB-P---3P-AAI-- trochu/trochu/Db------------- jinak/jinak/Db------------- ,/,/Z:------------- přes/přes/RR--4---------- mediální/mediální/AAIS4----1A---- obraz/obraz/NNIS4-----A----";"././Z:-------------"
"9";"";"chovajíce/chovat/VeMP------A-I-- v/v/RR--6---------- srdcích/srdce/NNNP6-----A---- jeho/jeho/PSIS4-S3------- přečistý/přečistý/AAIS4----1A---- obraz/obraz/NNIS4-----A----";"bez/bez/RR--2---------- porušení/porušení/NNNS2-----A----"
"10";"Každé/každý/PLNS1---------- číslo/číslo/NNNS1-----A---- novin/noviny/NNFP2-----A---- je/být/VB-S---3P-AAI-- samostatnou/samostatný/AAFS7----1A---- bytostí/bytost/NNFS7-----A---- ,/,/Z:------------- která/který/P4FS1---------- v/v/RR--6---------- sobě/se/P6--6----------";"chová/chovat/VB-S---3P-AAI-- obraz/obraz/NNIS4-----A----";"světa/svět/NNIS2-----A---- ,/,/Z:------------- obraz/obraz/NNIS4-----A---- bídy/bída/NNFP4-----A---- ,/,/Z:------------- utrpení/utrpení/NNNS4-----A---- ,/,/Z:------------- obraz/obraz/NNIS4-----A---- někdy/někdy/Db------------- retušovaný/retušovaný/AAIS4----1A---- a/a/J^------------- jindy/jindy/Db------------- nezkreslený/zkreslený/AAIS4----1N---- ,/,/Z:------------- obraz/obraz/NNIS4-----A---- ,/,/Z:------------- jaký/jaký/P4IS4---------- chcete/chtít/VB-P---2P-AAI-- sami/sám/PLMP1---------- vidět/vidět/Vf--------A-I-- ..../..../Z:------------- ""/""/Z:-------------"
