id;left;kwic;right;VNP?;doc.txtype_group
1;Při/při/RR--6---------- zatýkání/zatýkání/NNNS6-----A---- se/se/P7--4---------- nezmohl/zmoci/VpMS----R-NAP-- na/na/RR--4---------- sebemenší/malý/AAIS4----1A----;odpor/odpor/NNIS4-----A---- a/a/J^------------- choval/chovat/VpMS----R-AAI--;se/se/P7--4---------- celou/celý/AAFS4----1A---- dobu/doba/NNFS4-----A---- velice/velice/Db------------- slušně/slušně/Dg-------1A---- ././Z:-------------;0;NMG: publicistika
2;"Pokud/pokud/J,------------- to/ten/PDNS4---------- totiž/totiž/TT------------- uděláš/udělat/VB-S---2P-AAP-- ,/,/Z:------------- můžeš/moci/VB-S---2P-AAI-- nás/my/PP-P4--1------- tím/ten/PDNS7---------- jednoho/jeden/ClIS2---------- dne/den/NNIS2-----A---- poštvat/poštvat/Vf--------A-P-- proti/proti/RR--3---------- sobě/se/P6--3---------- ,/,/Z:------------- ""/""/Z:------------- varoval/varovat/VpMS----R-AAI-- ho/on/PHMS4--3------- Freud/Freud/NNMS1-----A---- a/a/J^------------- dodal/dodat/VpMS----R-AAP-- :/:/Z:------------- ""/""/Z:------------- Ke/k/RV--3---------- kolegům/kolega/NNMP3-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- mi/já/PH-S3--1------- kladou/klást/VB-P---3P-AAI--";odpor/odpor/NNIS4-----A---- ,/,/Z:------------- se/se/P7--4---------- mám/mít/VB-S---1P-AAI-- ve/v/RV--6---------- zvyku/zvyk/NNIS6-----A---- chovat/chovat/Vf--------A-I--;"stejně/stejně/Dg-------1A---- ,/,/Z:------------- jako/jako/J,------------- bych/být/Vc-S---1----I-- se/se/P7--4---------- choval/chovat/VpMS----R-AAI-- ke/k/RV--3---------- vzpurným/vzpurný/AAMP3----1A---- pacientům/pacient/NNMP3-----A---- ././Z:------------- ""/""/Z:-------------";0;NFC: oborová literatura
3;Část/část/NNFS1-----A---- společnosti/společnost/NNFS2-----A---- nyní/nyní/Db------------- sjednocuje/sjednocovat/VB-S---3P-AAI--;odpor/odpor/NNIS4-----A---- vůči/vůči/RR--3---------- prezidentovi/prezident/NNMS3-----A---- –/-/Z:------------- vzhledem/vzhledem/RF------------- k/k/RR--3---------- tomu/ten/PDNS3---------- ,/,/Z:------------- co/co/PQ--4---------- dělá/dělat/VB-S---3P-AAI-- a/a/J^------------- jak/jak/Db------------- se/se/P7--4---------- chová/chovat/VB-S---3P-AAI--;,/,/Z:------------- zcela/zcela/Db------------- oprávněný/oprávněný/AAMS1----1A---- ././Z:-------------;0;NMG: publicistika
4;;Odpor/odpor/NNIS4-----A---- k/k/RR--3---------- letadlům/letadlo/NNNP3-----A---- přitom/přitom/Db------------- nechová/chovat/VB-S---3P-NAI--;,/,/Z:------------- prý/prý/TT------------- právě/právě/Db------------- naopak/naopak/TT------------- ././Z:-------------;1;NMG: publicistika
5;Nebo/nebo/J^------------- třeba/třeba/TT------------- vyšla/vyjít/VpFS----R-AAP-- ze/z/RV--2---------- dveří/dveře/NNFP2-----A---- ložnice/ložnice/NNFS2-----A---- ,/,/Z:------------- čekala/čekat/VpFS----R-AAI-- Tommyho/Tommy/NNMS4-----A---- ,/,/Z:------------- nebo/nebo/J^------------- také/také/Db------------- nečekala/čekat/VpFS----R-NAI-- ,/,/Z:------------- ale/ale/J^------------- neuvažovala/uvažovat/VpFS----R-NAI-- rozumně/rozumně/Dg-------1A---- ,/,/Z:------------- postavila/postavit/VpFS----R-AAP-- se/se/P7--4---------- lupiči/lupič/NNMS3-----A---- na/na/RR--4----------;odpor/odpor/NNIS4-----A---- ,/,/Z:------------- lidi/člověk/NNMP1-----A---1 tohle/tenhle/PDNS4---------- dělají/dělat/VB-P---3P-AAI-- neustále/neustále/Dg-------1A---- ,/,/Z:------------- nepřemýšlejí/přemýšlet/VB-P---3P-NAI-- ,/,/Z:------------- popadne/popadnout/VB-S---3P-AAP-- je/oni/PPMP4--3------- vztek/vztek/NNIS1-----A---- ,/,/Z:------------- že/že/J,------------- někdo/někdo/PZM-1---------- vpadl/vpadnout/VpMS----R-AAP-1 do/do/RR--2---------- jejich/jejich/PSIS2-P3------- domu/dům/NNIS2-----A---- ,/,/Z:------------- a/a/J^------------- chovají/chovat/VB-P---3P-AAI--;se/se/P7--4---------- tak/tak/Db------------- ,/,/Z:------------- jako/jako/J,------------- kdyby/kdyby|být/J,-------------|Vc----------I-- si/se/P7--3---------- mysleli/myslet/VpMP----R-AAI-- ,/,/Z:------------- že/že/J,------------- jim/oni/PPMP3--3------- jejich/jejich/PSNS1-P3------- spravedlivé/spravedlivý/AANS1----1A---- rozhořčení/rozhořčení/NNNS1-----A---- poslouží/posloužit/VB-S---3P-AAP-- jako/jako/J,------------- zbraň/zbraň/NNFS1-----A---- ././Z:-------------;0;FIC: beletrie
6;řekla/říci/VpFS----R-AAP-- manželka/manželka/NNFS1-----A---- tónem/tón/NNIS7-----A---- ,/,/Z:------------- z/z/RR--2---------- něhož/jenž/P9IS2---------- bylo/být/VpNS----R-AAI-- patrno/patrný/ACNS------A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- řeč/řeč/NNFS1-----A---- nachyluje/nachylovat/VB-S---3P-AAI-- ke/k/RV--3---------- konci/konec/NNIS3-----A---- ,/,/Z:------------- -/-/Z:------------- pominu/pominout/VB-S---1P-AAP-- -/-/Z0------------- li/li/J,------------- nedlouhé/dlouhý/AANS4----1N---- manželství/manželství/NNNS4-----A---- s/s/RR--7---------- jistým/jistý/AAMS7----1A---- kouzelníkem/kouzelník/NNMS7-----A---- Marionem/Marion/NNMS7-----A---- ,/,/Z:------------- jenž/jenž/PJMS1---------- po/po/RR--6---------- pěti/pět/Cn-P6---------- létech/rok/NNNP6-----A---2 zradil/zradit/VpMS----R-AAP-- svou/svůj/P8FS4---------1 socialistickou/socialistický/AAFS4----1A---- vlast/vlast/NNFS4-----A---- i/i/J^------------- mne/já/PP-S4--1------- hanebným/hanebný/AAIS7----1A---- útěkem/útěk/NNIS7-----A---- do/do/RR--2---------- kapitalistické/kapitalistický/AAFS2----1A---- Austrálie/Austrálie/NNFS2-----A---- ,/,/Z:------------- odkud/odkud/Db------------- se/se/P7--4---------- dal/dát/VpMS----R-AAP-- telegraficky/telegraficky/Dg-------1A---- rozvést/rozvést/Vf--------A-P-- pro/pro/RR--4---------- nepřekonatelný/překonatelný/AAIS4----1N----;odpor/odpor/NNIS4-----A---- ,/,/Z:------------- který/který/P4IS4---------- jsem/být/VB-S---1P-AAI-- ve/v/RV--6---------- skutečnosti/skutečnost/NNFS6-----A---- chovala/chovat/VpFS----R-AAI--;já/já/PP-S1--1------- k/k/RR--3---------- němu/on/P5MS3--3------- ,/,/Z:------------- když/když/J,------------- jsem/být/VB-S---1P-AAI-- zjistila/zjistit/VpFS----R-AAP-- ,/,/Z:------------- že/že/J,------------- jeho/jeho/PSNP1-S3------- kouzla/kouzlo/NNNP1-----A---- nejsou/být/VB-P---3P-NAI-- nežli/nežli/J,------------- pusté/pustý/AAIP1----1A---- triky/trik/NNIP1-----A---- ,/,/Z:------------- jimiž/jenž/PJIP7---------- klamal/klamat/VpMS----R-AAI-- pracující/pracující/AGMS1-----A---- ././Z:-------------;3;FIC: beletrie
7;Přesto/přesto/Db------------- řekl/říci/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- K/K/BN------------- ././Z0------------- s/s/RR--7---------- otcem/otec/NNMS7-----A---- mluvit/mluvit/Vf--------A-I-- nemůže/moci/VB-S---3P-NAI-- ,/,/Z:------------- otec/otec/NNMS1-----A---- má/mít/VB-S---3P-AAI-- k/k/RR--3---------- němu/on/P5MS3--3-------;odpor/odpor/NNIS4-----A---- a/a/J^------------- choval/chovat/VpMS----R-AAI--;by/být/Vc----------I-- se/se/P7--4---------- k/k/RR--3---------- němu/on/P5MS3--3------- patrně/patrně/TT------------- stejně/stejně/Dg-------1A---- jako/jako/J,------------- učitel/učitel/NNMS1-----A---- ././Z:-------------;0;FIC: beletrie
8;Ke/k/RV--3---------- kolegům/kolega/NNMP3-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- mi/já/PH-S3--1------- kladou/klást/VB-P---3P-AAI--;odpor/odpor/NNIS4-----A---- ,/,/Z:------------- se/se/P7--4---------- mám/mít/VB-S---1P-AAI-- ve/v/RV--6---------- zvyku/zvyk/NNIS6-----A---- chovat/chovat/Vf--------A-I-- stejně/stejně/Dg-------1A---- ,/,/Z:------------- jako/jako/J,------------- bych/být/Vc-S---1----I-- se/se/P7--4---------- choval/chovat/VpMS----R-AAI--;"ke/k/RV--3---------- vzpurným/vzpurný/AAMP3----1A---- pacientům/pacient/NNMP3-----A---- ,/,/Z:------------- “/""/Z:------------- vyhrožoval/vyhrožovat/VpMS----R-AAI-- Jungovi/Jung/NNMS3-----A---- v/v/RR--6---------- jednom/jeden/ClIS6---------- z/z/RR--2---------- dopisů/dopis/NNIP2-----A---- ././Z:-------------";0;NMG: publicistika
9;Trochu/trochu/Db------------- pohoršená/pohoršený/AAFS1----1A---- ,/,/Z:------------- přišlo/přijít/VpNS----R-AAP-- mi/já/PH-S3--1------- ,/,/Z:------------- mou/můj/PSFS7-S1------1 nedovtipností/nedovtipnost/NNFS7-----A---- jsi/být/VB-S---2P-AAI-- začala/začít/VpFS----R-AAP-- vyjadřovat/vyjadřovat/Vf--------A-I-- svůj/svůj/P8IS4----------;odpor/odpor/NNIS4-----A---- k/k/RR--3---------- bílým/bílý/AAFP3----1A---- myším/myš/NNFP3-----A---- ,/,/Z:------------- ty/ten/PDIP4---------- čumáčky/čumáček/NNIP4-----A---- ,/,/Z:------------- zoubky/zoubek/NNIP4-----A---- ,/,/Z:------------- očka/očko/NNNP4-----A---- ,/,/Z:------------- všechno/všechen/PLNS4---------- tak/tak/Db------------- strašně/strašně/Dg-------1A---- pitomé/pitomý/AANS1----1A---- ,/,/Z:------------- a/a/J^------------- vrchol/vrchol/NNIS1-----A---- pitomosti/pitomost/NNFS2-----A---- samozřejmě/samozřejmě/TT------------- je/být/VB-S---3P-AAI-- chovat/chovat/Vf--------A-I--;takový/takový/PDIS4---------- párek/párek/NNIS4-----A---- v/v/RR--6---------- akváriu/akvárium/NNNS6-----A---- ././Z:-------------;0;FIC: beletrie
10;"""/""/Z:------------- Při/při/RR--6---------- zadržení/zadržení/NNNS6-----A---- nekladl/klást/VpMS----R-NAI-- žádný/žádný/PWIS4----------";odpor/odpor/NNIS4-----A---- ,/,/Z:------------- choval/chovat/VpMS----R-AAI--;"se/se/P7--4---------- klidně/klidně/Dg-------1A---- ,/,/Z:------------- ""/""/Z:------------- doplnil/doplnit/VpIS----R-AAP-- policejní/policejní/AAIS1----1A---- zdroj/zdroj/NNIS1-----A---- ././Z:-------------";0;NMG: publicistika
