id;left;kwic;right
"1";"Také/také/Db------------- hráči/hráč/NNMP1-----A---- už/už/Db------------- k/k/RR--3---------- přípravě/příprava/NNFS3-----A---- na/na/RR--6---------- umělém/umělý/AAIS6----1A---- trávníku/trávník/NNIS6-----A---- dávno/dávno/Dg-------1A----";"nechovají/chovat/VB-P---3P-NAI-- odpor/odpor/NNIS4-----A----";",/,/Z:------------- jako/jako/J,------------- tomu/ten/PDNS3---------- bylo/být/VpNS----R-AAI-- v/v/RR--6---------- minulosti/minulost/NNFS6-----A---- ././Z:-------------"
"2";"Dalila/Dalila/NNFS1-----A---- si/se/P7--3---------- s/s/RR--7---------- oblibou/obliba/NNFS7-----A---- prohlížela/prohlížet/VpFS----R-AAI-- stará/starý/AANP4----1A---- alba/album/NNNP4-----A---- ,/,/Z:------------- k/k/RR--3---------- nimž/jenž/P9NP3----------";"chovaly/chovat/VpFP----R-AAI-- její/její/PSFS1FS3------- babička/babička/NNFS1-----A---- i/i/J^------------- matka/matka/NNFS1-----A---- silný/silný/AAIS4----1A---- odpor/odpor/NNIS4-----A----";"././Z:-------------"
"3";"Možná/možná/TT------------- jsem/být/VB-S---1P-AAI-- diletant/diletant/NNMS1-----A---- ,/,/Z:------------- ale/ale/J^------------- říkám/říkat/VB-S---1P-AAI-- si/se/P7--3---------- ,/,/Z:-------------";"chová/chovat/VB-S---3P-AAI-- snad/snad/TT------------- autor/autor/NNMS1-----A---- Georgi/Georgi/NNMS1-----A---- Donov/Donov/X@------------- odpor/odpor/NNIS4-----A----";"k/k/RR--3---------- trabimu/trabimu/X@------------- ?/?/Z:-------------"
"4";"Ke/k/RV--3---------- špíně/špína/NNFS3-----A---- a/a/J^------------- nepořádku/nepořádek/NNIS3-----A----";"chová/chovat/VB-S---3P-AAI-- odpor/odpor/NNIS4-----A----";",/,/Z:------------- nesnese/snést/VB-S---3P-NAP-- prý/prý/TT------------- ani/ani/J^------------- pár/pár/Db------------- pohozených/pohozený/AAFP2----1A---- věcí/věc/NNFP2-----A---- na/na/RR--6---------- stole/stůl/NNIS6-----A---- ././Z:-------------"
"5";"Vzpomínal/vzpomínat/VpMS----R-AAI-- si/se/P7--3---------- ,/,/Z:------------- že/že/J,------------- tehdy/tehdy/Db------------- byli/být/VpMP----R-AAI-- v/v/RR--6---------- kryptě/krypta/NNFS6-----A---- ,/,/Z:------------- v/v/RR--6---------- tom/ten/PDNS6---------- zatuchlém/zatuchlý/AANS6----1A---- a/a/J^------------- šerém/šerý/AANS6----1A---- místě/místo/NNNS6-----A---- ,/,/Z:------------- které/který/P4NS1---------- se/se/P7--4---------- Letovi/Letovi/X@------------- zřejmě/zřejmě/TT------------- líbilo/líbit/VpNS----R-AAI-- ,/,/Z:------------- ale/ale/J^------------- on/on/PPMS1--3------- sám/sám/PLMS1---------- k/k/RR--3---------- němu/on/P5MS3--3-------";"choval/chovat/VpMS----R-AAI-- hluboký/hluboký/AAIS4----1A---- odpor/odpor/NNIS4-----A----";"-/-/Z:------------- cítil/cítit/VpMS----R-AAI-- z/z/RR--2---------- ní/on/P5FS2--3------- staletý/staletý/AAIS4----1A---- prach/prach/NNIS4-----A---- ,/,/Z:------------- pachy/pach/NNIP4-----A---- pradávného/pradávný/AAIS2----1A---- rozkladu/rozklad/NNIS2-----A---- ././Z:-------------"
"6";"Její/její/PSFP4FS3------- chmurné/chmurný/AAFP4----1A---- reference/reference/NNFP4-----A---- o/o/RR--6---------- svém/svůj/P8MS6---------- synovi/syn/NNMS6-----A---- jsem/být/VB-S---1P-AAI-- bral/brát/VpMS----R-AAI-- s/s/RR--7---------- rezervou/rezerva/NNFS7-----A---- ,/,/Z:------------- neboť/neboť/J^------------- tato/tento/PDFS1---------- stará/starý/AAFS1----1A---- paní/paní/NNFS1-----A---- zřejmě/zřejmě/TT-------------";"chovala/chovat/VpFS----R-AAI-- k/k/RR--3---------- veškeremu/veškeremu/X@------------- mládí/mládí/NNNS3-----A---- jako/jako/J,------------- takovému/takový/PDNS3---------- nepřekonatelný/překonatelný/AAIS4----1N---- odpor/odpor/NNIS4-----A----";"././Z:-------------"
"7";"Ten/ten/PDMS1---------- jeden/jeden/ClMS1---------- ,/,/Z:------------- to/ten/PDNS1---------- byl/být/VpMS----R-AAI-- Eddie/Eddie/NNMS1-----A---- ,/,/Z:------------- ten/ten/PDMS1---------- chlap/chlap/NNMS1-----A---- ,/,/Z:------------- co/co/J,------------- věnoval/věnovat/VpMS----R-AAB-- právě/právě/Db------------- v/v/RR--4---------- tu/ten/PDFS4---------- chvíli/chvíle/NNFS4-----A---- tak/tak/Db------------- dokonalou/dokonalý/AAFS4----1A---- pozornost/pozornost/NNFS4-----A---- panu/pán/NNMS3-----A---1 Finneganovi/Finnegan/NNMS3-----A---- ,/,/Z:------------- chlap/chlap/NNMS1-----A---- ,/,/Z:------------- kterého/který/P4MS4---------- chtěla/chtít/VpFS----R-AAI-- Florence/Florence/NNFS1-----A---- zase/zase/Db------------- pro/pro/RR--4---------- sebe/se/P6--4---------- zpátky/zpátky/Db------------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- právě/právě/Db------------- vyjádřila/vyjádřit/VpFS----R-AAP-- ,/,/Z:------------- Eddie/Eddie/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- se/se/P7--4----------";"choval/chovat/VpMS----R-AAI-- přesně/přesně/Dg-------1A---- předvídatelným/předvídatelný/AAIS7----1A---- způsobem/způsob/NNIS7-----A---- ,/,/Z:------------- skrýval/skrývat/VpMS----R-AAI-- různé/různý/AAFP4----1A---- averze/averze/NNFP4-----A---- pod/pod/RR--7---------- úsměvem/úsměv/NNIS7-----A---- a/a/J^------------- potlačoval/potlačovat/VpMS----R-AAI-- jakýkoli/jakýkoli/PZIS4---------- vlastní/vlastní/AAIS4----1A---- odpor/odpor/NNIS4-----A----";"dřív/brzy/Dg-------2A---- ,/,/Z:------------- než/než/J,------------- začal/začít/VpMS----R-AAP-- přerůstat/přerůstat/Vf--------A-I-- obvyklou/obvyklý/AAFS4----1A---- míru/míra/NNFS4-----A---- ././Z:-------------"
"8";"Prezident/prezident/NNMS1-----A---- Václav/Václav/NNMS1-----A---- Havel/Havel/NNMS1-----A---- k/k/RR--3---------- tomu/ten/PDNS3---------- včera/včera/Db------------- uvedl/uvést/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- politici/politik/NNMP1-----A---- by/být/Vc----------I-- se/se/P7--4---------- měli/mít/VpMP----R-AAI-- zamyslet/zamyslet/Vf--------A-P-- nad/nad/RR--7---------- tím/ten/PDNS7---------- ,/,/Z:------------- čím/co/PQ--7---------- přispívají/přispívat/VB-P---3P-AAI-- k/k/RR--3---------- tomu/ten/PDNS3---------- ,/,/Z:------------- že/že/J,------------- občané/občan/NNMP1-----A---- kvůli/kvůli/RR--3---------- jejich/jejich/PSFP3-P3------- vzájemným/vzájemný/AAFP3----1A---- hádkám/hádka/NNFP3-----A---- začínají/začínat/VB-P---3P-AAI--";"chovat/chovat/Vf--------A-I-- odpor/odpor/NNIS4-----A----";"k/k/RR--3---------- celému/celý/AAIS3----1A---- systému/systém/NNIS3-----A---- ././Z:-------------"
"9";"Tyto/tento/PDIP1---------- kmeny/kmen/NNIP1-----A----";"chovají/chovat/VB-P---3P-AAI-- k/k/RR--3---------- sobě/se/P6--3---------- navzájem/navzájem/Db------------- skrytou/skrytý/AAFS4----1A---- ošklivost/ošklivost/NNFS4-----A---- a/a/J^------------- odpor/odpor/NNIS4-----A----";",/,/Z:------------- který/který/P4IS1---------- překračuje/překračovat/VB-S---3P-AAI-- dokonce/dokonce/TT------------- i/i/J^------------- hranice/hranice/NNFP4-----A---- úzkého/úzký/AANS2----1A---- pokrevního/pokrevní/AANS2----1A---- příbuzenství/příbuzenství/NNNS2-----A---- -/-/Z:------------- avšak/avšak/J^------------- dokážou/dokázat/VB-P---3P-AAP-- jej/on/PPIS4--3------2 udržet/udržet/Vf--------A-P-- v/v/RR--6---------- tajnosti/tajnost/NNFS6-----A---- před/před/RR--7---------- vnějším/vnější/AAIS7----1A---- světem/svět/NNIS7-----A---- ,/,/Z:------------- jako/jako/J,------------- lidé/člověk/NNMP1-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- střeží/střežit/VB-P---3P-AAI-- nebezpečné/bezpečný/AANS4----1N---- tajemství/tajemství/NNNS4-----A---- ././Z:-------------"
"10";"Pro/pro/RR--4---------- tuto/tento/PDFS4---------- část/část/NNFS4-----A---- elektorátu/elektorát/NNIS2-----A---- je/být/VB-S---3P-AAI-- často/často/Dg-------1A---- nejdůležitější/důležitý/AANS1----3A---- zastavit/zastavit/Vf--------A-P-- politika/politik/NNMS4-----A---- ,/,/Z:------------- k/k/RR--3---------- němuž/jenž/P9MS3----------";"chovají/chovat/VB-P---3P-AAI-- odpor/odpor/NNIS4-----A----";"././Z:-------------"
"11";"Podle/podle/RR--2---------- ní/on/P5FS2--3------- Rybák/Rybák/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- naposledy/naposledy/Db------------- žil/žít/VpMS----R-AAI-- v/v/RR--6---------- pronajatém/pronajatý/AAIS6----1A---- bytě/byt/NNIS6-----A---- v/v/RR--6---------- rodinném/rodinný/AAIS6----1A---- domku/domek/NNIS6-----A---- v/v/RR--6---------- Říčanech/Říčany/NNIP6-----A---- s/s/RR--7---------- družkou/družka/NNFS7-----A---- ,/,/Z:------------- jejími/její/PSFP7FS3------- dvěma/dva/ClFP7---------- dcerkami/dcerka/NNFP7-----A---- a/a/J^------------- vlastním/vlastní/AAMS7----1A---- nezletilým/zletilý/AAMS7----1N---- synem/syn/NNMS7-----A---- ,/,/Z:------------- se/se/P7--4---------- začal/začít/VpMS----R-AAP-- na/na/RR--6---------- sklonku/sklonek/NNIS6-----A---- roku/rok/NNIS2-----A---1 2000/2000/C=-------------";"chovat/chovat/Vf--------A-I-- k/k/RR--3---------- tehdy/tehdy/Db------------- třináctileté/třináctiletý/AAFS3----1A---- Elišce/Eliška/NNFS3-----A---- důvěrně/důvěrně/Dg-------1A---- a/a/J^------------- snažil/snažit/VpMS----R-AAI-- se/se/P7--4---------- ji/on/PPFS4--3------- přes/přes/RR--4---------- její/její/PSIS4FS3------- odpor/odpor/NNIS4-----A----";"osahávat/osahávat/Vf--------A-I-- ././Z:-------------"
"12";"Noah/Noah/NNMS1-----A----";"choval/chovat/VpMS----R-AAI-- k/k/RR--3---------- Lendlovi/Lendl/NNMS3-----A---- odpor/odpor/NNIS4-----A----";"././Z:-------------"
"13";"Jižanští/jižanský/AAMP1----1A---- rebelové/rebel/NNMP1-----A---- ,/,/Z:------------- převážně/převážně/Dg-------1A---- křesťané/křesťan/NNMP1-----A---- ,/,/Z:------------- po/po/RR--4---------- staletí/století/NNNP4-----A---1";"chovají/chovat/VB-P---3P-AAI-- vůči/vůči/RR--3---------- muslimskému/muslimský/AAIS3----1A---- severu/sever/NNIS3-----A---- odpor/odpor/NNIS4-----A----";"a/a/J^------------- nemají/mít/VB-P---3P-NAI-- zvláštní/zvláštní/AAIS4----1A---- zájem/zájem/NNIS4-----A---- na/na/RR--6---------- projektu/projekt/NNIS6-----A---- ,/,/Z:------------- který/který/P4IS1---------- by/být/Vc----------I-- měl/mít/VpIS----R-AAI-- být/být/Vf--------A-I-- ku/k/RV--3---------- prospěchu/prospěch/NNIS3-----A---- právě/právě/Db------------- Egyptu/Egypt/NNIS3-----A---- ././Z:-------------"
