id;left;kwic;right;VNP?;doc.txtype_group
1;Prostě/prostě/TT------------- se/se/P7--4---------- na/na/RR--4---------- ně/oni/P5FP4--3------- ale/ale/J^------------- musejí/muset/VB-P---3P-AAI-- brát/brát/Vf--------A-I--;ohledy/ohled/NNIP4-----A---- -/-/Z:------------- vždyť/vždyť/J^------------- děti/dítě/NNFP1-----A---- jsou/být/VB-P---3P-AAI-- přeci/přece/TT------------- ještě/ještě/Db------------- jenom/jen/Db------------- děti/dítě/NNFP1-----A---- a/a/J^------------- musíme/muset/VB-P---1P-AAI-- se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5FP3--3------- taky/také/Db------------- tak/tak/Db------------- chovat/chovat/Vf--------A-I--;././Z:-------------;0;NMG: publicistika
2;Jakmile/jakmile/J,------------- začnu/začít/VB-S---1P-AAP-- ,/,/Z:------------- že/že/J,------------- tímhle/tenhle/PDNS7---------- nebo/nebo/J^------------- oním/onen/PDNS7---------- Čechy/Čech/NNMP4-----A---- naštvu/naštvat/VB-S---1P-AAP-- ,/,/Z:------------- že/že/J,------------- bych/být/Vc-S---1----I-- měl/mít/VpMS----R-AAI-- něco/něco/PZ--4---------- zmírnit/zmírnit/Vf--------A-P-- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- to/ten/PDNS1---------- nepůsobilo/působit/VpNS----R-NAI-- tak/tak/Db------------- tvrdě/tvrdě/Dg-------1A---- ,/,/Z:------------- pak/pak/Db------------- tu/tu/Db------------- máme/mít/VB-P---1P-AAI-- taky/také/Db------------- třeba/třeba/TT------------- Dány/Dán/NNMP4-----A---- ,/,/Z:------------- kterých/který/P4MP2---------- bych/být/Vc-S---1----I-- se/se/P7--4---------- mohl/moci/VpMS----R-AAI-- dotknout/dotknout/Vf--------A-P-- ,/,/Z:------------- a/a/J^------------- jakmile/jakmile/J,------------- začnu/začít/VB-S---1P-AAP-- mít/mít/Vf--------A-I-- při/při/RR--6---------- psaní/psaní/NNNS6-----A---- historie/historie/NNFS2-----A---- takové/takový/PDIP4----------;ohledy/ohled/NNIP4-----A---- ,/,/Z:------------- pak/pak/Db------------- se/se/P7--4---------- nebudu/být/VB-S---1F-NAI-- chovat/chovat/Vf--------A-I--;jako/jako/J,------------- správný/správný/AAMS1----1A---- historik/historik/NNMS1-----A---- ././Z:-------------;0;NMG: publicistika
3;Když/když/J,------------- vám/vy/PP-P3--2------- pokojík/pokojík/NNIS4-----A---- neuvolní/uvolnit/VB-S---3P-NAP-- dobrovolně/dobrovolně/Dg-------1A---- a/a/J^------------- zadarmo/zadarmo/Db------------- ,/,/Z:------------- neberte/brát/Vi-P---2--N-I-- na/na/RR--4---------- něho/on/P5MS4--3------1;ohled/ohled/NNIS4-----A---- a/a/J^------------- chovejte/chovat/Vi-P---2--A-I--;se/se/P7--4---------- s/s/RR--7---------- přítelem/přítel/NNMS7-----A---- tak/tak/Db------------- ,/,/Z:------------- jako/jako/J,------------- by/být/Vc----------I-- tam/tam/Db------------- bratr/bratr/NNMS1-----A---- nebyl/být/VpMS----R-NAI-- ././Z:-------------;0;NMG: publicistika
4;1/1/C=------------- ././Z0-------------;Ohled/ohled/NNIS4-----A---- na/na/RR--4---------- ostatní/ostatní/AAMP4----1A---- lyžaře/lyžař/NNMP4-----A---- Každý/každý/PLMS1---------- lyžař/lyžař/NNMS1-----A---- nebo/nebo/J^------------- snowboardista/snowboardista/NNMS1-----A---- se/se/P7--4---------- musí/muset/VB-S---3P-AAI-- neustále/neustále/Dg-------1A---- chovat/chovat/Vf--------A-I--;tak/tak/Db------------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- neohrožoval/ohrožovat/VpMS----R-NAI-- nebo/nebo/J^------------- nepoškozoval/poškozovat/VpMS----R-NAI-- ostatní/ostatní/AAMP4----1A---- ././Z0------------- 2/2/C=------------- ././Z:-------------;0;NMG: publicistika
5;"„/""/Z:------------- Mnozí/mnohý/AAMP1----1A---- studenti/student/NNMP1-----A---- odpovídali/odpovídat/VpMP----R-AAI-- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- byli/být/VpMP----R-AAI-- ochotni/ochoten/ACMP------A---- se/se/P7--4---------- vzdát/vzdát/Vf--------A-P-- části/část/NNFS2-----A---- svého/svůj/P8IS2---------- zisku/zisk/NNIS2-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- jejich/jejich/PSFS1-P3------- budoucí/budoucí/AAFS1----1A---- firma/firma/NNFS1-----A---- podnikala/podnikat/VpFS----R-AAI-- udržitelně/udržitelně/Dg-------1A---- ,/,/Z:------------- šetřila/šetřit/VpFS----R-AAI-- vodou/voda/NNFS7-----A---- ,/,/Z:------------- plasty/plast/NNIP7-----A---- ,/,/Z:------------- neprodukovala/produkovat/VpFS----R-NAI-- nadbytečné/nadbytečný/AAIP4----1A---- obaly/obal/NNIP4-----A---- ,/,/Z:------------- brala/brát/VpFS----R-AAI--";ohled/ohled/NNIS4-----A---- na/na/RR--4---------- zdraví/zdraví/NNNS4-----A---- a/a/J^------------- názory/názor/NNIP4-----A---- zaměstnanců/zaměstnanec/NNMP2-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- chovala/chovat/VpFS----R-AAI--;férově/férově/Dg-------1A---- k/k/RR--3---------- dodavatelům/dodavatel/NNMP3-----A---- ././Z:-------------;0;NFC: oborová literatura
6;Ovšem/ovšem/TT------------- Král/král/NNMS1-----A---- si/se/P7--3---------- nemůže/moci/VB-S---3P-NAI-- činit/činit/Vf--------A-I-- nárok/nárok/NNIS4-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- měl/mít/VpMS----R-AAI-- právo/právo/NNNS4-----A---- brát/brát/Vf--------A-I--;ohled/ohled/NNIS4-----A---- na/na/RR--4---------- osobní/osobní/AAIS4----1A---- odpor/odpor/NNIS4-----A---- ,/,/Z:------------- ještě/ještě/Db------------- jednou/jednou/Cv------------- vás/vy/PP-P4--2------- žádám/žádat/VB-S---1P-AAI-- ,/,/Z:------------- abyste/aby|být/J,-------------|Vc-P---2----I-- mi/já/PH-S3--1------- prominul/prominout/VpMS----R-AAP-- tento/tento/PDIS4---------- výraz/výraz/NNIS4-----A---- ,/,/Z:------------- který/který/P4IS4---------- může/moci/VB-S---3P-AAI-- chovat/chovat/Vf--------A-I--;kníže/kníže/NNMS1-----A---- z/z/RR--2---------- Provence/Provence/NNFS2-----A---- vůči/vůči/RR--3---------- vrahovi/vrah/NNMS3-----A---- svého/svůj/P8MS2---------- bratra/bratr/NNMS2-----A---- ././Z:-------------;0;FIC: beletrie
7;Vtrhnou/vtrhnout/VB-P---3P-AAP-- do/do/RR--2---------- cizího/cizí/AAIS2----1A---- bytu/byt/NNIS2-----A---- jako/jako/J,------------- velká/velký/AAFS1----1A---- voda/voda/NNFS1-----A---- ,/,/Z:------------- nezáleží/záležet/VB-S---3P-NAI-- jim/oni/PPMP3--3------- na/na/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- jsou/být/VB-P---3P-AAI-- -/-/Z0------------- li/li/J,------------- vítáni/vítat/VsMP------API-- nebo/nebo/J^------------- ne/ne/TT------------- ,/,/Z:------------- vyžadují/vyžadovat/VB-P---3P-AAI-- všechny/všechen/PLIP4---------- možné/možný/AAIP4----1A----;ohledy/ohled/NNIP4-----A---- ,/,/Z:------------- ale/ale/J^------------- sami/sám/PLMP1---------- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--;velmi/velmi/Db------------- neotesaně/neotesaně/Dg-------1A---- ././Z:-------------;0;FIC: beletrie
8;Jinak/jinak/Db------------- ,/,/Z:------------- co/co/Db------------- se/se/P7--4---------- týče/týkat/VB-S---3P-AAI-1 přísunu/přísun/NNIS2-----A---- stravy/strava/NNFS2-----A---- ,/,/Z:------------- je/být/VB-S---3P-AAI-- nutno/nutno/Db------------- ,/,/Z:------------- zejména/zejména/TT------------- v/v/RR--6---------- zimním/zimní/AANS6----1A---- období/období/NNNS6-----A---- ,/,/Z:------------- brát/brát/Vf--------A-I--;ohled/ohled/NNIS4-----A---- na/na/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- kde/kde/Db------------- je/být/VB-S---3P-AAI-- pes/pes/NNMS1-----A---- chován/chovat/VsMS------API--;,/,/Z:------------- zda/zda/J,------------- venku/venku/Db------------- ,/,/Z:------------- nebo/nebo/J^------------- ve/v/RV--6---------- vytopeném/vytopený/AAIS6----1A---- bytě/byt/NNIS6-----A---- ,/,/Z:------------- a/a/J^------------- kolik/kolik/Ca--4---------- fyzické/fyzický/AAFS2----1A---- námahy/námaha/NNFS2-----A---- vynakládá/vynakládat/VB-S---3P-AAI-- ././Z:-------------;0;NMG: publicistika
9;Vyplácí/vyplácet/VB-S---3P-AAI-- se/se/P7--4---------- brát/brát/Vf--------A-I--;ohled/ohled/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- druhý/druhý/CrMS1---------- si/se/P7--3---------- též/též/Db------------- složitě/složitě/Dg-------1A---- a/a/J^------------- bolestně/bolestně/Dg-------1A---- hledá/hledat/VB-S---3P-AAI-- svou/svůj/P8FS4---------1 cestu/cesta/NNFS4-----A---- světem/svět/NNIS7-----A---- ,/,/Z:------------- a/a/J^------------- chovat/chovat/Vf--------A-I--;se/se/P7--4---------- k/k/RR--3---------- němu/on/P5MS3--3------- vždy/vždy/Db------------- s/s/RR--7---------- úctou/úcta/NNFS7-----A---- ././Z:-------------;0;NFC: oborová literatura
10;Protože/protože/J,------------- většina/většina/NNFS1-----A---- německých/německý/AAMP2----1A---- zaměstnanců/zaměstnanec/NNMP2-----A---- vnímá/vnímat/VB-S---3P-AAI-- podnikové/podnikový/AAIP4----1A---- výlety/výlet/NNIP4-----A---- a/a/J^------------- výroční/výroční/AAFP4----1A---- oslavy/oslava/NNFP4-----A---- beztak/beztak/TT------------- jako/jako/J,------------- náhradu/náhrada/NNFS4-----A---- za/za/RR--4---------- karneval/karneval/NNIS4-----A---- a/a/J^------------- masopust/masopust/NNIS4-----A---- a/a/J^------------- při/při/RR--6---------- podobných/podobný/AAFP6----1A---- příležitostech/příležitost/NNFP6-----A---- neznají/znát/VB-P---3P-NAI-- ani/ani/J^-------------;ohledy/ohled/NNIP4-----A---- ,/,/Z:------------- ani/ani/J^------------- šéfy/šéf/NNMP4-----A---- ,/,/Z:------------- chovají/chovat/VB-P---3P-AAI--;se/se/P7--4---------- také/také/Db------------- vždy/vždy/Db------------- jinak/jinak/Db------------- než/než/J,------------- na/na/RR--6---------- pracovišti/pracoviště/NNNS6-----A---- ././Z:-------------;0;NFC: oborová literatura
