id;left;kwic;right;VNP?;doc.txtype_group
1;;Chovají/chovat/VB-P---3P-AAI-- se/se/P7--4---------- ve/v/RV--6---------- stylu/styl/NNIS6-----A---- ,/,/Z:------------- já/já/PP-S1--1------- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- přijel/přijet/VpMS----R-AAP-- zalyžovat/zalyžovat/Vf--------A-P-- ,/,/Z:------------- tak/tak/J^------------- se/se/P7--4---------- budu/být/VB-S---1F-AAI-- chovat/chovat/Vf--------A-I-- na/na/RR--6---------- svahu/svah/NNIS6-----A---- podle/podle/RR--2---------- sebe/se/P6--2---------- a/a/J^------------- neberu/brát/VB-S---1P-NAI-- na/na/RR--4---------- nikoho/nikdo/PWM-4---------- ohled/ohled/NNIS4-----A----;././Z:-------------;0;NMG: publicistika
2;V/v/RR--6---------- šedesáti/šedesát/Cn-P6---------- pěti/pět/Cn-P6---------- procentech/procento/NNNP6-----A---- umírali/umírat/VpMP----R-AAI-- totiž/totiž/TT------------- na/na/RR--4---------- rakovinu/rakovina/NNFS4-----A---- ti/ten/PDMP1---------- lidé/člověk/NNMP1-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- se/se/P7--4---------- osobnostně/osobnostně/Dg-------1A---- projevovali/projevovat/VpMP----R-AAI-- jako/jako/J,------------- rakovinová/rakovinový/AAFS1----1A---- buňka/buňka/NNFS1-----A---- -/-/Z:------------- začali/začít/VpMP----R-AAP-- se/se/P7--4----------;chovat/chovat/Vf--------A-I-- v/v/RR--6---------- rozporu/rozpor/NNIS6-----A---- se/s/RV--7---------- zájmem/zájem/NNIS7-----A---- celku/celek/NNIS2-----A---- ,/,/Z:------------- aniž/aniž/J,------------- by/být/Vc----------I-- brali/brát/VpMP----R-AAI-- ohled/ohled/NNIS4-----A----;na/na/RR--6---------- druhé/druhý/CrFS6---------- ,/,/Z:------------- aniž/aniž/J,------------- by/být/Vc----------I-- se/se/P7--4---------- dokázali/dokázat/VpMP----R-AAP-- vcítit/vcítit/Vf--------A-P-- do/do/RR--2---------- problémů/problém/NNIP2-----A---- ostatních/ostatní/AAMP2----1A---- a/a/J^------------- byli/být/VpMP----R-AAI-- jim/oni/PPMP3--3------- ochotni/ochotný/ACMP------A---- pomoci/pomoci/Vf--------A-P-- ././Z:-------------;0;NMG: publicistika
3;"""/""/Z:------------- Bojkotujte/bojkotovat/Vi-P---2--A-I-- firmu/firma/NNFS4-----A---- ,/,/Z:------------- která/který/P4FS1---------- se/se/P7--4---------- k/k/RR--3---------- nám/my/PP-P3--1-------";chová/chovat/VB-S---3P-AAI-- nepřátelsky/přátelsky/Dg-------1N---- ,/,/Z:------------- která/který/P4FS1---------- dává/dávat/VB-S---3P-AAI-- najevo/najevo/Db------------- ,/,/Z:------------- že/že/J,------------- námi/my/PP-P7--1------- ,/,/Z:------------- občany/občan/NNMP7-----A---- města/město/NNNS2-----A---- ,/,/Z:------------- pohrdá/pohrdat/VB-S---3P-AAI-- a/a/J^------------- nebere/brát/VB-S---3P-NAI-- na/na/RR--4---------- nás/my/PP-P4--1------- ohledy/ohled/NNIP4-----A----;",/,/Z:------------- ""/""/Z:------------- píše/psát/VB-S---3P-AAI-- se/se/P7--4---------- v/v/RR--6---------- příspěvku/příspěvek/NNIS6-----A---- podepsaném/podepsaný/AAIS6----1A---- místopředsedou/místopředseda/NNMS7-----A---- sdružení/sdružení/NNNS2-----A---- Jiřím/Jiří/NNMS7-----A---- Vítem/Vít/NNMS7-----A---- ././Z:-------------";0;NMG: publicistika
4;My/my/PP-P1--1------- ,/,/Z:------------- Evropani/Evropan/NNMP1-----A---1 ,/,/Z:------------- jsme/být/VB-P---1P-AAI-- se/se/P7--4---------- mnoho/mnoho/Ca--4---------- let/rok/NNNP2-----A----;nechovali/chovat/VpMP----R-NAI-- dobře/dobře/Dg-------1A---- ,/,/Z:------------- drancovali/drancovat/VpMP----R-AAI-- jsme/být/VB-P---1P-AAI-- Afriku/Afrika/NNFS4-----A---- ,/,/Z:------------- nebrali/brát/VpMP----R-NAI-- jsme/být/VB-P---1P-AAI-- ohledy/ohled/NNIP4-----A----;na/na/RR--4---------- chudé/chudý/AAIP4----1A---- státy/stát/NNIP4-----A---- ,/,/Z:------------- a/a/J^------------- tak/tak/J^------------- se/se/P7--4---------- vrací/vracet/VB-S---3P-AAI-- to/ten/PDNS1---------- ,/,/Z:------------- co/co/PQ--4---------- jsme/být/VB-P---1P-AAI-- zaseli/zasít/VpMP----R-AAP-1 ././Z:-------------;0;NMG: publicistika
5;Mimochodem/mimochodem/Db------------- ,/,/Z:------------- Jacinta/Jacinto/NNNP1-----A---- Rosenová/Rosenová/NNFS1-----A---- a/a/J^------------- šváb/šváb/NNMS1-----A---- v/v/RR--6---------- její/její/PSFS6FS3------- puse/pusa/NNFS6-----A---- se/se/P7--4---------- narodili/narodit/VpMP----R-AAP-- v/v/RR--6---------- řadových/řadový/AAIP6----1A---- domcích/domek/NNIP6-----A---- se/s/RV--7---------- špinavými/špinavý/AANP7----1A---- schodišti/schodiště/NNNP7-----A---- v/v/RR--6---------- Bondy/Bondy/NNMS6-----A---- ,/,/Z:------------- a/a/J^------------- tak/tak/J^------------- pro/pro/RR--4---------- ni/on/P5FS4--3------- dokážu/dokázat/VB-S---1P-AAP--;chovat/chovat/Vf--------A-I-- jisté/jistý/AAIP4----1A---- ohledy/ohled/NNIP4-----A----;,/,/Z:------------- které/který/P4IP4---------- nestrpím/strpět/VB-S---1P-NAP-- u/u/RR--2---------- paní/paní/NNFS2-----A---- -/-/Z0------------- mohla/moci/VpFS----R-AAI-- -/-/Z0------------- byste/být/Vc-P---2----I-- -/-/Z0------------- čárka/čárka/NNFS1-----A---- -/-/Z0------------- uložit/uložit/Vf--------A-P-- ././Z:-------------;1;FIC: beletrie
6;Bylo/být/VpNS----R-AAI-- zřejmé/zřejmý/AANS1----1A---- ,/,/Z:------------- že/že/J,------------- ke/k/RV--3---------- mně/já/PP-S3--1-------;chová/chovat/VB-S---3P-AAI-- jisté/jistý/AAIP4----1A---- ohledy/ohled/NNIP4-----A----;././Z:-------------;1;FIC: beletrie
7;K/k/RR--3---------- obyčejným/obyčejný/AAFP3----1A---- dětem/dítě/NNFP3-----A----;choval/chovat/VpMS----R-AAI-- největší/velký/AAIP4----3A---- ohledy/ohled/NNIP4-----A----;,/,/Z:------------- byly/být/VpIP----R-AAI-- přece/přece/TT------------- tak/tak/Db------------- čisté/čistý/AAIP1----1A---- a/a/J^------------- zranitelné/zranitelný/AAIP1----1A---- ,/,/Z:------------- a/a/J^------------- za/za/RR--4---------- nic/nic/PW--4---------- na/na/RR--6---------- světě/svět/NNIS6-----A---- by/být/Vc----------I-- se/se/P7--4---------- neodvážil/odvážit/VpMS----R-NAP-- ohrozit/ohrozit/Vf--------A-P-- nevinnost/nevinnost/NNFS4-----A---- dítěte/dítě/NNNS2-----A---- ,/,/Z:------------- jakmile/jakmile/J,------------- měl/mít/VpMS----R-AAI-- pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- se/se/P7--4---------- mohl/moci/VpMS----R-AAI-- dostat/dostat/Vf--------A-P-- do/do/RR--2---------- maléru/malér/NNIS2-----A---- ././Z:-------------;1;FIC: beletrie
8;;Chovají/chovat/VB-P---3P-AAI-- se/se/P7--4---------- krutě/krutě/Dg-------1A---- ,/,/Z:------------- neberou/brát/VB-P---3P-NAI-- ohledy/ohled/NNIP4-----A----;na/na/RR--4---------- jejich/jejich/PSIP4-P3------- city/cit/NNIP4-----A---- a/a/J^------------- vůbec/vůbec/TT------------- jim/oni/PPMP3--3------- nerozumějí/rozumět/VB-P---3P-NAI-- ././Z:-------------;0;NMG: publicistika
9;"I/i/J^------------- Panic/panic/NNMS1-----A---- je/oni/PPMP4--3------- nanic/nanic/Db------------- zdůrazňuje/zdůrazňovat/VB-S---3P-AAI-- tyto/tento/PDFP4---------- dvě/dva/ClFP4---------- polohy/poloha/NNFP4-----A---- ,/,/Z:------------- i/i/J^------------- když/když/J,------------- na/na/RR--6---------- začátku/začátek/NNIS6-----A---- snímku/snímek/NNIS2-----A---- se/se/P7--4---------- v/v/RR--6---------- rámci/rámec/NNIS6-----A---- své/svůj/P8FS2---------1 mladické/mladický/AAFS2----1A---- „/""/Z:------------- bujnosti/bujnost/NNFS2-----A---- “/""/Z:------------- mladí/mladý/AAMP1----1A---- hrdinové/hrdina/NNMP1-----A----";"chovají/chovat/VB-P---3P-AAI-- tak/tak/Db------------- ,/,/Z:------------- že/že/J,------------- to/ten/PDNS1---------- trochu/trochu/Db------------- připomíná/připomínat/VB-S---3P-AAI-- často/často/Dg-------1A---- ve/v/RV--6---------- filmech/film/NNIP6-----A---- zobrazovaný/zobrazovaný/AAIS4----1A---- všeobecný/všeobecný/AAIS4----1A---- sobecký/sobecký/AAIS4----1A---- individualismus/individualismus/NNIS4-----A---- a/a/J^------------- cynismus/cynismus/NNIS4-----A---- dnešní/dnešní/AAFS2----1A---- společnosti/společnost/NNFS2-----A---- (/(/Z:------------- mladí/mladý/AAMP1----1A---- hrdinové/hrdina/NNMP1-----A---- své/svůj/P8MP4---------1 rodiče/rodič/NNMP4-----A---- i/i/J^------------- dospělé/dospělý/NNMP4-----A---- obecně/obecně/Dg-------1A---- bezohledně/bezohledně/Dg-------1A---- podvádějí/podvádět/VB-P---3P-AAI-- :/:/Z:------------- dospělí/dospělý/NNMP1-----A---- jsou/být/VB-P---3P-AAI-- „/""/Z:------------- ti/ten/PDMP1---------- druzí/druhý/CrMP1---------- “/""/Z:------------- ,/,/Z:------------- jimž/jenž/PJMP3---------- film/film/NNIS1-----A---- odpírá/odpírat/VB-S---3P-AAI-- legitimitu/legitimita/NNFS4-----A---- ,/,/Z:------------- na/na/RR--4---------- ně/oni/P5MP4--3------- není/být/VB-S---3P-NAI-- třeba/třeba/Db------------- brát/brát/Vf--------A-I-- ohled/ohled/NNIS4-----A----";)/)/Z:------------- ././Z:-------------;0;NFC: oborová literatura
10;Nemůžeme/moci/VB-P---1P-NAI-- se/se/P7--4----------;chovat/chovat/Vf--------A-I-- jako/jako/J,------------- země/země/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- nemá/mít/VB-S---3P-NAI-- zapotřebí/zapotřebí/Db------------- brát/brát/Vf--------A-I-- ohled/ohled/NNIS4-----A----;na/na/RR--4---------- své/svůj/P8NS4---------1 okolí/okolí/NNNS4-----A---- ././Z:-------------;0;NMG: publicistika
