id;left;kwic;right
"1";"Zvlášť/zvlášť/TT------------- když/když/J,------------- scenárista/scenárista/NNMS1-----A---- ví/vědět/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- chce/chtít/VB-S---3P-AAI-- -/-/Z0------------- li/li/J,------------- být/být/Vf--------A-I-- motivicky/motivicky/Dg-------1A---- a/a/J^------------- jour/jour/X@------------- ,/,/Z:------------- musí/muset/VB-S---3P-AAI-- do/do/RR--2---------- rozbolavěného/rozbolavěný/AAIS2----1A---- vztahu/vztah/NNIS2-----A---- obou/oba/ClMP2---------- geniálních/geniální/AAMP2----1A---- hudebníků/hudebník/NNMP2-----A---- dostat/dostat/Vf--------A-P-- pro/pro/RR--4---------- Johna/John/NNMS4-----A---- skličující/skličující/AGFS4-----A---- skutečnost/skutečnost/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- Yesterday/Yesterday/F%------------- napsal/napsat/VpMS----R-AAP-- Paul/Paul/NNMS1-----A---- ,/,/Z:------------- že/že/J,------------- nejhezčí/hezký/AAMS1----3A---- beatle/beatle/X@-------------";"choval/chovat/VpMS----R-AAI-- bezmezné/bezmezný/AANS4----1A---- opovržení/opovržení/NNNS4-----A----";"k/k/RR--3---------- Yoko/Yoko/NNFS3-----A---- Ono/onen/PDNS4---------- ,/,/Z:------------- a/a/J^------------- taky/také/Db------------- to/ten/PDNS4---------- ,/,/Z:------------- kdo/kdo/PKM-1---------- je/být/VB-S---3P-AAI-- teta/teta/NNFS1-----A---- Mimi/Mimi/NNFS1-----A---- a/a/J^------------- proč/proč/Db------------- se/se/P7--4---------- do/do/RR--2---------- dialogu/dialog/NNIS2-----A---- opakovaně/opakovaně/Dg-------1A---- vrací/vracet/VB-S---3P-AAI-- slovo/slovo/NNNS1-----A---- Mrož/mrož/NNMS1-----A---- ././Z:-------------"
"2";"Žádá/žádat/VB-S---3P-AAI-- -/-/Z0------------- li/li/J,------------- se/se/P7--4---------- v/v/RR--6---------- médiích/médium/NNNP6-----A---- právem/právem/Db------------- od/od/RR--2---------- politiků/politik/NNMP2-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4----------";"chovali/chovat/VpMP----R-AAI-- odpovědně/odpovědně/Dg-------1A---- a/a/J^------------- slušně/slušně/Dg-------1A---- v/v/RR--6---------- duchu/duch/NNIS6-----A---- demokratické/demokratický/AAFS2----1A---- parlamentní/parlamentní/AAFS2----1A---- kultury/kultura/NNFS2-----A---- ,/,/Z:------------- čemuž/co/PE--3---------- neodpovídá/odpovídat/VB-S---3P-NAI-- např/např/BT------------- ././Z0------------- paušální/paušální/AAIS1----1A---- despekt/despekt/NNIS1-----A---- Miloše/Miloš/NNMS2-----A---- Zemana/Zeman/NNMS2-----A---- k/k/RR--3---------- novinářům/novinář/NNMP3-----A---- ,/,/Z:------------- pak/pak/Db------------- lze/lze/Db------------- ale/ale/J^------------- stejným/stejný/AANS7----1A---- právem/právo/NNNS7-----A---- požadovat/požadovat/Vf--------A-I-- od/od/RR--2---------- novinářů/novinář/NNMP2-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- ani/ani/J^------------- oni/oni/PPMP1--3------- nešířili/šířit/VpMP----R-NAI-- obecné/obecný/AANS4----1A---- opovržení/opovržení/NNNS4-----A----";"politikou/politika/NNFS7-----A---- a/a/J^------------- politiky/politik/NNMP7-----A---- -/-/Z:------------- bez/bez/RR--2---------- důkazů/důkaz/NNIP2-----A---- a/a/J^------------- rozlišování/rozlišování/NNNS2-----A---- ././Z:-------------"
"3";"Filip/Filip/NNMS1-----A---- Příhoda/Příhoda/NNMS1-----A----";"chová/chovat/VB-S---3P-AAI-- opovržení/opovržení/NNNS4-----A----";"k/k/RR--3---------- terapeutické/terapeutický/AAFS3----1A---- části/část/NNFS3-----A---- psychoanalýzy/psychoanalýza/NNFS2-----A---- ././Z:-------------"
"4";"";"Chovají/chovat/VB-P---3P-AAI-- totiž/totiž/TT------------- opovržení/opovržení/NNNS4-----A----";"vůči/vůči/RR--3---------- sociálním/sociální/AANP3----1A---- médiím/médium/NNNP3-----A---- a/a/J^------------- internetu/internet/NNIS3-----A---- jako/jako/J,------------- takovému/takový/PDIS3---------- ././Z:-------------"
"5";"Vděčnost/vděčnost/NNFS1-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- k/k/RR--3---------- němu/on/P5MS3--3------- Carl/Carlo/NNMS1-----A---- zprvu/zprvu/Db-------------";"choval/chovat/VpMS----R-AAI-- ,/,/Z:------------- se/se/P7--4---------- brzy/brzy/Dg-------1A---- změnila/změnit/VpFS----R-AAP-- v/v/RR--4---------- opovržení/opovržení/NNNS4-----A----";"a/a/J^------------- posměch/posměch/NNIS4-----A---- ,/,/Z:------------- když/když/J,------------- zjistil/zjistit/VpMS----R-AAP-- ,/,/Z:------------- jak/jak/Db------------- hloupý/hloupý/AAMS1----1A---- a/a/J^------------- necitlivý/citlivý/AAMS1----1N---- to/ten/PDNS1---------- je/být/VB-S---3P-AAI-- člověk/člověk/NNMS1-----A---- ././Z:-------------"
"6";"v/v/RR--6---------- rodě/rod/NNIS6-----A---- hrabat/hrabě/NNNP2-----A---- Desfours/Desfours/NNMS1-----A---- ,/,/Z:------------- neboť/neboť/J^------------- od/od/RR--2---------- toho/ten/PDIS2---------- dne/den/NNIS2-----A---- v/v/RR--6---------- roce/rok/NNIS6-----A---1 1634/1634/C=------------- ,/,/Z:------------- kdy/kdy/Db------------- se/se/P7--4---------- hrabě/hrabě/NNMS1-----A---- Maxmilián/Maxmilián/NNMS1-----A---- z/z/RR--2---------- Valdštejna/Valdštejn/NNIS2-----A---- po/po/RR--6---------- úkladné/úkladný/AAFS6----1A---- smrti/smrt/NNFS6-----A---- svého/svůj/P8MS2---------- strýce/strýc/NNMS2-----A---- ,/,/Z:------------- vévody/vévoda/NNMS2-----A---- frýdlantského/frýdlantský/AAMS2----1A---- ,/,/Z:------------- s/s/RR--7---------- tak/tak/Db------------- bezpříkladnou/bezpříkladný/AAFS7----1A---- kajícností/kajícnost/NNFS7-----A---- ponížil/ponížit/VpMS----R-AAP-- před/před/RR--7---------- císařem/císař/NNMS7-----A---- ,/,/Z:------------- nemohl/moci/VpMS----R-NAI-- žádný/žádný/PWMS1---------- šlechtic/šlechtic/NNMS1-----A---- ani/ani/J^------------- k/k/RR--3---------- tomuto/tento/PDMS3---------- hraběti/hrabě/NNMS3-----A---- ,/,/Z:------------- ani/ani/J^------------- k/k/RR--3---------- jeho/jeho/PSMP3-S3------- potomkům/potomek/NNMP3-----A---- nic/nic/PW--1---------- jiného/jiný/AANS2----1A----";"chovat/chovat/Vf--------A-I-- než/než/J,------------- nejhlubší/hluboký/AANS1----3A---- opovržení/opovržení/NNNS4-----A----";"././Z:-------------"
"7";"Proč/proč/Db-------------";"chováte/chovat/VB-P---2P-AAI-- takové/takový/PDNS4---------- opovržení/opovržení/NNNS4-----A----";"k/k/RR--3---------- panské/panská/NNFS3-----A---- ?/?/Z:------------- ""/""/Z:-------------"
"8";"Jestliže/jestliže/J,------------- v/v/RR--6---------- dnešní/dnešní/AAFS6----1A---- době/doba/NNFS6-----A----";"chovám/chovat/VB-S---1P-AAI-- ke/k/RV--3---------- komunistům/komunista/NNMP3-----A---- velké/velký/AANS4----1A---- opovržení/opovržení/NNNS4-----A----";"a/a/J^------------- souhlasím/souhlasit/VB-S---1P-AAI-- s/s/RR--7---------- názorem/názor/NNIS7-----A---- ,/,/Z:------------- že/že/J,------------- si/se/P7--3---------- komunistická/komunistický/AAFS1----1A---- strana/strana/NNFS1-----A---- u/u/RR--2---------- nás/my/PP-P2--1------- vysloužila/vysloužit/VpFS----R-AAP-- označení/označení/NNNS4-----A---- ""/""/Z:------------- Zločinecká/zločinecký/AAFS1----1A---- organizace/organizace/NNFS1-----A---- ""/""/Z:------------- ,/,/Z:------------- pak/pak/Db------------- toto/tento/PDNS1---------- opovržení/opovržení/NNNS1-----A---- je/být/VB-S---3P-AAI-- opodstatněné/opodstatněný/AANS1----1A---- ././Z:-------------"
"9";"Odjakživa/odjakživa/Db------------- si/se/P7--3---------- z/z/RR--2---------- Philipa/Philip/NNMS2-----A---- Anthonyho/Anthony/NNMS2-----A---- utahoval/utahovat/VpMS----R-AAI-- a/a/J^------------- bude/být/VB-S---3F-AAI--";"chovat/chovat/Vf--------A-I-- opovržení/opovržení/NNNS4-----A----";"k/k/RR--3---------- muži/muž/NNMS3-----A---- ,/,/Z:------------- který/který/P4MS1---------- si/se/P7--3---------- nedokáže/dokázat/VB-S---3P-NAP-- udržet/udržet/Vf--------A-P-- vlastní/vlastní/AAFS4----1A---- ženu/žena/NNFS4-----A---- ././Z:-------------"
"10";"";"Choval/chovat/VpMS----R-AAI-- nejhlubší/hluboký/AANS4----3A---- opovržení/opovržení/NNNS4-----A----";"ke/k/RV--3---------- všem/všechen/PLMP3---------- těm/ten/PDMP3---------- učitýlkům/učitýlek/NNMP3-----A---- a/a/J^------------- kantůrkům/kantůrek/NNMP3-----A---- ,/,/Z:------------- kterými/který/P4IP7---------- se/se/P7--4---------- Baradášankar/Baradášankar/X@------------- obklopoval/obklopovat/VpMS----R-AAI-- ,/,/Z:------------- a/a/J^------------- říkával/říkávat/VpMS----R-AAI-- Džogmáji/Džogmáji/X@------------- :/:/Z:------------- ""/""/Z:------------- Tvůj/tvůj/PSIS1-S2------- pokoj/pokoj/NNIS1-----A---- je/být/VB-S---3P-AAI-- v/v/RR--6---------- celém/celý/AANS6----1A---- tomto/tento/PDNS6---------- městě/město/NNNS6-----A---- jediným/jediný/AANS7----1A---- místem/místo/NNNS7-----A---- ,/,/Z:------------- kde/kde/Db------------- rád/rád/ACMS------A---- mluvím/mluvit/VB-S---1P-AAI-- ././Z:-------------"
