id;left;kwic;right;VNP?;doc.txtype_group
1;Dál/dál/Db------------- nestačím/stačit/VB-S---1P-NAI-- katastrofický/katastrofický/AAIS4----1A----;plán/plán/NNIS4-----A---- rozvíjet/rozvíjet/Vf--------A-I-- ,/,/Z:------------- z/z/RR--2---------- opačné/opačný/AAFS2----1A---- strany/strana/NNFS2-----A---- od/od/RR--2---------- hřbitova/hřbitov/NNIS2-----A---- vesele/vesele/Dg-------1A---- přibíhá/přibíhat/VB-S---3P-AAI-- naše/náš/PSFS1-P1------- psina/psina/NNFS1-----A---- ,/,/Z:------------- no/no/TT------------- páni/pán/NNMP1-----A---1 ta/ten/PDFS1---------- vypadá/vypadat/VB-S---3P-AAI-- ,/,/Z:------------- ani/ani/J^------------- zdaleka/zdaleka/Db------------- nepřipomíná/připomínat/VB-S---3P-NAI-- to/ten/PDNS1---------- skvostné/skvostný/AANS4----1A---- zvíře/zvíře/NNNS4-----A---- ,/,/Z:------------- vyválela/vyválet/VpFS----R-AAP-- se/se/P7--4---------- v/v/RR--6---------- bahně/bahno/NNNS6-----A---- ,/,/Z:------------- patrně/patrně/TT------------- i/i/J^------------- v/v/RR--6---------- hnoji/hnůj/NNIS6-----A---- u/u/RR--2---------- sedláka/sedlák/NNMS2-----A---- ,/,/Z:------------- který/který/P4MS1---------- tam/tam/Db------------- chová/chovat/VB-S---3P-AAI--;dobytek/dobytek/NNIS4-----A---- volně/volně/Dg-------1A---- ve/v/RV--6---------- výběhu/výběh/NNIS6-----A---- ././Z:-------------;0;NMG: publicistika
2;Tato/tento/PDFS1---------- dokumentace/dokumentace/NNFS1-----A---- zahrnuje/zahrnovat/VB-S---3P-AAI-- především/především/TT------------- podrobné/podrobný/AAIP4----1A---- technické/technický/AAIP4----1A---- údaje/údaj/NNIP4-----A---- o/o/RR--6---------- hale/hala/NNFS6-----A---- a/a/J^------------- jejím/její/PSNS6FS3------- vybavení/vybavení/NNNS6-----A---- jako/jako/J,------------- například/například/TT------------- :/:/Z:------------- a/a/BN------------- )/)/Z:-------------;plán/plán/NNIS4-----A---- haly/hala/NNFS2-----A---- včetně/včetně/RR--2---------- rozměrů/rozměr/NNIP2-----A---- ploch/plocha/NNFP2-----A---- ,/,/Z:------------- na/na/RR--6---------- kterých/který/P4FP6---------- jsou/být/VB-P---3P-AAI-- chována/chovat/VsNP------API--;kuřata/kuře/NNNP1-----A---- ,/,/Z:-------------;0;NFC: oborová literatura
3;Pokud/pokud/J,------------- předseda/předseda/NNMS1-----A---- Komise/komise/NNFS2-----A---- dá/dát/VB-S---3P-AAP-- v/v/RR--6---------- krátké/krátký/AAFS6----1A---- době/doba/NNFS6-----A---- na/na/RR--4---------- stůl/stůl/NNIS4-----A---- konkrétní/konkrétní/AAIS4----1A----;plán/plán/NNIS4-----A---- ,/,/Z:------------- jak/jak/Db------------- to/ten/PDNS4---------- zařídit/zařídit/Vf--------A-P-- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- země/země/NNFP1-----A---- nemohly/moci/VpFP----R-NAI-- chovat/chovat/Vf--------A-I--;jako/jako/J,------------- Lucembursko/Lucembursko/NNNS1-----A---- ,/,/Z:------------- ve/v/RV--6---------- funkci/funkce/NNFS6-----A---- ho/on/PHMS4--3------- podpoří/podpořit/VB-S---3P-AAP-- ././Z:-------------;0;NMG: publicistika
4;"„/""/Z:------------- Sedli/sednout/VpMP----R-AAP-1 jsme/být/VB-P---1P-AAI-- si/se/P7--3---------- s/s/RR--7---------- vedením/vedení/NNNS7-----A---- ,/,/Z:------------- udělali/udělat/VpMP----R-AAP-- si/se/P7--3---------- interní/interní/AAIS4----1A----";plán/plán/NNIS4-----A---- co/co/J,------------- dál/dál/Db------------- a/a/J^------------- podle/podle/RR--2---------- toho/ten/PDNS2---------- se/se/P7--4---------- budu/být/VB-S---1F-AAI-- chovat/chovat/Vf--------A-I--;"././Z:------------- “/""/Z:-------------";0;NMG: publicistika
5;Musíme/muset/VB-P---1P-AAI-- si/se/P7--3---------- během/během/RR--2---------- dopoledne/dopoledne/NNNS2-----A---- vypracovat/vypracovat/Vf--------A-P--;plán/plán/NNIS4-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- budeme/být/VB-P---1F-AAI-- chovat/chovat/Vf--------A-I--;,/,/Z:------------- jinak/jinak/Db------------- budeme/být/VB-P---1F-AAI-- už/už/Db------------- dnes/dnes/Db------------- večer/večer/Db------------- číst/číst/Vf--------A-I-- jeden/jeden/ClIS4---------- horor/horor/NNIS4-----A---- za/za/RR--7---------- druhým/druhý/CrIS7---------- ././Z:-------------;0;FIC: beletrie
6;Měl/mít/VpMS----R-AAI-- velmi/velmi/Db------------- skromné/skromný/AANS4----1A---- mínění/mínění/NNNS4-----A---- ,/,/Z:------------- pokud/pokud/J,------------- šlo/jít/VpNS----R-AAI-- o/o/RR--4---------- šanci/šance/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- sám/sám/PLMS1---------- vymyslí/vymyslet/VB-S---3P-AAP-- nějaký/nějaký/PZIS4----------;plán/plán/NNIS4-----A---- ,/,/Z:------------- jak/jak/Db------------- zvládnout/zvládnout/Vf--------A-P-- vzniklou/vzniklý/AAFS4----1A---- situaci/situace/NNFS4-----A---- ,/,/Z:------------- a/a/J^------------- všechno/všechen/PLNS4---------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- mu/on/PHMS3--3------- zdálo/zdát/VpNS----R-AAI-- ,/,/Z:------------- záleží/záležet/VB-S---3P-AAI-- na/na/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- zda/zda/J,------------- se/se/P7--4---------- bude/být/VB-S---3F-AAI-- chovat/chovat/Vf--------A-I--;zdvořile/zdvořile/Dg-------1A---- k/k/RR--3---------- Šimpu/Šimpu/X@------------- Twistovi/Twist/NNMS3-----A---- ,/,/Z:------------- který/který/P4MS1---------- je/být/VB-S---3P-AAI-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- obecně/obecně/Dg-------1A---- uznává/uznávat/VB-S---3P-AAI-- ,/,/Z:------------- neobyčejně/obyčejně/Dg-------1N---- vynalézavý/vynalézavý/AAMS1----1A---- a/a/J^------------- nápaditý/nápaditý/AAMS1----1A---- ././Z:-------------;0;FIC: beletrie
7;Ruth/Rut/NNFS1-----A---- na/na/RR--4---------- ni/on/P5FS4--3------- byla/být/VpFS----R-AAI-- hrdá/hrdý/AAFS1----1A---- ,/,/Z:------------- to/to/TT------------- ano/ano/TT------------- ,/,/Z:------------- měla/mít/VpFS----R-AAI-- s/s/RR--7---------- ní/on/P5FS7--3------- velké/velký/AAIP4----1A----;plány/plán/NNIP4-----A---- ,/,/Z:------------- tomu/ten/PDNS3---------- věřil/věřit/VpMS----R-AAI-- ,/,/Z:------------- ale/ale/J^------------- nikdy/nikdy/Db------------- ho/on/PHMS4--3------- ani/ani/J^------------- nenapadlo/napadnout/VpNS----R-NAP-1 spojovat/spojovat/Vf--------A-I-- Ruth/Rut/NNFS4-----A---- s/s/RR--7---------- láskou/láska/NNFS7-----A---- ,/,/Z:------------- snad/snad/TT------------- s/s/RR--7---------- výjimkou/výjimka/NNFS7-----A---- lásky/láska/NNFS2-----A---- ke/k/RV--3---------- koním/kůň/NNMP3-----A---- ,/,/Z:------------- k/k/RR--3---------- nimž/jenž/P9FP3---------- se/se/P7--4---------- chovala/chovat/VpFS----R-AAI--;s/s/RR--7---------- něhou/něha/NNFS7-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- lidem/člověk/NNMP3-----A---- kolem/kolem/RR--2---------- sebe/se/P6--2---------- odpírala/odpírat/VpFS----R-AAI-- ././Z:-------------;0;FIC: beletrie
8;Už/už/Db------------- dnes/dnes/Db------------- Sáblíková/Sáblíková/NNFS1-----A---- pojede/jet/VB-S---3F-AAI-- v/v/RR--6---------- týmovém/týmový/AAIS6----1A---- závodě/závod/NNIS6-----A---- ,/,/Z:------------- s/s/RR--7---------- kterým/který/P4IS7---------- má/mít/VB-S---3P-AAI-- její/její/PSMS1FS3------- trenér/trenér/NNMS1-----A---- Petr/Petr/NNMS1-----A---- Novák/Novák/NNMS1-----A---- pro/pro/RR--4---------- sezonu/sezóna/NNFS4-----A---- velké/velký/AAIP4----1A----;plány/plán/NNIP4-----A---- a/a/J^------------- Češky/Češka/NNFP1-----A---- v/v/RR--6---------- něm/on/P5MS6--3------- chovají/chovat/VB-P---3P-AAI--;naději/naděje/NNFS4-----A---- nominovat/nominovat/Vf--------A-B-- se/se/P7--4---------- na/na/RR--4---------- olympiádu/olympiáda/NNFS4-----A---- ././Z:-------------;0;NMG: publicistika
9;Bylo/být/VpNS----R-AAI-- hodně/hodně/Dg-------1A---- náročné/náročný/AANS1----1A---- celý/celý/AAIS4----1A----;plán/plán/NNIS4-----A---- organizačně/organizačně/Dg-------1A---- zvládat/zvládat/Vf--------A-I-- ,/,/Z:------------- ale/ale/J^------------- vypadalo/vypadat/VpNS----R-AAI-- to/ten/PDNS1---------- ,/,/Z:------------- že/že/J,------------- k/k/RR--3---------- něčemu/něco/PZ--3---------- je/být/VB-S---3P-AAI-- ,/,/Z:------------- když/když/J,------------- chlapci/chlapec/NNMP1-----A---- mají/mít/VB-P---3P-AAI-- na/na/RR--6---------- očích/oko/NNFP6-----A---- tak/tak/Db------------- konkrétní/konkrétní/AAFP4----1A---- ,/,/Z:------------- vizuální/vizuální/AAFP4----1A---- připomínky/připomínka/NNFP4-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- mají/mít/VB-P---3P-AAI-- dobře/dobře/Dg-------1A---- chovat/chovat/Vf--------A-I--;././Z:-------------;0;FIC: beletrie
10;Zlín/Zlín/NNIS1-----A---- */*/Z:------------- Zlínský/zlínský/AAIS1----1A---- kraj/kraj/NNIS1-----A---- má/mít/VB-S---3P-AAI--;plán/plán/NNIS4-----A---- ,/,/Z:------------- co/co/PQ--4---------- dělat/dělat/Vf--------A-I-- a/a/J^------------- jak/jak/Db------------- se/se/P7--4---------- chovat/chovat/Vf--------A-I--;v/v/RR--6---------- případě/případ/NNIS6-----A---- krize/krize/NNFS2-----A---- ././Z:-------------;0;NMG: publicistika
