id;left;kwic;right;VNP?;doc.txtype_group
1;"Už/už/Db------------- během/během/RR--2---------- testování/testování/NNNS2-----A---- na/na/RR--6---------- letišti/letiště/NNNS6-----A---- ve/v/RV--6---------- Vodochodech/Vodochody/NNIP6-----A---- se/se/P7--4---------- bez/bez/RR--2---------- větších/velký/AAFP2----2A---- aerodynamických/aerodynamický/AAFP2----1A---- úprav/úprava/NNFP2-----A---- vůz/vůz/NNIS1-----A---- dostal/dostat/VpIS----R-AAP-- k/k/RR--3---------- rychlosti/rychlost/NNFS3-----A---- 280/280/C=------------- km/km/BN------------- //Z:------------- h/h/BN------------- ././Z0------------- ""/""/Z:------------- Až/až/J,------------- vyhodnotíme/vyhodnotit/VB-P---1P-AAP-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- truck/truck/NNIS1-----A----";"choval/chovat/VpIS----R-AAI-- ,/,/Z:------------- tak/tak/J^------------- budeme/být/VB-P---1F-AAI-- postupovat/postupovat/Vf--------A-I-- dál/dál/Db------------- ,/,/Z:------------- ""/""/Z:------------- nastínil/nastínit/VpMS----R-AAP-- čtvrteční/čtvrteční/AAIS4----1A---- plán/plán/NNIS4-----A----";manažer/manažer/NNMS1-----A---- ././Z:-------------;0;NMG: publicistika
2;Což/co/PE--1---------- znamená/znamenat/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- uživatel/uživatel/NNMS1-----A---- pervitinu/pervitin/NNIS2-----A---- postupně/postupně/Dg-------1A---- začíná/začínat/VB-S---3P-AAI-- mít/mít/Vf--------A-I-- pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- lidé/člověk/NNMP1-----A---- z/z/RR--2---------- jeho/jeho/PSNS2-S3------- okolí/okolí/NNNS2-----A---- se/se/P7--4---------- začínají/začínat/VB-P---3P-AAI--;"chovat/chovat/Vf--------A-I-- „/""/Z:------------- divně/divně/Dg-------1A---- “/""/Z:------------- –/-/Z:------------- pomlouvají/pomlouvat/VB-P---3P-AAI-- ho/on/PHMS4--3------- ,/,/Z:------------- spřádají/spřádat/VB-P---3P-AAI-- proti/proti/RR--3---------- němu/on/P5MS3--3------- plány/plán/NNIP4-----A----";,/,/Z:------------- sledují/sledovat/VB-P---3P-AAI-- ho/on/PHMS4--3------- ,/,/Z:------------- jsou/být/VB-P---3P-AAI-- nepřátelsky/přátelsky/Dg-------1N---- naladění/naladěný/AAMP1----1A---- ././Z:-------------;0;NFC: oborová literatura
3;Poznamenal/poznamenat/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- demokratická/demokratický/AAFS1----1A---- vláda/vláda/NNFS1-----A---- se/se/P7--4---------- nemá/mít/VB-S---3P-NAI--;chovat/chovat/Vf--------A-I-- arogantně/arogantně/Dg-------1A---- a/a/J^------------- měla/mít/VpFS----R-AAI-- by/být/Vc----------I-- buď/buď/J^------------- výrazně/výrazně/Dg-------1A---- korigovat/korigovat/Vf--------A-B-- své/svůj/P8IP4---------1 reformní/reformní/AAIP4----1A---- plány/plán/NNIP4-----A----;,/,/Z:------------- nebo/nebo/J^------------- odejít/odejít/Vf--------A-P-- ././Z:-------------;0;NMG: publicistika
4;Recidivista/recidivista/NNMS1-----A---- se/se/P7--4---------- nejdříve/brzy/Dg-------3A---- tvářil/tvářit/VpMS----R-AAI-- a/a/J^-------------;choval/chovat/VpMS----R-AAI-- ochotně/ochotně/Dg-------1A---- ,/,/Z:------------- jenže/jenže/J^------------- lidská/lidský/AAFS1----1A---- šelma/šelma/NNFS1-----A---- v/v/RR--6---------- něm/on/P5MS6--3------- už/už/Db------------- měla/mít/VpFS----R-AAI-- svůj/svůj/P8IS4---------- plán/plán/NNIS4-----A----;././Z:-------------;0;NMG: publicistika
5;Navíc/navíc/Db------------- jsou/být/VB-P---3P-AAI-- odtamtud/odtamtud/Db------------- docela/docela/Db------------- blízko/blízko/Dg-------1A---- břehy/břeh/NNIP1-----A---- Sicílie/Sicílie/NNFS2-----A---- a/a/J^------------- Spartakus/Spartakus/NNMS1-----A---- v/v/RR--6---------- srdci/srdce/NNNS6-----A---- stále/stále/Dg-------1A----;chová/chovat/VB-S---3P-AAI-- plán/plán/NNIS4-----A----;jít/jít/Vf--------A-I-- se/se/P7--4---------- usadit/usadit/Vf--------A-P-- na/na/RR--4---------- nějakou/nějaký/PZFS4---------- dobu/doba/NNFS4-----A---- do/do/RR--2---------- této/tento/PDFS2---------- bohaté/bohatý/AAFS2----1A---- provincie/provincie/NNFS2-----A---- před/před/RR--7---------- tím/ten/PDNS7---------- ,/,/Z:------------- než/než/J,------------- se/se/P7--4---------- vydá/vydat/VB-S---3P-AAP-- založit/založit/Vf--------A-P-- svou/svůj/P8FS4---------1 říši/říše/NNFS4-----A---- do/do/RR--2---------- Afriky/Afrika/NNFS2-----A---- ././Z:-------------;1;FIC: beletrie
6;Mohla/moci/VpFS----R-AAI-- se/se/P7--4---------- k/k/RR--3---------- němu/on/P5MS3--3------- jedině/jedině/Db-------------;"chovat/chovat/Vf--------A-I-- s/s/RR--7---------- trpělivou/trpělivý/AAFS7----1A---- mírností/mírnost/NNFS7-----A---- ,/,/Z:------------- když/když/J,------------- budou/být/VB-P---3F-AAI-- spolu/spolu/Db------------- ,/,/Z:------------- nepřát/přát/Vf--------N-I-- mu/on/PHMS3--3------- nic/nic/PW--4---------- zlého/zlý/AANS2----1A---- a/a/J^------------- být/být/Vf--------A-I-- připravena/připravit/VsFS------APP-- bránit/bránit/Vf--------A-I-- sebe/se/P6--4---------- a/a/J^------------- své/svůj/P8NS4---------1 ;/;/Z:------------- a/a/J^------------- snad/snad/TT------------- podporovat/podporovat/Vf--------A-I-- každý/každý/PLIS4---------- plán/plán/NNIS4-----A----";,/,/Z:------------- který/který/P4IS1---------- by/být/Vc----------I-- ho/on/PHIS4--3------- držel/držet/VpIS----R-AAI-- trvale/trvale/Dg-------1A---- vzdáleného/vzdálený/AAMS4----1A---- od/od/RR--2---------- ní/on/P5FS2--3------- a/a/J^------------- od/od/RR--2---------- krále/král/NNMS2-----A---- ././Z:-------------;0;FIC: beletrie
7;;Chovala/chovat/VpFS----R-AAI-- plány/plán/NNIP4-----A----;do/do/RR--2---------- budoucna/budoucno/NNNS2-----A---- ,/,/Z:------------- které/který/P4IP1---------- by/být/Vc----------I-- určitě/určitě/TT------------- vyvolaly/vyvolat/VpIP----R-AAP-- rodinnou/rodinný/AAFS4----1A---- bitvu/bitva/NNFS4-----A---- obludných/obludný/AAIP2----1A---- rozměrů/rozměr/NNIP2-----A---- ,/,/Z:------------- kdyby/kdyby|být/J,-------------|Vc----------I-- se/se/P7--4---------- ona/on/PPFS1--3------- a/a/J^------------- Mel/Mel/NNMS1-----A---- nerozešli/rozejít/VpMP----R-NAP-- ././Z:-------------;1;FIC: beletrie
8;O/o/RR--6---------- ničem/nic/PW--6---------- moc/moc/Db------------- nehloubá/hloubat/VB-S---3P-NAI-- ,/,/Z:-------------;chová/chovat/VB-S---3P-AAI-- se/se/P7--4---------- intuitivně/intuitivně/Dg-------1A---- ,/,/Z:------------- nepotřebuje/potřebovat/VB-S---3P-NAI-- mít/mít/Vf--------A-I-- pevný/pevný/AAIS4----1A---- plán/plán/NNIS4-----A----;na/na/RR--4---------- sezonu/sezóna/NNFS4-----A---- ././Z:-------------;0;NMG: publicistika
9;Později/pozdě/Dg-------2A---- ,/,/Z:------------- když/když/J,------------- už/už/Db------------- byli/být/VpMP----R-AAI-- u/u/RR--2---------- nich/oni/P5MP2--3------- doma/doma/Db------------- ,/,/Z:------------- se/se/P7--4---------- k/k/RR--3---------- němu/on/P5MS3--3------- strýc/strýc/NNMS1-----A---- Murray/Murray/NNMS1-----A----;choval/chovat/VpMS----R-AAI-- moc/moc/Db------------- hezky/hezky/Dg-------1A---- ,/,/Z:------------- opíral/opírat/VpMS----R-AAI-- se/se/P7--4---------- v/v/RR--6---------- obýváku/obývák/NNIS6-----A---- o/o/RR--4---------- krb/krb/NNIS4-----A---- ,/,/Z:------------- loket/loket/NNIS4-----A---- měl/mít/VpMS----R-AAI-- opřený/opřený/AAIS4----1A---- o/o/RR--4---------- římsu/římsa/NNFS4-----A---- ,/,/Z:------------- v/v/RR--6---------- ruce/ruka/NNFS6-----A---- sklenici/sklenice/NNFS4-----A---- skotské/skotský/AAFS2----1A---- a/a/J^------------- zpovídal/zpovídat/VpMS----R-AAI-- ho/on/PHMS4--3------- –/-/Z:------------- říkal/říkat/VpMS----R-AAI-- mu/on/PHMS3--3------- Frede/Fred/NNMS5-----A---- –/-/Z:------------- jaké/jaký/P4NS1---------- že/že/J,------------- má/mít/VB-S---3P-AAI-- plány/plán/NNIP4-----A----;po/po/RR--6---------- střední/střední/AAFS6----1A---- ,/,/Z:------------- jestli/jestli/J,------------- nepřemýšlel/přemýšlet/VpMS----R-NAI-- o/o/RR--6---------- studiu/studium/NNNS6-----A---- žurnalistiky/žurnalistika/NNFS2-----A---- ././Z:-------------;0;FIC: beletrie
10;Podobně/podobně/Dg-------1A---- by/být/Vc----------I-- se/se/P7--4---------- měly/mít/VpIP----R-AAI--;"chovat/chovat/Vf--------A-I-- USA/USA/BN------------- v/v/RR--6---------- Afghánistánu/Afghánistán/NNIS6-----A---- ;/;/Z:------------- po/po/RR--6---------- sedmnácti/sedmnáct/Cn-P6---------- letech/rok/NNNP6-----A---- bojů/boj/NNIP2-----A---- tamní/tamní/AAFS1----1A---- „/""/Z:------------- válka/válka/NNFS1-----A---- s/s/RR--7---------- terorem/teror/NNIS7-----A---- “/""/Z:------------- rozhodně/rozhodně/TT------------- není/být/VB-S---3P-NAI-- vyhrána/vyhrát/VsFS------APP-- a/a/J^------------- USA/USA/BN------------- nemají/mít/VB-P---3P-NAI-- plán/plán/NNIS4-----A----";,/,/Z:------------- jak/jak/Db------------- dále/dále/Db------------- postupovat/postupovat/Vf--------A-I-- ././Z:-------------;0;NMG: publicistika
