id;left;kwic;right
"1";"A/a/J^------------- ty/ty/PP-S1--2------- ,/,/Z:------------- má/můj/PSFS5-S1------1 nejdražší/drahý/AAFS5----3A---- dcero/dcera/NNFS5-----A---- ,/,/Z:------------- dobře/dobře/Dg-------1A---- víš/vědět/VB-S---2P-AAI-- ,/,/Z:------------- ačkoli/ačkoli/J,------------- jsi/být/VB-S---2P-AAI-- to/ten/PDNS4---------- pochopila/pochopit/VpFS----R-AAP-- dost/dost/Dg-------1A---- pozdě/pozdě/Dg-------1A---- ,/,/Z:------------- jaké/jaký/P4IP4----------";"pocity/pocit/NNIP4-----A---- a/a/J^------------- záměry/záměr/NNIP4-----A---- ve/v/RV--6---------- svém/svůj/P8NS6---------- srdci/srdce/NNNS6-----A---- choval/chovat/VpMS----R-AAI--";"a/a/J^------------- chová/chovat/VB-S---3P-AAI-- tento/tento/PDMS1---------- božský/božský/AAMS1----1A---- Mistr/mistr/NNMS1-----A---- vůči/vůči/RR--3---------- Bohu/bůh/NNMS3-----A---- a/a/J^------------- vůči/vůči/RR--3---------- lidstvu/lidstvo/NNNS3-----A---- ././Z:-------------"
"2";"Jsem/být/VB-S---1P-AAI-- ráda/rád/ACFS------A---- ,/,/Z:------------- že/že/J,------------- už/už/Db------------- se/se/P7--4---------- díky/díky/RR--3---------- mně/já/PP-S3--1------- nebojí/bát/VB-S---3P-NAI-- života/život/NNIS2-----A---- „/""/Z:------------- tam/tam/Db------------- venku/venku/Db------------- “/""/Z:------------- ,/,/Z:------------- nemá/mít/VB-S---3P-NAI--";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- působí/působit/VB-S---3P-AAI-- trapně/trapně/Dg-------1A---- a/a/J^------------- neumí/umět/VB-S---3P-NAI-- se/se/P7--4---------- mimo/mimo/RR--4---------- zdi/zeď/NNFP4-----A---- domova/domov/NNIS2-----A---- chovat/chovat/Vf--------A-I--";"././Z:-------------"
"3";"Po/po/RR--6---------- přečtení/přečtení/NNNS6-----A---- některých/některý/PZIP2---------- názorů/názor/NNIP2-----A---- a/a/J^------------- článků/článek/NNIP2-----A---- k/k/RR--3---------- dané/daný/AAFS3----1A---- situaci/situace/NNFS3-----A---- mám/mít/VB-S---1P-AAI--";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- chováme/chovat/VB-P---1P-AAI--";"spíše/spíš/TT------------- jako/jako/J,------------- hyeny/hyena/NNFP1-----A---- než/než/J,------------- lidé/člověk/NNMP1-----A---- ././Z:-------------"
"4";"V/v/RR--4---------- tu/ten/PDFS4---------- chvíli/chvíle/NNFS4-----A---- měla/mít/VpFS----R-AAI--";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- už/už/Db------------- nemusí/muset/VB-S---3P-NAI-- přetvařovat/přetvařovat/Vf--------A-I-- ,/,/Z:------------- a/a/J^------------- začala/začít/VpFS----R-AAP-- se/se/P7--4---------- zase/zase/Db------------- chovat/chovat/Vf--------A-I--";"normálně/normálně/Dg-------1A---- ././Z:-------------"
"5";"""/""/Z:------------- Mnozí/mnohý/AAMP1----1A---- páni/pán/NNMP1-----A---1 kolegové/kolega/NNMP1-----A---- ve/v/RV--6---------- své/svůj/P8FS6---------1 mužské/mužský/AAFS6----1A---- ješitnosti/ješitnost/NNFS6-----A---- dokonce/dokonce/TT------------- dávají/dávat/VB-P---3P-AAI-- na/na/RR--4---------- odiv/odiv/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- tu/tu/Db------------- a/a/J^------------- tam/tam/Db------------- uloví/ulovit/VB-P---3P-AAP-- sestřičku/sestřička/NNFS4-----A---- ,/,/Z:------------- ""/""/Z:------------- říká/říkat/VB-S---3P-AAI-- pražská/pražský/AAFS1----1A---- interní/interní/AAFS1----1A---- lékařka/lékařka/NNFS1-----A---- Lenka/Lenka/NNFS1-----A---- Elznicová/Elznicová/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- má/mít/VB-S---3P-AAI--";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- nejvýbojněji/výbojně/Dg-------3A---- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--";"chirurgové/chirurg/NNMP1-----A---- :/:/Z:------------- ""/""/Z:------------- Při/při/RR--6---------- operačních/operační/AAIP6----1A---- výkonech/výkon/NNIP6-----A---- musí/muset/VB-P---3P-AAI-1 pracovat/pracovat/Vf--------A-I-- se/s/RV--7---------- stoprocentním/stoprocentní/AANS7----1A---- úsilím/úsilí/NNNS7-----A---- ,/,/Z:------------- a/a/J^------------- tak/tak/J^------------- i/i/J^------------- své/svůj/P8NS4---------1 odreagování/odreagování/NNNS4-----A---- prožívají/prožívat/VB-P---3P-AAI-- na/na/RR--4---------- sto/sto/CzNS4---------- procent/procento/NNNP2-----A---- ././Z:------------- ""/""/Z:-------------"
"6";"Stále/stále/Dg-------1A---- jsem/být/VB-S---1P-AAI-- měla/mít/VpFS----R-AAI--";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- k/k/RR--3---------- nám/my/PP-P3--1------- chová/chovat/VB-S---3P-AAI--";"zbytečně/zbytečně/Dg-------1A---- chladně/chladně/Dg-------1A---- ././Z:-------------"
"7";"Měl/mít/VpMS----R-AAI-- sem/sem/Db------------- s/s/RR--7---------- tou/ten/PDFS7---------- holkou/holka/NNFS7-----A----";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- jí/on/PPFS3--3------- můžu/moci/VB-S---1P-AAI-- věřit/věřit/Vf--------A-I-- ,/,/Z:------------- ačkoliv/ačkoli/J,------------- to/ten/PDNS1---------- byla/být/VpFS----R-AAI-- taková/takový/PDFS1---------- zřejmě/zřejmě/TT------------- stoprocentní/stoprocentní/AAFS1----1A---- nacistka/nacistka/NNFS1-----A---- ,/,/Z:------------- že/že/J,------------- i/i/J^------------- dyž/když/J,------------- všem/všechen/PLFP3---------- těm/ten/PDFP3---------- blbostem/blbost/NNFP3-----A---- věří/věřit/VB-S---3P-AAI-- ,/,/Z:------------- vůči/vůči/RR--3---------- mně/já/PP-S3--1------- se/se/P7--4---------- podle/podle/RR--2---------- nich/oni/P5FP2--3------- chovat/chovat/Vf--------A-I--";"nebude/být/VB-S---3F-NAI-- ././Z:-------------"
"8";"Měla/mít/VpFS----R-AAI-- jsem/být/VB-S---1P-AAI--";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- k/k/RR--3---------- Helence/Helenka/NNFS3-----A---- chová/chovat/VB-S---3P-AAI--";"jako/jako/J,------------- ke/k/RV--3---------- svojí/svůj/P8FS3---------- zaměstnankyni/zaměstnankyně/NNFS3-----A---- ,/,/Z:------------- které/který/P4FS3---------- „/""/Z:------------- jen/jen/Db------------- “/""/Z:------------- svěřuje/svěřovat/VB-S---3P-AAI-- syna/syn/NNMS4-----A---- ,/,/Z:------------- zatímco/zatímco/J,------------- musí/muset/VB-S---3P-AAI-- být/být/Vf--------A-I-- v/v/RR--6---------- práci/práce/NNFS6-----A---- ././Z:-------------"
"9";"Helena/Helena/NNFS1-----A---- měla/mít/VpFS----R-AAI--";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- udělala/udělat/VpFS----R-AAP-- dobře/dobře/Dg-------1A---- ,/,/Z:------------- když/když/J,------------- se/se/P7--4---------- tak/tak/Db------------- držela/držet/VpFS----R-AAI-- po/po/RR--6---------- těch/ten/PDIP6---------- šest/šest/Cn-S4---------- měsíců/měsíc/NNIP2-----A---- ,/,/Z:------------- co/co/J,------------- dovolila/dovolit/VpFS----R-AAP-- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- všechno/všechen/PLNS1---------- pokračovalo/pokračovat/VpNS----R-AAI-- ;/;/Z:------------- domnívala/domnívat/VpFS----R-AAI-- se/se/P7--4---------- ,/,/Z:------------- že/že/J,------------- teď/teď/Db------------- ,/,/Z:------------- když/když/J,------------- už/už/Db------------- je/být/VB-S---3P-AAI-- po/po/RR--6---------- všem/všechen/PLNS6---------- ,/,/Z:------------- se/se/P7--4---------- budou/být/VB-P---3F-AAI-- všichni/všechen/PLMP1---------- chovat/chovat/Vf--------A-I--";"patřičně/patřičně/Dg-------1A---- ././Z:-------------"
"10";"Největší/velký/AAIP1----3A---- rozdíly/rozdíl/NNIP1-----A---- jsou/být/VB-P---3P-AAI-- viditelné/viditelný/AAIP1----1A---- ve/v/RV--6---------- vnímání/vnímání/NNNS6-----A---- vrcholového/vrcholový/AANS2----1A---- vedení/vedení/NNNS2-----A---- -/-/Z:------------- v/v/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- jak/jak/Db------------- přistupuje/přistupovat/VB-S---3P-AAI-- k/k/RR--3---------- lidem/člověk/NNMP3-----A---- a/a/J^------------- jak/jak/Db------------- řídí/řídit/VB-P---3P-AAI-- firmu/firma/NNFS4-----A---- ././Z0------------- 71/71/C=------------- %/%/Z:------------- zaměstnanců/zaměstnanec/NNMP2-----A---- pracujících/pracující/AGMP2-----A---- u/u/RR--2---------- těch/ten/PDMP2---------- nejlepších/dobrý/AAMP2----3A---- má/mít/VB-S---3P-AAI--";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5MP3--3------- vrcholové/vrcholový/AANS1----1A---- vedení/vedení/NNNS1-----A---- chová/chovat/VB-S---3P-AAI--";"jako/jako/J,------------- k/k/RR--3---------- tomu/ten/PDNS3---------- nejcennějšímu/cenný/AANS3----3A---- ,/,/Z:------------- co/co/PQ--4---------- firma/firma/NNFS1-----A---- má/mít/VB-S---3P-AAI-- (/(/Z:------------- vs/vs/BR------------- ././Z0------------- 31/31/C=------------- %/%/Z:------------- u/u/RR--2---------- ostatních/ostatní/AAMP2----1A---- )/)/Z:------------- ././Z:-------------"
