id;left;kwic;right
"1";"A/a/J^------------- navíc/navíc/Db------------- k/k/RR--3---------- nim/oni/P5MP3--3-------";"chovám/chovat/VB-S---1P-AAI-- ještě/ještě/Db------------- jeden/jeden/ClIS4---------- pocit/pocit/NNIS4-----A----";"././Z:------------- ""/""/Z:-------------"
"2";"Ale/ale/J^------------- je/být/VB-S---3P-AAI-- pravda/pravda/NNFS1-----A---- ,/,/Z:------------- že/že/J,------------- zatímco/zatímco/J,------------- na/na/RR--6---------- Slovensku/Slovensko/NNNS6-----A---- některé/některý/PZFP4---------- žádosti/žádost/NNFP4-----A---- o/o/RR--4---------- interview/interview/NNNS4-----A---- odmítám/odmítat/VB-S---1P-AAI-- ,/,/Z:------------- tak/tak/J^------------- k/k/RR--3---------- českým/český/AANP3----1A---- médiím/médium/NNNP3-----A---- se/se/P7--4----------";"chovám/chovat/VB-S---1P-AAI-- velmi/velmi/Db------------- vstřícně/vstřícně/Dg-------1A---- -/-/Z:------------- pořád/pořád/Db------------- ještě/ještě/Db------------- mám/mít/VB-S---1P-AAI-- pocit/pocit/NNIS4-----A----";",/,/Z:------------- že/že/J,------------- jsem/být/VB-S---1P-AAI-- u/u/RR--2---------- vás/vy/PP-P2--2------- nová/nový/AAFS1----1A---- ,/,/Z:------------- takže/takže/J,------------- mě/já/PH-S4--1------- zájem/zájem/NNIS1-----A---- ze/z/RV--2---------- strany/strana/NNFS2-----A---- českých/český/AAMP2----1A---- žurnalistů/žurnalista/NNMP2-----A---- těší/těšit/VB-S---3P-AAI-- ././Z:-------------"
"3";"Byl/být/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- s/s/RR--7---------- ní/on/P5FS7--3------- samozřejmě/samozřejmě/TT------------- na/na/RR--6---------- charitě/charita/NNFS6-----A---- ,/,/Z:------------- u/u/RR--2---------- soudu/soud/NNIS2-----A---- ,/,/Z:-------------";"choval/chovat/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- k/k/RR--3---------- ní/on/P5FS3--3------- rovně/rovně/Dg-------1A---- a/a/J^------------- měl/mít/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- pocit/pocit/NNIS4-----A----";",/,/Z:------------- že/že/J,------------- ona/on/PPFS1--3------- mi/já/PH-S3--1------- nelže/lhát/VB-S---3P-NAI-- ././Z:-------------"
"4";"Při/při/RR--6---------- práci/práce/NNFS6-----A---- s/s/RR--7---------- materiálem/materiál/NNIS7-----A---- ,/,/Z:------------- který/který/P4IS1---------- se/se/P7--4----------";"chová/chovat/VB-S---3P-AAI-- jinak/jinak/Db------------- než/než/J,------------- ostatní/ostatní/AAIP1----1A---- v/v/RR--6---------- signmakingu/signmaking/NNIS6-----A---- obvykle/obvykle/Dg-------1A---- používané/používaný/AAIP1----1A---- materiály/materiál/NNIP1-----A---- ,/,/Z:------------- má/mít/VB-S---3P-AAI-- nezkušený/zkušený/AAMS1----1N---- člověk/člověk/NNMS1-----A---- vždycky/vždy/Db------------- pocit/pocit/NNIS4-----A----";",/,/Z:------------- že/že/J,------------- mu/on/PHMS3--3------- ještě/ještě/Db------------- dvě/dva/ClFP1---------- ruce/ruka/NNFP1-----A---- chybí/chybět/VB-P---3P-AAI-1 ././Z:-------------"
"5";"Ke/ke/RV--3---------- všem/všechen/PLMP3---------- developerům/developer/NNMP3-----A---- bychom/být/Vc-P---1----I-- se/se/P7--4---------- pak/pak/Db------------- všichni/všechen/PLMP1----------";"chovali/chovat/VpMP----R-AAI-- stejně/stejně/Dg-------1A---- a/a/J^------------- nikdo/nikdo/PWM-1---------- z/z/RR--2---------- investorů/investor/NNMP2-----A---- by/být/Vc----------I-- nemohl/moci/VpMS----R-NAI-- mít/mít/Vf--------A-I-- pocit/pocit/NNIS4-----A----";",/,/Z:------------- že/že/J,------------- platí/platit/VB-S---3P-AAI-- do/do/RR--2---------- radniční/radniční/AAFS2----1A---- kasy/kasa/NNFS2-----A---- více/více/Dg-------2A---- než/než/J,------------- jiný/jiný/AAMS1----1A---- ././Z:-------------"
"6";"A/a/J^------------- teď/teď/Db------------- tvrdíte/tvrdit/VB-P---2P-AAI-- ,/,/Z:------------- že/že/J,------------- k/k/RR--3---------- ní/on/P5FS3--3-------";"nechováte/chovat/VB-P---2P-NAI-- žádné/žádný/PWIP4---------- pocity/pocit/NNIP4-----A----";",/,/Z:------------- ani/ani/J^------------- kladné/kladný/AAIP4----1A---- ,/,/Z:------------- ani/ani/J^------------- záporné/záporný/AAIP4----1A---- ././Z:-------------"
"7";"Dodal/dodat/VpMS----R-AAP-- ještě/ještě/Db------------- ,/,/Z:------------- že/že/J,------------- ví/vědět/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- šlo/jít/VpNS----R-AAI-- o/o/RR--4---------- Brakýře/brakýř/NNMS4-----A---- ,/,/Z:------------- poněvadž/poněvadž/J,------------- nikdo/nikdo/PWM-1---------- jiný/jiný/AAMS1----1A---- v/v/RR--6---------- celém/celý/AANS6----1A---- městě/město/NNNS6-----A---- proti/proti/RR--3---------- němu/on/P5MS3--3------- nemůže/moci/VB-S---3P-NAI--";"chovat/chovat/Vf--------A-I-- nepřátelské/přátelský/AAIP4----1N---- pocity/pocit/NNIP4-----A----";"a/a/J^------------- navíc/navíc/Db------------- už/už/Db------------- mu/on/PHMS3--3------- tato/tento/PDFS1---------- organizace/organizace/NNFS1-----A---- dlouho/dlouho/Dg-------1A---- vyhrožovala/vyhrožovat/VpFS----R-AAI-- pomstou/pomsta/NNFS7-----A---- za/za/RR--4---------- jeho/jeho/PSIP4-S3------- otevřené/otevřený/AAIP4----1A---- články/článek/NNIP4-----A---- ././Z:-------------"
"8";"Namožené/namožený/AANS1----1A---- pánevní/pánevní/AANS1----1A---- dno/dno/NNNS1-----A---- se/se/P7--4----------";"chová/chovat/VB-S---3P-AAI-- tak/tak/Db------------- ,/,/Z:------------- že/že/J,------------- ženy/žena/NNFP1-----A---- mají/mít/VB-P---3P-AAI-- pocit/pocit/NNIS4-----A----";"premenstruační/premenstruační/AAFS2----1A---- bolesti/bolest/NNFS2-----A---- v/v/RR--6---------- podbřišku/podbřišek/NNIS6-----A---- ,/,/Z:------------- bolí/bolet/VB-P---3P-AAI-- je/oni/PPFP4--3------- vaječníky/vaječník/NNIP1-----A---- ,/,/Z:------------- dostanou/dostat/VB-P---3P-AAP-- dříve/brzy/Dg-------2A---- menstruaci/menstruace/NNFS4-----A---- atd/atd/Bb------------- ././Z:-------------"
"9";"Setrvali/setrvat/VpMP----R-AAP-- spolu/spolu/Db------------- sotva/sotva/Db------------- dvacet/dvacet/Cn-S4---------- vteřin/vteřina/NNFP2-----A---- ;/;/Z:------------- chtěl/chtít/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- pak/pak/Db------------- dát/dát/Vf--------A-P-- přednost/přednost/NNFS4-----A---- Honzovi/Honza/NNMS3-----A---- (/(/Z:------------- jednak/jednak/J^------------- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- chtěl/chtít/VpMS----R-AAI--";"chovat/chovat/Vf--------A-I-- jako/jako/J,------------- hostitel/hostitel/NNMS1-----A---- ,/,/Z:------------- jednak/jednak/J^------------- jsem/být/VB-S---1P-AAI-- měl/mít/VpMS----R-AAI-- pořád/pořád/Db------------- trému/tréma/NNFS4-----A---- )/)/Z:------------- ,/,/Z:------------- ale/ale/J^------------- tentokrát/tentokrát/Db------------- byla/být/VpFS----R-AAI-- blondýna/blondýna/NNFS1-----A---- rezolutnější/rezolutní/AAFS1----2A---- ,/,/Z:------------- strhla/strhnout/VpFS----R-AAP-1 mne/já/PP-S4--1------- k/k/RR--3---------- sobě/se/P6--3---------- ,/,/Z:------------- a/a/J^------------- když/když/J,------------- jsem/být/VB-S---1P-AAI-- byl/být/VpMS----R-AAI-- s/s/RR--4---------- to/ten/PDNS4---------- po/po/RR--6---------- povzbuzujících/povzbuzující/AGIP6-----A---- dotecích/dotek/NNIP6-----A---- se/se/P7--4---------- s/s/RR--7---------- ní/on/P5FS7--3------- konečně/konečně/Dg-------1A---- spojit/spojit/Vf--------A-P-- ,/,/Z:------------- zašeptala/zašeptat/VpFS----R-AAP-- mi/já/PH-S3--1------- něžně/něžně/Dg-------1A---- do/do/RR--2---------- ucha/ucho/NNNS2-----A---- :/:/Z:------------- ""/""/Z:------------- Jsem/být/VB-S---1P-AAI-- tady/tady/Db------------- kvůli/kvůli/RR--3---------- tobě/ty/PP-S3--2------- ,/,/Z:------------- blbečku/blbeček/NNMS5-----A---- ,/,/Z:------------- ""/""/Z:------------- a/a/J^------------- potom/potom/Db------------- začala/začít/VpFS----R-AAP-- vzdychat/vzdychat/Vf--------A-I-- ,/,/Z:------------- takže/takže/J,------------- jsem/být/VB-S---1P-AAI-- najednou/najednou/Db------------- měl/mít/VpMS----R-AAI-- opravdu/opravdu/TT------------- pocit/pocit/NNIS4-----A----";",/,/Z:------------- že/že/J,------------- je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- něžná/něžný/AAFS1----1A---- dívka/dívka/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- mne/já/PP-S4--1------- miluje/milovat/VB-S---3P-AAI-- a/a/J^------------- kterou/který/P4FS4---------- miluju/milovat/VB-S---1P-AAI-- ,/,/Z:------------- a/a/J^------------- ona/on/PPFS1--3------- vzdychala/vzdychat/VpFS----R-AAI-- a/a/J^------------- vzdychala/vzdychat/VpFS----R-AAI-- a/a/J^------------- já/já/PP-S1--1------- jsem/být/VB-S---1P-AAI-- nepřestával/přestávat/VpMS----R-NAI-- ,/,/Z:------------- až/až/J,------------- jsem/být/VB-S---1P-AAI-- slyšel/slyšet/VpMS----R-AAI-- najednou/najednou/Db------------- Honzův/Honzův/AUIS4M--------- hlas/hlas/NNIS4-----A---- ,/,/Z:------------- pronášející/pronášející/AGIS4-----A---- jakousi/jakýsi/PZFS4---------- sprostotu/sprostota/NNFS4-----A---- ,/,/Z:------------- a/a/J^------------- vtom/vtom/Db------------- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- uvědomil/uvědomit/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- to/ten/PDNS1---------- není/být/VB-S---3P-NAI-- dívka/dívka/NNFS1-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- miluju/milovat/VB-S---1P-AAI-- ,/,/Z:------------- a/a/J^-------------"
"10";"";"Chovali/chovat/VpMP----R-AAI-- se/se/P7--4---------- ke/k/RV--3---------- mně/já/PP-S3--1------- jako/jako/J,------------- ke/k/RV--3---------- každému/každý/PLMS3---------- členovi/člen/NNMS3-----A---- rodiny/rodina/NNFS2-----A---- ,/,/Z:------------- ačkoli/ačkoli/J,------------- já/já/PP-S1--1------- jsem/být/VB-S---1P-AAI-- měla/mít/VpFS----R-AAI-- stále/stále/Dg-------1A---- pocit/pocit/NNIS4-----A----";",/,/Z:------------- že/že/J,------------- jsem/být/VB-S---1P-AAI-- tam/tam/Db------------- nějaký/nějaký/PZMS1---------- vetřelec/vetřelec/NNMS1-----A---- a/a/J^------------- že/že/J,------------- je/oni/PPMP4--3------- obtěžuji/obtěžovat/VB-S---1P-AAI-1 ././Z:-------------"
