id;left;kwic;right
"1";"Protože/protože/J,------------- jsem/být/VB-S---1P-AAI-- podobné/podobný/AANS4----1A----";"podezření/podezření/NNNS4-----A---- chovala/chovat/VpFS----R-AAI--";"taky/také/Db------------- ,/,/Z:------------- byla/být/VpFS----R-AAI-- jsem/být/VB-S---1P-AAI-- zhnusena/zhnusit/VsFS------APP-- ././Z:-------------"
"2";"Jde/jít/VB-S---3P-AAI-- o/o/RR--4---------- otázky/otázka/NNFP4-----A---- minulosti/minulost/NNFS2-----A---- jednotlivých/jednotlivý/AAMP2----1A---- zemědělských/zemědělský/AAMP2----1A---- protagonistů/protagonista/NNMP2-----A---- ,/,/Z:------------- o/o/RR--4----------";"podezření/podezření/NNNS4-----A---- a/a/J^------------- nedůvěru/nedůvěra/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- vůči/vůči/RR--3---------- sobě/se/P6--3---------- chovají/chovat/VB-P---3P-AAI--";"zástupci/zástupce/NNMP1-----A---- jednotlivých/jednotlivý/AAFP2----1A---- zájmových/zájmový/AAFP2----1A---- skupin/skupina/NNFP2-----A---- ././Z:-------------"
"3";"LONDÝN/Londýn/NNIS1-----A---- Šest/šest/Cn-S1---------- londýnských/londýnský/AAMP2----1A---- policistů/policista/NNMP2-----A---- je/být/VB-S---3P-AAI-- vyšetřováno/vyšetřovat/VsNS------API-- pro/pro/RR--4----------";"podezření/podezření/NNNS4-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- k/k/RR--3---------- zadrženým/zadržený/AAMP3----1A---- po/po/RR--6---------- jednom/jeden/ClIS6---------- zátahu/zátah/NNIS6-----A---- chovali/chovat/VpMP----R-AAI--";"surově/surově/Dg-------1A---- ,/,/Z:------------- sdělil/sdělit/VpIS----R-AAP-- včera/včera/Db------------- Scotland/Scotland/F%------------- Yard/yard/NNIS1-----A---- ././Z:-------------"
"4";"Pokud/pokud/J,------------- to/ten/PDNS1---------- ze/z/RV--2---------- strany/strana/NNFS2-----A---- Kalouska/Kalousek/NNMS2-----A---- a/a/J^------------- Klause/Klaus/NNMS2-----A---- neplatí/platit/VB-S---3P-NAI-- vůči/vůči/RR--3---------- řadovým/řadový/AAMP3----1A---- občanům/občan/NNMP3-----A---- ,/,/Z:------------- tak/tak/J^------------- nevidím/vidět/VB-S---1P-NAI-- důvod/důvod/NNIS4-----A---- ,/,/Z:------------- proč/proč/Db------------- bych/být/Vc-S---1----I-- se/se/P7--4---------- k/k/RR--3---------- vyslovení/vyslovení/NNNS3-----A---- názoru/názor/NNIS2-----A---- na/na/RR--4----------";"podezření/podezření/NNNS4-----A---- vůči/vůči/RR--3---------- nim/oni/P5MP3--3------- neměl/mít/VpMS----R-NAI-- chovat/chovat/Vf--------A-I--";"stejně/stejně/Dg-------1A---- jako/jako/J,------------- oni/oni/PPMP1--3------- ././Z:-------------"
"5";"V/v/RR--6---------- Junkově/Junkův/AUFS6M--------- mysli/mysl/NNFS6-----A---- však/však/J^------------- zůstala/zůstat/VpFS----R-AAP-- pochybnost/pochybnost/NNFS1-----A---- a/a/J^------------- znovu/znovu/Db------------- oživila/oživit/VpFS----R-AAP--";"podezření/podezření/NNNS4-----A---- ,/,/Z:------------- které/který/P4NS4---------- vůči/vůči/RR--3---------- tomu/ten/PDMS3---------- chlapci/chlapec/NNMS3-----A---- choval/chovat/VpMS----R-AAI--";"././Z:-------------"
"6";"Ale/ale/J^------------- ani/ani/J^------------- potom/potom/Db------------- by/být/Vc----------I-- Andrew/Andrew/NNMS1-----A---- nepojal/pojmout/VpMS----R-NAP--";"podezření/podezření/NNNS4-----A---- ,/,/Z:------------- kdyby/kdyby|být/J,-------------|Vc----------I-- se/se/P7--4---------- jeho/jeho/PSMS1-S3------- starší/starý/AAMS1----2A---- kolega/kolega/NNMS1-----A---- choval/chovat/VpMS----R-AAI--";"normálně/normálně/Dg-------1A---- ././Z:-------------"
"7";"Zkrátka/zkrátka/TT------------- ,/,/Z:------------- soudruh/soudruh/NNMS1-----A---- politruk/politruk/NNMS1-----A---- měl/mít/VpMS----R-AAI--";"podezření/podezření/NNNS4-----A---- -/-/Z:------------- a/a/J^------------- četař/četař/NNMS1-----A---- Pankůrek/Pankůrek/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- zbyl/zbýt/VpMS----R-AAP-- nakonec/nakonec/TT------------- jediný/jediný/AAMS1----1A---- ze/z/RV--2---------- všech/všechen/PLMP2---------- původně/původně/Dg-------1A---- četných/četný/AAMP2----1A---- odpůrců/odpůrce/NNMP2-----A---- Bivoje/bivoj/NNMS2-----A---- Balíka/Balík/NNMS2-----A---- ,/,/Z:------------- to/ten/PDNS4---------- podezření/podezření/NNNS4-----A---- svými/svůj/P8IP7---------- výroky/výrok/NNIP7-----A---- stále/stále/Dg-------1A---- posiloval/posilovat/VpMS----R-AAI-- -/-/Z:------------- že/že/J,------------- tento/tento/PDMS1---------- soudruh/soudruh/NNMS1-----A---- není/být/VB-S---3P-NAI-- upřímným/upřímný/AAMS7----1A---- a/a/J^------------- dobrým/dobrý/AAMS7----1A---- soudruhem/soudruh/NNMS7-----A---- a/a/J^------------- zda/zda/J,------------- by/být/Vc----------I-- snad/snad/TT------------- nebylo/být/VpNS----R-NAI-- dobře/dobře/Dg-------1A---- zpravit/zpravit/Vf--------A-P-- o/o/RR--6---------- tomto/tento/PDNS6---------- pozorování/pozorování/NNNS6-----A---- soudruha/soudruh/NNMS4-----A---- politického/politický/AAMS4----1A---- pracovníka/pracovník/NNMS4-----A---- jeho/jeho/PSIS2-S3------- útvaru/útvar/NNIS2-----A---- a/a/J^------------- vyzvat/vyzvat/Vf--------A-P-- jej/on/PPMS4--3------2 ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- si/se/P7--3---------- soudruha/soudruh/NNMS2-----A---- Pankůrka/Pankůrek/NNMS2-----A---- pozorněji/pozorně/Dg-------2A---- všímal/všímat/VpMS----R-AAI-- ,/,/Z:------------- a/a/J^------------- to/to/TT------------- nejen/nejen/Db------------- u/u/RR--2---------- výcviku/výcvik/NNIS2-----A---- ,/,/Z:------------- ale/ale/J^------------- také/také/Db------------- jak/jak/Db------------- se/se/P7--4---------- chová/chovat/VB-S---3P-AAI--";"po/po/RR--6---------- službě/služba/NNFS6-----A---- ,/,/Z:------------- na/na/RR--6---------- vycházkách/vycházka/NNFP6-----A---- ,/,/Z:------------- s/s/RR--7---------- kým/kdo/PKM-7---------- se/se/P7--4---------- stýká/stýkat/VB-S---3P-AAI-- a/a/J^------------- podobně/podobně/Dg-------1A---- ././Z:-------------"
"8";"Fenomén/fenomén/NNIS1-----A---- šikany/šikana/NNFS2-----A---- se/se/P7--4---------- obecně/obecně/Dg-------1A---- objevuje/objevovat/VB-S---3P-AAI-- u/u/RR--2---------- dětí/dítě/NNFP2-----A---- paradoxně/paradoxně/Dg-------1A---- až/až/TT------------- příliš/příliš/Db------------- milujících/milující/AGMP2-----A---- rodičů/rodič/NNMP2-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- nepřipustí/připustit/VB-P---3P-NAP-- jakékoli/jakýkoli/PZNS4----------";"podezření/podezření/NNNS4-----A---- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- se/se/P7--4---------- jejich/jejich/PSNS1-P3------- dítě/dítě/NNNS1-----A---- chovalo/chovat/VpNS----R-AAI--";"ošklivě/ošklivě/Dg-------1A---- k/k/RR--3---------- okolí/okolí/NNNS3-----A---- ,/,/Z:------------- chrání/chránit/VB-S---3P-AAI-- je/on/PPNS4--3------- a/a/J^------------- dítě/dítě/NNNS1-----A---- to/ten/PDNS4---------- ví/vědět/VB-S---3P-AAI-- ././Z:-------------"
"9";"Měl/mít/VpMS----R-AAI-- jisté/jistý/AANS4----1A---- podezření/podezření/NNNS4-----A---- ,/,/Z:------------- ano/ano/TT------------- ,/,/Z:------------- měl/mít/VpMS----R-AAI-- ,/,/Z:------------- ale/ale/J^------------- nehodlal/hodlat/VpMS----R-NAI-- ještě/ještě/Db------------- ukázat/ukázat/Vf--------A-P-- své/svůj/P8FP4---------1 karty/karta/NNFP4-----A---- ;/;/Z:------------- byl/být/VpMS----R-AAI-- ochoten/ochotný/ACMS------A---- skrýt/skrýt/Vf--------A-P-- své/svůj/P8NS4---------1";"podezření/podezření/NNNS4-----A---- před/před/RR--7---------- světem/svět/NNIS7-----A---- ,/,/Z:------------- kdybych/kdyby|být/J,-------------|Vc-S---1----I-- se/se/P7--4---------- ovšem/ovšem/TT------------- choval/chovat/VpMS----R-AAI--";",/,/Z:------------- jak/jak/Db------------- mám/mít/VB-S---1P-AAI-- ;/;/Z:------------- a/a/J^------------- upřímně/upřímně/Dg-------1A---- vyjádřil/vyjádřit/VpMS----R-AAP-- svoje/svůj/P8IP4---------- rozpaky/rozpaky/NNIP4-----A---- a/a/J^------------- upřímně/upřímně/Dg-------1A---- očekával/očekávat/VpMS----R-AAI-- odpověď/odpověď/NNFS4-----A---- ././Z:-------------"
"10";"„/""/Z:------------- Pokud/pokud/J,------------- má/mít/VB-S---3P-AAI-- bankéř/bankéř/NNMS1-----A---- při/při/RR--6---------- osobním/osobní/AAIS6----1A---- kontaktu/kontakt/NNIS6-----A----";"podezření/podezření/NNNS4-----A---- ,/,/Z:------------- že/že/J,------------- klient/klient/NNMS1-----A---- nejedná/jednat/VB-S---3P-NAI-- z/z/RR--2---------- vlastní/vlastní/AAFS2----1A---- vůle/vůle/NNFS2-----A---- nebo/nebo/J^------------- se/se/P7--4---------- chová/chovat/VB-S---3P-AAI--";"zvláštně/zvláštně/Dg-------1A---- ,/,/Z:------------- může/moci/VB-S---3P-AAI-- zadat/zadat/Vf--------A-P-- na/na/RR--4---------- dotčenou/dotčený/AAFS4----1A---- žádost/žádost/NNFS4-----A---- poznámku/poznámka/NNFS4-----A---- ,/,/Z:------------- která/který/P4FS1---------- při/při/RR--6---------- posuzování/posuzování/NNNS6-----A---- rizika/riziko/NNNS2-----A---- úvěru/úvěr/NNIS2-----A---- může/moci/VB-S---3P-AAI-- vést/vést/Vf--------A-I-- k/k/RR--3---------- jeho/jeho/PSNS3-S3------- zamítnutí/zamítnutí/NNNS3-----A---- ,/,/Z:------------- “/""/Z:------------- řekl/říci/VpMS----R-AAP-- mluvčí/mluvčí/NNMS1-----A---- GE/GE/BN------------- Money/Money/F%------------- Bank/Bank/F%------------- Pavel/Pavel/NNMS1-----A---- Zúbek/Zúbek/NNMS1-----A---- ,/,/Z:------------- když/když/J,------------- se/se/P7--4---------- MF/MF/BN------------- DNES/dnes/Db------------- ptala/ptát/VpFS----R-AAI-- ,/,/Z:------------- jak/jak/Db------------- mohla/moci/VpFS----R-AAI-- tato/tento/PDFS1---------- banka/banka/NNFS1-----A---- půjčit/půjčit/Vf--------A-P-- jednomu/jeden/ClMS3---------- z/z/RR--2---------- duševně/duševně/Dg-------1A---- nemocných/nemocný/AAMP2----1A---- zmíněných/zmíněný/AAMP2----1A---- v/v/RR--6---------- textu/text/NNIS6-----A---- ././Z:-------------"
