id;left;kwic;right;VNP?;doc.txtype_group
1;Obyvatelé/obyvatel/NNMP1-----A---- tenkrát/tenkrát/Db------------- ubili/ubít/VpMP----R-AAP-- lišku/liška/NNFS4-----A---- ,/,/Z:------------- protože/protože/J,------------- se/se/P7--4----------;chovala/chovat/VpFS----R-AAI-- agresivně/agresivně/Dg-------1A---- a/a/J^------------- měli/mít/VpMP----R-AAI-- podezření/podezření/NNNS4-----A----;na/na/RR--4---------- vzteklinu/vzteklina/NNFS4-----A---- ././Z:-------------;0;NMG: publicistika
2;K/k/RR--3---------- tomu/ten/PDNS3---------- všemu/všechen/PLNS3----------;choval/chovat/VpMS----R-AAI-- v/v/RR--6---------- této/tento/PDFS6---------- chvíli/chvíle/NNFS6-----A---- důvodné/důvodný/AANS4----1A---- podezření/podezření/NNNS4-----A----;,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- mu/on/PHMS3--3------- za/za/RR--7---------- záclonami/záclona/NNFP7-----A---- německého/německý/AANS2----1A---- velvyslanectví/velvyslanectví/NNNS2-----A---- pěkně/pěkně/Dg-------1A---- hrdelně/hrdelně/Dg-------1A---- po/po/RR--6---------- německu/německu/ACNS6-----A---- posmívá/posmívat/VB-S---3P-AAI-- pár/pár/Db------------- tuctů/tucet/NNIP2-----A---- diváků/divák/NNMP2-----A---- ././Z:-------------;1;FIC: beletrie
3;"„/""/Z:------------- Dostalo/dostat/VpNS----R-AAP-- se/se/P7--4---------- mi/já/PH-S3--1------- varování/varování/NNNS1-----A---- ,/,/Z:------------- že/že/J,------------- Wu/Wu/NNMS1-----A---- Liang/Liang/NNMS1-----A----";chová/chovat/VB-S---3P-AAI-- podezření/podezření/NNNS4-----A----;vůči/vůči/RR--3---------- mému/můj/PSNS3-S1------- vyšetřování/vyšetřování/NNNS3-----A---- a/a/J^------------- že/že/J,------------- během/během/RR--2---------- několika/několik/Ca--2---------- dní/den/NNIP2-----A---1 bych/být/Vc-S---1----I-- mohl/moci/VpMS----R-AAI-- být/být/Vf--------A-I-- vyzván/vyzvat/VsMS------APP-- ,/,/Z:------------- abych/aby|být/J,-------------|Vc-S---1----I-- se/se/P7--4---------- bránil/bránit/VpMS----R-AAI-- vykonstruovaným/vykonstruovaný/AANP3----1A---- nařčením/nařčení/NNNP3-----A---- ze/z/RV--2---------- skutků/skutek/NNIP2-----A---- ,/,/Z:------------- z/z/RR--2---------- nichž/jenž/P9IP2---------- se/se/P7--4---------- chystám/chystat/VB-S---1P-AAI-- obvinit/obvinit/Vf--------A-P-- jeho/on/PPMS4--3------- ././Z:-------------;1;FIC: beletrie
4;Proto/proto/Db------------- se/se/P7--4---------- Kolumbus/Kolumbus/NNMS1-----A---- mesiášsky/mesiášsky/Dg-------1A---- považuje/považovat/VB-S---3P-AAI-- za/za/RR--4---------- zosobnění/zosobnění/NNNS4-----A---- transcendentní/transcendentní/AAFS2----1A---- mise/mise/NNFS2-----A---- ,/,/Z:------------- když/když/J,-------------;chová/chovat/VB-S---3P-AAI-- podezření/podezření/NNNS4-----A----;",/,/Z:------------- že/že/J,------------- vlastně/vlastně/TT------------- objevil/objevit/VpMS----R-AAP-- svět/svět/NNIS4-----A---- ,/,/Z:------------- a/a/J^------------- proto/proto/J^------------- ve/v/RV--6---------- své/svůj/P8FS6---------1 Knize/kniha/NNFS6-----A---- proroctví/proroctví/NNNS1-----A---- vymyslí/vymyslet/VB-S---3P-AAP-- seznam/seznam/NNIS4-----A---- biblických/biblický/AAIP2----1A---- a/a/J^------------- řeckořímských/řeckořímský/AAIP2----1A---- textů/text/NNIP2-----A---- ,/,/Z:------------- středověkých/středověký/AAFP2----1A---- legend/legenda/NNFP2-----A---- a/a/J^------------- znamení/znamení/NNNP2-----A---- všeho/všechen/PLIS2---------- druhu/druh/NNIS2-----A---- ,/,/Z:------------- které/který/P4IP1---------- ""/""/Z:------------- předvídají/předvídat/VB-P---3P-AAI-- ""/""/Z:------------- Ameriku/Amerika/NNFS4-----A---- z/z/RR--2---------- dob/doba/NNFP2-----A---- nejdávnějšího/dávný/AAIS2----3A---- starověku/starověk/NNIS2-----A---- ././Z:-------------";1;NFC: oborová literatura
5;Dívkám/dívka/NNFP3-----A---- však/však/J^------------- uložili/uložit/VpMP----R-AAP-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- nesmějí/smět/VB-P---3P-NAI-- k/k/RR--3---------- těmto/tento/PDMP3---------- vyvrhelům/vyvrhel/NNMP3-----A----;chovat/chovat/Vf--------A-I-- nenávistně/nenávistně/Dg-------1A---- ,/,/Z:------------- naopak/naopak/TT------------- navenek/navenek/Db------------- ať/ať/TT------------- se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5MP3--3------- chovají/chovat/VB-P---3P-AAI-- přívětivě/přívětivě/Dg-------1A---- ,/,/Z:------------- ale/ale/J^------------- ať/ať/TT------------- s/s/RR--7---------- nimi/oni/P5MP7--3------- nevedou/vést/VB-P---3P-NAI-- žádné/žádný/PWFP1---------- zbytečné/zbytečný/AAFP1----1A---- řeči/řeč/NNFP1-----A---- ,/,/Z:------------- nepřijímají/přijímat/VB-P---3P-NAI-- od/od/RR--2---------- nich/oni/P5FP2--3------- žádné/žádný/PWIP4---------- vzkazy/vzkaz/NNIP4-----A---- ven/ven/Db------------- a/a/J^------------- při/při/RR--6---------- prvním/první/CrIS6---------- přestupku/přestupek/NNIS6-----A---- ,/,/Z:------------- podezření/podezření/NNNS4-----A----;z/z/RR--2---------- přestupku/přestupek/NNIS2-----A---- nebo/nebo/J^------------- možném/možný/AANS6----1A---- podezření/podezření/NNNS6-----A---- z/z/RR--2---------- přestupku/přestupek/NNIS2-----A---- ať/ať/TT------------- to/ten/PDNS4---------- okamžitě/okamžitě/Dg-------1A---- ohlásí/ohlásit/VB-S---3P-AAP-- operačnímu/operační/AAMS3----1A---- důstojníkovi/důstojník/NNMS3-----A---- majoru/major/NNMS3-----A---1 Šikinovi/Šikin/NNMS3-----A---- ././Z:-------------;0;FIC: beletrie
6;Trillian/Trillian/X@-------------;chovala/chovat/VpFS----R-AAI-- jisté/jistý/AANS4----1A---- podezření/podezření/NNNS4-----A----;,/,/Z:------------- že/že/J,------------- hlavní/hlavní/AAIS1----1A---- důvod/důvod/NNIS1-----A---- ,/,/Z:------------- proč/proč/Db------------- Zafodův/Zafodův/AUIS1M--------- život/život/NNIS1-----A---- byl/být/VpIS----R-AAI-- tak/tak/Db------------- bouřlivý/bouřlivý/AAIS1----1A---- a/a/J^------------- tak/tak/Db------------- úspěšný/úspěšný/AAIS1----1A---- ,/,/Z:------------- spočíval/spočívat/VpIS----R-AAI-- v/v/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- že/že/J,------------- nikdy/nikdy/Db------------- pořádně/pořádně/Dg-------1A---- nevěděl/vědět/VpMS----R-NAI-- ,/,/Z:------------- co/co/PQ--4---------- vlastně/vlastně/TT------------- dělá/dělat/VB-S---3P-AAI-- ././Z:-------------;1;FIC: beletrie
7;Ovšem/ovšem/TT------------- já/já/PP-S1--1------- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- na/na/RR--4---------- to/ten/PDNS4---------- šel/jít/VpMS----R-AAI-- podívat/podívat/Vf--------A-P-- předem/předem/Db------------- zaujatý/zaujatý/AAMS1----1A---- -/-/Z:------------- jako/jako/J,------------- většina/většina/NNFS1-----A---- lidí/člověk/NNMP2-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- sloužili/sloužit/VpMP----R-AAI-- v/v/RR--6---------- armádě/armáda/NNFS6-----A---- ,/,/Z:-------------;choval/chovat/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- poťouchlé/poťouchlý/AANS4----1A---- podezření/podezření/NNNS4-----A----;,/,/Z:------------- že/že/J,------------- Noel/Noel/NNMS1-----A---- Baxter/Baxter/NNMS1-----A---- by/být/Vc----------I-- nikdy/nikdy/Db------------- neměl/mít/VpMS----R-NAI-- šanci/šance/NNFS4-----A---- získat/získat/Vf--------A-P-- postavení/postavení/NNNS4-----A---- ,/,/Z:------------- jemuž/jenž/PJMS3---------- se/se/P7--4---------- těšil/těšit/VpMS----R-AAI-- ,/,/Z:------------- kdyby/kdyby|být/J,-------------|Vc----------I-- nebyl/být/VpMS----R-NAI-- se/s/RV--7---------- svým/svůj/P8NS7---------- déčkem/déčko/NNNS7-----A---- skončil/skončit/VpMS----R-AAP-- jako/jako/J,------------- škrabák/škrabák/NNMS1-----A---- v/v/RR--6---------- teplíčku/teplíčko/NNNS6-----A---- ,/,/Z:------------- zatímco/zatímco/J,------------- skuteční/skutečný/AAMP1----1A---- američtí/americký/AAMP1----1A---- dramatici/dramatik/NNMP1-----A---- mladší/mladý/AAFS2----2A---- generace/generace/NNFS2-----A---- uplatňovali/uplatňovat/VpMP----R-AAI-- svůj/svůj/P8IS4---------- talent/talent/NNIS4-----A---- v/v/RR--6---------- bombardérech/bombardér/NNIP6-----A---- a/a/J^------------- při/při/RR--6---------- čištění/čištění/NNNS6-----A---- minových/minový/AANP2----1A---- polí/pole/NNNP2-----A---- .../.../Z:-------------;1;FIC: beletrie
8;Při/při/RR--6---------- noční/noční/AAFS6----1A---- procházce/procházka/NNFS6-----A---- městem/město/NNNS7-----A---- se/se/P7--4---------- před/před/RR--7---------- policejní/policejní/AAFS7----1A---- hlídkou/hlídka/NNFS7-----A----;chovali/chovat/VpMP----R-AAI-- tak/tak/Db------------- vystrašeně/vystrašeně/Dg-------1A---- ,/,/Z:------------- že/že/J,------------- to/ten/PDNS1---------- vzbudilo/vzbudit/VpNS----R-AAP-- podezření/podezření/NNNS4-----A----;././Z:-------------;0;NMG: publicistika
9;A/a/J^------------- Sova/Sova/NNMS1-----A----;choval/chovat/VpMS----R-AAI-- tajné/tajný/AANS4----1A---- podezření/podezření/NNNS4-----A----;vůči/vůči/RR--3---------- skutečnostem/skutečnost/NNFP3-----A---- nabízejícím/nabízející/AGFP3-----A---- se/se/P7--4---------- ochotně/ochotně/Dg-------1A---- všanc/všanc/Db------------- ././Z:-------------;1;FIC: beletrie
10;WASHINGTON/Washington/NNIS1-----A---- -/-/Z:------------- Přístup/přístup/NNIS1-----A---- k/k/RR--3---------- severokorejskému/severokorejský/AANS3----1A---- zařízení/zařízení/NNNS3-----A---- ,/,/Z:------------- o/o/RR--6---------- němž/jenž/P9NS6---------- USA/USA/BN-------------;chovají/chovat/VB-P---3P-AAI-- podezření/podezření/NNNS4-----A----;,/,/Z:------------- že/že/J,------------- slouží/sloužit/VB-P---3P-AAI-- vývoji/vývoj/NNIS3-----A---- jaderných/jaderný/AAFP2----1A---- zbraní/zbraň/NNFP2-----A---- ,/,/Z:------------- by/být/Vc----------I-- mohl/moci/VpIS----R-AAI-- být/být/Vf--------A-I-- klíčem/klíč/NNIS7-----A---- k/k/RR--3---------- mírové/mírový/AAFS3----1A---- dohodě/dohoda/NNFS3-----A---- na/na/RR--6---------- Korejském/korejský/AAIS6----1A---- poloostrově/poloostrov/NNIS6-----A---- ././Z:-------------;1;NMG: publicistika
11;Od/od/RR--2---------- té/ten/PDFS2---------- doby/doba/NNFS2-----A----;chovám/chovat/VB-S---1P-AAI-- podezření/podezření/NNNS4-----A----;k/k/RR--3---------- účelovým/účelový/AANP3----1A---- obviněním/obvinění/NNNP3-----A---- ,/,/Z:------------- která/který/P4NP1---------- mohou/moci/VB-P---3P-AAI-1 mít/mít/Vf--------A-I-- ekonomický/ekonomický/AAIS4----1A---- nebo/nebo/J^------------- politický/politický/AAIS4----1A---- podtext/podtext/NNIS4-----A---- ././Z:-------------;1;NMG: publicistika
12;Typické/typický/AANS1----1A---- je/být/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- člověk/člověk/NNMS1-----A---- začne/začít/VB-S---3P-AAP--;chovat/chovat/Vf--------A-I-- lhostejně/lhostejně/Dg-------1A---- až/až/TT------------- cynicky/cynicky/Dg-------1A---- ,/,/Z:------------- chybí/chybět/VB-S---3P-AAI-- mu/on/PHMS3--3------- elán/elán/NNIS1-----A---- ,/,/Z:------------- omezuje/omezovat/VB-S---3P-AAI-- kontakt/kontakt/NNIS4-----A---- se/s/RV--7---------- zákazníky/zákazník/NNMP7-----A---- ,/,/Z:------------- dostává/dostávat/VB-S---3P-AAI-- se/se/P7--4---------- do/do/RR--2---------- konfliktů/konflikt/NNIP2-----A---- s/s/RR--7---------- kolegy/kolega/NNMP7-----A---- ,/,/Z:------------- není/být/VB-S---3P-NAI-- schopen/schopný/ACMS------A---- udržet/udržet/Vf--------A-P-- pracovní/pracovní/AANS4----1A---- tempo/tempo/NNNS4-----A---- a/a/J^------------- v/v/RR--6---------- práci/práce/NNFS6-----A---- se/se/P7--4---------- častěji/často/Dg-------2A---- dopouští/dopouštět/VB-S---3P-AAI-- chyb/chyba/NNFP2-----A---- Pokud/pokud/J,------------- vedoucí/vedoucí/AGMS1-----A---- pracovník/pracovník/NNMS1-----A---- pojme/pojmout/VB-S---3P-AAP-- podezření/podezření/NNNS4-----A----;,/,/Z:------------- že/že/J,------------- konkrétní/konkrétní/AAMS1----1A---- zaměstnanec/zaměstnanec/NNMS1-----A---- se/se/P7--4---------- dostal/dostat/VpMS----R-AAP-- do/do/RR--2---------- problému/problém/NNIS2-----A---- ,/,/Z:------------- je/být/VB-S---3P-AAI-- v/v/RR--6---------- první/první/CrFS6---------- řadě/řada/NNFS6-----A---- nutné/nutný/AANS1----1A---- promluvit/promluvit/Vf--------A-P-- si/se/P7--3---------- s/s/RR--7---------- ním/on/P5MS7--3------- ././Z:-------------;0;NMG: publicistika
