id;left;kwic;right
"1";"Podotkla/podotknout/VpFS----R-AAP-1 také/také/Db------------- ,/,/Z:------------- že/že/J,------------- zelení/zelený/AAMP1----1A---- respektovali/respektovat/VpMP----R-AAI--";"postoj/postoj/NNIS4-----A---- lidovců/lidovec/NNMP2-----A---- v/v/RR--6---------- případě/případ/NNIS6-----A---- údajné/údajný/AAFS2----1A---- korupční/korupční/AAFS2----1A---- aféry/aféra/NNFS2-----A---- jejich/jejich/PSMS2-P3------- předsedy/předseda/NNMS2-----A---- Jiřího/Jiří/NNMS2-----A---- Čunka/Čunek/NNMS2-----A---- ,/,/Z:------------- zatímco/zatímco/J,------------- oni/oni/PPMP1--3------- se/se/P7--4---------- nyní/nyní/Db------------- chovají/chovat/VB-P---3P-AAI--";"spíš/spíš/TT------------- jako/jako/J,------------- opozice/opozice/NNFS1-----A---- ././Z:-------------"
"2";"Toto/tento/PDNS1---------- tvrzení/tvrzení/NNNS1-----A---- nemá/mít/VB-S---3P-NAI-- za/za/RR--4---------- účel/účel/NNIS4-----A---- zpochybnit/zpochybnit/Vf--------A-P-- výzkum/výzkum/NNIS4-----A---- čtenosti/čtenost/NNFS2-----A---- ,/,/Z:------------- který/který/P4IS1---------- je/být/VB-S---3P-AAI-- potřebný/potřebný/AAIS1----1A---- a/a/J^------------- pomáhá/pomáhat/VB-S---3P-AAI-- tiskovému/tiskový/AAIS3----1A---- trhu/trh/NNIS3-----A---- i/i/J^------------- přes/přes/RR--4---------- své/svůj/P8IP4---------1 limity/limit/NNIP4-----A---- ,/,/Z:------------- ale/ale/J^------------- alibistický/alibistický/AAIS4----1A----";"postoj/postoj/NNIS4-----A---- některých/některý/PZMP2---------- vydavatelů/vydavatel/NNMP2-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- chtějí/chtít/VB-P---3P-AAI-- využívat/využívat/Vf--------A-I-- výhody/výhoda/NNFP4-----A---- tohoto/tento/PDIS2---------- výzkumu/výzkum/NNIS2-----A---- ,/,/Z:------------- aniž/aniž/J,------------- by/být/Vc----------I-- odkryli/odkrýt/VpMP----R-AAP-- karty/karta/NNFP4-----A---- o/o/RR--6---------- prodaném/prodaný/AAIS6----1A---- nákladu/náklad/NNIS6-----A---- za/za/RR--2---------- stejných/stejný/AAFP2----1A---- podmínek/podmínka/NNFP2-----A---- jako/jako/J,------------- ostatní/ostatní/AAMP1----1A---- ,/,/Z:------------- kteří/který/P4MP1---------- se/se/P7--4---------- chtějí/chtít/VB-P---3P-AAI-- chovat/chovat/Vf--------A-I--";"transparentně/transparentně/Dg-------1A---- ././Z:-------------"
"3";"Francouzský/francouzský/AAMS1----1A---- prezident/prezident/NNMS1-----A---- včera/včera/Db------------- vzkázal/vzkázat/VpMS----R-AAP-- kandidátským/kandidátský/AAFP3----1A---- zemím/země/NNFP3-----A---- ,/,/Z:------------- které/který/P4FP1---------- podporovaly/podporovat/VpFP----R-AAI-- proválečný/proválečný/AAIS4----1A----";"postoj/postoj/NNIS4-----A---- USA/USA/BN------------- :/:/Z:------------- ""/""/Z:------------- Chovali/chovat/VpMP----R-AAI--";"jste/být/VB-P---2P-AAI-- se/se/P7--4---------- infantilně/infantilně/Dg-------1A---- a/a/J^------------- nebezpečně/bezpečně/Dg-------1N---- ././Z:-------------"
"4";"Až/až/TT------------- 20/20/C=------------- ././Z0------------- dubna/duben/NNIS2-----A---- 1945/1945/C=------------- vydala/vydat/VpFS----R-AAP-- Stavka/Stavka/X@------------- jeho/jeho/PSIS4-S3------- rozkaz/rozkaz/NNIS4-----A---- ,/,/Z:------------- který/který/P4IS1---------- nařizoval/nařizovat/VpIS----R-AAI-- vojákům/voják/NNMP3-----A---- „/""/Z:------------- změnit/změnit/Vf--------A-P--";"postoj/postoj/NNIS4-----A---- k/k/RR--3---------- Němcům/Němec/NNMP3-----A---- …/.../Z:------------- a/a/J^------------- chovat/chovat/Vf--------A-I--";"se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5MP3--3------- lépe/dobře/Dg-------2A---- “/""/Z:------------- ././Z:-------------"
"5";"Jeho/jeho/PSIS4-S3-------";"postoj/postoj/NNIS4-----A---- ,/,/Z:------------- jeho/jeho/PSIS4-S3------- chovám/chovat/VB-S---1P-AAI--";"a/a/J^------------- jeho/jeho/PSIS1-S3------- úsměv/úsměv/NNIS1-----A---- ,/,/Z:------------- dokonce/dokonce/TT------------- i/i/J^------------- ten/ten/PDIS4---------- drahý/drahý/AAIS1----1A---- oblek/oblek/NNIS1-----A---- na/na/RR--4---------- míru/míra/NNFS4-----A---- říkaly/říkat/VpIP----R-AAI-- ,/,/Z:------------- že/že/J,------------- Johnny/Johnny/NNMS1-----A---- Milton/Milton/NNMS1-----A---- bude/být/VB-S---3F-AAI-- během/během/RR--2---------- deseti/deset/Cn-P2---------- minut/minuta/NNFP2-----A---- volný/volný/AAMS1----1A---- ././Z:-------------"
"6";"""/""/Z:------------- Milá/milý/AAFS5----1A---- slečno/slečna/NNFS5-----A---- Morrisonová/Morrisonová/NNFS5-----A---- ,/,/Z:------------- člověk/člověk/NNMS1-----A---- nemusí/muset/VB-S---3P-NAI-- být/být/Vf--------A-I-- psychologem/psycholog/NNMS7-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- uhodl/uhodnout/VpMS----R-AAP-1 váš/váš/PSIS4-P2-------";"postoj/postoj/NNIS4-----A---- k/k/RR--3---------- vaší/váš/PSFS3-P2------- nevlastní/vlastní/AAFS3----1N---- matce/matka/NNFS3-----A---- poté/poté/Db------------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- poslední/poslední/AAFS7----1A---- dobou/doba/NNFS7-----A---- chovala/chovat/VpFS----R-AAI--";"././Z:------------- ""/""/Z:-------------"
"7";"Jak/jak/Db------------- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- již/již/Db------------- zmínil/zmínit/VpMS----R-AAP-- ,/,/Z:------------- vyváděl/vyvádět/VpMS----R-AAI-- mé/můj/PSNS4-S1------1 během/během/RR--2---------- mého/můj/PSIS2-S1------- pobytu/pobyt/NNIS2-----A---- v/v/RR--6---------- New/New/F%------------- Yorku/York/NNIS6-----A---- z/z/RR--2---------- míry/míra/NNFS2-----A---- objev/objev/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- Newyorčané/Newyorčan/NNMP1-----A---- mají/mít/VB-P---3P-AAI-- sklon/sklon/NNIS4-----A---- zaujímat/zaujímat/Vf--------A-I-- k/k/RR--3---------- Jižanům/jižan/NNMP3-----A---- krajně/krajně/Dg-------1A---- nepřátelský/přátelský/AAIS4----1N----";"postoj/postoj/NNIS4-----A---- (/(/Z:------------- ostatně/ostatně/TT------------- podobně/podobně/Dg-------1A---- se/se/P7--4---------- ke/k/RV--3---------- mně/já/PP-S3--1------- choval/chovat/VpMS----R-AAI--";"ze/z/RV--2---------- začátku/začátek/NNIS2-----A---- i/i/J^------------- Nathan/Nathan/NNMS1-----A---- )/)/Z:------------- anebo/anebo/J^------------- se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5MP3--3------- chovají/chovat/VB-P---3P-AAI-- s/s/RR--7---------- jistou/jistý/AAFS7----1A---- pobavenou/pobavený/AAFS7----1A---- blahosklonností/blahosklonnost/NNFS7-----A---- ,/,/Z:------------- jako/jako/J,------------- by/být/Vc----------I-- před/před/RR--7---------- sebou/se/P6--7---------- měli/mít/VpMP----R-AAI-- nějaký/nějaký/PZIS4---------- zvláštní/zvláštní/AAIS4----1A---- druh/druh/NNIS4-----A---- minstrelů/minstrel/NNMP2-----A---- pro/pro/RR--4---------- obveselení/obveselení/NNNS4-----A---- ././Z:-------------"
"8";"Pozitivní/pozitivní/AAIS4----1A----";"postoj/postoj/NNIS4-----A---- k/k/RR--3---------- soutěžím/soutěž/NNFP3-----A---- tohoto/tento/PDIS2---------- rázu/ráz/NNIS2-----A---- chová/chovat/VB-S---3P-AAI--";"i/i/J^------------- Jiřičná/Jiřičná/NNFS1-----A---- ././Z:-------------"
"9";"Mívá/mívat/VB-S---3P-AAI-- dobrou/dobrý/AAFS4----1A---- náladu/nálada/NNFS4-----A---- ,/,/Z:------------- i/i/J^------------- když/když/J,------------- pod/pod/RR--7---------- povrchem/povrch/NNIS7-----A---- neustále/neustále/Dg-------1A---- dřímá/dřímat/VB-S---3P-AAI-- jistá/jistý/AAFS1----1A---- podrážděnost/podrážděnost/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- vyjde/vyjít/VB-S---3P-AAP-- najevo/najevo/Db------------- ,/,/Z:------------- musí/muset/VB-S---3P-AAI-- -/-/Z0------------- li/li/J,------------- zaujmout/zaujmout/Vf--------A-P-- nějaký/nějaký/PZIS4----------";"postoj/postoj/NNIS4-----A---- k/k/RR--3---------- lidem/člověk/NNMP3-----A---- ,/,/Z:------------- k/k/RR--3---------- nimž/jenž/P9FP3---------- při/při/RR--6---------- nejlepší/dobrý/AAFS6----3A---- vůli/vůle/NNFS6-----A---- nedokáže/dokázat/VB-S---3P-NAP-- chovat/chovat/Vf--------A-I--";"úctu/úcta/NNFS4-----A---- ././Z:-------------"
"10";"Můžete/moci/VB-P---2P-AAI-- se/se/P7--4---------- bouřit/bouřit/Vf--------A-I-- vůči/vůči/RR--3---------- autoritám/autorita/NNFP3-----A---- především/především/TT------------- otcovského/otcovský/AAIS2----1A---- typu/typ/NNIS2-----A---- a/a/J^------------- zároveň/zároveň/Db------------- zaujímat/zaujímat/Vf--------A-I-- poraženecký/poraženecký/AAIS4----1A----";"postoj/postoj/NNIS4-----A---- a/a/J^------------- chovat/chovat/Vf--------A-I--";"se/se/P7--4---------- nedospěle/nedospěle/Dg-------1N---- ././Z:-------------"
