id;left;kwic;right
"1";"""/""/Z:------------- Firma/firma/NNFS1-----A---- se/se/P7--4----------";"chová/chovat/VB-S---3P-AAI-- velice/velice/Db------------- seriózně/seriózně/Dg-------1A---- ,/,/Z:------------- vždyť/vždyť/J^------------- zatím/zatím/Db------------- se/se/P7--4---------- ještě/ještě/Db------------- nic/nic/PW--1---------- neprodává/prodávat/VB-S---3P-NAI-- a/a/J^------------- nový/nový/AAIS1----1A---- obchod/obchod/NNIS1-----A---- se/se/P7--4---------- teprve/teprve/Db------------- staví/stavět/VB-S---3P-AAI-- ,/,/Z:------------- ""/""/Z:------------- zdůvodňuje/zdůvodňovat/VB-S---3P-AAI-- vstřícný/vstřícný/AAIS4----1A---- postoj/postoj/NNIS4-----A----";"vedení/vedení/NNNS2-----A---- radnice/radnice/NNFS2-----A---- k/k/RR--3---------- doplnění/doplnění/NNNS3-----A---- smlouvy/smlouva/NNFS2-----A---- místostarosta/místostarosta/NNMS1-----A---- ././Z:-------------"
"2";"Protože/protože/J,------------- lidé/člověk/NNMP1-----A---- se/se/P7--4---------- po/po/RR--6---------- překročení/překročení/NNNS6-----A---- padesátky/padesátka/NNFS2-----A---- nezačínají/začínat/VB-P---3P-NAI--";"chovat/chovat/Vf--------A-I-- jinak/jinak/Db------------- ,/,/Z:------------- nemění/měnit/VB-P---3P-NAI-- své/svůj/P8IP4---------1 postoje/postoj/NNIP4-----A----";"././Z:-------------"
"3";"Tuzemská/tuzemský/AAFS1----1A---- politická/politický/AAFS1----1A---- reprezentace/reprezentace/NNFS1-----A---- se/se/P7--4---------- zřejmě/zřejmě/TT------------- neumí/umět/VB-S---3P-NAI--";"chovat/chovat/Vf--------A-I-- normálně/normálně/Dg-------1A---- ,/,/Z:------------- zaujmout/zaujmout/Vf--------A-P-- racionální/racionální/AAIS4----1A---- postoj/postoj/NNIS4-----A----";"bez/bez/RR--2---------- divadla/divadlo/NNNS2-----A---- a/a/J^------------- vysvětlování/vysvětlování/NNNS2-----A---- ,/,/Z:------------- jak/jak/Db------------- to/ten/PDNS4---------- vlastně/vlastně/TT------------- ten/ten/PDMS1---------- druhý/druhý/CrMS1---------- myslí/myslet/VB-S---3P-AAI-- a/a/J^------------- jaké/jaký/P4IP4---------- má/mít/VB-S---3P-AAI-- motivy/motiv/NNIP4-----A---- ././Z:-------------"
"4";"2/2/C=------------- ././Z0------------- Tento/tento/PDIS1---------- stát/stát/NNIS1-----A---- se/se/P7--4---------- ke/k/RV--3---------- kultuře/kultura/NNFS3-----A----";"chová/chovat/VB-S---3P-AAI-- velmi/velmi/Db------------- arogantně/arogantně/Dg-------1A---- a/a/J^------------- koloniálně/koloniálně/Dg-------1A---- a/a/J^------------- Hrad/hrad/NNIS1-----A---- tento/tento/PDIS4---------- postoj/postoj/NNIS4-----A----";"reprezentuje/reprezentovat/VB-S---3P-AAB-- ././Z:-------------"
"5";"Protože/protože/J,------------- se/se/P7--4---------- k/k/RR--3---------- ní/on/P5FS3--3-------";"chovali/chovat/VpMP----R-AAI-- od/od/RR--2---------- začátku/začátek/NNIS2-----A---- odtažitě/odtažitě/Dg-------1A---- ,/,/Z:------------- nemuseli/muset/VpMP----R-NAI-- svůj/svůj/P8IS4---------- postoj/postoj/NNIS4-----A----";"měnit/měnit/Vf--------A-I-- jen/jen/Db------------- proto/proto/Db------------- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- jejich/jejich/PSMS1-P3------- syn/syn/NNMS1-----A---- rozhodl/rozhodnout/VpMS----R-AAP-1 z/z/RR--2---------- nějakého/nějaký/PZIS2---------- nejasného/jasný/AAIS2----1N---- důvodu/důvod/NNIS2-----A---- rodinu/rodina/NNFS4-----A---- opustit/opustit/Vf--------A-P-- ././Z:-------------"
"6";"„/""/Z:------------- Asi/asi/TT------------- vůči/vůči/RR--3---------- ní/on/P5FS3--3-------";"chováš/chovat/VB-S---2P-AAI-- hodně/hodně/Dg-------1A---- ochranitelský/ochranitelský/AAIS4----1A---- postoj/postoj/NNIS4-----A----";"././Z:------------- “/""/Z:-------------"
"7";"""/""/Z:------------- Provádím/provádět/VB-S---1P-AAI-- jistý/jistý/AAIS4----1A---- pokus/pokus/NNIS4-----A---- ,/,/Z:------------- Lil/lít/VpMS----R-AAI-- ,/,/Z:------------- ""/""/Z:------------- začal/začít/VpMS----R-AAP-- jsem/být/VB-S---1P-AAI-- potřetí/potřetí/Cv------------- ././Z:------------- ""/""/Z:------------- V/v/RR--6---------- jeho/jeho/PSIS6-S3------- rámci/rámec/NNIS6-----A---- se/se/P7--4---------- občas/občas/Db------------- musím/muset/VB-S---1P-AAI--";"chovat/chovat/Vf--------A-I-- více/hodně/Dg-------2A---- méně/málo/Dg-------2A---- výstředně/výstředně/Dg-------1A---- ,/,/Z:------------- brát/brát/Vf--------A-I-- na/na/RR--4---------- sebe/se/P6--4---------- jisté/jistý/AAFP4----1A---- neobvyklé/obvyklý/AAFP4----1N---- role/role/NNFP4-----A---- ,/,/Z:------------- zaujímat/zaujímat/Vf--------A-I-- zvláštní/zvláštní/AAIP4----1A---- postoje/postoj/NNIP4-----A----";",/,/Z:------------- dávat/dávat/Vf--------A-I-- najevo/najevo/Db------------- podivné/podivný/AAFP4----1A---- emoce/emoce/NNFP4-----A---- -/-/Z:------------- abych/aby|být/J,-------------|Vc-S---1----I-- mohl/moci/VpMS----R-AAI-- důkladně/důkladně/Dg-------1A---- prozkoumat/prozkoumat/Vf--------A-P-- rozrůzněnost/rozrůzněnost/NNFS4-----A---- lidské/lidský/AAFS2----1A---- povahy/povaha/NNFS2-----A---- ././Z:------------- ""/""/Z:-------------"
"8";"*/*/Z:------------- Umět/umět/Vf--------A-I-- vyhledat/vyhledat/Vf--------A-P-- nabídky/nabídka/NNFP4-----A---- práce/práce/NNFS2-----A---- a/a/J^------------- orientovat/orientovat/Vf--------A-B-- se/se/P7--4---------- v/v/RR--6---------- ní/on/P5FS6--3------- ././Z0------------- */*/Z:------------- Jak/jak/Db------------- napsat/napsat/Vf--------A-P-- profesní/profesní/AAIS4----1A---- životopis/životopis/NNIS4-----A---- a/a/J^------------- motivační/motivační/AAIS4----1A---- dopis/dopis/NNIS4-----A---- ././Z0------------- */*/Z:------------- Umět/umět/Vf--------A-I-- správně/správně/Dg-------1A---- vystupovat/vystupovat/Vf--------A-I-- při/při/RR--6---------- stresových/stresový/AAFP6----1A---- situacích/situace/NNFP6-----A---- ././Z0------------- */*/Z:------------- Naučí/naučit/VB-S---3P-AAP-- vybrat/vybrat/Vf--------A-P-- vhodné/vhodný/AANS4----1A---- oblečení/oblečení/NNNS4-----A---- na/na/RR--4---------- pohovor/pohovor/NNIS4-----A---- a/a/J^------------- jak/jak/Db------------- se/se/P7--4---------- na/na/RR--6---------- něm/on/P5NS6--3-------";"chovat/chovat/Vf--------A-I-- ././Z0------------- */*/Z:------------- Jak/jak/Db------------- změnit/změnit/Vf--------A-P-- své/svůj/P8IP4---------1 postoje/postoj/NNIP4-----A----";"k/k/RR--3---------- sobě/se/P6--3---------- a/a/J^------------- okolí/okolí/NNNS3-----A---- ././Z0------------- */*/Z:------------- Poradí/poradit/VB-S---3P-AAP-- o/o/RR--6---------- pomoci/pomoc/NNFS6-----A---- od/od/RR--2---------- jiných/jiný/AAFP2----1A---- institucí/instituce/NNFP2-----A---- ,/,/Z:------------- jako/jako/J,------------- je/být/VB-S---3P-AAI-- například/například/TT------------- Česká/český/AAFS1----1A---- správa/správa/NNFS1-----A---- sociálního/sociální/AANS2----1A---- zabezpečení/zabezpečení/NNNS2-----A---- ././Z0------------- */*/Z:------------- Poskytnou/poskytnout/VB-P---3P-AAP-- základní/základní/AAFS4----1A---- orientaci/orientace/NNFS4-----A---- v/v/RR--6---------- pracovně-právní/pracovně-právní/AAFS6----1A---- záležitostech/záležitost/NNFP6-----A---- ././Z:-------------"
"9";"Lze/lze/Db------------- tento/tento/PDIS4---------- fakt/fakt/NNIS4-----A---- vysvětlit/vysvětlit/Vf--------A-P-- a/a/J^------------- zdůvodnit/zdůvodnit/Vf--------A-P-- na/na/RR--6---------- základě/základ/NNIS6-----A---- toho/ten/PDNS2---------- ,/,/Z:------------- že/že/J,------------- jisté/jistý/AAFP1----1A---- věci/věc/NNFP1-----A---- přeměty/přeměty/X@------------- hodnocení/hodnocení/NNNS2-----A---- jsou/být/VB-P---3P-AAI-- přímo/přímo/Dg-------1A---- svou/svůj/P8FS7---------1 povahou/povaha/NNFS7-----A---- morálně/morálně/Dg-------1A---- dobré/dobrý/AAFP1----1A---- //Z:------------- špatné/špatný/AAFP1----1A---- a/a/J^------------- lidé/člověk/NNMP1-----A---- o/o/RR--6---------- tom/ten/PDNS6---------- v/v/RR--6---------- různé/různý/AAFS6----1A---- míře/míra/NNFS6-----A---- vědí/vědět/VB-P---3P-AAI-- ,/,/Z:------------- anebo/anebo/J^------------- na/na/RR--6---------- základě/základ/NNIS6-----A---- toho/ten/PDNS2---------- ,/,/Z:------------- že/že/J,------------- lidé/člověk/NNMP1-----A----";"chovají/chovat/VB-P---3P-AAI-- rozdílná/rozdílný/AANP4----1A---- přesvědčení/přesvědčení/NNNP4-----A---- o/o/RR--6---------- morálních/morální/AAFP6----1A---- hodnotách/hodnota/NNFP6-----A---- věcí/věc/NNFP2-----A---- ,/,/Z:------------- anebo/anebo/J^------------- třeba/třeba/TT------------- na/na/RR--6---------- základě/základ/NNIS6-----A---- toho/ten/PDNS2---------- ,/,/Z:------------- že/že/J,------------- lidé/člověk/NNMP1-----A---- mají/mít/VB-P---3P-AAI-- k/k/RR--3---------- věcem/věc/NNFP3-----A---- rozdílné/rozdílný/AAIP4----1A---- postoje/postoj/NNIP4-----A----";"?/?/Z:-------------"
"10";"„/""/Z:------------- Je/být/VB-S---3P-AAI-- výhradně/výhradně/Dg-------1A---- jen/jen/TT------------- a/a/J^------------- jen/jen/TT------------- na/na/RR--6---------- něm/on/P5MS6--3------- ,/,/Z:------------- jak/jak/Db------------- si/se/P7--3---------- zařídí/zařídit/VB-S---3P-AAP-- svůj/svůj/P8IS4---------- další/další/AAIS4----1A---- život/život/NNIS4-----A---- ,/,/Z:------------- kde/kde/Db------------- bude/být/VB-S---3F-AAI-- pracovat/pracovat/Vf--------A-I-- ,/,/Z:------------- jak/jak/Db------------- bude/být/VB-S---3F-AAI-- jednat/jednat/Vf--------A-I-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- bude/být/VB-S---3F-AAI--";"chovat/chovat/Vf--------A-I-- ,/,/Z:------------- jaké/jaký/P4IP4---------- bude/být/VB-S---3F-AAI-- zaujímat/zaujímat/Vf--------A-I-- postoje/postoj/NNIP4-----A----";",/,/Z:------------- “/""/Z:------------- odpovídá/odpovídat/VB-S---3P-AAI-- mluvčí/mluvčí/NNMS1-----A---- BIS/BIS/BN------------- Jan/Jan/NNMS1-----A---- Šubert/Šubert/NNMS1-----A---- na/na/RR--4---------- otázku/otázka/NNFS4-----A---- ,/,/Z:------------- zda/zda/J,------------- kontrarozvědka/kontrarozvědka/NNFS1-----A---- v/v/RR--6---------- případě/případ/NNIS6-----A---- agenta/agent/NNMS2-----A---- Staňka/Staněk/NNMS2-----A---- a/a/J^------------- dalších/další/AAMP2----1A---- odcházejících/odcházející/AGMP2-----A---- prověřuje/prověřovat/VB-S---3P-AAI-- ,/,/Z:------------- jestli/jestli/J,------------- jejich/jejich/PSIS1-P3------- přestup/přestup/NNIS1-----A---- do/do/RR--2---------- privátu/privát/NNIS2-----A---- s/s/RR--7---------- sebou/se/P6--7---------- nenese/nést/VB-S---3P-NAI-- nějaká/nějaký/PZNP4---------- bezpečnostní/bezpečnostní/AANP4----1A---- rizika/riziko/NNNP4-----A---- ././Z:-------------"
