id;left;kwic;right;VNP?;doc.txtype_group
1;"""/""/Z:------------- Vše/všechen/PLNS1---------1 nasvědčuje/nasvědčovat/VB-S---3P-AAI-- tomu/ten/PDNS3---------- ,/,/Z:------------- že/že/J,------------- nalezené/nalezený/AAFP1----1A---- chemikálie/chemikálie/NNFP1-----A---- pocházejí/pocházet/VB-P---3P-AAI-- z/z/RR--2---------- areálu/areál/NNIS2-----A---- Spolany/Spolana/NNFS2-----A---- ,/,/Z:------------- a/a/J^------------- proto/proto/J^------------- by/být/Vc----------I-- vedení/vedení/NNNS1-----A---- podniku/podnik/NNIS2-----A---- mělo/mít/VpNS----R-AAI-- převzít/převzít/Vf--------A-P-- zodpovědnost/zodpovědnost/NNFS4-----A---- i/i/J^------------- za/za/RR--4---------- znehodnocení/znehodnocení/NNNS4-----A---- pozemků/pozemek/NNIP2-----A---- v/v/RR--6---------- okolí/okolí/NNNS6-----A---- a/a/J^------------- kontaminaci/kontaminace/NNFS6-----A---- zvířat/zvíře/NNNP2-----A---- ,/,/Z:------------- která/který/P4NP1---------- zde/zde/Db------------- místní/místní/AAMP1----1A---- pro/pro/RR--4---------- svou/svůj/P8FS4---------1";potřebu/potřeba/NNFS4-----A---- chovali/chovat/VpMP----R-AAI--;",/,/Z:------------- ""/""/Z:------------- prohlásil/prohlásit/VpMS----R-AAP-- Miroslav/Miroslav/NNMS1-----A---- Šuta/Šuta/NNMS1-----A---- ,/,/Z:------------- konzultant/konzultant/NNMS1-----A---- Greenpeace/Greenpeace/NNNS2-----A---- pro/pro/RR--4---------- toxické/toxický/AAFP4----1A---- látky/látka/NNFP4-----A---- ././Z:-------------";1;NMG: publicistika
2;Dalo/dát/VpNS----R-AAP-- by/být/Vc----------I-- se/se/P7--4---------- tak/tak/Db------------- říci/říci/Vf--------A-P-- ,/,/Z:------------- že/že/J,------------- současná/současný/AAFS1----1A---- česká/český/AAFS1----1A---- střední/střední/AAFS1----1A---- generace/generace/NNFS1-----A---- jen/jen/Db------------- realizuje/realizovat/VB-S---3P-AAB-- a/a/J^------------- extenduje/extendovat/VB-S---3P-AAI-- potlačované/potlačovaný/AAFP4----1A----;potřeby/potřeba/NNFP4-----A---- svých/svůj/P8MP2---------- rodičů/rodič/NNMP2-----A---- a/a/J^------------- chová/chovat/VB-S---3P-AAI--;se/se/P7--4---------- tak/tak/Db------------- v/v/RR--6---------- logice/logika/NNFS6-----A---- konzumních/konzumní/AAFP2----1A---- hodnot/hodnota/NNFP2-----A---- ,/,/Z:------------- které/který/P4FP4---------- formovala/formovat/VpFS----R-AAI-- etapa/etapa/NNFS1-----A---- tzv/tzv/BA------------- ././Z0------------- gulášového/gulášový/AAIS2----1A---- komunismu/komunismus/NNIS2-----A---- ././Z:-------------;0;NFC: oborová literatura
3;SSSR/SSSR/BN------------- je/být/VB-S---3P-AAI-- velká/velký/AAFS1----1A---- ,/,/Z:------------- rychle/rychle/Dg-------1A---- se/se/P7--4---------- rozvíjející/rozvíjející/AGFS1-----A---- země/země/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- má/mít/VB-S---3P-AAI-- naléhavou/naléhavý/AAFS4----1A----;potřebu/potřeba/NNFS4-----A---- vědeckých/vědecký/AAMP2----1A---- pracovníků/pracovník/NNMP2-----A---- ,/,/Z:------------- a/a/J^------------- v/v/RR--6---------- důsledku/důsledek/NNIS6-----A---- toho/ten/PDNS2---------- se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5MP3--3------- chová/chovat/VB-S---3P-AAI--;štědře/štědře/Dg-------1A---- ././Z:-------------;0;NFC: oborová literatura
4;Aneta/Aneta/NNFS1-----A---- nemá/mít/VB-S---3P-NAI--;potřebu/potřeba/NNFS4-----A---- se/se/P7--4---------- předvádět/předvádět/Vf--------A-I-- ,/,/Z:------------- a/a/J^------------- takovou/takový/PDFS4---------- ,/,/Z:------------- jakou/jaký/P4FS4---------- ji/on/PPFS4--3------- můžete/moci/VB-P---2P-AAI-- vidět/vidět/Vf--------A-I-- na/na/RR--6---------- pódiu/podium/NNNS6-----A---- ,/,/Z:------------- tak/tak/J^------------- se/se/P7--4---------- chová/chovat/VB-S---3P-AAI--;i/i/J^------------- v/v/RR--6---------- soukromí/soukromí/NNNS6-----A---- ././Z:-------------;0;NMG: publicistika
5;když/když/J,------------- se/se/P7--4---------- někdo/někdo/PZM-1---------- ,/,/Z:------------- kdo/kdo/PKM-1---------- je/být/VB-S---3P-AAI-- bělejší/bílý/AAMS1----2A---1 než/než/J,------------- my/my/PP-P1--1------- ,/,/Z:------------- bohatší/bohatý/AANS1----2A---1 než/než/J,------------- my/my/PP-P1--1------- ,/,/Z:------------- černější/černý/AAMP1----2A---- než/než/J,------------- my/my/PP-P1--1------- ,/,/Z:------------- čínštější/čínský/AAMP1----2A---- než/než/J,------------- my/my/PP-P1--1------- ,/,/Z:------------- lepší/dobrý/AAMP1----2A---- než/než/J,------------- my/my/PP-P1--1------- ,/,/Z:------------- cokoli/cokoli/PZ--1---------- jiného/jiný/AANS2----1A---- než/než/J,------------- my/my/PP-P1--1------- ,/,/Z:------------- i/i/J^------------- v/v/RR--6---------- dnešních/dnešní/AAFP6----1A---- dobách/doba/NNFP6-----A---- rasové/rasový/AAFS2----1A---- rovnosti/rovnost/NNFS2-----A---- přihasí/přihasit/VB-S---3P-AAP-- a/a/J^------------- začne/začít/VB-S---3P-AAP-- nám/my/PP-P3--1------- svou/svůj/P8FS4---------1 rovnost/rovnost/NNFS4-----A---- cpát/cpát/Vf--------A-I-- pod/pod/RR--4---------- nos/nos/NNIS4-----A---- ,/,/Z:------------- vyvolá/vyvolat/VB-S---3P-AAP-- to/ten/PDNS1---------- naši/náš/PSFS4-P1-------;potřebu/potřeba/NNFS4-----A---- udělat/udělat/Vf--------A-P-- dojem/dojem/NNIS4-----A---- ,/,/Z:------------- chovat/chovat/Vf--------A-I--;se/se/P7--4---------- vzorně/vzorně/Dg-------1A---- ,/,/Z:------------- zastrčit/zastrčit/Vf--------A-P-- si/se/P7--3---------- košili/košile/NNFS4-----A---- ,/,/Z:------------- napsat/napsat/Vf--------A-P-- domácí/domácí/AAIS4----1A---- úkol/úkol/NNIS4-----A---- ,/,/Z:------------- chodit/chodit/Vf--------A-I-- včas/včas/Db------------- ,/,/Z:------------- využít/využít/Vf--------A-P-- trestné/trestný/AAIP4----1A---- hody/hod/NNIP4-----A---- ,/,/Z:------------- učit/učit/Vf--------A-I-- a/a/J^------------- prokázat/prokázat/Vf--------A-P-- ,/,/Z:------------- že/že/J,------------- za/za/RR--4---------- něco/něco/PZ--4---------- stojíme/stát/VB-P---1P-AAI-- v/v/RR--6---------- naději/naděje/NNFS6-----A---- ,/,/Z:------------- že/že/J,------------- nás/my/PP-P4--1------- nevyhodí/vyhodit/VB-P---3P-NAP-- ,/,/Z:------------- nezatknou/zatknout/VB-P---3P-NAP-- ,/,/Z:------------- neodvezou/odvézt/VB-P---3P-NAP-- někam/někam/Db------------- v/v/RR--6---------- náklaďáku/náklaďák/NNIS6-----A---- a/a/J^------------- nezastřelí/zastřelit/VB-P---3P-NAP-- ././Z:-------------;0;FIC: beletrie
6;Nenašel/najít/VpMS----R-NAP-- se/se/P7--4---------- nikdo/nikdo/PWM-1---------- ,/,/Z:------------- kdo/kdo/PKM-1---------- by/být/Vc----------I-- měl/mít/VpMS----R-AAI-- ještě/ještě/Db-------------;potřebu/potřeba/NNFS4-----A---- chovat/chovat/Vf--------A-I--;uprostřed/uprostřed/RR--2---------- města/město/NNNS2-----A---- prase/prase/NNNS4-----A---- ././Z:-------------;0;FIC: beletrie
7;Místo/místo/RR--2---------- touhy/touha/NNFS2-----A---- však/však/J^------------- měl/mít/VpMS----R-AAI-- najednou/najednou/Db------------- spíš/spíš/TT-------------;potřebu/potřeba/NNFS4-----A---- ji/on/PPFS4--3------- chránit/chránit/Vf--------A-I-- ,/,/Z:------------- chovat/chovat/Vf--------A-I--;ji/on/PPFS4--3------- jako/jako/J,------------- poklad/poklad/NNIS4-----A---- a/a/J^------------- pečovat/pečovat/Vf--------A-I-- o/o/RR--4---------- ni/on/P5FS4--3------- ,/,/Z:------------- kdežto/kdežto/J^------------- neřestný/neřestný/AAIS1----1A---- chtíč/chtíč/NNIS1-----A---- pozvolna/pozvolna/Db------------- ustupoval/ustupovat/VpIS----R-AAI-- do/do/RR--2---------- pozadí/pozadí/NNNS2-----A---- ././Z:-------------;0;FIC: beletrie
8;"„/""/Z:------------- Rozhodně/rozhodně/TT------------- nemám/mít/VB-S---1P-NAI--";potřebu/potřeba/NNFS4-----A---- chovat/chovat/Vf--------A-I--;"se/se/P7--4---------- jako/jako/J,------------- nějaký/nějaký/PZMS1---------- pistolník/pistolník/NNMS1-----A---- z/z/RR--2---------- westernu/western/NNIS2-----A---- a/a/J^------------- za/za/RR--4---------- každou/každý/PLFS4---------- cenu/cena/NNFS4-----A---- mířit/mířit/Vf--------A-I-- po/po/RR--6---------- kdekom/kdekdo/PZM-6---------- pistolí/pistole/NNFS7-----A---- ,/,/Z:------------- “/""/Z:------------- říká/říkat/VB-S---3P-AAI-- Ivo/Ivo/NNMS1-----A---- M/M/BN------------- ././Z0------------- z/z/RR--2---------- Náchoda/Náchod/NNIS2-----A---- ,/,/Z:------------- který/který/P4MS1---------- si/se/P7--3---------- zbraň/zbraň/NNFS4-----A---- pořídil/pořídit/VpMS----R-AAP-- zhruba/zhruba/Db------------- před/před/RR--7---------- rokem/rok/NNIS7-----A---- ././Z:-------------";0;NMG: publicistika
9;Proč/proč/Db------------- máš/mít/VB-S---2P-AAI--;potřebu/potřeba/NNFS4-----A---- chovat/chovat/Vf--------A-I--;"se/se/P7--4---------- v/v/RR--6---------- mojí/můj/PSFS6-S1------- přítomnosti/přítomnost/NNFS6-----A---- jako/jako/J,------------- kráva/kráva/NNFS1-----A---- ?/?/Z:------------- “/""/Z:------------- otázal/otázat/VpMS----R-AAP-- se/se/P7--4---------- věcně/věcně/Dg-------1A---- ././Z:-------------";0;FIC: beletrie
10;Nejen/nejen/Db------------- pro/pro/RR--4----------;potřeby/potřeba/NNFP4-----A---- ovocných/ovocný/AAIP2----1A---- sadů/sad/NNIP2-----A---- v/v/RR--6---------- současné/současný/AAFS6----1A---- době/doba/NNFS6-----A---- v/v/RR--6---------- Kojicích/Kojice/NNFP6-----A---- chovají/chovat/VB-P---3P-AAI--;120/120/C=------------- včelstev/včelstvo/NNNP2-----A---- pro/pro/RR--4---------- výrobu/výroba/NNFS4-----A---- medu/med/NNIS2-----A---- ././Z:-------------;0;NMG: publicistika
