id;left;kwic;right
"1";"Pokud/pokud/J,------------- nemají/mít/VB-P---3P-NAI-- na/na/RR--4---------- nečistoty/nečistota/NNFP4-----A---- zvláštní/zvláštní/AAFS4----1A---- jímku/jímka/NNFS4-----A---- a/a/J^------------- jsou/být/VB-P---3P-AAI-- napojeni/napojit/VsMP------APP-- na/na/RR--4---------- veřejnou/veřejný/AAFS4----1A---- kanalizaci/kanalizace/NNFS4-----A---- ,/,/Z:-------------";"chovají/chovat/VB-P---3P-AAI-- se/se/P7--4---------- v/v/RR--6---------- rozporu/rozpor/NNIS6-----A---- se/s/RV--7---------- zákonem/zákon/NNIS7-----A---- o/o/RR--6---------- odpadech/odpad/NNIP6-----A---- a/a/J^------------- zákonem/zákon/NNIS7-----A---- o/o/RR--6---------- vodovodech/vodovod/NNIP6-----A---- a/a/J^------------- kanalizacích/kanalizace/NNFP6-----A---- pro/pro/RR--4---------- veřejnou/veřejný/AAFS4----1A---- potřebu/potřeba/NNFS4-----A----";"././Z:-------------"
"2";"Široká/široký/AAFS1----1A---- škála/škála/NNFS1-----A---- vyhlášených/vyhlášený/AAIP2----1A---- kozích/kozí/AAIP2----1A---- výrobků/výrobek/NNIP2-----A---- od/od/RR--2---------- jogurtů/jogurt/NNIP2-----A---- až/až/TT------------- po/po/RR--4---------- sýry/sýr/NNIP4-----A---- se/se/P7--4---------- vyrábí/vyrábět/VB-S---3P-AAI-- v/v/RR--6---------- mlékárně/mlékárna/NNFS6-----A---- ,/,/Z:------------- která/který/P4FS1---------- je/být/VB-S---3P-AAI-- součástí/součást/NNFS7-----A---- farmy/farma/NNFS2-----A---- ././Z0------------- o/o/RR--6---------- Josef/Josef/NNMS1-----A---- Sklenář/Sklenář/NNMS1-----A---- -/-/Z:------------- Biofarma/biofarma/NNFS1-----A---- Sasov/Sasov/NNIS1-----A---- je/být/VB-S---3P-AAI-- smíšená/smíšený/AAFS1----1A---- ekologická/ekologický/AAFS1----1A---- farma/farma/NNFS1-----A---- ,/,/Z:------------- na/na/RR--6---------- které/který/P4FS6---------- se/se/P7--4----------";"chovají/chovat/VB-P---3P-AAI-- prasata/prase/NNNP1-----A---- ,/,/Z:------------- dobytek/dobytek/NNIS1-----A---- ,/,/Z:------------- koně/kůň/NNMP1-----A---- ,/,/Z:------------- ovce/ovce/NNFP1-----A---- i/i/J^------------- kozy/koza/NNFP1-----A---- a/a/J^------------- pro/pro/RR--4---------- jejich/jejich/PSFP4-P3------- potřeby/potřeba/NNFP4-----A----";"se/se/P7--4---------- na/na/RR--6---------- orné/orný/AAFS6----1A---- půdě/půda/NNFS6-----A---- pěstují/pěstovat/VB-P---3P-AAI-- především/především/TT------------- obilniny/obilnina/NNFP1-----A---- a/a/J^------------- luskoviny/luskovina/NNFP1-----A---- ././Z:-------------"
"3";"Lidé/lidé/NNMP1-----A---- neměli/mít/VpMP----R-NAI-- jasně/jasně/Dg-------1A---- oddělené/oddělený/AANS4----1A---- místo/místo/NNNS4-----A---- pro/pro/RR--4---------- bydlení/bydlení/NNNS4-----A---- a/a/J^------------- hygienu/hygiena/NNFS4-----A---- od/od/RR--2---------- prostor/prostora/NNFP2-----A---- ,/,/Z:------------- kde/kde/Db-------------";"chovali/chovat/VpMP----R-AAI-- zvířata/zvíře/NNNP4-----A---- a/a/J^------------- kam/kam/Db------------- chodili/chodit/VpMP----R-AAI-- vykonávat/vykonávat/Vf--------A-I-- potřebu/potřeba/NNFS4-----A----";"././Z:-------------"
"4";"Ve/v/RV--6---------- všech/všechen/PLFP6---------- zemích/země/NNFP6-----A---- se/se/P7--4---------- novináři/novinář/NNMP1-----A----";"chovají/chovat/VB-P---3P-AAI-- obdobně/obdobně/Dg-------1A---- ,/,/Z:------------- když/když/J,------------- cítí/cítit/VB-P---3P-AAI-- naléhavou/naléhavý/AAFS4----1A---- potřebu/potřeba/NNFS4-----A----";"změny/změna/NNFS2-----A---- ././Z:-------------"
"5";"";"Choval/chovat/VpMS----R-AAI-- se/se/P7--4---------- stále/stále/Dg-------1A---- nezodpovědněji/zodpovědně/Dg-------2N---- a/a/J^------------- nakonec/nakonec/TT------------- svým/svůj/P8MP3---------- mužům/muž/NNMP3-----A---- rozkázal/rozkázat/VpMS----R-AAP-- unést/unést/Vf--------A-P-- tři/tři/ClIP4---------- džípy/džíp/NNIP4-----A---- Červeného/červený/AAIS2----1A---- kříže/kříž/NNIS2-----A---- pro/pro/RR--4---------- svou/svůj/P8FS4---------1 vlastní/vlastní/AAFS4----1A---- potřebu/potřeba/NNFS4-----A----";"././Z:-------------"
"6";"Přestože/přestože/J,------------- Gunnar/Gunnar/NNMS1-----A---- Vik/Vik/NNMS1-----A----";"chová/chovat/VB-S---3P-AAI-- nesmírnou/nesmírný/AAFS4----1A---- úctu/úcta/NNFS4-----A---- k/k/RR--3---------- vědě/věda/NNFS3-----A---- ,/,/Z:------------- má/mít/VB-S---3P-AAI-- vnitřní/vnitřní/AAFS4----1A---- potřebu/potřeba/NNFS4-----A----";"sám/sám/PLMS1---------- sobě/se/P6--3---------- neustále/neustále/Dg-------1A---- připomínat/připomínat/Vf--------A-I-- její/její/PSFS4FS3------- nedostatečnost/nedostatečnost/NNFS4-----A---- ././Z:-------------"
"7";"Kit/kit/NNIS1-----A---- byl/být/VpMS----R-AAI-- řidič/řidič/NNMS1-----A---- nákladního/nákladní/AANS2----1A---- auta/auto/NNNS2-----A---- a/a/J^------------- právě/právě/Db------------- tak/tak/Db------------- jako/jako/J,------------- mnoho/mnoho/Ca--1---------- jiných/jiný/AAMP2----1A---- dělníků/dělník/NNMP2-----A---- z/z/RR--2---------- Darrowby/Darrowby/X@-------------";"choval/chovat/VpMS----R-AAI-- na/na/RR--6---------- zahrádce/zahrádka/NNFS6-----A---- pašíka/pašík/NNMS4-----A---- pro/pro/RR--4---------- rodinnou/rodinný/AAFS4----1A---- potřebu/potřeba/NNFS4-----A----";"././Z:-------------"
"8";"Aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- kočka/kočka/NNFS1-----A---- cítila/cítit/VpFS----R-AAI-- v/v/RR--6---------- lidské/lidský/AAFS6----1A---- domácnosti/domácnost/NNFS6-----A---- dobře/dobře/Dg-------1A---- a/a/J^------------- v/v/RR--6---------- bezpečí/bezpečí/NNNS6-----A---- a/a/J^-------------";"chovala/chovat/VpFS----R-AAI-- se/se/P7--4---------- přátelsky/přátelsky/Dg-------1A---- ,/,/Z:------------- je/být/VB-S---3P-AAI-- nezbytné/nezbytný/AANS1----1A---- splnit/splnit/Vf--------A-P-- několik/několik/Ca--4---------- základních/základní/AAFP2----1A---- podmínek/podmínka/NNFP2-----A---- a/a/J^------------- upravit/upravit/Vf--------A-P-- životní/životní/AAIS4----1A---- prostor/prostor/NNIS4-----A---- s/s/RR--7---------- ohledem/ohled/NNIS7-----A---- na/na/RR--4---------- její/její/PSFP4FS3------- potřeby/potřeba/NNFP4-----A----";"či/či/J^------------- se/se/P7--4---------- alespoň/alespoň/Db------------- smířit/smířit/Vf--------A-P-- s/s/RR--7---------- tím/ten/PDNS7---------- ,/,/Z:------------- že/že/J,------------- to/ten/PDNS1---------- bude/být/VB-S---3F-AAI-- kočka/kočka/NNFS1-----A---- ,/,/Z:------------- kdo/kdo/PKM-1---------- rozhodne/rozhodnout/VB-S---3P-AAP-- o/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- jak/jak/Db------------- bude/být/VB-S---3F-AAI-- lidský/lidský/AAIS4----1A---- příbytek/příbytek/NNIS4-----A---- využívat/využívat/Vf--------A-I-- ././Z:-------------"
"9";"Požádal/požádat/VpMS----R-AAP-- proto/proto/Db------------- s/s/RR--7---------- pokornou/pokorný/AAFS7----1A---- bezostyšností/bezostyšnost/NNFS7-----A---- ,/,/Z:------------- s/s/RR--7---------- kterou/který/P4FS7---------- by/být/Vc----------I-- se/se/P7--4----------";"choval/chovat/VpMS----R-AAI-- stejně/stejně/Dg-------1A---- i/i/J^------------- v/v/RR--6---------- paláci/palác/NNIS6-----A---- královském/královský/AAIS6----1A---- ,/,/Z:------------- o/o/RR--4---------- místo/místo/NNNS4-----A---- a/a/J^------------- potřeby/potřeba/NNFP4-----A----";"ke/k/RV--3---------- psaní/psaní/NNNS3-----A---- ././Z:-------------"
"10";"Odhady/odhad/NNIP1-----A---- ministerstva/ministerstvo/NNNS2-----A---- zemědělství/zemědělství/NNNS2-----A---- hovoří/hovořit/VB-P---3P-AAI-- o/o/RR--4---------- zhruba/zhruba/Db------------- 4,7/4,7/C=------------- milionu/milion/CzIS2---------- nosnic/nosnice/NNFP2-----A---- ,/,/Z:------------- které/který/P4IP4---------- lidé/člověk/NNMP1-----A---- v/v/RR--6---------- Česku/Česko/NNNS6-----A----";"chovají/chovat/VB-P---3P-AAI-- jen/jen/Db------------- pro/pro/RR--4---------- vlastní/vlastní/AAFS4----1A---- potřebu/potřeba/NNFS4-----A----";"././Z:-------------"
"11";"Aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- lidé/člověk/NNMP1-----A---- k/k/RR--3---------- veřejně/veřejně/Dg-------1A---- sloužícím/sloužící/AGNP3-----A---- zařízením/zařízení/NNNP3-----A----";"chovali/chovat/VpMP----R-AAI-- stejně/stejně/Dg-------1A---- jako/jako/J,------------- ke/k/RV--3---------- svému/svůj/P8IS3---------- vlastnímu/vlastní/AAIS3----1A---- majetku/majetek/NNIS3-----A---- ,/,/Z:------------- a/a/J^------------- pokud/pokud/J,------------- mají/mít/VB-P---3P-AAI-- potřebu/potřeba/NNFS4-----A----";"čmárat/čmárat/Vf--------A-I-- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- nejprve/nejprve/Db------------- vyzdobili/vyzdobit/VpMP----R-AAP-- svůj/svůj/P8IS4---------- byt/byt/NNIS4-----A---- a/a/J^------------- teprve/teprve/Db------------- potom/potom/Db------------- naše/náš/PSIP4-P1------- prostory/prostor/NNIP4-----A---- ,/,/Z:------------- “/""/Z:------------- dodal/dodat/VpMS----R-AAP-- Šťáhlavský/Šťáhlavský/NNMS1-----A---- ././Z:-------------"
"12";"Prozatím/prozatím/Db------------- plánuji/plánovat/VB-S---1P-AAI-1";"chovat/chovat/Vf--------A-I-- na/na/RR--4---------- třicet/třicet/Cn-S4---------- ovcí/ovce/NNFP2-----A---- pro/pro/RR--4---------- vlastní/vlastní/AAFS4----1A---- potřebu/potřeba/NNFS4-----A----";",/,/Z:------------- “/""/Z:------------- okomentoval/okomentovat/VpMS----R-AAP-- záměr/záměr/NNIS4-----A---- Kleinbauer/Kleinbauer/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- nevylučuje/vylučovat/VB-S---3P-NAI-- ani/ani/J^------------- možnost/možnost/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- časem/čas/NNIS7-----A---- začal/začít/VpMS----R-AAP-- s/s/RR--7---------- ovčími/ovčí/AAIP7----1A---- produkty/produkt/NNIP7-----A---- ve/v/RV--6---------- velkém/velký/AANS6----1A---- ././Z:-------------"
"13";"Ano/ano/TT------------- ,/,/Z:-------------";"choval/chovat/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- podle/podle/RR--2---------- toho/ten/PDNS2---------- ,/,/Z:------------- veškeré/veškerý/PLFP4---------- hygienické/hygienický/AAFP4----1A---- potřeby/potřeba/NNFP4-----A----";"jsem/být/VB-S---1P-AAI-- nosil/nosit/VpMS----R-AAI-- pořád/pořád/Db------------- s/s/RR--7---------- sebou/se/P6--7---------- ,/,/Z:------------- ale/ale/J^------------- chápete/chápat/VB-P---2P-AAI-- ten/ten/PDIS4---------- stres/stres/NNIS4-----A---- ?/?/Z:-------------"
"14";"Příbuzné/příbuzný/NNMP4-----A---- s/s/RR--7---------- ""/""/Z:------------- partnerstvím/partnerství/NNNS7-----A---- jako/jako/J,------------- mentorováním/mentorování/NNNS7-----A---- ""/""/Z:------------- je/být/VB-S---3P-AAI-- ""/""/Z:------------- partnerství/partnerství/NNNS1-----A---- jako/jako/J,------------- konformita/konformita/NNFS1-----A---- ""/""/Z:------------- :/:/Z:------------- V/v/RR--6---------- takovém/takový/PDIS6---------- vztahu/vztah/NNIS6-----A---- platí/platit/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- je/být/VB-S---3P-AAI-- třeba/třeba/Db------------- chovat/chovat/Vf--------A-I-- se/se/P7--4---------- tak/tak/Db------------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4----------";"chovají/chovat/VB-P---3P-AAI-- druzí/druhý/CrMP1---------- ,/,/Z:------------- převzít/převzít/Vf--------A-P-- skupinové/skupinový/AAFP4----1A---- normy/norma/NNFP4-----A---- a/a/J^------------- přizpůsobit/přizpůsobit/Vf--------A-P-- se/se/P7--4---------- ,/,/Z:------------- bez/bez/RR--2---------- ohledu/ohled/NNIS2-----A---- na/na/RR--4---------- vlastní/vlastní/AAFP4----1A---- potřeby/potřeba/NNFP4-----A----";"a/a/J^------------- možnosti/možnost/NNFP4-----A---- ././Z:-------------"
"15";"Daně/daň/NNFP1-----A---- vybrané/vybraný/AAFP1----1A---- ve/v/RV--6---------- sféře/sféra/NNFS6-----A---- podnikání/podnikání/NNNS2-----A---- se/se/P7--4---------- po/po/RR--6---------- doplnění/doplnění/NNNS6-----A---- do/do/RR--2---------- částky/částka/NNFS2-----A----";"chovají/chovat/VB-P---3P-AAI-- naprosto/naprosto/Db------------- stejně/stejně/Dg-------1A---- jako/jako/J,------------- dřívější/brzký/AAFP1----2A---- daně/daň/NNFP1-----A---- naturální/naturální/AAFP1----1A---- :/:/Z:------------- Částka/částka/NNFS1-----A---- je/být/VB-S---3P-AAI-- předána/předat/VsFS------APP-- sféře/sféra/NNFS3-----A---- veřejné/veřejný/AAFS3----1A---- ,/,/Z:------------- ta/ten/PDFS1---------- za/za/RR--4---------- ni/on/P5FS4--3------- jednak/jednak/J^------------- vytvoří/vytvořit/VB-S---3P-AAP-- svůj/svůj/P8IS4---------- souhrnný/souhrnný/AAIS4----1A---- produkt/produkt/NNIS4-----A---- a/a/J^------------- dá/dát/VB-S---3P-AAP-- jej/on/PPIS4--3------2 k/k/RR--3---------- dispozici/dispozice/NNFS3-----A---- všem/všechen/PLMP3---------- ,/,/Z:------------- jednak/jednak/J^------------- uspokojí/uspokojit/VB-S---3P-AAP-- své/svůj/P8FP4---------1 potřeby/potřeba/NNFP4-----A----";"tím/ten/PDNS7---------- ,/,/Z:------------- že/že/J,------------- směnou/směna/NNFS7-----A---- získá/získat/VB-S---3P-AAP-- část/část/NNFS4-----A---- souhrnného/souhrnný/AAIS2----1A---- finálního/finální/AAIS2----1A---- produktu/produkt/NNIS2-----A---- sféry/sféra/NNFS2-----A---- podnikání/podnikání/NNNS2-----A---- ;/;/Z:------------- rozdíl/rozdíl/NNIS1-----A---- je/být/VB-S---3P-AAI-- ten/ten/PDIS1---------- ,/,/Z:------------- že/že/J,------------- toto/tento/PDNS4---------- uspokojení/uspokojení/NNNS4-----A---- nedocílí/docílit/VB-S---3P-NAP-- přímou/přímý/AAFS7----1A---- konzumací/konzumace/NNFS7-----A---- naturálních/naturální/AAFP2----1A---- daní/daň/NNFP2-----A---- ,/,/Z:------------- ale/ale/J^------------- učiní/učinit/VB-S---3P-AAP-- tak/tak/Db------------- o/o/RR--4---------- něco/něco/PZ--4---------- složitěji/složitě/Dg-------2A---- :/:/Z:------------- jako/jako/J,------------- zprostředkovatele/zprostředkovatel/NNMS2-----A---- dokončení/dokončení/NNNS2-----A---- směny/směna/NNFS2-----A---- použije/použít/VB-S---3P-AAP-- částku/částka/NNFS4-----A---- ,/,/Z:------------- za/za/RR--4---------- niž/jenž/P9FS4---------- si/se/P7--3---------- potřebné/potřebný/AAIP4----1A---- spotřební/spotřební/AAIP4----1A---- statky/statek/NNIP4-----A---- nakoupí/nakoupit/VB-S---3P-AAP-- u/u/RR--2---------- sféry/sféra/NNFS2-----A---- podnikání/podnikání/NNNS2-----A---- ././Z:-------------"
"16";"Dnes/dnes/Db------------- máme/mít/VB-P---1P-AAI-- ochranné/ochranný/AAIP4----1A---- prostředky/prostředek/NNIP4-----A---- a/a/J^------------- víme/vědět/VB-P---1P-AAI-- ,/,/Z:------------- jak/jak/J,------------- se/se/P7--4----------";"chovat/chovat/Vf--------A-I-- ,/,/Z:------------- tak/tak/J^------------- nemáme/mít/VB-P---1P-NAI-- potřebu/potřeba/NNFS4-----A----";"redukovat/redukovat/Vf--------A-B-- činnost/činnost/NNFS4-----A---- policie/policie/NNFS2-----A---- ././Z:-------------"
"17";"Věděli/vědět/VpMP----R-AAI-- jste/být/VB-P---2P-AAI-- ,/,/Z:------------- že/že/J,------------- i/i/J^------------- když/když/J,------------- se/se/P7--4---------- naučili/naučit/VpMP----R-AAP-- stát/stát/Vf--------A-I-- v/v/RR--6---------- řadě/řada/NNFS6-----A---- a/a/J^-------------";"chovat/chovat/Vf--------A-I-- se/se/P7--4---------- podle/podle/RR--2---------- předpisů/předpis/NNIP2-----A---- ,/,/Z:------------- bez/bez/RR--2---------- osobních/osobní/AANP2----1A---- práv/právo/NNNP2-----A---- ,/,/Z:------------- přesahujících/přesahující/AGNP2-----A---- potřeby/potřeba/NNFP4-----A----";"jednotky/jednotka/NNFS2-----A---- ,/,/Z:------------- nestali/stát/VpMP----R-NAP-- se/se/P7--4---------- strojem/stroj/NNIS7-----A---- a/a/J^------------- jsou/být/VB-P---3P-AAI-- dosud/dosud/Db------------- dobrými/dobrý/AAMP7----1A---- lidmi/člověk/NNMP7-----A---- s/s/RR--7---------- úmysly/úmysl/NNIP7-----A---- a/a/J^------------- pohnutkami/pohnutka/NNFP7-----A---- přinejmenším/přinejmenším/TT------------- průměrnými/průměrný/AAFP7----1A---- ././Z:-------------"
