id;left;kwic;right
"1";"Pokud/pokud/J,------------- měli/mít/VpMP----R-AAI-- jízdy/jízda/NNFP4-----A---- v/v/RR--6---------- takovém/takový/PDNS6---------- počasí/počasí/NNNS6-----A---- ,/,/Z:------------- jaké/jaký/P4NS1---------- panuje/panovat/VB-S---3P-AAI-- nyní/nyní/Db------------- ,/,/Z:------------- mají/mít/VB-P---3P-AAI-- aspoň/aspoň/Db------------- rámcovou/rámcový/AAFS4----1A----";"představu/představa/NNFS4-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- chovat/chovat/Vf--------A-I--";",/,/Z:------------- ""/""/Z:------------- podotkl/podotknout/VpMS----R-AAP-1 Rudolf/Rudolf/NNMS1-----A---- Náhlovský/Náhlovský/NNMS1-----A---- ,/,/Z:------------- vedoucí/vedoucí/NNMS1-----A---- dopravní/dopravní/AAFS2----1A---- policie/policie/NNFS2-----A---- ././Z:-------------"
"2";"Během/během/RR--2---------- dvou/dva/ClNP2---------- let/léta/NNNP2-----A---- jsme/být/VB-P---1P-AAI-- poznali/poznat/VpMP----R-AAP-- spoustu/spousta/NNFS4-----A---- kluků/kluk/NNMP2-----A---- ,/,/Z:------------- máme/mít/VB-P---1P-AAI-- naprosto/naprosto/Db------------- přes/přes/RR--4---------- nou/nou/F%-------------";"představu/představa/NNFS4-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--";"na/na/RR--6---------- hřišti/hřiště/NNNS6-----A---- i/i/J^------------- mimo/mimo/RR--4---------- ně/oni/P5MP4--3------- ././Z:-------------"
"3";"Spousta/spousta/NNFS1-----A---- dětí/dítě/NNFP2-----A---- vyrůstá/vyrůstat/VB-S---3P-AAI-- v/v/RR--6---------- neúplných/úplný/AAFP6----1N---- rodinách/rodina/NNFP6-----A---- a/a/J^------------- nemají/mít/VB-P---3P-NAI--";"představu/představa/NNFS4-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- chovat/chovat/Vf--------A-I--";"k/k/RR--3---------- protějšku/protějšek/NNIS3-----A---- a/a/J^------------- jaká/jaký/P4FS1---------- je/být/VB-S---3P-AAI-- jeho/jeho/PSFS1-S3------- úloha/úloha/NNFS1-----A---- ,/,/Z:------------- ""/""/Z:------------- vysvětlila/vysvětlit/VpFS----R-AAP-- učitelka/učitelka/NNFS1-----A---- a/a/J^------------- vítězka/vítězka/NNFS1-----A---- regionálního/regionální/AANS2----1A---- kola/kolo/NNNS2-----A---- Zlatý/zlatý/AAMS1----1A---- Amos/Ámos/NNMS1-----A---- Ivana/Ivana/NNFS1-----A---- Konrádová/Konrádová/NNFS1-----A---- (/(/Z:------------- 43/43/C=------------- )/)/Z:------------- ././Z:-------------"
"4";"Rozsah/rozsah/NNIS1-----A---- soudní/soudní/AAFS2----1A---- agendy/agenda/NNFS2-----A---- nemá/mít/VB-S---3P-NAI-- bohužel/bohužel/TT------------- za/za/RR--4---------- následek/následek/NNIS4-----A---- zvýšení/zvýšení/NNNS2-----A---- autority/autorita/NNFS2-----A---- soudu/soud/NNIS2-----A---- a/a/J^------------- řada/řada/NNFS1-----A---- občanů/občan/NNMP2-----A---- má/mít/VB-S---3P-AAI-- zkreslené/zkreslený/AAFP4----1A----";"představy/představa/NNFP4-----A---- o/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- mají/mít/VB-P---3P-AAI-- u/u/RR--2---------- soudu/soud/NNIS2-----A---- chovat/chovat/Vf--------A-I--";"././Z:-------------"
"5";"Tohle/tenhle/PDNS1---------- je/být/VB-S---3P-AAI-- pohraničí/pohraničí/NNNS1-----A---- a/a/J^------------- Isambard/Isambard/NNMS1-----A---- si/se/P7--3---------- nikdy/nikdy/Db------------- nedělal/dělat/VpMS----R-NAI-- liché/lichý/AAFP4----1A----";"představy/představa/NNFP4-----A---- o/o/RR--6---------- lásce/láska/NNFS6-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- venkované/venkovan/NNMP1-----A---- chovají/chovat/VB-P---3P-AAI--";"k/k/RR--3---------- jeho/jeho/PSIS3-S3------- domu/dům/NNIS3-----A---- ././Z:-------------"
"6";"Rozeznávám/rozeznávat/VB-S---1P-AAI-- lidi/člověk/NNMP4-----A---- vlastně/vlastně/TT------------- podle/podle/RR--2---------- toho/ten/PDNS2---------- ,/,/Z:------------- zda/zda/J,------------- mi/já/PH-S3--1------- svým/svůj/P8IS7---------- způsobem/způsob/NNIS7-----A---- odpovídají/odpovídat/VB-P---3P-AAI-- ,/,/Z:------------- nebo/nebo/J^------------- ne/ne/TT------------- ,/,/Z:------------- a/a/J^------------- zda/zda/J,------------- se/s/RV--7---------- mnou/já/PP-S7--1------- sdílejí/sdílet/VB-P---3P-AAI-- (/(/Z:------------- nebo/nebo/J^------------- ne/ne/TT------------- )/)/Z:------------- podobnou/podobný/AAFS4----1A----";"představu/představa/NNFS4-----A---- o/o/RR--6---------- uspořádání/uspořádání/NNNS6-----A---- některých/některý/PZFP2---------- věcí/věc/NNFP2-----A---- ,/,/Z:------------- jakou/jaký/P4FS4---------- chovám/chovat/VB-S---1P-AAI--";",/,/Z:------------- a/a/J^------------- o/o/RR--4---------- jaké/jaký/P4FP4---------- ustavičně/ustavičně/Dg-------1A---- pracuji/pracovat/VB-S---1P-AAI-1 ././Z:-------------"
"7";"Už/už/Db------------- jsem/být/VB-S---1P-AAI-- vyčistil/vyčistit/VpMS----R-AAP-- klece/klec/NNFP4-----A---- a/a/J^------------- nakrmil/nakrmit/VpMS----R-AAP-- Dráčata/dráče/NNNP4-----A---- i/i/J^------------- Aleka/Alec/NNMS4-----A---- ,/,/Z:------------- a/a/J^------------- ještě/ještě/Db------------- stále/stále/Dg-------1A---- jsem/být/VB-S---1P-AAI-- neměl/mít/VpMS----R-NAI-- nejmenší/malý/AAFS4----3A----";"představu/představa/NNFS4-----A---- ,/,/Z:------------- jak/jak/Db------------- bych/být/Vc-S---1----I-- mohl/moci/VpMS----R-AAI-- chovat/chovat/Vf--------A-I--";"rybky/rybka/NNFP4-----A---- i/i/J^------------- plazy/plaz/NNMP4-----A---- pohromadě/pohromadě/Db------------- ,/,/Z:------------- a/a/J^------------- to/ten/PDNS1---------- už/už/Db------------- byl/být/VpIS----R-AAI-- pomalu/pomalu/Dg-------1A---- čas/čas/NNIS1-----A---- k/k/RR--3---------- obědu/oběd/NNIS3-----A---- ././Z:-------------"
"8";"A/a/J^------------- tam/tam/Db------------- už/už/Db------------- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- s/s/RR--7---------- ohledem/ohled/NNIS7-----A---- na/na/RR--4---------- časový/časový/AAIS4----1A---- pres/pres/NNIS4-----A---- a/a/J^------------- fakt/fakt/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- jsem/být/VB-S---1P-AAI-- měl/mít/VpMS----R-AAI-- jasnou/jasný/AAFS4----1A----";"představu/představa/NNFS4-----A---- ,/,/Z:------------- jak/jak/Db------------- to/ten/PDNS1---------- má/mít/VB-S---3P-AAI-- vypadat/vypadat/Vf--------A-I-- ,/,/Z:------------- začal/začít/VpMS----R-AAP-- chovat/chovat/Vf--------A-I--";"jako/jako/J,------------- režisér/režisér/NNMS1-----A---- ././Z:-------------"
"9";"I/i/J^------------- kdybych/kdyby|být/J,-------------|Vc-S---1----I-- se/se/P7--4---------- přetrhla/přetrhnout/VpFS----R-AAP-1 ,/,/Z:------------- nikdy/nikdy/Db------------- jsem/být/VB-S---1P-AAI-- nedokázala/dokázat/VpFS----R-NAP-- naplnit/naplnit/Vf--------A-P--";"představu/představa/NNFS4-----A---- děvčete/děvče/NNNS2-----A---- ,/,/Z:------------- které/který/P4FP4---------- Ester/Ester/NNFS3-----A---- toužila/toužit/VpFS----R-AAI-- vidět/vidět/Vf--------A-I-- jako/jako/J,------------- svou/svůj/P8FS4---------1 dceru/dcera/NNFS4-----A---- -/-/Z:------------- nevypadala/vypadat/VpFS----R-NAI-- jsem/být/VB-S---1P-AAI-- jako/jako/J,------------- ona/on/PPFS1--3------- a/a/J^------------- nechovala/chovat/VpFS----R-NAI--";"jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- jako/jako/J,------------- ona/on/PPFS1--3------- ././Z:-------------"
"10";"My/my/PP-P1--1------- máme/mít/VB-P---1P-AAI-- jiné/jiný/AAFP4----1A----";"představy/představa/NNFP4-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- chovat/chovat/Vf--------A-I--";"k/k/RR--3---------- druhým/druhý/CrMP3---------- ,/,/Z:------------- jak/jak/Db------------- spravovat/spravovat/Vf--------A-I-- a/a/J^------------- vést/vést/Vf--------A-I-- společnost/společnost/NNFS4-----A---- ././Z:-------------"
