id;left;kwic;right;VNP?;doc.txtype_group
1;"""/""/Z:------------- Už/už/Db------------- takto/takto/Db------------- malé/malý/AAIP1----1A---- mají/mít/VB-P---3P-AAI--";předsudky/předsudek/NNIP4-----A---- a/a/J^------------- jsou/být/VB-P---3P-AAI-- ovlivňovány/ovlivňovat/VsIP------API-- stereotypy/stereotyp/NNIP1-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- mají/mít/VB-P---3P-AAI-- chovat/chovat/Vf--------A-I--;,/,/Z:------------- co/co/PQ--1---------- je/být/VB-S---3P-AAI-- a/a/J^------------- co/co/PQ--1---------- není/být/VB-S---3P-NAI-- pro/pro/RR--4---------- ně/oni/P5IP4--3------- vhodné/vhodný/AANS1----1A---- ././Z:-------------;0;NMG: publicistika
2;Nadějný/nadějný/AAIS1----1A---- je/být/VB-S---3P-AAI-- také/také/Db------------- postoj/postoj/NNIS1-----A---- Evropské/evropský/AAFS2----1A---- komise/komise/NNFS2-----A---- ,/,/Z:------------- jejíž/jejíž/P1FS1FS3------- komisařka/komisařka/NNFS1-----A---- pro/pro/RR--4---------- hospodářskou/hospodářský/AAFS4----1A---- soutěž/soutěž/NNFS4-----A---- Neelie/Neelie/NNFS1-----A---- Kroesová/Kroesová/NNFS1-----A---- řekla/říci/VpFS----R-AAP-- ,/,/Z:------------- že/že/J,------------- plán/plán/NNIS4-----A---- prozkoumá/prozkoumat/VB-S---3P-AAP-- ,/,/Z:------------- ale/ale/J^------------- že/že/J,------------- žádné/žádný/PWIP4----------;předsudky/předsudek/NNIP4-----A---- vůči/vůči/RR--3---------- němu/on/P5IS3--3------- nechová/chovat/VB-S---3P-NAI--;././Z:-------------;1;NMG: publicistika
3;"„/""/Z:------------- Když/když/J,------------- byly/být/VpFP----R-AAI-- malé/malý/AAFP1----1A---- ,/,/Z:------------- vedl/vést/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- je/oni/PPFP4--3------- k/k/RR--3---------- tomu/ten/PDNS3---------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- neměly/mít/VpFP----R-NAI--";předsudky/předsudek/NNIP4-----A---- a/a/J^------------- nezošklivila/zošklivit/VpFS----R-NAP-- se/se/P7--4---------- jim/oni/PPFP3--3------- matematika/matematika/NNFS1-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- mám/mít/VB-S---1P-AAI-- i/i/J^------------- přes/přes/RR--4---------- svou/svůj/P8FS4---------1 profesi/profese/NNFS4-----A---- rád/rád/ACMS------A---- a/a/J^------------- chovám/chovat/VB-S---1P-AAI--;k/k/RR--3---------- ní/on/P5FS3--3------- úctu/úcta/NNFS4-----A---- ././Z:-------------;0;NMG: publicistika
4;Reaguje/reagovat/VB-S---3P-AAI-- nejen/nejen/Db------------- na/na/RR--4---------- vzrůstající/vzrůstající/AGIS4-----A---- zájem/zájem/NNIS4-----A---- o/o/RR--4---------- ně/oni/P5MP4--3------- ,/,/Z:------------- ale/ale/J^------------- také/také/Db------------- na/na/RR--4----------;předsudky/předsudek/NNIP4-----A---- a/a/J^------------- klišé/klišé/NNNS4-----A---- ,/,/Z:------------- které/který/P4IP4---------- vůči/vůči/RR--3---------- nim/oni/P5IP3--3------- a/a/J^------------- jejich/jejich/PSMP3-P3------- nositelům/nositel/NNMP3-----A---- chováme/chovat/VB-P---1P-AAI--;",/,/Z:------------- “/""/Z:------------- dodává/dodávat/VB-S---3P-AAI-- ředitelka/ředitelka/NNFS1-----A---- ././Z:-------------";3;NMG: publicistika
5;Ujistil/ujistit/VpMS----R-AAP-- jsem/být/VB-S---1P-AAI-- ji/on/PPFS4--3------- ,/,/Z:------------- že/že/J,------------- nemám/mít/VB-S---1P-NAI-- sám/sám/PLMS1---------- žádné/žádný/PWIP4----------;předsudky/předsudek/NNIP4-----A---- a/a/J^------------- nechovám/chovat/VB-S---1P-NAI--;proto/proto/Db------------- vůči/vůči/RR--3---------- ní/on/P5FS3--3------- žádné/žádný/PWIP4---------- hořké/hořký/AAIP4----1A---- pocity/pocit/NNIP4-----A---- ,/,/Z:------------- ale/ale/J^------------- naléhal/naléhat/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- na/na/RR--4---------- ni/on/P5FS4--3------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- v/v/RR--6---------- zájmu/zájem/NNIS6-----A---- upevnění/upevnění/NNNS2-----A---- zdraví/zdraví/NNNS2-----A---- lidu/lid/NNIS2-----A---- i/i/J^------------- ona/on/PPFS1--3------- okamžitě/okamžitě/Dg-------1A---- vyhledala/vyhledat/VpFS----R-AAP-- lékařskou/lékařský/AAFS4----1A---- pomoc/pomoc/NNFS4-----A---- ././Z:-------------;0;FIC: beletrie
6;Pochopitelně/pochopitelně/Dg-------1A---- ,/,/Z:------------- já/já/PP-S1--1------- osobně/osobně/Dg-------1A---- vůči/vůči/RR--3---------- Korejcům/Korejec/NNMP3-----A---- žádné/žádný/PWIP4----------;předsudky/předsudek/NNIP4-----A---- nechoval/chovat/VpMS----R-NAI--;././Z:-------------;1;FIC: beletrie
7;Ale/ale/J^------------- není/být/VB-S---3P-NAI-- vyloučeno/vyloučit/VsNS------APP-- ,/,/Z:------------- že/že/J,------------- odhodím/odhodit/VB-S---1P-AAP-- své/svůj/P8IP4---------1;předsudky/předsudek/NNIP4-----A---- ,/,/Z:------------- které/který/P4IP4---------- chovám/chovat/VB-S---1P-AAI--;k/k/RR--3---------- Britům/Brit/NNMP3-----A---- (/(/Z:------------- i/i/J^------------- když/když/J,------------- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- vědom/vědomý/ACMS------A---- ,/,/Z:------------- že/že/J,------------- tím/ten/PDNS7---------- přijdu/přijít/VB-S---1P-AAP-- o/o/RR--4---------- své/svůj/P8NS4---------1 bostonsko-irské/bostonsko-irský/AANS4----1A---- občanství/občanství/NNNS4-----A---- )/)/Z:------------- ././Z:-------------;3;FIC: beletrie
8;Na/na/RR--4---------- tři/tři/ClIP4---------- dny/den/NNIP4-----A---- odložili/odložit/VpMP----R-AAP-- společenské/společenský/AAIP4----1A---- a/a/J^------------- rasové/rasový/AAIP4----1A----;předsudky/předsudek/NNIP4-----A---- a/a/J^------------- chovali/chovat/VpMP----R-AAI--;se/se/P7--4---------- tak/tak/Db------------- ,/,/Z:------------- jak/jak/Db------------- muslimovi/muslim/NNMS3-----A---- korán/korán/NNIS4-----A---- předepisuje/předepisovat/VB-S---3P-AAI-- ././Z:-------------;0;NMG: publicistika
9;Kromě/kromě/RR--2---------- definice/definice/NNFS2-----A---- národnostních/národnostní/AAFP2----1A---- menšin/menšina/NNFP2-----A---- se/se/P7--4---------- dozvídají/dozvídat/VB-P---3P-AAI-- například/například/TT------------- to/ten/PDNS4---------- ,/,/Z:------------- kolik/kolik/Ca--1---------- se/se/P7--4---------- jich/oni/PPFP2--3------- v/v/RR--6---------- zemi/země/NNFS6-----A---- nachází/nacházet/VB-S---3P-AAI-- ,/,/Z:------------- co/co/PQ--1---------- je/oni/PPMP4--3------- sem/sem/Db------------- přivedlo/přivést/VpNS----R-AAP-- ,/,/Z:------------- čím/co/PQ--7---------- a/a/J^------------- proč/proč/Db------------- se/se/P7--4---------- odlišují/odlišovat/VB-P---3P-AAI-- od/od/RR--2---------- většinové/většinový/AAFS2----1A---- společnosti/společnost/NNFS2-----A---- ,/,/Z:------------- která/který/P4FS1---------- má/mít/VB-S---3P-AAI-- své/svůj/P8IP4---------1 pseudodůvody/pseudodůvod/NNIP4-----A---- a/a/J^-------------;předsudky/předsudek/NNIP4-----A---- ,/,/Z:------------- na/na/RR--6---------- základě/základ/NNIS6-----A---- kterých/který/P4IP2---------- se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5IP3--3------- nechová/chovat/VB-S---3P-NAI--;vždy/vždy/Db------------- přátelsky/přátelsky/Dg-------1A---- ././Z:-------------;3;NMG: publicistika
10;Tato/tento/PDFS1---------- otevřenost/otevřenost/NNFS1-----A---- nevyhnutelně/nevyhnutelně/Dg-------1A---- posílila/posílit/VpFS----R-AAP-- obavy/obava/NNFP4-----A---- veřejnosti/veřejnost/NNFS2-----A---- z/z/RR--2---------- nákazy/nákaza/NNFS2-----A---- i/i/J^-------------;předsudky/předsudek/NNIP4-----A---- ,/,/Z:------------- které/který/P4IP4---------- mnozí/mnohý/AAMP1----1A---- lidé/člověk/NNMP1-----A---- chovají/chovat/VB-P---3P-AAI--;k/k/RR--3---------- příslušníkům/příslušník/NNMP3-----A---- rizikových/rizikový/AAFP2----1A---- skupin/skupina/NNFP2-----A---- ././Z:-------------;3;NFC: oborová literatura
