id;left;kwic;right
"1";"„/""/Z:------------- Někteří/některý/PZMP1---------- čtenáři/čtenář/NNMP1-----A---- a/a/J^------------- spisovatelé/spisovatel/NNMP1-----A----";"chovají/chovat/VB-P---3P-AAI-- vůči/vůči/RR--3---------- science/science/F%------------- -/-/Z0------------- fiction/fiction/F%------------- tak/tak/Db------------- silné/silný/AAIP4----1A---- předsudky/předsudek/NNIP4-----A----";",/,/Z:------------- že/že/J,------------- shovívavý/shovívavý/AAMS1----1A---- kritik/kritik/NNMS1-----A---- v/v/RR--6---------- recenzi/recenze/NNFS6-----A---- sci-fidíla/sci-fidílo/NNNS2-----A---- mainstreamového/mainstreamový/AAMS2----1A---- autora/autor/NNMS2-----A---- často/často/Dg-------1A---- volí/volit/VB-S---3P-AAI-- výrazy/výraz/NNIP4-----A---- jako/jako/J,------------- ,/,/Z:------------- podobenství/podobenství/NNNS4-----A---- ‘/'/Z:------------- a/a/J^------------- ,/,/Z:------------- báje/báje/NNFP4-----A---- ‘/'/Z:------------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- autorovi/autor/NNMS3-----A---- umetl/umést/VpMS----R-AAP-- cestičku/cestička/NNFS4-----A---- ,/,/Z:------------- “/""/Z:------------- píše/psát/VB-S---3P-AAI-- Chabon/Chabon/NNMS1-----A---- a/a/J^------------- o/o/RR--4---------- něco/něco/PZ--4---------- dál/dál/Db------------- dodává/dodávat/VB-S---3P-AAI-- :/:/Z:------------- „/""/Z:------------- Literárním/literární/AANP3----1A---- dílům/dílo/NNNP3-----A---- o/o/RR--6---------- celosvětové/celosvětový/AAFS6----1A---- katastrofě/katastrofa/NNFS6-----A---- dodává/dodávat/VB-S---3P-AAI-- relativní/relativní/AAFS4----1A---- legitimnost/legitimnost/NNFS4-----A---- fíkový/fíkový/AAIS1----1A---- list/list/NNIS1-----A---- v/v/RR--6---------- podobě/podoba/NNFS6-----A---- satirického/satirický/AAIS2----1A---- či/či/J^-------------"
"2";"Chtěl/chtít/VpMS----R-AAI-- bych/být/Vc-S---1----I-- ,/,/Z:------------- abychom/aby|být/J,-------------|Vc-P---1----I-- se/se/P7--4----------";"nechovali/chovat/VpMP----R-NAI-- tak/tak/Db------------- uboze/uboze/Dg-------1A---- a/a/J^------------- neopakovali/opakovat/VpMP----R-NAI-- předsudky/předsudek/NNIP4-----A----";"jak/jak/Db------------- 50/50/C=------------- ././Z0------------- let/rok/NNNP2-----A---- typu/typ/NNIS2-----A---- ,/,/Z:------------- že/že/J,------------- nebudeme/být/VB-P---1F-NAI-- poslouchat/poslouchat/Vf--------A-I-- strýčka/strýček/NNMS4-----A---- Sama/Sam/NNMS4-----A---- .../.../Z:-------------"
"3";"Chci/chtít/VB-S---1P-AAI-- žít/žít/Vf--------A-I-- uměním/umění/NNNS7-----A---- ,/,/Z:------------- dělat/dělat/Vf--------A-I-- radost/radost/NNFS4-----A---- ,/,/Z:------------- provokovat/provokovat/Vf--------A-I-- lidi/člověk/NNMP4-----A---- ze/z/RV--2---------- všednosti/všednost/NNFS2-----A---- ,/,/Z:------------- uzavřenosti/uzavřenost/NNFS2-----A---- a/a/J^------------- zbavit/zbavit/Vf--------A-P-- je/oni/PPMP4--3------- toho/ten/PDNS2---------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- v/v/RR--6---------- sobě/se/P6--6----------";"chovali/chovat/VpMP----R-AAI-- předsudky/předsudek/NNIP4-----A----";"././Z:-------------"
"4";"Kozy/koza/NNFP4-----A---- by/být/Vc----------I-- rádi/rád/ACMP------A----";"chovali/chovat/VpMP----R-AAI-- i/i/J^------------- lidé/člověk/NNMP1-----A---- ve/v/RV--6---------- městech/město/NNNP6-----A---- ,/,/Z:------------- což/co/PE--1---------- jim/oni/PPMP3--3------- ale/ale/J^------------- zakazují/zakazovat/VB-P---3P-AAI-- předsudky/předsudek/NNIP4-----A----";"a/a/J^------------- zbytečné/zbytečný/AAIP4----1A---- zákony/zákon/NNIP4-----A---- ././Z:-------------"
"5";"Někteří/některý/PZMP1---------- křesťanští/křesťanský/AAMP1----1A---- členové/člen/NNMP1-----A---- liberální/liberální/AAFS2----1A---- společnosti/společnost/NNFS2-----A----";"chovali/chovat/VpMP----R-AAI-- bezpochyby/bezpochyby/Db------------- tradiční/tradiční/AAIP4----1A---- předsudky/předsudek/NNIP4-----A----";"proti/proti/RR--3---------- Židům/Žid/NNMP3-----A---- a/a/J^------------- němečtí/německý/AAMP1----1A---- Židé/Žid/NNMP1-----A---- zůstávali/zůstávat/VpMP----R-AAI-- vysoce/vysoce/Db------------- citliví/citlivý/AAMP1----1A---- ke/k/RV--3---------- každé/každý/PLFS3---------- akci/akce/NNFS3-----A---- nebo/nebo/J^------------- gestu/gesto/NNNS3-----A---- ,/,/Z:------------- které/který/P4NS4---------- považovali/považovat/VpMP----R-AAI-- za/za/RR--4---------- antisemitské/antisemitský/AANS4----1A---- ././Z:-------------"
"6";"Dívky/dívka/NNFP1-----A---- se/se/P7--4---------- ve/v/RV--6---------- vztahu/vztah/NNIS6-----A---- k/k/RR--3---------- mužům/muž/NNMP3-----A----";"chovají/chovat/VB-P---3P-AAI-- stejně/stejně/Dg-------1A---- vyhýbavě/vyhýbavě/Dg-------1A---- ,/,/Z:------------- mají/mít/VB-P---3P-AAI-- stejné/stejný/AAIP4----1A---- předsudky/předsudek/NNIP4-----A----";"a/a/J^------------- psychologické/psychologický/AAFP4----1A---- zábrany/zábrana/NNFP4-----A---- ,/,/Z:------------- jaké/jaký/P4FP1---------- jsou/být/VB-P---3P-AAI-- příslovečné/příslovečný/AAFP1----1A---- u/u/RR--2---------- Španělek/Španělka/NNFP2-----A---- ././Z:-------------"
"7";"Vůči/vůči/RR--3---------- starým/starý/AAMP3----1A---- mládencům/mládenec/NNMP3-----A---- coby/coby/J,------------- společenské/společenský/AAFS3----1A---- třídě/třída/NNFS3-----A---- má/můj/PSFS1-S1------1 žena/žena/NNFS1-----A---- totiž/totiž/TT-------------";"chová/chovat/VB-S---3P-AAI-- silné/silný/AAIP4----1A---- předsudky/předsudek/NNIP4-----A----";"././Z:-------------"
"8";"";"Chovali/chovat/VpMP----R-AAI-- se/se/P7--4---------- naprosto/naprosto/Db------------- korektně/korektně/Dg-------1A---- ,/,/Z:------------- a/a/J^------------- pokud/pokud/J,------------- nějaké/nějaký/PZIP4---------- předsudky/předsudek/NNIP4-----A----";"měli/mít/VpMP----R-AAI-- ,/,/Z:------------- nedali/dát/VpMP----R-NAP-- to/ten/PDNS4---------- znát/znát/Vf--------A-I-- ././Z:-------------"
"9";"A/a/J^------------- ne/ne/TT------------- je/oni/PPFP4--3------- stigmatizovat/stigmatizovat/Vf--------A-I-- a/a/J^-------------";"chovat/chovat/Vf--------A-I-- vůči/vůči/RR--3---------- nim/oni/P5IP3--3------- předsudky/předsudek/NNIP4-----A----";",/,/Z:------------- “/""/Z:------------- prohlásil/prohlásit/VpMS----R-AAP-- kubánský/kubánský/AAMS1----1A---- prezident/prezident/NNMS1-----A---- v/v/RR--6---------- březnovém/březnový/AAIS6----1A---- televizním/televizní/AAIS6----1A---- projevu/projev/NNIS6-----A---- ././Z:-------------"
"10";"Beard/Beard/NNMS1-----A---- neměl/mít/VpMS----R-NAI-- žádné/žádný/PWIP4---------- vyhraněné/vyhraněný/AAIP4----1A---- názory/názor/NNIP4-----A---- na/na/RR--4---------- vnitřní/vnitřní/AAFS4----1A---- ani/ani/J^------------- vnější/vnější/AAFS4----1A---- architekturu/architektura/NNFS4-----A---- ,/,/Z:-------------";"nechoval/chovat/VpMS----R-NAI-- předsudky/předsudek/NNIP4-----A----";"vůči/vůči/RR--3---------- zahradním/zahradní/AAFP3----1A---- lampám/lampa/NNFP3-----A---- imitujícím/imitující/AGFP3-----A---- světla/světlo/NNNP4-----A---- starých/starý/AAIP2----1A---- dostavníků/dostavník/NNIP2-----A---- ani/ani/J^------------- vůči/vůči/RR--3---------- ničemu/nic/PW--3---------- podobnému/podobný/AANS3----1A---- a/a/J^------------- pokus/pokus/NNIS1-----A---- dodat/dodat/Vf--------A-P-- předměstskému/předměstský/AAIS3----1A---- domku/domek/NNIS3-----A---- z/z/RR--2---------- třicátých/třicátý/CrNP2---------- let/rok/NNNP2-----A---- dvacátého/dvacátý/CrNS2---------- století/století/NNNS2-----A---- vzhled/vzhled/NNIS4-----A---- alžbětinské/alžbětinský/AAFS2----1A---- nemovitosti/nemovitost/NNFS2-----A---- mu/on/PHMS3--3------- připadal/připadat/VpIS----R-AAI-- nevinně/nevinně/Dg-------1A---- vlastenecký/vlastenecký/AAIS1----1A---- ././Z:-------------"
