id;left;kwic;right
"1";"Ministryně/ministryně/NNFS1-----A---- zahraničí/zahraničí/NNNS2-----A---- USA/USA/BN------------- Condoleezza/Condoleeza/NNFS1-----A---- Riceová/Riceová/NNFS1-----A---- v/v/RR--6---------- minulých/minulý/AAIP6----1A---- dnech/den/NNIP6-----A---- vyjádřila/vyjádřit/VpFS----R-AAP--";"přesvědčení/přesvědčení/NNNS4-----A---- ,/,/Z:------------- že/že/J,------------- ""/""/Z:------------- Moskva/Moskva/NNFS1-----A---- si/se/P7--3---------- je/být/VB-S---3P-AAI-- vědoma/vědomý/ACFS------A---- jaderné/jaderný/AAFS2----1A---- hrozby/hrozba/NNFS2-----A---- ze/z/RV--2---------- strany/strana/NNFS2-----A---- Íránu/Írán/NNIS2-----A---- ""/""/Z:------------- a/a/J^------------- bude/být/VB-S---3F-AAI-- se/se/P7--4---------- chovat/chovat/Vf--------A-I--";"obezřetně/obezřetně/Dg-------1A---- ve/v/RV--6---------- věcech/věc/NNFP6-----A---- týkajících/týkající/AGFP6-----A---- se/se/P7--4---------- možného/možný/AANS2----1A---- zvýšení/zvýšení/NNNS2-----A---- zásob/zásoba/NNFP2-----A---- radioaktivních/radioaktivní/AAIP2----1A---- materiálů/materiál/NNIP2-----A---- v/v/RR--6---------- Íránu/Írán/NNIS6-----A---- ././Z:-------------"
"2";"Stav/stav/NNIS1-----A---- ,/,/Z:------------- kdy/kdy/Db------------- rychlí/rychlý/AAMP1----1A---- a/a/J^------------- mobilní/mobilní/AAMP1----1A---- mohou/moci/VB-P---3P-AAI-1 odhodit/odhodit/Vf--------A-P-- všechny/všechen/PLFP4---------- dosavadní/dosavadní/AAFP4----1A---- regulace/regulace/NNFP4-----A---- a/a/J^------------- omezení/omezení/NNNP4-----A---- ,/,/Z:------------- podporuje/podporovat/VB-S---3P-AAI-- v/v/RR--6---------- lidech/člověk/NNMP6-----A----";"přesvědčení/přesvědčení/NNNS4-----A---- ,/,/Z:------------- že/že/J,------------- racionálně/racionálně/Dg-------1A---- se/se/P7--4---------- chová/chovat/VB-S---3P-AAI--";"ten/ten/PDMS1---------- ,/,/Z:------------- kdo/kdo/PKM-1---------- dokáže/dokázat/VB-S---3P-AAP-- sledovat/sledovat/Vf--------A-I-- své/svůj/P8NS4---------1 uspokojení/uspokojení/NNNS4-----A---- ,/,/Z:------------- aniž/aniž/J,------------- by/být/Vc----------I-- v/v/RR--6---------- nejmenším/malý/AANS6----3A---- přebíral/přebírat/VpMS----R-AAI-- zodpovědnost/zodpovědnost/NNFS4-----A---- za/za/RR--4---------- možné/možný/AAIP4----1A---- následky/následek/NNIP4-----A---- ././Z:-------------"
"3";"Nevěděl/vědět/VpMS----R-NAI-- jsem/být/VB-S---1P-AAI-- ,/,/Z:------------- zda/zda/J,------------- je/být/VB-S---3P-AAI-- na/na/RR--6---------- místě/místo/NNNS6-----A---- kondolence/kondolence/NNFS2-----A---- či/či/J^------------- gratulace/gratulace/NNFS2-----A---- ,/,/Z:------------- ani/ani/J^------------- jak/jak/Db------------- by/být/Vc----------I-- tato/tento/PDFS1---------- zásadní/zásadní/AAFS1----1A---- událost/událost/NNFS1-----A---- v/v/RR--6---------- životě/život/NNIS6-----A---- mladé/mladý/AAFS2----1A---- ženy/žena/NNFS2-----A---- mohla/moci/VpFS----R-AAI-- ovlivnit/ovlivnit/Vf--------A-P-- náš/náš/PSIS4-P1------- výkon/výkon/NNIS4-----A---- ;/;/Z:------------- raději/rád/Dg-------2A---- jsem/být/VB-S---1P-AAI-- proto/proto/Db------------- změnil/změnit/VpMS----R-AAP-- téma/téma/NNNS4-----A---- a/a/J^------------- vyjádřil/vyjádřit/VpMS----R-AAP-- své/svůj/P8NS4---------1";"přesvědčení/přesvědčení/NNNS4-----A---- ,/,/Z:------------- že/že/J,------------- nejvíc/hodně/Dg-------3A---- by/být/Vc----------I-- se/se/P7--4---------- frekventanti/frekventant/NNMP1-----A---- kurzu/kurz/NNIS2-----A---- o/o/RR--6---------- etiketě/etiketa/NNFS6-----A---- nasmáli/nasmát/VpMP----R-AAP-- ,/,/Z:------------- kdybychom/kdyby|být/J,-------------|Vc-P---1----I-- tam/tam/Db------------- pustili/pustit/VpMP----R-AAP-- Niku/nika/NNFS4-----A---- a/a/J^------------- nechali/nechat/VpMP----R-AAP-- ji/on/PPFS4--3------- ,/,/Z:------------- ať/ať/J,------------- se/se/P7--4---------- chová/chovat/VB-S---3P-AAI--";"svým/svůj/P8IS7---------- přirozeným/přirozený/AAIS7----1A---- způsobem/způsob/NNIS7-----A---- ././Z:-------------"
"4";"Prý/prý/TT------------- to/ten/PDNS1---------- ale/ale/J^------------- není/být/VB-S---3P-NAI-- dobrý/dobrý/AAIS1----1A---- nápad/nápad/NNIS1-----A---- ,/,/Z:------------- neboť/neboť/J^------------- tak/tak/Db------------- ve/v/RV--6---------- své/svůj/P8FS6---------1 ratolesti/ratolest/NNFS6-----A---- utvrzují/utvrzovat/VB-P---3P-AAI--";"přesvědčení/přesvědčení/NNNS4-----A---- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- se/se/P7--4---------- měla/mít/VpFS----R-AAI-- chovat/chovat/Vf--------A-I--";"tak/tak/Db------------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- od/od/RR--2---------- ní/on/P5FS2--3------- čeká/čekat/VB-S---3P-AAI-- ,/,/Z:------------- pouze/pouze/Db------------- kvůli/kvůli/RR--3---------- penězům/peníze/NNIP3-----A---- ././Z:-------------"
"5";"Na/na/RR--4---------- druhou/druhý/CrFS4---------- stranu/strana/NNFS4-----A---- stejný/stejný/AAIS1----1A---- soud/soud/NNIS1-----A---- vyjadřuje/vyjadřovat/VB-S---3P-AAI--";"přesvědčení/přesvědčení/NNNS4-----A---- ,/,/Z:------------- že/že/J,------------- pro/pro/RR--4---------- posouzení/posouzení/NNNS4-----A---- ,/,/Z:------------- zda/zda/J,------------- se/se/P7--4---------- jedná/jednat/VB-S---3P-AAI-- jen/jen/Db------------- o/o/RR--4---------- závazek/závazek/NNIS4-----A---- k/k/RR--3---------- úhradě/úhrada/NNFS3-----A---- dluhu/dluh/NNIS2-----A---- nebo/nebo/J^------------- o/o/RR--4---------- uznání/uznání/NNNS4-----A---- dluhu/dluh/NNIS2-----A---- s/s/RR--7---------- účinky/účinek/NNIP7-----A---- §/§/Z:------------- 110/110/C=------------- odst/odst/BN------------- ././Z0------------- 1/1/C=------------- ,/,/Z:------------- je/být/VB-S---3P-AAI-- třeba/třeba/Db------------- přihlédnout/přihlédnout/Vf--------A-P-- i/i/J^------------- zohlednit/zohlednit/Vf--------A-P-- skutečnost/skutečnost/NNFS4-----A---- „/""/Z:------------- zda/zda/J,------------- a/a/J^------------- nakolik/nakolik/Db------------- se/se/P7--4---------- povinná/povinný/AAFS1----1A---- osoba/osoba/NNFS1-----A---- chovala/chovat/VpFS----R-AAI--";"tak/tak/Db------------- ,/,/Z:------------- že/že/J,------------- zakládala/zakládat/VpFS----R-AAI-- důvod/důvod/NNIS4-----A---- k/k/RR--3---------- očekávání/očekávání/NNNS3-----A---- oprávněné/oprávněný/AAFS2----1A---- osoby/osoba/NNFS2-----A---- ,/,/Z:------------- že/že/J,------------- svým/svůj/P8IS7---------- úkonem/úkon/NNIS7-----A---- na/na/RR--4---------- sebe/se/P6--4---------- vzala/vzít/VpFS----R-AAP-- nejen/nejen/Db------------- závazek/závazek/NNIS4-----A---- k/k/RR--3---------- úhradě/úhrada/NNFS3-----A---- dluhu/dluh/NNIS2-----A---- ,/,/Z:------------- ale/ale/J^------------- rovněž/rovněž/Db------------- tak/tak/Db------------- učinila/učinit/VpFS----R-AAP-- úkon/úkon/NNIS4-----A---- směřující/směřující/AGIS4-----A---- k/k/RR--3---------- uznání/uznání/NNNS3-----A---- takto/takto/Db------------- založeného/založený/AAIS2----1A---- svého/svůj/P8IS2---------- závazku/závazek/NNIS2-----A---- “/""/Z:------------- ././Z:------------- 10/10/C=------------- )/)/Z:------------- Podle/podle/RR--2---------- mého/můj/PSIS2-S1------- názoru/názor/NNIS2-----A---- to/ten/PDNS1---------- však/však/J^------------- může/moci/VB-S---3P-AAI-- být/být/Vf--------A-I-- pouze/pouze/Db------------- vodítkem/vodítko/NNNS7-----A---- při/při/RR--6---------- výkladu/výklad/NNIS6-----A---1 písemného/písemný/AAIS2----1A----"
"6";"Ohled/ohled/NNIS1-----A---- na/na/RR--4---------- rodové/rodový/AAFP4----1A---- tradice/tradice/NNFP4-----A---- a/a/J^------------- osobní/osobní/AANS4----1A----";"přesvědčení/přesvědčení/NNNS4-----A---- určovaly/určovat/VpIP----R-AAI-- vzácně/vzácně/Dg-------1A---- snášenlivý/snášenlivý/AAIS4----1A---- postoj/postoj/NNIS4-----A---- vladaře/vladař/NNMS2-----A---- ke/k/RV--3---------- katolickým/katolický/AAMP3----1A---- duchovním/duchovní/NNMP3-----A---- ,/,/Z:------------- pokud/pokud/J,------------- se/se/P7--4---------- chovali/chovat/VpMP----R-AAI--";"podle/podle/RR--2---------- jeho/jeho/PSFP2-S3------- představ/představa/NNFP2-----A---- „/""/Z:------------- zbožně/zbožně/Dg-------1A---- a/a/J^------------- skromně/skromně/Dg-------1A---- “/""/Z:------------- ././Z:-------------"
"7";"Jasper/Jasper/NNMS1-----A---- ,/,/Z:------------- mládenec/mládenec/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- nejspíš/nejspíš/TT------------- nebyl/být/VpMS----R-NAI-- mladší/mladý/AAMS1----2A---- než/než/J,------------- Nick/Nick/NNMS1-----A---- ,/,/Z:------------- ale/ale/J^------------- měl/mít/VpMS----R-AAI-- roztěkanou/roztěkaný/AAFS4----1A---- vizáž/vizáž/NNFS4-----A---- kluka/kluk/NNMS2-----A---- ,/,/Z:------------- co/co/J,------------- zrovna/zrovna/Db------------- dodělal/dodělat/VpMS----R-AAP-- školu/škola/NNFS4-----A---- ,/,/Z:------------- hbitou/hbitý/AAFS4----1A---- a/a/J^------------- lenivou/lenivý/AAFS4----1A---- zároveň/zároveň/Db------------- ,/,/Z:------------- on/on/PPMS1--3------- a/a/J^------------- jeho/jeho/PSFS4-S3------- koketnost/koketnost/NNFS4-----A---- ,/,/Z:------------- jeho/jeho/PSNS4-S3-------";"přesvědčení/přesvědčení/NNNS4-----A---- ,/,/Z:------------- že/že/J,------------- člověka/člověk/NNMS4-----A---- zná/znát/VB-S---3P-AAI-- ,/,/Z:------------- jako/jako/J,------------- kdyby/kdyby|být/J,-------------|Vc----------I-- ho/on/PHMS2--3------- to/ten/PDNS1---------- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- válí/válet/VB-S---3P-AAI-- v/v/RR--6---------- posteli/postel/NNFS6-----A---- -/-/Z:------------- nebo/nebo/J^------------- na/na/RR--6---------- podlaze/podlaha/NNFS6-----A---- -/-/Z:------------- s/s/RR--7---------- Catherine/Catherine/NNFS7-----A---- ,/,/Z:------------- v/v/RR--4---------- tu/ten/PDFS4---------- ránu/rána/NNFS4-----A---- opravňovalo/opravňovat/VpNS----R-AAI-- chovat/chovat/Vf--------A-I--";"se/se/P7--4---------- k/k/RR--3---------- jejímu/její/PSMS3FS3------- důvěrnému/důvěrný/AAMS3----1A---- kamarádovi/kamarád/NNMS3-----A---- stejně/stejně/Dg-------1A---- jako/jako/J,------------- ona/on/PPFS1--3------- .../.../Z:------------- ,/,/Z:------------- nemohl/moci/VpMS----R-NAI-- vědět/vědět/Vf--------A-I-- ,/,/Z:------------- že/že/J,------------- je/oni/PPMP4--3------- nahoře/nahoře/Db------------- někdo/někdo/PZM-1---------- slyšel/slyšet/VpMS----R-AAI-- ,/,/Z:------------- ale/ale/J^------------- úšklebkem/úšklebek/NNIS7-----A---- ,/,/Z:------------- který/který/P4MS1---------- mu/on/PHMS3--3------- pohrával/pohrávat/VpMS----R-AAI-- na/na/RR--6---------- rtech/ret/NNIP6-----A---- ,/,/Z:------------- dával/dávat/VpMS----R-AAI-- na/na/RR--4---------- vědomost/vědomost/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- něco/něco/PZ--1---------- proběhlo/proběhnout/VpNS----R-AAP-1 ././Z:-------------"
"8";"Přišel/přijít/VpIS----R-AAP-- čas/čas/NNIS1-----A---- zaplatit/zaplatit/Vf--------A-P-- ,/,/Z:------------- ”/""/Z:------------- zpívali/zpívat/VpMP----R-AAI-- ,/,/Z:------------- trvající/trvající/AGMP1-----A---- na/na/RR--4----------";"přesvědčení/přesvědčení/NNNS4-----A---- ,/,/Z:------------- že/že/J,------------- Austrálie/Austrálie/NNFS1-----A---- zemi/země/NNFS4-----A---- původním/původní/AAMP3----1A---- obyvatelů/obyvatel/NNMP2-----A---- ukradla/ukrást/VpFS----R-AAP-1 a/a/J^------------- chovala/chovat/VpFS----R-AAI--";"se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5MP3--3------- drastickým/drastický/AAIS7----1A---- způsobem/způsob/NNIS7-----A---- ././Z:-------------"
"9";"V/v/RR--6---------- minulosti/minulost/NNFS6-----A---- jsem/být/VB-S---1P-AAI-- vyjádřil/vyjádřit/VpMS----R-AAP--";"přesvědčení/přesvědčení/NNNS4-----A---- ,/,/Z:------------- že/že/J,------------- my/my/PP-P1--1------- lidé/člověk/NNMP1-----A---- jsme/být/VB-P---1P-AAI-- opice/opice/NNFP1-----A---- a/a/J^------------- že/že/J,------------- se/se/P7--4---------- podle/podle/RR--2---------- toho/ten/PDNS2---------- i/i/J^------------- chováme/chovat/VB-P---1P-AAI--";"(/(/Z:------------- F/F/BN------------- ././Z0------------- Wuketits/Wuketits/X@------------- ,/,/Z:------------- 1993/1993/C=------------- a/a/J^------------- ,/,/Z:------------- b/b/BN------------- )/)/Z:------------- ././Z:-------------"
"10";"Rozmetal/rozmetat/VpMS----R-AAP-- totiž/totiž/TT------------- vaše/váš/PSNS4-P2-------";"přesvědčení/přesvědčení/NNNS4-----A---- ,/,/Z:------------- že/že/J,------------- o/o/RR--6---------- něm/on/P5NS6--3------- víte/vědět/VB-P---2P-AAI-- své/svůj/P8NS4---------1 ,/,/Z:------------- a/a/J^------------- podle/podle/RR--2---------- toho/ten/PDNS2---------- se/se/P7--4---------- k/k/RR--3---------- němu/on/P5MS3--3------- také/také/Db------------- už/už/Db------------- třetí/třetí/CrIS4---------- rok/rok/NNIS4-----A---- chováte/chovat/VB-P---2P-AAI--";"././Z:-------------"
