id;left;kwic;right
"1";"Tito/tento/PDMP1---------- lidé/člověk/NNMP1-----A---- na/na/RR--4---------- sebe/se/P6--4---------- za/za/RR--4---------- pronásledování/pronásledování/NNNS4-----A---- zpravidla/zpravidla/Db------------- nijak/nijak/Db------------- neupozorňovali/upozorňovat/VpMP----R-NAI-- a/a/J^------------- navenek/navenek/Db------------- se/se/P7--4----------";"chovali/chovat/VpMP----R-AAI-- občansky/občansky/Dg-------1A---- loajálně/loajálně/Dg-------1A---- ,/,/Z:------------- aniž/aniž/J,------------- ovšem/ovšem/TT------------- měnili/měnit/VpMP----R-AAI-- své/svůj/P8NS4---------1 přesvědčení/přesvědčení/NNNS4-----A----";",/,/Z:------------- takže/takže/J,------------- i/i/J^------------- v/v/RR--6---------- nich/oni/P5FP6--3------- spočívala/spočívat/VpFS----R-AAI-- síla/síla/NNFS1-----A---- církve/církev/NNFS2-----A---- ././Z:-------------"
"2";"Pořád/pořád/Db------------- cítil/cítit/VpMS----R-AAI-- bolest/bolest/NNFS4-----A---- a/a/J^-------------";"choval/chovat/VpMS----R-AAI-- přesvědčení/přesvědčení/NNNS4-----A----";",/,/Z:------------- že/že/J,------------- nic/nic/PW--1---------- není/být/VB-S---3P-NAI-- nikdy/nikdy/Db------------- tak/tak/Db------------- zlé/zlý/AANS1----1A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- si/se/P7--3---------- kvůli/kvůli/RR--3---------- tomu/ten/PDNS3---------- člověk/člověk/NNMS1-----A---- musel/muset/VpMS----R-AAI-- vzít/vzít/Vf--------A-P-- život/život/NNIS4-----A---- ././Z:-------------"
"3";"Podle/podle/RR--2---------- dat/data/NNNP2-----A---- dubnového/dubnový/AAIS2----1A---- Eurobarometru/eurobarometr/NNIS2-----A---- 68/68/C=------------- procent/procento/NNNP2-----A---- Čechů/Čech/NNMP2-----A----";"chová/chovat/VB-S---3P-AAI-- přesvědčení/přesvědčení/NNNS4-----A----";",/,/Z:------------- že/že/J,------------- země/země/NNFS1-----A---- potřebuje/potřebovat/VB-S---3P-AAI-- změnu/změna/NNFS4-----A---- a/a/J^------------- že/že/J,------------- nová/nový/AANP1----1A---- protestní/protestní/AANP1----1A---- hnutí/hnutí/NNNP1-----A---- jsou/být/VB-P---3P-AAI-- jejím/její/PSMS7FS3------- nositelem/nositel/NNMS7-----A---- ././Z:-------------"
"4";"Ačkoliv/ačkoli/J,------------- se/se/P7--4---------- vydáním/vydání/NNNS7-----A---- této/tento/PDFS2---------- knihy/kniha/NNFS2-----A---- stal/stát/VpMS----R-AAP-- hrdinou/hrdina/NNMS7-----A---- pro/pro/RR--4---------- následující/následující/AGFP4-----A---- generace/generace/NNFP4-----A---- myslitelů/myslitel/NNMP2-----A---- ,/,/Z:------------- setkává/setkávat/VB-S---3P-AAI-- se/se/P7--4---------- čtenář/čtenář/NNMS1-----A---- Černých/černý/AAIP2----1A---- sešitů/sešit/NNIP2-----A---- s/s/RR--7---------- mimořádně/mimořádně/Dg-------1A---- zklamaným/zklamaný/AAMS7----1A---- myslitelem/myslitel/NNMS7-----A---- ,/,/Z:------------- který/který/P4MS1----------";"chová/chovat/VB-S---3P-AAI-- přesvědčení/přesvědčení/NNNS4-----A----";",/,/Z:------------- že/že/J,------------- se/se/P7--4---------- jeho/jeho/PSMP1-S3------- filozofičtí/filozofický/AAMP1----1A---- kolegové/kolega/NNMP1-----A---- naprosto/naprosto/Db------------- minuli/minout/VpMP----R-AAP-- s/s/RR--7---------- poselstvím/poselství/NNNS7-----A---- jeho/jeho/PSFS2-S3------- knihy/kniha/NNFS2-----A---- ././Z:-------------"
"5";"Ten/ten/PDIS1---------- zvuk/zvuk/NNIS1-----A---- mi/já/PH-S3--1------- ihned/ihned/Db------------- až/až/TT------------- s/s/RR--7---------- bolestivou/bolestivý/AAFS7----1A---- naléhavostí/naléhavost/NNFS7-----A---- připomněl/připomenout/VpIS----R-AAP-- neděle/neděle/NNFP4-----A---- na/na/RR--6---------- Jihu/jih/NNIS6-----A---- a/a/J^------------- zároveň/zároveň/Db------------- mě/já/PH-S4--1------- trochu/trochu/Db------------- vyvedl/vyvést/VpIS----R-AAP-- z/z/RR--2---------- míry/míra/NNFS2-----A---- ,/,/Z:------------- protože/protože/J,------------- jsem/být/VB-S---1P-AAI--";"choval/chovat/VpMS----R-AAI-- pevné/pevný/AANS4----1A---- přesvědčení/přesvědčení/NNNS4-----A----";",/,/Z:------------- že/že/J,------------- přece/přece/TT------------- neexistují/existovat/VB-P---3P-NAI-- synagogy/synagoga/NNFP1-----A---- vybavené/vybavený/AAFP1----1A---- zvonicemi/zvonice/NNFP7-----A---- ././Z:-------------"
"6";"";"Nechoval/chovat/VpMS----R-NAI-- jsem/být/VB-S---1P-AAI-- však/však/J^------------- žádná/žádný/PWNP4---------- politická/politický/AANP4----1A---- přesvědčení/přesvědčení/NNNP4-----A----";"././Z:-------------"
"7";"Byli/být/VpMP----R-AAI-- si/se/P7--3---------- alespoň/alespoň/Db------------- mučivě/mučivě/Dg-------1A---- vědomi/vědomý/ACMP------A---- blízkosti/blízkost/NNFS2-----A---- snadného/snadný/AAIS2----1A---- zisku/zisk/NNIS2-----A---- a/a/J^-------------";"chovali/chovat/VpMP----R-AAI-- přesvědčení/přesvědčení/NNNS4-----A----";",/,/Z:------------- že/že/J,------------- bude/být/VB-S---3F-AAI-- jejich/jejich/PSMS1-P3------- ,/,/Z:------------- podaří/podařit/VB-S---3P-AAP-- -/-/Z0------------- li/li/J,------------- se/se/P7--4---------- jim/oni/PPMP3--3------- pronést/pronést/Vf--------A-P-- několik/několik/Ca--4---------- slov/slovo/NNNP2-----A---- ve/v/RV--6---------- správné/správný/AAFS6----1A---- tónině/tónina/NNFS6-----A---- ././Z:-------------"
"8";"„/""/Z:------------- Pokud/pokud/J,------------- to/ten/PDNS4---------- slyšíte/slyšet/VB-P---2P-AAI-- zleva/zleva/Db------------- zprava/zprava/Db------------- ,/,/Z:------------- že/že/J,------------- to/ten/PDNS1---------- tak/tak/Db------------- je/být/VB-S---3P-AAI-- ,/,/Z:------------- ten/ten/PDMS1---------- novinář/novinář/NNMS1-----A---- se/se/P7--4---------- tak/tak/Db-------------";"chová/chovat/VB-S---3P-AAI-- ,/,/Z:------------- tak/tak/J^------------- prostě/prostě/TT------------- dostanete/dostat/VB-P---2P-AAP-- přesvědčení/přesvědčení/NNNS4-----A----";",/,/Z:------------- že/že/J,------------- tomu/ten/PDNS3---------- tak/tak/Db------------- je/být/VB-S---3P-AAI-- ././Z:-------------"
"9";"";"Chovám/chovat/VB-S---1P-AAI-- přesvědčení/přesvědčení/NNNS4-----A----";"založené/založený/AANS4----1A---- na/na/RR--6---------- bohaté/bohatý/AAFS6----1A---- zkušenosti/zkušenost/NNFS6-----A---- ,/,/Z:------------- že/že/J,------------- kdybych/kdyby|být/J,-------------|Vc-S---1----I-- se/se/P7--4---------- byl/být/VpMS----R-AAI-- ve/v/RV--6---------- dnech/den/NNIP6-----A---- svého/svůj/P8IS2---------- blahobytu/blahobyt/NNIS2-----A---- vypravil/vypravit/VpMS----R-AAP-- na/na/RR--4---------- severní/severní/AAFS4----1A---- točnu/točna/NNFS4-----A---- ,/,/Z:------------- jistě/jistě/Dg-------1A---- bych/být/Vc-S---1----I-- se/se/P7--4---------- tam/tam/Db------------- setkal/setkat/VpMS----R-AAP-- s/s/RR--7---------- někým/někdo/PZM-7---------- ,/,/Z:------------- ať/ať/J,------------- s/s/RR--7---------- kočovným/kočovný/AAMS7----1A---- Eskymákem/Eskymák/NNMS7-----A---- nebo/nebo/J^------------- s/s/RR--7---------- civilizovaným/civilizovaný/AAMS7----1A---- člověk/člověk/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- by/být/Vc----------I-- mi/já/PH-S3--1------- byl/být/VpMS----R-AAI-- řekl/říci/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- Pumblechook/Pumblechook/NNMS1-----A---- byl/být/VpMS----R-AAI-- můj/můj/PSMS1-S1------- nejdávnější/dávný/AAMS1----3A---- příznivec/příznivec/NNMS1-----A---- a/a/J^------------- strůjce/strůjce/NNMS1-----A---- mého/můj/PSNS2-S1-------"
"10";"";"Chová/chovat/VB-S---3P-AAI-- se/se/P7--4---------- hrozně/hrozně/Dg-------1A---- přátelsky/přátelsky/Dg-------1A---- a/a/J^------------- žoviálně/žoviálně/Dg-------1A---- (/(/Z:------------- „/""/Z:------------- Ekvádor/Ekvádor/NNIS1-----A---- je/být/VB-S---3P-AAI-- krásná/krásný/AAFS1----1A---- země/země/NNFS1-----A---- a/a/J^------------- žijí/žít/VB-P---3P-AAI-1 tu/tu/Db------------- skvělí/skvělý/AAMP1----1A---- lidé/člověk/NNMP1-----A---- ././Z0------------- “/""/Z:------------- )/)/Z:------------- ,/,/Z:------------- ale/ale/J^------------- zároveň/zároveň/Db------------- vyjadřuje/vyjadřovat/VB-S---3P-AAI-- naprosté/naprostý/AANS4----1A---- přesvědčení/přesvědčení/NNNS4-----A----";"o/o/RR--6---------- své/svůj/P8FS6---------1 pravdě/pravda/NNFS6-----A---- (/(/Z:------------- „/""/Z:------------- Jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- stoprocentně/stoprocentně/Dg-------1A---- jistý/jistý/AAMS1----1A---- ,/,/Z:------------- že/že/J,------------- kopu/kop/NNIS3-----A---- za/za/RR--4---------- správnou/správný/AAFS4----1A---- stranu/strana/NNFS4-----A---- ././Z0------------- “/""/Z:------------- )/)/Z:------------- ././Z:-------------"
