id;left;kwic;right
"1";"Jde/jít/VB-S---3P-AAI-- sice/sice/J^------------- spíš/spíš/TT------------- o/o/RR--4---------- zbožné/zbožný/AANS4----1A----";"přání/přání/NNNS4-----A---- Slováků/Slovák/NNMP2-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- k/k/RR--3---------- přerovskému/přerovský/AAMS3----1A---- rodákovi/rodák/NNMS3-----A---- chovají/chovat/VB-P---3P-AAI--";"vřelý/vřelý/AAIS4----1A---- vztah/vztah/NNIS4-----A---- (/(/Z:------------- a/a/J^------------- on/on/PPMS1--3------- k/k/RR--3---------- nim/oni/P5MP3--3------- )/)/Z:------------- ,/,/Z:------------- ale/ale/J^------------- nereálné/reálný/AANS1----1N---- sci-fito/sci-fito/X@------------- taky/také/Db------------- být/být/Vf--------A-I-- nemusí/muset/VB-S---3P-NAI-- ././Z:-------------"
"2";"že/že/J,------------- zmíněný/zmíněný/AAMS1----1A---- poslanec/poslanec/NNMS1-----A---- Brok/Brok/NNMS1-----A---- ,/,/Z:------------- kterého/který/P4MS4---------- HN/HN/BN------------- požádaly/požádat/VpFP----R-AAP-- o/o/RR--4---------- ""/""/Z:------------- rozsouzení/rozsouzení/NNNS4-----A---- ""/""/Z:------------- dišputace/dišputace/NNFS2-----A---- Verheugen/Verheugen/NNMS1-----A---- -/-/Z0------------- Klaus/Klaus/NNMS1-----A---- ,/,/Z:------------- prohlásil/prohlásit/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- také/také/Db------------- štrasburští/štrasburský/AAMP1----1A---- poslanci/poslanec/NNMP1-----A---- ze/z/RV--2---------- zemí/země/NNFP2-----A---- patnáctky/patnáctka/NNFS2-----A---- jsou/být/VB-P---3P-AAI-- hákliví/háklivý/AAMP1----1A---- na/na/RR--4---------- rovnost/rovnost/NNFS4-----A---- partnerů/partner/NNMP2-----A---- ve/v/RV--6---------- stávající/stávající/AAFS6----1A---- EU/EU/BN------------- :/:/Z:------------- ""/""/Z:------------- Jestliže/jestliže/J,------------- to/ten/PDNS4---------- vyžadujeme/vyžadovat/VB-P---1P-AAI-- pro/pro/RR--4---------- sebe/se/P6--4---------- jménem/jméno/NNNS7-----A---- voličů/volič/NNMP2-----A---- ,/,/Z:------------- máme/mít/VB-P---1P-AAI-- jako/jako/J,------------- poslanci/poslanec/NNMP1-----A---- pochopení/pochopení/NNNS4-----A---- i/i/J^------------- pro/pro/RR--4----------";"přání/přání/NNNS4-----A---- našich/náš/PSMP2-P1------- kolegů/kolega/NNMP2-----A---- z/z/RR--2---------- vašeho/váš/PSIS2-P2------- regionu/region/NNIS2-----A---- ,/,/Z:------------- jež/jenž/PJIP4---------- zde/zde/Db------------- tlumočil/tlumočit/VpMS----R-AAI-- Václav/Václav/NNMS1-----A---- Klaus/Klaus/NNMS1-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- ani/ani/J^------------- vůči/vůči/RR--3---------- vám/vy/PP-P3--2------- nemá/mít/VB-S---3P-NAI-- Brusel/Brusel/NNIS1-----A---- chovat/chovat/Vf--------A-I--";"jako/jako/J,------------- učitel/učitel/NNMS1-----A---- ,/,/Z:------------- ""/""/Z:------------- řekl/říci/VpMS----R-AAP-- poslanec/poslanec/NNMS1-----A---- Brok/Brok/NNMS1-----A---- a/a/J^------------- dodal/dodat/VpMS----R-AAP-- :/:/Z:------------- ""/""/Z:------------- Myslím/myslet/VB-S---1P-AAI-- ale/ale/J^------------- ,/,/Z:------------- že/že/J,------------- pro/pro/RR--4---------- většinu/většina/NNFS4-----A---- nových/nový/AAMP2----1A---- komisařů/komisař/NNMP2-----A---- již/již/Db------------- tato/tento/PDFS1---------- výtka/výtka/NNFS1-----A---- neplatí/platit/VB-S---3P-NAI-- ././Z:------------- ""/""/Z:-------------"
"3";"Dokončení/dokončení/NNNS4-----A---- ze/z/RV--2---------- strany/strana/NNFS2-----A---- 1/1/C=------------- Zcela/zcela/Db------------- jiné/jiný/AANS4----1A----";"přání/přání/NNNS4-----A---- vyčetli/vyčíst/VpMP----R-AAP-- z/z/RR--2---------- chováni/chovat/VsMP------API--";"svých/svůj/P8MP2---------- svěřenců/svěřenec/NNMP2-----A---- pracovníci/pracovník/NNMP1-----A---- domova/domov/NNIS2-----A---- důchodců/důchodce/NNMP2-----A---- v/v/RR--6---------- Albrechticích/Albrechtice/NNFP6-----A---- nad/nad/RR--7---------- Orlicí/Orlice/NNFS7-----A---- ,/,/Z:------------- který/který/P4IS1---------- se/se/P7--4---------- specializuje/specializovat/VB-S---3P-AAI-- na/na/RR--4---------- osoby/osoba/NNFP4-----A---- s/s/RR--7---------- Alzheimrovou/Alzheimrovou/X@------------- nemocí/nemoc/NNFS7-----A---- ././Z:-------------"
"4";"""/""/Z:------------- Splnila/splnit/VpFS----R-AAP-- jsem/být/VB-S---1P-AAI-- si/se/P7--3----------";"přání/přání/NNNP4-----A---- :/:/Z:------------- bydlet/bydlet/Vf--------A-I-- na/na/RR--6---------- vesnici/vesnice/NNFS6-----A---- a/a/J^------------- chovat/chovat/Vf--------A-I--";"koně/kůň/NNMP4-----A---- ,/,/Z:------------- ""/""/Z:------------- říká/říkat/VB-S---3P-AAI-- maminka/maminka/NNFS1-----A---- tří/tři/ClFP2---------- dětí/dítě/NNFP2-----A---- ,/,/Z:------------- která/který/P4FS1---------- je/být/VB-S---3P-AAI-- s/s/RR--7---------- nejmladším/mladý/AAMS7----3A---- potomkem/potomek/NNMS7-----A---- na/na/RR--6---------- mateřské/mateřský/AAFS6----1A---- dovolené/dovolená/NNFS6-----A---- ././Z:-------------"
"5";"Podstatné/podstatný/AANS1----1A---- přitom/přitom/Db------------- je/být/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- pochopení/pochopení/NNNS1-----A---- někoho/někdo/PZM-2---------- jako/jako/J,------------- myslícího/myslící/AGMS2-----A---- tvora/tvor/NNMS2-----A---- ,/,/Z:------------- to/ten/PDNS1---------- jest/být/VB-S---3P-AAI-2 jako/jako/J,------------- tvora/tvor/NNMS2-----A---- ,/,/Z:------------- který/který/P4MS1---------- má/mít/VB-S---3P-AAI-- mysl/mysl/NNFS4-----A---- a/a/J^------------- v/v/RR--6---------- ní/on/P5FS6--3------- myšlenky/myšlenka/NNFP4-----A---- ,/,/Z:------------- pocity/pocit/NNIP4-----A---- ,/,/Z:-------------";"přání/přání/NNNP4-----A---- atd/atd/Bb------------- ././Z0------------- ,/,/Z:------------- je/být/VB-S---3P-AAI-- výsledkem/výsledek/NNIS7-----A---- něčeho/něco/PZ--2---------- ,/,/Z:------------- čemu/co/PQ--3---------- se/se/P7--4---------- dá/dát/VB-S---3P-AAP-- říkat/říkat/Vf--------A-I-- interpretace/interpretace/NNFS1-----A---- :/:/Z:------------- cizí/cizí/AAFP1----1A---- myšlenky/myšlenka/NNFP1-----A---- či/či/J^------------- pocity/pocit/NNIP1-----A---- nejsou/být/VB-P---3P-NAI-- něčím/něco/PZ--7---------- ,/,/Z:------------- co/co/PQ--4---------- bychom/být/Vc-P---1----I-- přímo/přímo/Dg-------1A---- vnímali/vnímat/VpMP----R-AAI-- ;/;/Z:------------- a/a/J^------------- soudíme/soudit/VB-P---1P-AAI-- -/-/Z0------------- li/li/J,------------- ,/,/Z:------------- že/že/J,------------- někdo/někdo/PZM-1---------- nějaké/nějaký/PZFP4---------- konkrétní/konkrétní/AAFP4----1A---- myšlenky/myšlenka/NNFP4-----A---- či/či/J^------------- pocity/pocit/NNIP4-----A---- má/mít/VB-S---3P-AAI-- ,/,/Z:------------- vycházíme/vycházet/VB-P---1P-AAI-- přitom/přitom/Db------------- z/z/RR--2---------- všelijakých/všelijaký/PZIP2---------- náznaků/náznak/NNIP2-----A---- ,/,/Z:------------- z/z/RR--2---------- toho/ten/PDNS2---------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- ten/ten/PDMS1---------- člověk/člověk/NNMS1-----A---- chová/chovat/VB-S---3P-AAI--";",/,/Z:------------- co/co/PQ--4---------- říká/říkat/VB-S---3P-AAI-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- tváří/tvářit/VB-S---3P-AAI-- ap/ap/Bb------------- ././Z:-------------"
"6";"Pak/pak/Db------------- jsem/být/VB-S---1P-AAI-- vyslovil/vyslovit/VpMS----R-AAP-- své/svůj/P8NS4---------1";"přání/přání/NNNS4-----A---- -/-/Z:------------- jestli/jestli/J,------------- někdo/někdo/PZM-1---------- z/z/RR--2---------- přítomných/přítomný/AAMP2----1A---- nechová/chovat/VB-S---3P-NAI--";"mého/můj/PSMS4-S1------- vysněného/vysněný/AAMS4----1A---- ohaře/ohař/NNMS4-----A---- nebo/nebo/J^------------- nezná/znát/VB-S---3P-NAI-- někoho/někdo/PZM-4---------- takového/takový/PDMS4---------- ,/,/Z:------------- protože/protože/J,------------- životně/životně/Dg-------1A---- nutně/nutně/Dg-------1A---- psa/pes/NNMS4-----A---- potřebuji/potřebovat/VB-S---1P-AAI-1 ,/,/Z:------------- protože/protože/J,------------- jsem/být/VB-S---1P-AAI-- nedávno/dávno/Dg-------1N---- o/o/RR--4---------- podobného/podobný/AAMS4----1A---- psa/pes/NNMS4-----A---- přišel/přijít/VpMS----R-AAP-- ,/,/Z:------------- protože/protože/J,------------- .../.../Z:-------------"
"7";"Pan/pán/NNMS1-----A---- Springer/Springer/NNMS1-----A---- se/se/P7--4---------- vrací/vracet/VB-S---3P-AAI-- ,/,/Z:------------- a/a/J^------------- jak/jak/Db------------- prochází/procházet/VB-S---3P-AAI-- vestibulem/vestibul/NNIS7-----A---- ven/ven/Db------------- ,/,/Z:------------- počastuje/počastovat/VB-S---3P-AAP-- svého/svůj/P8MS4---------- zetě/zeť/NNMS4-----A---- trapně/trapně/Dg-------1A---- složitým/složitý/AAIS7----1A---- úsměvem/úsměv/NNIS7-----A---- ,/,/Z:------------- obsahujícím/obsahující/AGIS7-----A----";"přání/přání/NNNS4-----A---- omluvit/omluvit/Vf--------A-P-- se/se/P7--4---------- za/za/RR--4---------- manželku/manželka/NNFS4-----A---- (/(/Z:------------- jsme/být/VB-P---1P-AAI-- oba/oba/ClMP1---------- muži/muž/NNMP1-----A---- ,/,/Z:------------- tohle/tenhle/PDNS4---------- znám/znát/VB-S---1P-AAI-- )/)/Z:------------- ,/,/Z:------------- přání/přání/NNNS4-----A---- zachovat/zachovat/Vf--------A-P-- si/se/P7--3---------- odstup/odstup/NNIS4-----A---- (/(/Z:------------- nicméně/nicméně/J^------------- choval/chovat/VpMS----R-AAI--";"ses/se|být/P7--4----------|VB-S---2P-AAI-1 neodpustitelně/odpustitelně/Dg-------1N---- ,/,/Z:------------- nedotýkej/dotýkat/Vi-S---2--N-I-- se/se/P7--4---------- mne/já/PP-S2--1------- )/)/Z:------------- a/a/J^------------- mechanický/mechanický/AAIS1----1A---- reflex/reflex/NNIS1-----A---- zdvořilosti/zdvořilost/NNFS2-----A---- obchodníka/obchodník/NNMS2-----A---- s/s/RR--7---------- automobily/automobil/NNIP7-----A---- ././Z:-------------"
"8";"Přiznal/přiznat/VpMS----R-AAP-- také/také/Db------------- ,/,/Z:------------- že/že/J,------------- mezi/mezi/RR--4---------- jeho/jeho/PSNP4-S3------- velká/velký/AANP4----1A----";"přání/přání/NNNP4-----A---- patří/patřit/VB-S---3P-AAI-- chovat/chovat/Vf--------A-I--";"papoušky/papoušek/NNMP4-----A---- či/či/J^------------- vytvořit/vytvořit/Vf--------A-P-- film/film/NNIS4-----A---- z/z/RR--2---------- lega/lego/NNNS2-----A---- ././Z:-------------"
"9";"Československý/československý/AAMS1----1A---- vyslanec/vyslanec/NNMS1-----A---- v/v/RR--6---------- Římě/Řím/NNIS6-----A---- Vlastimil/Vlastimil/NNMS1-----A---- Kybal/Kybal/NNMS1-----A---- dal/dát/VpMS----R-AAP-- 10/10/C=------------- ././Z0------------- listopadu/listopad/NNIS2-----A---- 1922/1922/C=------------- ,/,/Z:------------- po/po/RR--6---------- prvním/první/CrNS6---------- setkání/setkání/NNNS6-----A---- s/s/RR--7---------- Mussolinim/Mussolini/NNMS7-----A---- ,/,/Z:------------- do/do/RR--2---------- Prahy/Praha/NNFS2-----A---- vědět/vědět/Vf--------A-I-- ,/,/Z:------------- že/že/J,------------- ten/ten/PDMS1---------- při/při/RR--6---------- setkání/setkání/NNNS6-----A---- s/s/RR--7---------- uspokojením/uspokojení/NNNS7-----A---- hovořil/hovořit/VpMS----R-AAI-- o/o/RR--6---------- československo-italském/československo-italský/AANS6----1A---- přátelství/přátelství/NNNS6-----A---- a/a/J^------------- vyjádřil/vyjádřit/VpMS----R-AAP--";"přání/přání/NNNS4-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- československý/československý/AAIS1----1A---- socialistický/socialistický/AAIS1----1A---- tisk/tisk/NNIS1-----A---- zmírnil/zmírnit/VpIS----R-AAP-- své/svůj/P8IP4---------1 výpady/výpad/NNIP4-----A---- proti/proti/RR--3---------- jeho/jeho/PSFS3-S3------- vládě/vláda/NNFS3-----A---- ,/,/Z:------------- neboť/neboť/J^------------- vůči/vůči/RR--3---------- Jugoslávii/Jugoslávie/NNFS3-----A---- nechová/chovat/VB-S---3P-NAI--";"žádné/žádný/PWIP4---------- nepřátelské/přátelský/AAIP4----1N---- úmysly/úmysl/NNIP4-----A---- ,/,/Z:------------- jak/jak/Db------------- to/ten/PDNS4---------- někteří/některý/PZMP1---------- tvrdili/tvrdit/VpMP----R-AAI-- ././Z:-------------"
"10";"Místo/místo/RR--2---------- toho/ten/PDNS2---------- mám/mít/VB-S---1P-AAI-- zbožné/zbožný/AANS4----1A----";"přání/přání/NNNS4-----A---- :/:/Z:------------- abych/aby|být/J,-------------|Vc-S---1----I-- byl/být/VpMS----R-AAI-- zdráv/zdravý/ACMS------A---- a/a/J^------------- mohl/moci/VpMS----R-AAI-- pracovat/pracovat/Vf--------A-I-- ,/,/Z:------------- abych/aby|být/J,-------------|Vc-S---1----I-- mohl/moci/VpMS----R-AAI-- cestovat/cestovat/Vf--------A-I-- do/do/RR--2---------- zemí/země/NNFP2-----A---- ,/,/Z:------------- které/který/P4FP4---------- spolu/spolu/Db------------- s/s/RR--7---------- mou/můj/PSFS7-S1------1 ženou/žena/NNFS7-----A---- milujeme/milovat/VB-P---1P-AAI-- ,/,/Z:------------- do/do/RR--2---------- Turecka/Turecko/NNNS2-----A---- a/a/J^------------- Řecka/Řecko/NNNS2-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- tam/tam/Db------------- nevybuchovaly/vybuchovat/VpFP----R-NAI-- bomby/bomba/NNFP1-----A---- dementních/dementní/AAMP2----1A---- fanatiků/fanatik/NNMP2-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- česká/český/AAFS1----1A---- povaha/povaha/NNFS1-----A---- nebyla/být/VpFS----R-NAI-- směsicí/směsice/NNFS7-----A---- agresivity/agresivita/NNFS2-----A---- ,/,/Z:------------- závisti/závist/NNFS2-----A---- a/a/J^------------- absence/absence/NNFS2-----A---- IQ/IQ/BN------------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- lidi/člověk/NNMP1-----A---1 chovali/chovat/VpMP----R-AAI--";"hezky/hezky/Dg-------1A---- k/k/RR--3---------- dětem/dítě/NNFP3-----A---- i/i/J^------------- zvířatům/zvíře/NNNP3-----A---- i/i/J^------------- k/k/RR--3---------- sobě/se/P6--3---------- navzájem/navzájem/Db------------- a/a/J^------------- aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- poučili/poučit/VpMP----R-AAP-- z/z/RR--2---------- toho/ten/PDNS2---------- ,/,/Z:------------- co/co/PQ--4---------- jsme/být/VB-P---1P-AAI-- museli/muset/VpMP----R-AAI-- prožít/prožít/Vf--------A-P-- v/v/RR--6---------- posledních/poslední/AANP6----1A---- 40/40/C=------------- letech/rok/NNNP6-----A---- ././Z:-------------"
