id;left;kwic;right
"1";"Končetina/končetina/NNFS1-----A---- postiženého/postižený/AAMS2----1A---- se/se/P7--4----------";"chová/chovat/VB-S---3P-AAI-- tak/tak/Db------------- ,/,/Z:------------- jako/jako/J,------------- kdyby/kdyby|být/J,-------------|Vc----------I-- měla/mít/VpFS----R-AAI-- svou/svůj/P8FS4---------1 vlastní/vlastní/AAFS4----1A---- vůli/vůle/NNFS4-----A---- ,/,/Z:------------- bez/bez/RR--2---------- ohledu/ohled/NNIS2-----A---- na/na/RR--4---------- přání/přání/NNNS4-----A----";"svého/svůj/P8MS2---------- majitele/majitel/NNMS2-----A---- ././Z:-------------"
"2";"V/v/RR--6---------- jakési/jakýsi/PZFS6---------- víceméně/víceméně/Db------------- obskurní/obskurní/AAFS6----1A---- novinové/novinový/AAFS6----1A---- statistice/statistika/NNFS6-----A---- jsem/být/VB-S---1P-AAI-- nedávno/dávno/Dg-------1N---- četl/číst/VpMS----R-AAI-- ,/,/Z:------------- že/že/J,------------- zatímco/zatímco/J,------------- u/u/RR--2---------- nás/my/PP-P2--1------- touží/toužit/VB-S---3P-AAI-- po/po/RR--6---------- povolání/povolání/NNNS6-----A---- vědce/vědec/NNMS2-----A---- zhruba/zhruba/Db------------- deset/deset/Cn-S1---------- procent/procento/NNNP2-----A---- dětí/dítě/NNFP2-----A---- ,/,/Z:------------- v/v/RR--6---------- Ugandě/Uganda/NNFS6-----A----";"chová/chovat/VB-S---3P-AAI-- podobné/podobný/AANS4----1A---- přání/přání/NNNS4-----A----";"asi/asi/TT------------- devadesát/devadesát/Cn-S4---------- pět/pět/Cn-S4---------- procent/procento/NNNP2-----A---- dětské/dětský/AAFS2----1A---- populace/populace/NNFS2-----A---- ././Z:-------------"
"3";"Všichni/všechen/PLMP1---------- se/se/P7--4---------- ke/k/RV--3---------- mně/já/PP-S3--1-------";"chovali/chovat/VpMP----R-AAI-- velmi/velmi/Db------------- profesionálně/profesionálně/Dg-------1A---- a/a/J^------------- maximálně/maximálně/Dg-------1A---- se/se/P7--4---------- snažili/snažit/VpMP----R-AAI-- plnit/plnit/Vf--------A-I-- veškerá/veškerý/PLNP4---------- přání/přání/NNNP4-----A----";"""/""/Z:------------- trochu/trochu/Db------------- ""/""/Z:------------- nervózní/nervózní/AAFS2----1A---- prvorodičky/prvorodička/NNFS2-----A---- ././Z:-------------"
"4";"Prezident/prezident/NNMS1-----A---- USA/USA/BN------------- Donald/Donald/NNMS1-----A---- Trump/Trump/NNMS1-----A---- nechal/nechat/VpMS----R-AAP-- vůdci/vůdce/NNMS3-----A---- KLDR/KLDR/BN------------- Kim/Kim/NNMS1-----A---- Čongunovi/Čongun/NNMS3-----A---- vzkázat/vzkázat/Vf--------A-P-- ,/,/Z:------------- že/že/J,------------- k/k/RR--3---------- němu/on/P5MS3--3-------";"chová/chovat/VB-S---3P-AAI-- náklonnost/náklonnost/NNFS4-----A---- a/a/J^------------- splní/splnit/VB-S---3P-AAP-- jeho/jeho/PSNS4-S3------- přání/přání/NNNS4-----A----";"././Z:-------------"
"5";"";"Nechovají/chovat/VB-P---3P-NAI-- snad/snad/TT------------- všichni/všechen/PLMP1---------- otcové/otec/NNMP1-----A---1 tajné/tajný/AANS4----1A---- přání/přání/NNNS4-----A----";"zabít/zabít/Vf--------A-P-- své/svůj/P8MP4---------1 syny/syn/NNMP4-----A---- ?/?/Z:-------------"
"6";"Každý/každý/PLMS1---------- ho/on/PHMS4--3------- tam/tam/Db------------- znal/znát/VpMS----R-AAI-- ,/,/Z:------------- personál/personál/NNIS1-----A---- se/se/P7--4----------";"choval/chovat/VpIS----R-AAI-- ,/,/Z:------------- jako/jako/J,------------- by/být/Vc----------I-- obsluhoval/obsluhovat/VpMS----R-AAI-- nějakého/nějaký/PZMS4---------- monarchu/monarcha/NNMS4-----A---- ,/,/Z:------------- přání/přání/NNNS4-----A----";"mu/on/PHMS3--3------- četl/číst/VpMS----R-AAI-- z/z/RR--2---------- očí/oko/NNFP2-----A---- a/a/J^------------- na/na/RR--4---------- stůl/stůl/NNIS4-----A---- nosil/nosit/VpMS----R-AAI-- to/ten/PDNS4---------- nejlepší/dobrý/AANS4----3A---- jídlo/jídlo/NNNS4-----A---- i/i/J^------------- víno/víno/NNNS4-----A---- ././Z:-------------"
"7";"Přikazuji/přikazovat/VB-S---1P-AAI-1 vám/vy/PP-P3--2------- ,/,/Z:------------- abyste/aby|být/J,-------------|Vc-P---2----I-- se/se/P7--4---------- k/k/RR--3---------- ní/on/P5FS3--3-------";"choval/chovat/VpMS----R-AAI-- uctivě/uctivě/Dg-------1A---- a/a/J^------------- taktně/taktně/Dg-------1A---- a/a/J^------------- vyplňoval/vyplňovat/VpMS----R-AAI-- všechna/všechen/PLNP4---------- její/její/PSNP4FS3------- přání/přání/NNNP4-----A----";",/,/Z:------------- která/který/P4NP1---------- vám/vy/PP-P3--2------- musí/muset/VB-P---3P-AAI-1 být/být/Vf--------A-I-- rozkazem/rozkaz/NNIS7-----A---- ././Z:-------------"
"8";"V/v/RR--6---------- hotelu/hotel/NNIS6-----A---- se/se/P7--4----------";"choval/chovat/VpMS----R-AAI-- tak/tak/Db------------- skromně/skromně/Dg-------1A---- ,/,/Z:------------- že/že/J,------------- jsme/být/VB-P---1P-AAI-- o/o/RR--6---------- něm/on/P5MS6--3------- sotva/sotva/Db------------- věděli/vědět/VpMP----R-AAI-- ,/,/Z:------------- měl/mít/VpMS----R-AAI-- jenom/jen/Db------------- jedno/jeden/ClNS4---------- přání/přání/NNNS4-----A----";"-/-/Z:------------- mít/mít/Vf--------A-I-- na/na/RR--6---------- pokoji/pokoj/NNIS6-----A---- konvici/konvice/NNFS4-----A---- ,/,/Z:------------- protože/protože/J,------------- si/se/P7--3---------- často/často/Dg-------1A---- vaří/vařit/VB-S---3P-AAI-- oblíbený/oblíbený/AAIS4----1A---- čaj/čaj/NNIS4-----A---- ,/,/Z:------------- ""/""/Z:------------- vzpomíná/vzpomínat/VB-S---3P-AAI-- recepční/recepční/AAMS1----1A---- ././Z:-------------"
"9";"Na/na/RR--4---------- to/ten/PDNS4---------- Jang/Jang/NNMS1-----A---- :/:/Z:------------- „/""/Z:------------- Ne/ne/TT------------- že/že/J,------------- bych/být/Vc-S---1----I--";"nechoval/chovat/VpMS----R-NAI-- přání/přání/NNNS4-----A----";"konat/konat/Vf--------A-I-- nějakou/nějaký/PZFS4---------- službu/služba/NNFS4-----A---- ,/,/Z:------------- ale/ale/J^------------- nedostávalo/dostávat/VpNS----R-NAI-- se/se/P7--4---------- mi/já/PH-S3--1------- až/až/TT------------- dosud/dosud/Db------------- příležitosti/příležitost/NNFS2-----A---- ././Z:------------- “/""/Z:-------------"
"10";"Ondřej/Ondřej/NNMS1-----A---- vzpomíná/vzpomínat/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- Aňa/Aňa/NNFS1-----A----";"chovala/chovat/VpFS----R-AAI-- zpupně/zpupně/Dg-------1A---- a/a/J^------------- odmítala/odmítat/VpFS----R-AAI-- plnit/plnit/Vf--------A-I-- jeho/jeho/PSNP4-S3------- přání/přání/NNNP4-----A----";"././Z:-------------"
