id;left;kwic;right
"1";"„/""/Z:------------- Myšlenkou/myšlenka/NNFS7-----A---- tohoto/tento/PDNS2---------- měření/měření/NNNS2-----A---- sil/síla/NNFP2-----A---- na/na/RR--6---------- našem/náš/PSIS6-P1------- zimním/zimní/AAIS6----1A---- stadiónu/stadion/NNIS6-----A---1 bylo/být/VpNS----R-AAI-- vždy/vždy/Db------------- navázat/navázat/Vf--------A-P-- nová/nový/AANP4----1A----";"přátelství/přátelství/NNNP4-----A---- ,/,/Z:------------- bojovat/bojovat/Vf--------A-I-- v/v/RR--6---------- duchu/duch/NNIS6-----A---- fairplay/fairplay/X@------------- a/a/J^------------- chovat/chovat/Vf--------A-I--";"se/se/P7--4---------- jako/jako/J,------------- praví/pravý/AAMP1----1A---- sportovci/sportovec/NNMP1-----A---- ,/,/Z:------------- “/""/Z:------------- říká/říkat/VB-S---3P-AAI-- Josef/Josef/NNMS1-----A---- Veselý/Veselý/NNMS1-----A---- ,/,/Z:------------- ředitel/ředitel/NNMS1-----A---- turnaje/turnaj/NNIS2-----A---- ././Z:-------------"
"2";"V/v/RR--6---------- letošním/letošní/AAIS6----1A---- roce/rok/NNIS6-----A---1 pak/pak/Db------------- byla/být/VpFS----R-AAI-- při/při/RR--6---------- příležitosti/příležitost/NNFS6-----A---- festivalu/festival/NNIS2-----A---- vysazena/vysadit/VsFS------APP-- Lípa/lípa/NNFS1-----A---- přátelství/přátelství/NNNS2-----A---- slovinského/slovinský/AAIS2----1A---- a/a/J^------------- českého/český/AAIS2----1A---- lidu/lid/NNIS2-----A---- ,/,/Z:------------- jež/jenž/PJFS1---------- bude/být/VB-S---3F-AAI-- i/i/J^------------- budoucím/budoucí/AAFP3----1A---- generacím/generace/NNFP3-----A---- připomínat/připomínat/Vf--------A-I--";"přátelství/přátelství/NNNS4-----A---- ,/,/Z:------------- které/který/P4FP1---------- k/k/RR--3---------- sobě/se/P6--3---------- chovají/chovat/VB-P---3P-AAI--";"oba/oba/ClIP4---------- naše/náš/PSIP4-P1------- národy/národ/NNIP1-----A---- ././Z:-------------"
"3";"Pravé/pravý/AANS4----1A----";"přátelství/přátelství/NNNS4-----A---- však/však/J^------------- chovají/chovat/VB-P---3P-AAI--";"mezi/mezi/RR--7---------- sebou/se/P6--7---------- ,/,/Z:------------- umocňuje/umocňovat/VB-S---3P-AAI-- to/ten/PDNS1---------- i/i/J^------------- rozdělení/rozdělení/NNNS4-----A---- dětí/dítě/NNFP2-----A---- na/na/RR--4---------- skupiny/skupina/NNFP4-----A---- po/po/RR--6---------- osmi/osm/Cn-P6---------- ././Z:-------------"
"4";"Jako/jako/J,------------- u/u/RR--2---------- spousty/spousta/NNFS2-----A---- jiných/jiný/AAIP2----1A---- designérských/designérský/AAIP2----1A---- párů/pár/NNIP2-----A---- ,/,/Z:------------- které/který/P4IP1---------- spolu/spolu/Db------------- pracují/pracovat/VB-P---3P-AAI-- ,/,/Z:------------- se/se/P7--4---------- jejich/jejich/PSIS1-P3------- vztah/vztah/NNIS1-----A---- postupně/postupně/Dg-------1A---- vyvinul/vyvinout/VpIS----R-AAP-- spíš/spíš/TT------------- v/v/RR--4---------- takové/takový/PDNS4---------- větší/velký/AANS4----2A----";"přátelství/přátelství/NNNS4-----A---- ,/,/Z:------------- přestože/přestože/J,------------- jeden/jeden/ClIS1---------- ke/k/RV--3---------- druhému/druhý/CrMS3---------- a/a/J^------------- samozřejmě/samozřejmě/TT------------- i/i/J^------------- k/k/RR--3---------- rodině/rodina/NNFS3-----A---- a/a/J^------------- společnému/společný/AAIS3----1A---- domu/dům/NNIS3-----A---- stále/stále/Dg-------1A---- chovají/chovat/VB-P---3P-AAI--";"upřímnou/upřímný/AAFS4----1A---- lásku/láska/NNFS4-----A---- ././Z:-------------"
"5";"tvou/tvůj/PSFS4-S2------1 žádost/žádost/NNFS4-----A---- neodpovídám/odpovídat/VB-S---1P-NAI-- teď/teď/Db------------- ano/ano/TT------------- ,/,/Z:------------- a/a/J^------------- také/také/Db------------- nepravím/pravit/VB-S---1P-NAP-- nikoli/nikoli/TT------------- ,/,/Z:------------- nýbrž/nýbrž/J^------------- mé/můj/PSNS1-S1------1 rozhodnutí/rozhodnutí/NNNS1-----A---- zní/znít/VB-S---3P-AAI-- takto/takto/Db------------- :/:/Z:------------- Přijď/přijít/Vi-S---2--A-P-- zase/zase/Db------------- na/na/RR--4---------- podzim/podzim/NNIS4-----A---- ,/,/Z:------------- až/až/J,------------- se/se/P7--4---------- vrátím/vrátit/VB-S---1P-AAP-- a/a/J^------------- ty/ty/PP-S1--2------- budeš/být/VB-S---2F-AAI-- lépe/dobře/Dg-------2A---- vědět/vědět/Vf--------A-I-- ,/,/Z:------------- jak/jak/J,------------- na/na/RR--6---------- tom/ten/PDNS6---------- jsi/být/VB-S---2P-AAI-- ;/;/Z:------------- a/a/J^------------- shledám/shledat/VB-S---1P-AAP-- -/-/Z0------------- li/li/J,------------- potom/potom/Db------------- ,/,/Z:------------- že/že/J,------------- tvé/tvůj/PSNS1-S2------1 bohatství/bohatství/NNNS1-----A---- postačí/postačit/VB-S---3P-AAP-- ,/,/Z:------------- dostaneš/dostat/VB-S---2P-AAP-- dívku/dívka/NNFS4-----A---- pro/pro/RR--4----------";"přátelství/přátelství/NNNS4-----A---- ,/,/Z:------------- které/který/P4NS4---------- k/k/RR--3---------- tobě/ty/PP-S3--2------- chovám/chovat/VB-S---1P-AAI--";";/;/Z:------------- a/a/J^------------- jinak/jinak/Db------------- můžeš/moci/VB-S---2P-AAI-- vždycky/vždy/Db------------- obdržet/obdržet/Vf--------A-P-- dobrou/dobrý/AAFS4----1A---- službu/služba/NNFS4-----A---- mezi/mezi/RR--7---------- mými/můj/PSMP7-S1------- lidmi/člověk/NNMP7-----A---- ././Z:-------------"
"6";"Kdyby/kdyby|být/J,-------------|Vc----------I-- nám/my/PP-P3--1------- Coetzee/Coetzee/NNMS1-----A---- nabídl/nabídnout/VpMS----R-AAP-1";"přátelství/přátelství/NNNS4-----A---- ,/,/Z:------------- nechovala/chovat/VpFS----R-NAI--";"bych/být/Vc-S---1----I-- se/se/P7--4---------- k/k/RR--3---------- němu/on/P5MS3--3------- tak/tak/Db------------- tvrdě/tvrdě/Dg-------1A---- a/a/J^------------- chladně/chladně/Dg-------1A---- ././Z:-------------"
"7";"""/""/Z:------------- Agho/Agha/NNMS5-----A---- Šáhu/Šáh/NNMS5-----A---- ,/,/Z:------------- přísahám/přísahat/VB-S---1P-AAI-- na/na/RR--4----------";"přátelství/přátelství/NNNS4-----A---- ,/,/Z:------------- které/který/P4NS1---------- nás/my/PP-P4--1------- k/k/RR--3---------- sobě/se/P6--3---------- poutalo/poutat/VpNS----R-AAI-- ,/,/Z:------------- a/a/J^------------- na/na/RR--4---------- hlubokou/hluboký/AAFS4----1A---- úctu/úcta/NNFS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- k/k/RR--3---------- tobě/ty/PP-S3--2------- chovám/chovat/VB-S---1P-AAI--";",/,/Z:------------- že/že/J,------------- nás/my/PP-P4--1------- sem/sem/Db------------- zpátky/zpátky/Db------------- k/k/RR--3---------- vám/vy/PP-P3--2------- přivádí/přivádět/VB-S---3P-AAI-- opravdu/opravdu/Db------------- krajně/krajně/Dg-------1A---- kritické/kritický/AAFP1----1A---- okolnosti/okolnost/NNFP1-----A---- ././Z:-------------"
"8";"Nechtěl/chtít/VpMS----R-NAI-- jsem/být/VB-S---1P-AAI-- ale/ale/J^------------- přijít/přijít/Vf--------A-P-- o/o/RR--4---------- naše/náš/PSNS4-P1------- krásné/krásný/AANS4----1A----";"přátelství/přátelství/NNNS4-----A---- ,/,/Z:------------- proto/proto/Db------------- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- choval/chovat/VpMS----R-AAI--";",/,/Z:------------- jako/jako/J,------------- by/být/Vc----------I-- se/se/P7--4---------- nic/nic/PW--1---------- nestalo/stát/VpNS----R-NAP-- ././Z:-------------"
"9";"Nikdy/nikdy/Db------------- jsem/být/VB-S---1P-AAI-- neměl/mít/VpMS----R-NAI-- ke/k/RV--3---------- zlobě/zloba/NNFS3-----A---- dále/dále/Db------------- než/než/J,------------- v/v/RR--6---------- onom/onen/PDIS6---------- krutém/krutý/AAIS6----1A---- okamžiku/okamžik/NNIS6-----A---- ;/;/Z:------------- a/a/J^------------- je/být/VB-S---3P-AAI-- podivné/podivný/AANS1----1A---- ,/,/Z:------------- leč/leč/J^------------- pravdivé/pravdivý/AANS1----1A---- ,/,/Z:------------- že/že/J,------------- když/když/J,------------- jsem/být/VB-S---1P-AAI-- tu/ten/PDFS4---------- nešťastnou/šťastný/AAFS4----1N---- dívku/dívka/NNFS4-----A---- obvinil/obvinit/VpMS----R-AAP-- ,/,/Z:------------- způsobilo/způsobit/VpNS----R-AAP-- to/ten/PDNS1----------";"přátelství/přátelství/NNNS4-----A---- ,/,/Z:------------- které/který/P4NS4---------- jsem/být/VB-S---1P-AAI-- k/k/RR--3---------- ní/on/P5FS3--3------- choval/chovat/VpMS----R-AAI--";"././Z:-------------"
"10";"„/""/Z:------------- Ale/ale/J^------------- pro/pro/RR--4---------- veliké/veliký/AANS4----1A----";"přátelství/přátelství/NNNS4-----A---- ,/,/Z:------------- které/který/P4NS4---------- k/k/RR--3---------- tobě/ty/PP-S3--2------- chovám/chovat/VB-S---1P-AAI--";",/,/Z:------------- udělám/udělat/VB-S---1P-AAP-- to/ten/PDNS4---------- za/za/RR--4---------- rovných/rovný/AANP2----1A---- šedesát/šedesát/Cn-S4---------- ././Z:-------------"
