id;left;kwic;right
"1";"Australané/Australan/NNMP1-----A----";"chovají/chovat/VB-P---3P-AAI-- k/k/RR--3---------- těmto/tento/PDMP3---------- tvorům/tvor/NNMP3-----A---- vroucí/vroucí/AANS4----1A---- přátelství/přátelství/NNNS4-----A----";"a/a/J^------------- často/často/Dg-------1A---- s/s/RR--7---------- nimi/oni/P5MP7--3------- jezdí/jezdit/VB-P---3P-AAI-- na/na/RR--4---------- výlety/výlet/NNIP4-----A---- ././Z:-------------"
"2";"Vážil/vážit/VpMS----R-AAI-- si/se/P7--3---------- jich/oni/PPMP2--3------- a/a/J^------------- dobře/dobře/Dg-------1A---- se/se/P7--4---------- k/k/RR--3---------- nim/oni/P5MP3--3-------";"choval/chovat/VpMS----R-AAI-- ,/,/Z:------------- skutečné/skutečný/AANS4----1A---- přátelství/přátelství/NNNS4-----A----";"a/a/J^------------- obdiv/obdiv/NNIS4-----A---- si/se/P7--3---------- však/však/J^------------- schovával/schovávat/VpMS----R-AAI-- pro/pro/RR--4---------- jednoho/jeden/ClMS4---------- muže/muž/NNMS4-----A---- -/-/Z0------------- -/-/Z0------------- sira/sir/NNMS4-----A---- Winstona/Winston/NNMS4-----A---- Churchilla/Churchill/NNMS4-----A---- ././Z:-------------"
"3";"„/""/Z:------------- Tento/tento/PDIS1---------- seriál/seriál/NNIS1-----A---- není/být/VB-S---3P-NAI-- populární/populární/AAIS1----1A---- jen/jen/Db------------- ukázkami/ukázka/NNFP7-----A---- bojových/bojový/AANP2----1A---- umění/umění/NNNP2-----A---- ,/,/Z:------------- ale/ale/J^------------- hlavně/hlavně/Dg-------1A---- ukazuje/ukazovat/VB-S---3P-AAI-- ,/,/Z:------------- jak/jak/Db------------- by/být/Vc----------I-- se/se/P7--4---------- k/k/RR--3---------- sobě/se/P6--3---------- lidé/člověk/NNMP1-----A---- měli/mít/VpMP----R-AAI--";"chovat/chovat/Vf--------A-I-- ,/,/Z:------------- mezilidské/mezilidský/AAIP4----1A---- vztahy/vztah/NNIP4-----A---- ,/,/Z:------------- přátelství/přátelství/NNNS4-----A----";",/,/Z:------------- lásku/láska/NNFS4-----A---- ,/,/Z:------------- podporu/podpora/NNFS4-----A---- a/a/J^------------- toleranci/tolerance/NNFS4-----A---- ././Z:-------------"
"4";"Oba/oba/ClMP1---------- k/k/RR--3---------- sobě/se/P6--3---------- nadále/nadále/Db-------------";"chováme/chovat/VB-P---1P-AAI-- hluboký/hluboký/AAIS4----1A---- respekt/respekt/NNIS4-----A---- a/a/J^------------- přátelství/přátelství/NNNS4-----A----";",/,/Z:------------- jež/jenž/PJNP1---------- nám/my/PP-P3--1------- umožňují/umožňovat/VB-P---3P-AAI-- naši/náš/PSFS4-P1------- situaci/situace/NNFS4-----A---- řešit/řešit/Vf--------A-I-- se/s/RV--7---------- vzájemným/vzájemný/AANS7----1A---- pochopením/pochopení/NNNS7-----A---- ,/,/Z:------------- “/""/Z:------------- sdělili/sdělit/VpMP----R-AAP-- médiím/médium/NNNP3-----A---- Bohuslav/Bohuslav/NNMS1-----A---- a/a/J^------------- Olga/Olga/NNFS1-----A---- Sobotkovi/Sobotka/NNMS3-----A---- ././Z:-------------"
"5";"Už/už/Db------------- dávno/dávno/Dg-------1A---- jsme/být/VB-P---1P-AAI-- se/se/P7--4---------- s/s/RR--7---------- mým/můj/PSMS7-S1------- přítelem/přítel/NNMS7-----A---- dohodli/dohodnout/VpMP----R-AAP-1 ,/,/Z:------------- výslovně/výslovně/Dg-------1A---- a/a/J^------------- mlčky/mlčky/Db------------- -/-/Z:------------- a/a/J^------------- spíš/spíš/TT------------- než/než/J,------------- o/o/RR--4---------- dohodu/dohoda/NNFS4-----A---- šlo/jít/VpNS----R-AAI-- mezi/mezi/RR--7---------- námi/my/PP-P7--1------- o/o/RR--4---------- vyvstání/vyvstání/NNNS4-----A---- podoby/podoba/NNFS2-----A---- našich/náš/PSIP2-P1------- vztahů/vztah/NNIP2-----A---- -/-/Z:------------- že/že/J,------------- daleko/daleko/Dg-------1A---- líp/dobře/Dg-------2A---- spolu/spolu/Db------------- vycházíme/vycházet/VB-P---1P-AAI-- ,/,/Z:-------------";"chováme/chovat/VB-P---1P-AAI-- -/-/Z0------------- li/li/J,------------- se/se/P7--4---------- k/k/RR--3---------- sobě/se/P6--3---------- jako/jako/J,------------- spřátelení/spřátelený/AAMP1----1A---- cizinci/cizinec/NNMP1-----A---- ,/,/Z:------------- protože/protože/J,------------- bylo/být/VpNS----R-AAI-- v/v/RR--6---------- první/první/CrFS6---------- řadě/řada/NNFS6-----A---- nutné/nutný/AANS1----1A---- ,/,/Z:------------- abychom/aby|být/J,-------------|Vc-P---1----I-- se/se/P7--4---------- jeden/jeden/ClIS4---------- druhému/druhý/CrMS3---------- odcizili/odcizit/VpMP----R-AAP-- a/a/J^------------- překonali/překonat/VpMP----R-AAP-- tak/tak/Db------------- okolnost/okolnost/NNFS4-----A---- ,/,/Z:------------- která/který/P4FS1---------- i/i/J^------------- přesto/přesto/Db------------- pronikala/pronikat/VpFS----R-AAI-- stále/stále/Dg-------1A---- navenek/navenek/Db------------- :/:/Z:------------- že/že/J,------------- jsme/být/VB-P---1P-AAI-- totiž/totiž/TT------------- jeden/jeden/ClMS1---------- s/s/RR--7---------- druhým/druhý/CrMS7---------- tak/tak/Db------------- zoufale/zoufale/Dg-------1A---- a/a/J^------------- skoro/skoro/Db------------- k/k/RR--3---------- nerozeznání/nerozeznání/NNNS3-----A---- zajedno/zajedno/Db------------- ././Z0------------- -/-/Z:------------- A/a/J^------------- teprve/teprve/Db------------- na/na/RR--6---------- základě/základ/NNIS6-----A---- toho/ten/PDNS2---------- odcizení/odcizení/NNNS2-----A---- jsme/být/VB-P---1P-AAI-- se/se/P7--4---------- mohli/moci/VpMP----R-AAI-- pokoušet/pokoušet/Vf--------A-I-- vytvořit/vytvořit/Vf--------A-P-- nové/nový/AANS4----1A---- přátelství/přátelství/NNNS4-----A---- ,/,/Z:------------- vlastně/vlastně/TT------------- jakési/jakýsi/PZNS4---------- ""/""/Z:------------- druhé/druhý/CrNS4---------- ""/""/Z:------------- přátelství/přátelství/NNNS4-----A----";"po/po/RR--6---------- přemožení/přemožení/NNNS6-----A---- prvního/první/CrNS2---------- ,/,/Z:------------- které/který/P4NS1---------- nebylo/být/VpNS----R-NAI-- nijak/nijak/Db------------- naší/náš/PSFS7-P1------- zásluhou/zásluha/NNFS7-----A---- ././Z0------------- -/-/Z:------------- Ale/ale/J^------------- proč/proč/Db------------- to/ten/PDNS4---------- vlastně/vlastně/TT------------- říkám/říkat/VB-S---1P-AAI-- právě/právě/Db------------- na/na/RR--6---------- tomto/tento/PDNS6---------- místě/místo/NNNS6-----A---- ,/,/Z:------------- místo/místo/Db------------- abych/aby|být/J,-------------|Vc-S---1----I-- se/se/P7--4---------- staral/starat/VpMS----R-AAI-- o/o/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- kam/kam/Db------------- jsem/být/VB-S---1P-AAI-- šel/jít/VpMS----R-AAI-- a/a/J^------------- co/co/PQ--4---------- jsem/být/VB-S---1P-AAI-- dělal/dělat/VpMS----R-AAI-- po/po/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- kdy/kdy/Db------------- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- na/na/RR--6---------- schodišti/schodiště/NNNS6-----A---- setkal/setkat/VpMS----R-AAP-- s/s/RR--7---------- Martinem/Martin/NNMS7-----A---- ?/?/Z:------------- -/-/Z:------------- Ale/ale/J^------------- každý/každý/PLMS1----------"
"6";"Už/už/Db------------- dávno/dávno/Dg-------1A---- jsme/být/VB-P---1P-AAI-- se/se/P7--4---------- s/s/RR--7---------- mým/můj/PSMS7-S1------- přítelem/přítel/NNMS7-----A---- dohodli/dohodnout/VpMP----R-AAP-1 ,/,/Z:------------- výslovně/výslovně/Dg-------1A---- a/a/J^------------- mlčky/mlčky/Db------------- -/-/Z:------------- a/a/J^------------- spíš/spíš/TT------------- než/než/J,------------- o/o/RR--4---------- dohodu/dohoda/NNFS4-----A---- šlo/jít/VpNS----R-AAI-- mezi/mezi/RR--7---------- námi/my/PP-P7--1------- o/o/RR--4---------- vyvstání/vyvstání/NNNS4-----A---- podoby/podoba/NNFS2-----A---- našich/náš/PSIP2-P1------- vztahů/vztah/NNIP2-----A---- -/-/Z:------------- že/že/J,------------- daleko/daleko/Dg-------1A---- líp/dobře/Dg-------2A---- spolu/spolu/Db------------- vycházíme/vycházet/VB-P---1P-AAI-- ,/,/Z:-------------";"chováme/chovat/VB-P---1P-AAI-- -/-/Z0------------- li/li/J,------------- se/se/P7--4---------- k/k/RR--3---------- sobě/se/P6--3---------- jako/jako/J,------------- spřátelení/spřátelený/AAMP1----1A---- cizinci/cizinec/NNMP1-----A---- ,/,/Z:------------- protože/protože/J,------------- bylo/být/VpNS----R-AAI-- v/v/RR--6---------- první/první/CrFS6---------- řadě/řada/NNFS6-----A---- nutné/nutný/AANS1----1A---- ,/,/Z:------------- abychom/aby|být/J,-------------|Vc-P---1----I-- se/se/P7--4---------- jeden/jeden/ClIS4---------- druhému/druhý/CrMS3---------- odcizili/odcizit/VpMP----R-AAP-- a/a/J^------------- překonali/překonat/VpMP----R-AAP-- tak/tak/Db------------- okolnost/okolnost/NNFS4-----A---- ,/,/Z:------------- která/který/P4FS1---------- i/i/J^------------- přesto/přesto/Db------------- pronikala/pronikat/VpFS----R-AAI-- stále/stále/Dg-------1A---- navenek/navenek/Db------------- :/:/Z:------------- že/že/J,------------- jsme/být/VB-P---1P-AAI-- totiž/totiž/TT------------- jeden/jeden/ClMS1---------- s/s/RR--7---------- druhým/druhý/CrMS7---------- tak/tak/Db------------- zoufale/zoufale/Dg-------1A---- a/a/J^------------- skoro/skoro/Db------------- k/k/RR--3---------- nerozeznání/nerozeznání/NNNS3-----A---- zajedno/zajedno/Db------------- ././Z0------------- -/-/Z:------------- A/a/J^------------- teprve/teprve/Db------------- na/na/RR--6---------- základě/základ/NNIS6-----A---- toho/ten/PDNS2---------- odcizení/odcizení/NNNS2-----A---- jsme/být/VB-P---1P-AAI-- se/se/P7--4---------- mohli/moci/VpMP----R-AAI-- pokoušet/pokoušet/Vf--------A-I-- vytvořit/vytvořit/Vf--------A-P-- nové/nový/AANS4----1A---- přátelství/přátelství/NNNS4-----A----";",/,/Z:------------- vlastně/vlastně/TT------------- jakési/jakýsi/PZNS4---------- ""/""/Z:------------- druhé/druhý/CrNS4---------- ""/""/Z:------------- přátelství/přátelství/NNNS4-----A---- po/po/RR--6---------- přemožení/přemožení/NNNS6-----A---- prvního/první/CrNS2---------- ,/,/Z:------------- které/který/P4NS1---------- nebylo/být/VpNS----R-NAI-- nijak/nijak/Db------------- naší/náš/PSFS7-P1------- zásluhou/zásluha/NNFS7-----A---- ././Z0------------- -/-/Z:------------- Ale/ale/J^------------- proč/proč/Db------------- to/ten/PDNS4---------- vlastně/vlastně/TT------------- říkám/říkat/VB-S---1P-AAI-- právě/právě/Db------------- na/na/RR--6---------- tomto/tento/PDNS6---------- místě/místo/NNNS6-----A---- ,/,/Z:------------- místo/místo/Db------------- abych/aby|být/J,-------------|Vc-S---1----I-- se/se/P7--4---------- staral/starat/VpMS----R-AAI-- o/o/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- kam/kam/Db------------- jsem/být/VB-S---1P-AAI-- šel/jít/VpMS----R-AAI-- a/a/J^------------- co/co/PQ--4---------- jsem/být/VB-S---1P-AAI-- dělal/dělat/VpMS----R-AAI-- po/po/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- kdy/kdy/Db------------- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- na/na/RR--6---------- schodišti/schodiště/NNNS6-----A----"
"7";"V/v/RR--6---------- bance/banka/NNFS6-----A---- se/se/P7--4---------- k/k/RR--3---------- ní/on/P5FS3--3------- po/po/RR--6---------- tom/ten/PDNS6---------- falešném/falešný/AANS6----1A---- obvinění/obvinění/NNNS6-----A---- z/z/RR--2---------- minulého/minulý/AAIS2----1A---- října/říjen/NNIS2-----A----";"chovali/chovat/VpMP----R-AAI-- ohleduplně/ohleduplně/Dg-------1A---- a/a/J^------------- zaměstnanci/zaměstnanec/NNMP1-----A---- se/se/P7--4---------- o/o/RR--4---------- překot/překot/NNIS4-----A---- snažili/snažit/VpMP----R-AAI-- být/být/Vf--------A-I-- k/k/RR--3---------- ní/on/P5FS3--3------- srdeční/srdeční/AAMP1----1A---- ,/,/Z:------------- ale/ale/J^------------- přátelství/přátelství/NNNS4-----A----";"tam/tam/Db------------- žádné/žádný/PWNS4---------- neuzavřela/uzavřít/VpFS----R-NAP-- ././Z:-------------"
"8";"Oba/oba/ClMP1---------- k/k/RR--3---------- sobě/se/P6--3---------- nadále/nadále/Db-------------";"chováme/chovat/VB-P---1P-AAI-- hluboký/hluboký/AAIS4----1A---- respekt/respekt/NNIS4-----A---- a/a/J^------------- přátelství/přátelství/NNNS4-----A----";",/,/Z:------------- jež/jenž/PJNP1---------- nám/my/PP-P3--1------- umožňují/umožňovat/VB-P---3P-AAI-- naši/náš/PSFS4-P1------- situaci/situace/NNFS4-----A---- řešit/řešit/Vf--------A-I-- se/s/RV--7---------- vzájemným/vzájemný/AANS7----1A---- pochopením/pochopení/NNNS7-----A---- ././Z:-------------"
"9";"Na/na/RR--4---------- svůj/svůj/P8IS4---------- věk/věk/NNIS4-----A---- vypadal/vypadat/VpMS----R-AAI-- o/o/RR--4---------- pár/pár/Db------------- let/rok/NNNP2-----A---- starší/starý/AAMS1----2A---- a/a/J^------------- také/také/Db------------- se/se/P7--4---------- tak/tak/Db-------------";"choval/chovat/VpMS----R-AAI-- ,/,/Z:------------- a/a/J^------------- na/na/RR--6---------- důstojných/důstojný/AANP6----1A---- veřejných/veřejný/AANP6----1A---- místech/místo/NNNP6-----A---- -/-/Z:------------- v/v/RR--6---------- biografech/biograf/NNIP6-----A---- ,/,/Z:------------- kavárnách/kavárna/NNFP6-----A---- ,/,/Z:------------- restauracích/restaurace/NNFP6-----A---- -/-/Z:------------- navazoval/navazovat/VpMS----R-AAI-- přátelství/přátelství/NNNS4-----A----";"se/s/RV--7---------- svými/svůj/P8FP7---------- obětmi/oběť/NNFP7-----A---1 ,/,/Z:------------- obvykle/obvykle/Dg-------1A---- pošetilými/pošetilý/AAMP7----1A---- a/a/J^------------- bohatými/bohatý/AAMP7----1A---- mladými/mladý/AAMP7----1A---- lidmi/člověk/NNMP7-----A---- ,/,/Z:------------- jimž/jenž/PJMP3---------- se/se/P7--4---------- jevil/jevit/VpMS----R-AAI-- jako/jako/J,------------- neobyčejně/obyčejně/Dg-------1N---- přitažlivý/přitažlivý/AAMS1----1A---- a/a/J^------------- originální/originální/AAMS1----1A---- mladík/mladík/NNMS1-----A---- s/s/RR--7---------- výjimečně/výjimečně/Dg-------1A---- pronikavým/pronikavý/AAIS7----1A---- intelektem/intelekt/NNIS7-----A---- ././Z:-------------"
"10";"";"Chovala/chovat/VpFS----R-AAI-- k/k/RR--3---------- Emanuelovi/Emanuel/NNMS3-----A---- bezprostřední/bezprostřední/AANS4----1A---- ,/,/Z:------------- nelíčené/nelíčený/AANS4----1A---- přátelství/přátelství/NNNS4-----A----";"podobné/podobný/AAFS3----1A---- lásce/láska/NNFS3-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- cítila/cítit/VpFS----R-AAI-- ke/k/RV--3---------- svému/svůj/P8MS3---------- psu/pes/NNMS3-----A---1 ,/,/Z:------------- synovi/syn/NNMS3-----A---- nebo/nebo/J^------------- papouškovi/papoušek/NNMS3-----A---- ,/,/Z:------------- a/a/J^------------- vyjadřovala/vyjadřovat/VpFS----R-AAI-- je/oni/PPMP4--3------- i/i/J^------------- stejnými/stejný/AANP7----1A---- slovy/slovo/NNNP7-----A---- a/a/J^------------- obdobným/obdobný/AAIS7----1A---- tónem/tón/NNIS7-----A---- hlasu/hlas/NNIS2-----A---- ././Z:-------------"
